Date,Adj Close_GREENPOWER.NS,Close_GREENPOWER.NS,High_GREENPOWER.NS,Low_GREENPOWER.NS,Open_GREENPOWER.NS,Volume_GREENPOWER.NS,Date
2021-08-23,2.7623250484466553,2.7623250484466553,2.9004409313201904,2.57817006111145,2.7623250484466553,14863868,2021-08-23
2021-08-30,2.7162859439849854,2.7162859439849854,2.8544020652770996,2.6242079734802246,2.8083629608154297,9598228,2021-08-30
2021-09-06,2.7623250484466553,2.7623250484466553,2.8083629608154297,2.6702470779418945,2.7623250484466553,9039984,2021-09-06
2021-09-13,2.9004409313201904,2.9004409313201904,3.1766738891601562,2.7623250484466553,2.8083629608154297,15928515,2021-09-13
2021-09-20,2.8083629608154297,2.8083629608154297,2.9464800357818604,2.7162859439849854,2.9004409313201904,12098815,2021-09-20
2021-09-27,2.8544020652770996,2.8544020652770996,2.9464800357818604,2.7623250484466553,2.8083629608154297,14830726,2021-09-27
2021-10-04,3.775177001953125,3.775177001953125,3.775177001953125,2.9004409313201904,2.9004409313201904,23842469,2021-10-04
2021-10-11,4.32764196395874,4.32764196395874,4.69595193862915,4.143486976623535,4.143486976623535,32229237,2021-10-11
2021-10-18,4.00537109375,4.00537109375,4.649913787841797,4.00537109375,4.511796951293945,32719326,2021-10-18
2021-10-25,3.9132940769195557,3.9132940769195557,4.37368106842041,3.63706111907959,4.00537109375,10265926,2021-10-25
2021-11-01,4.37368106842041,4.37368106842041,4.41972017288208,3.8672549724578857,3.9132940769195557,5464230,2021-11-01
2021-11-08,5.386534214019775,5.386534214019775,5.386534214019775,4.235565185546875,4.41972017288208,11775088,2021-11-08
2021-11-15,6.445425033569336,6.445425033569336,6.445425033569336,5.616726875305176,5.616726875305176,3067094,2021-11-15
2021-11-22,8.148859024047852,8.148859024047852,8.148859024047852,6.767695903778076,6.767695903778076,18089357,2021-11-22
2021-11-29,10.266641616821289,10.266641616821289,10.266641616821289,8.517168998718262,8.517168998718262,5338112,2021-11-29
2021-12-06,9.714177131652832,9.714177131652832,10.082487106323242,8.425090789794922,10.082487106323242,27637126,2021-12-06
2021-12-13,12.292346954345703,12.292346954345703,12.292346954345703,10.174564361572266,10.174564361572266,21724378,2021-12-13
2021-12-20,14.087858200073242,14.087858200073242,14.087858200073242,11.141378402709961,12.200268745422363,12433114,2021-12-20
