Date,Adj Close_GREENLAM.NS,Close_GREENLAM.NS,High_GREENLAM.NS,Low_GREENLAM.NS,Open_GREENLAM.NS,Volume_GREENLAM.NS,Date
2021-12-06,166.80316162109375,168.26499938964844,174.39999389648438,145.0,149.1999969482422,1466880,2021-12-06
2021-12-13,177.1524658203125,178.7050018310547,199.74000549316406,166.125,174.5,12158860,2021-12-13
2021-12-20,168.29510498046875,169.77000427246094,181.7899932861328,166.73500061035156,181.7899932861328,854330,2021-12-20
2021-12-27,176.32968139648438,177.875,178.9250030517578,169.0,171.5,638390,2021-12-27
2022-01-03,185.46957397460938,187.09500122070312,188.39999389648438,172.8300018310547,178.0,987370,2022-01-03
2022-01-10,189.99986267089844,191.6649932861328,198.5,186.10499572753906,189.875,637860,2022-01-10
2022-01-17,181.9603271484375,183.55499267578125,194.2050018310547,182.06500244140625,191.6649932861328,311730,2022-01-17
2022-01-24,178.25282287597656,179.81500244140625,184.0,170.7550048828125,183.55499267578125,202140,2022-01-24
2022-01-31,187.4521942138672,189.09500122070312,197.0,180.5,182.89999389648438,537980,2022-01-31
2022-02-07,185.64801025390625,187.27499389648438,201.5,166.5,190.5,1934496,2022-02-07
2022-02-14,164.4586944580078,165.89999389648438,183.52499389648438,164.02499389648438,179.85000610351562,429156,2022-02-14
2022-02-21,167.18482971191406,168.64999389648438,175.0,146.89999389648438,161.72500610351562,380292,2022-02-21
2022-02-28,159.27911376953125,160.6750030517578,168.0,156.0,168.0,248294,2022-02-28
2022-03-07,188.0519561767578,189.6999969482422,191.39999389648438,155.5500030517578,157.5,411138,2022-03-07
2022-03-14,184.9788818359375,186.60000610351562,199.60000610351562,182.35000610351562,188.97500610351562,229902,2022-03-14
2022-03-21,177.3457794189453,178.89999389648438,187.5,174.02499389648438,186.60000610351562,198722,2022-03-21
2022-03-28,181.80667114257812,183.39999389648438,186.5,173.6999969482422,178.14999389648438,139282,2022-03-28
2022-04-04,181.21189880371094,182.8000030517578,189.875,174.39999389648438,183.97500610351562,227494,2022-04-04
2022-04-11,195.04071044921875,196.75,209.14999389648438,182.72500610351562,187.0,796996,2022-04-11
2022-04-18,189.26629638671875,190.9250030517578,207.5,187.5,197.47500610351562,764472,2022-04-18
2022-04-25,174.91705322265625,176.4499969482422,194.5,174.0,190.875,351812,2022-04-25
2022-05-02,172.6122589111328,174.125,181.64999389648438,166.9499969482422,178.4499969482422,151998,2022-05-02
2022-05-09,155.71038818359375,157.0749969482422,178.6750030517578,153.0,174.125,513942,2022-05-09
2022-05-16,158.26300048828125,159.64999389648438,166.0,147.77499389648438,155.10000610351562,362654,2022-05-16
2022-05-23,158.16387939453125,159.5500030517578,166.5749969482422,139.89999389648438,160.72500610351562,839308,2022-05-23
2022-05-30,158.53564453125,159.9250030517578,164.02499389648438,157.77499389648438,162.75,401876,2022-05-30
2022-06-06,151.37339782714844,152.6999969482422,161.9499969482422,145.125,159.9250030517578,254396,2022-06-06
2022-06-13,147.9781494140625,149.27499389648438,153.0,146.64999389648438,152.97500610351562,118138,2022-06-13
2022-06-20,162.42652893066406,163.85000610351562,172.97500610351562,143.60000610351562,147.02499389648438,991920,2022-06-20
2022-06-27,156.67691040039062,158.0500030517578,167.0,151.02499389648438,166.3000030517578,227028,2022-06-27
2022-07-04,165.00392150878906,166.4499969482422,168.22500610351562,156.5,159.97500610351562,132312,2022-07-04
2022-07-11,179.82791137695312,180.72500610351562,183.10000610351562,163.375,167.8249969482422,244870,2022-07-11
2022-07-18,179.5542755126953,180.4499969482422,185.77499389648438,177.5,180.5500030517578,87352,2022-07-18
2022-07-25,177.73834228515625,178.625,183.0,170.5500030517578,180.4499969482422,264972,2022-07-25
2022-08-01,173.6089324951172,174.47500610351562,187.5,172.875,179.9499969482422,153232,2022-08-01
2022-08-08,178.63385009765625,179.52499389648438,190.0,172.5,172.5,172570,2022-08-08
2022-08-15,176.76817321777344,177.64999389648438,182.5,175.0,179.52499389648438,84844,2022-08-15
2022-08-22,175.6736297607422,176.5500030517578,188.6999969482422,175.5500030517578,188.6999969482422,439658,2022-08-22
2022-08-29,170.6238250732422,171.47500610351562,176.125,168.5,175.0,144458,2022-08-29
2022-09-05,164.2804718017578,165.10000610351562,172.47500610351562,160.0,171.47500610351562,235704,2022-09-05
2022-09-12,164.5292205810547,165.35000610351562,171.0,158.75,165.10000610351562,415744,2022-09-12
2022-09-19,157.78785705566406,158.5749969482422,166.52499389648438,155.35000610351562,165.35000610351562,313166,2022-09-19
2022-09-26,144.0563507080078,144.77499389648438,159.75,142.5,159.5,332940,2022-09-26
2022-10-03,159.50428771972656,160.3000030517578,172.39999389648438,141.0749969482422,144.5,1052410,2022-10-03
2022-10-10,150.922119140625,151.6750030517578,165.89999389648438,150.10000610351562,157.5,522620,2022-10-10
2022-10-17,157.24058532714844,158.02499389648438,161.97500610351562,150.5500030517578,153.4499969482422,187134,2022-10-17
2022-10-24,161.44461059570312,162.25,164.5,157.5,160.375,134940,2022-10-24
2022-10-31,159.87742614746094,160.6750030517578,167.22500610351562,157.02499389648438,162.0,159212,2022-10-31
2022-11-07,158.7828826904297,159.5749969482422,163.39999389648438,158.10000610351562,163.0,53940,2022-11-07
2022-11-14,159.2555389404297,160.0500030517578,169.5,159.5,169.5,155800,2022-11-14
2022-11-21,164.72824096679688,165.5500030517578,168.52499389648438,159.5,160.02499389648438,565760,2022-11-21
2022-11-28,166.54417419433594,167.375,171.0,162.5,168.39999389648438,285304,2022-11-28
2022-12-05,160.1759490966797,160.97500610351562,169.35000610351562,160.0500030517578,169.35000610351562,152340,2022-12-05
2022-12-12,159.55406188964844,160.35000610351562,166.89999389648438,155.5,163.0,168042,2022-12-12
2022-12-19,157.66348266601562,158.4499969482422,163.97500610351562,148.5,159.02499389648438,209560,2022-12-19
2022-12-26,160.3003387451172,161.10000610351562,171.9499969482422,153.5,153.5,1820810,2022-12-26
2023-01-02,164.92724609375,165.75,169.39999389648438,160.4250030517578,161.10000610351562,1352362,2023-01-02
2023-01-09,159.180908203125,159.97500610351562,167.6750030517578,158.1750030517578,167.6750030517578,86814,2023-01-09
2023-01-16,157.3152313232422,158.10000610351562,173.72500610351562,148.0,162.375,374926,2023-01-16
2023-01-23,153.55894470214844,154.3249969482422,167.5,151.97500610351562,160.4250030517578,194446,2023-01-23
2023-01-30,153.31019592285156,154.0749969482422,161.10000610351562,149.25,156.0,193332,2023-01-30
2023-02-06,154.60374450683594,155.375,159.1999969482422,153.5,154.77499389648438,70254,2023-02-06
2023-02-13,156.419677734375,157.1999969482422,158.9250030517578,152.85000610351562,157.47500610351562,75368,2023-02-13
