Date,Adj Close_VAIBHAVGBL.NS,Close_VAIBHAVGBL.NS,High_VAIBHAVGBL.NS,Low_VAIBHAVGBL.NS,Open_VAIBHAVGBL.NS,Volume_VAIBHAVGBL.NS,Date
2023-02-27,313.26953125,326.95001220703125,339.0,322.79998779296875,324.0,914329,2023-02-27
2023-03-06,299.5199890136719,312.6000061035156,330.70001220703125,310.3500061035156,328.54998779296875,619899,2023-03-06
2023-03-13,287.0159912109375,299.54998779296875,332.3999938964844,297.3999938964844,313.3999938964844,707068,2023-03-13
2023-03-20,279.35076904296875,291.54998779296875,308.6499938964844,290.1000061035156,297.8500061035156,624667,2023-03-20
2023-03-27,261.4332275390625,272.8500061035156,293.70001220703125,268.70001220703125,293.70001220703125,869862,2023-03-27
2023-04-03,288.7886047363281,301.3999938964844,312.79998779296875,274.1000061035156,274.79998779296875,1502042,2023-04-03
2023-04-10,293.579345703125,306.3999938964844,316.5,302.45001220703125,302.45001220703125,580370,2023-04-10
2023-04-17,296.7891845703125,309.75,326.8999938964844,301.54998779296875,306.0,1227812,2023-04-17
2023-04-24,301.9153747558594,315.1000061035156,323.5,308.29998779296875,311.8999938964844,590955,2023-04-24
2023-05-01,300.4781494140625,313.6000061035156,320.8999938964844,312.79998779296875,315.1000061035156,278358,2023-05-01
2023-05-08,299.4241943359375,312.5,318.29998779296875,309.29998779296875,315.95001220703125,377946,2023-05-08
2023-05-15,283.8540954589844,296.25,325.75,295.04998779296875,313.8999938964844,1296511,2023-05-15
2023-05-22,285.7225036621094,298.20001220703125,303.5,295.25,296.0,405081,2023-05-22
2023-05-29,288.9323425292969,301.54998779296875,304.0,295.8999938964844,299.70001220703125,446861,2023-05-29
2023-06-05,293.0523986816406,305.8500061035156,313.04998779296875,299.5,304.70001220703125,661245,2023-06-05
2023-06-12,295.5436096191406,308.45001220703125,314.70001220703125,304.70001220703125,307.70001220703125,550282,2023-06-12
2023-06-19,294.2980041503906,307.1499938964844,317.8999938964844,305.5,309.95001220703125,766986,2023-06-19
2023-06-26,294.82501220703125,307.70001220703125,314.3500061035156,306.20001220703125,308.95001220703125,282280,2023-06-26
2023-07-03,297.70928955078125,309.20001220703125,316.20001220703125,307.3999938964844,310.3500061035156,519327,2023-07-03
2023-07-10,292.46185302734375,303.75,311.8500061035156,300.0,309.3500061035156,458334,2023-07-10
2023-07-17,328.7126159667969,341.3999938964844,362.20001220703125,302.95001220703125,303.0,6083873,2023-07-17
2023-07-24,326.449951171875,339.04998779296875,349.5,336.04998779296875,344.6000061035156,888368,2023-07-24
2023-07-31,371.5588684082031,385.8999938964844,392.0,339.5,342.1499938964844,3713199,2023-07-31
2023-08-07,373.1957702636719,387.6000061035156,397.0,375.0,390.0,1623863,2023-08-07
2023-08-14,359.0936584472656,371.5,395.0,369.5,387.6000061035156,892001,2023-08-14
2023-08-21,380.1656188964844,393.29998779296875,403.20001220703125,361.0,373.0,1822963,2023-08-21
2023-08-28,434.3438415527344,449.3500061035156,470.0,391.54998779296875,394.0,7475381,2023-08-28
2023-09-04,429.2208251953125,444.04998779296875,466.95001220703125,428.0,452.0,1701045,2023-09-04
2023-09-11,426.9009704589844,441.6499938964844,453.0,405.0,445.3999938964844,2075588,2023-09-11
2023-09-18,425.74102783203125,440.45001220703125,446.8999938964844,420.1000061035156,441.54998779296875,1085753,2023-09-18
2023-09-25,425.6443786621094,440.3500061035156,461.8500061035156,431.1000061035156,440.0,2005066,2023-09-25
2023-10-02,412.2086181640625,426.45001220703125,442.95001220703125,420.04998779296875,440.3500061035156,492222,2023-10-02
