Date,Adj Close_HOVS.NS,Close_HOVS.NS,High_HOVS.NS,Low_HOVS.NS,Open_HOVS.NS,Volume_HOVS.NS,Date
2024-02-26,63.70000076293945,63.70000076293945,68.5,61.5,68.4000015258789,52012,2024-02-26
2024-03-04,59.650001525878906,59.650001525878906,64.4000015258789,58.099998474121094,64.4000015258789,64280,2024-03-04
2024-03-11,52.70000076293945,52.70000076293945,62.400001525878906,50.650001525878906,62.400001525878906,81808,2024-03-11
2024-03-18,58.04999923706055,58.04999923706055,59.20000076293945,50.349998474121094,50.349998474121094,98147,2024-03-18
2024-03-25,57.5,57.5,62.0,56.0,58.04999923706055,160382,2024-03-25
2024-04-01,78.19999694824219,78.19999694824219,78.19999694824219,56.5,57.79999923706055,541476,2024-04-01
2024-04-08,73.0,73.0,82.0,70.75,80.3499984741211,582373,2024-04-08
2024-04-15,63.75,63.75,72.0,61.70000076293945,72.0,214291,2024-04-15
2024-04-22,61.29999923706055,61.29999923706055,66.30000305175781,60.25,66.30000305175781,147410,2024-04-22
2024-04-29,59.95000076293945,59.95000076293945,62.29999923706055,59.5,61.29999923706055,51082,2024-04-29
2024-05-06,60.400001525878906,60.400001525878906,62.0,59.0,59.95000076293945,32693,2024-05-06
2024-05-13,65.6500015258789,65.6500015258789,66.0,59.0,60.400001525878906,103405,2024-05-13
2024-05-20,66.3499984741211,66.3499984741211,68.44999694824219,63.29999923706055,63.5,108125,2024-05-20
2024-05-27,61.54999923706055,61.54999923706055,67.5,60.599998474121094,66.0,79501,2024-05-27
2024-06-03,63.099998474121094,63.099998474121094,65.0999984741211,57.20000076293945,61.95000076293945,85871,2024-06-03
2024-06-10,67.12000274658203,67.12000274658203,69.4000015258789,61.81999969482422,65.9000015258789,78500,2024-06-10
2024-06-17,64.69000244140625,64.69000244140625,69.98999786376953,63.11000061035156,67.12000274658203,39839,2024-06-17
2024-06-24,63.54999923706055,63.54999923706055,67.0,62.0,64.69999694824219,76619,2024-06-24
2024-07-01,68.6500015258789,68.6500015258789,69.9000015258789,62.310001373291016,63.9900016784668,92959,2024-07-01
2024-07-08,67.22000122070312,67.22000122070312,70.6500015258789,66.30000305175781,70.0,50939,2024-07-08
2024-07-15,68.44000244140625,68.44000244140625,73.0,67.22000122070312,67.22000122070312,129112,2024-07-15
2024-07-22,68.5199966430664,68.5199966430664,71.5,64.12000274658203,65.6500015258789,175996,2024-07-22
2024-07-29,66.83999633789062,66.83999633789062,72.8499984741211,66.0999984741211,69.98999786376953,149193,2024-07-29
2024-08-05,70.91999816894531,70.91999816894531,76.80000305175781,65.0,65.0,415073,2024-08-05
2024-08-12,69.95999908447266,69.95999908447266,72.93000030517578,68.01000213623047,72.75,167990,2024-08-12
2024-08-19,85.7699966430664,85.7699966430664,91.97000122070312,68.51000213623047,69.93000030517578,1758482,2024-08-19
2024-08-26,99.37999725341797,99.37999725341797,99.37999725341797,81.4000015258789,86.5999984741211,1418105,2024-08-26
2024-09-02,89.01000213623047,89.01000213623047,110.5,89.01000213623047,103.0,958279,2024-09-02
2024-09-09,86.29000091552734,86.29000091552734,94.5,84.55000305175781,86.0,227679,2024-09-09
2024-09-16,82.7300033569336,82.7300033569336,87.9800033569336,77.0,87.9800033569336,111030,2024-09-16
2024-09-23,81.11000061035156,81.11000061035156,88.94999694824219,80.5,83.0,78031,2024-09-23
2024-09-30,77.55000305175781,77.55000305175781,83.4800033569336,76.19999694824219,81.12000274658203,46700,2024-09-30
2024-10-07,78.37999725341797,78.37999725341797,83.4000015258789,71.05000305175781,76.01000213623047,75885,2024-10-07
2024-10-14,74.7300033569336,74.7300033569336,80.37999725341797,72.9000015258789,78.0,42825,2024-10-14
2024-10-21,67.08999633789062,67.08999633789062,76.5,67.0,76.22000122070312,47708,2024-10-21
2024-10-28,72.62999725341797,72.62999725341797,73.0,66.02999877929688,67.55000305175781,23495,2024-10-28
2024-11-04,72.23999786376953,72.23999786376953,75.9000015258789,70.55999755859375,73.19999694824219,25712,2024-11-04
2024-11-11,65.3499984741211,65.3499984741211,73.69999694824219,64.05000305175781,73.69999694824219,36082,2024-11-11
2024-11-18,65.33000183105469,65.33000183105469,66.79000091552734,62.08000183105469,63.25,26240,2024-11-18
2024-11-25,68.38999938964844,68.38999938964844,71.75,65.0,67.9000015258789,50517,2024-11-25
2024-12-02,71.91999816894531,71.91999816894531,77.80000305175781,68.5,70.0,78014,2024-12-02
2024-12-09,72.0,72.0,75.9000015258789,68.55999755859375,71.5,195919,2024-12-09
2024-12-16,72.76000213623047,72.76000213623047,77.01000213623047,68.19999694824219,70.5199966430664,174352,2024-12-16
2024-12-23,73.87000274658203,73.87000274658203,76.0,70.38999938964844,70.38999938964844,87470,2024-12-23
2024-12-30,80.29000091552734,80.29000091552734,87.4000015258789,73.75,74.23999786376953,398500,2024-12-30
2025-01-06,71.63999938964844,71.63999938964844,80.19999694824219,71.22000122070312,78.13999938964844,113793,2025-01-06
2025-01-13,70.01000213623047,70.01000213623047,74.58000183105469,66.5999984741211,74.58000183105469,102006,2025-01-13
