Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2022-06-06,41.75233840942383,43.650001525878906,44.57500076293945,41.900001525878906,44.0,5727966,2022-06-06
2022-06-13,38.739280700683594,40.5,43.0,38.75,43.0,5502736,2022-06-13
2022-06-20,37.08927536010742,38.775001525878906,40.474998474121094,37.525001525878906,40.275001525878906,4947308,2022-06-20
2022-06-27,37.400146484375,39.099998474121094,40.5,38.42499923706055,39.42499923706055,4173048,2022-06-27
2022-07-04,38.093631744384766,39.82500076293945,40.57500076293945,38.57500076293945,39.099998474121094,3584838,2022-07-04
2022-07-11,37.806671142578125,39.525001525878906,41.0,39.150001525878906,39.82500076293945,3432522,2022-07-11
2022-07-18,40.102333068847656,41.92499923706055,42.5,39.525001525878906,39.75,5937998,2022-07-18
2022-07-25,41.08277130126953,42.95000076293945,43.5,40.974998474121094,41.599998474121094,7096334,2022-07-25
2022-08-01,41.39364242553711,43.275001525878906,46.400001525878906,42.400001525878906,43.25,12254348,2022-08-01
2022-08-08,39.95885467529297,41.775001525878906,42.849998474121094,40.900001525878906,42.849998474121094,5193696,2022-08-08
2022-08-15,40.174068450927734,42.0,43.875,41.42499923706055,41.775001525878906,4324920,2022-08-15
2022-08-22,41.3458137512207,43.224998474121094,43.95000076293945,40.54999923706055,42.45000076293945,4877528,2022-08-22
2022-08-29,41.13059616088867,43.0,44.29999923706055,42.04999923706055,42.599998474121094,3829020,2022-08-29
2022-09-05,42.56538772583008,44.5,45.900001525878906,43.04999923706055,43.25,6960986,2022-09-05
2022-09-12,43.01973342895508,44.974998474121094,45.67499923706055,40.775001525878906,44.724998474121094,8015020,2022-09-12
2022-09-19,42.541473388671875,44.474998474121094,45.32500076293945,42.25,44.849998474121094,7740480,2022-09-19
2022-09-26,40.35392761230469,41.25,45.0,39.92499923706055,44.400001525878906,9165380,2022-09-26
2022-10-03,40.94089126586914,41.849998474121094,42.0,40.474998474121094,41.125,3124190,2022-10-03
2022-10-10,40.280555725097656,41.17499923706055,43.650001525878906,41.0,41.70000076293945,4198376,2022-10-10
2022-10-17,38.71531295776367,39.57500076293945,41.75,39.5,41.07500076293945,4295000,2022-10-17
2022-10-24,38.34846115112305,39.20000076293945,40.400001525878906,38.79999923706055,40.0,2571120,2022-10-24
2022-10-31,39.669132232666016,40.54999923706055,40.75,38.724998474121094,39.400001525878906,4022962,2022-10-31
2022-11-07,40.72077941894531,41.625,42.125,40.54999923706055,40.79999923706055,4625048,2022-11-07
2022-11-14,44.24258041381836,45.224998474121094,46.5,41.275001525878906,41.525001525878906,14077112,2022-11-14
2022-11-21,45.049659729003906,46.04999923706055,47.099998474121094,43.5,45.45000076293945,9561628,2022-11-21
