Date,Adj Close_SHALPAINTS.NS,Close_SHALPAINTS.NS,High_SHALPAINTS.NS,Low_SHALPAINTS.NS,Open_SHALPAINTS.NS,Volume_SHALPAINTS.NS,Date
2024-04-29,173.3000030517578,173.3000030517578,177.0,169.35000610351562,169.35000610351562,911676,2024-04-29
2024-05-06,159.85000610351562,159.85000610351562,175.64999389648438,158.0,172.1999969482422,896106,2024-05-06
2024-05-13,162.1999969482422,162.1999969482422,165.1999969482422,154.4499969482422,160.64999389648438,696963,2024-05-13
2024-05-20,154.39999389648438,154.39999389648438,161.4499969482422,154.0500030517578,159.64999389648438,555477,2024-05-20
2024-05-27,147.0,147.0,156.1999969482422,144.1999969482422,155.9499969482422,434287,2024-05-27
2024-06-03,150.39999389648438,150.39999389648438,155.0,134.1999969482422,155.0,750695,2024-06-03
2024-06-10,149.6699981689453,149.6699981689453,159.0,147.22000122070312,153.0,887666,2024-06-10
2024-06-17,144.3699951171875,144.3699951171875,152.0,143.00999450683594,149.6699981689453,858354,2024-06-17
2024-06-24,138.00999450683594,138.00999450683594,146.58999633789062,137.0500030517578,144.0,767427,2024-06-24
2024-07-01,152.97999572753906,152.97999572753906,162.8000030517578,137.0,137.5,2535837,2024-07-01
2024-07-08,147.3000030517578,147.3000030517578,156.0,143.4199981689453,154.39999389648438,1206355,2024-07-08
2024-07-15,143.7100067138672,143.7100067138672,150.5800018310547,143.0500030517578,148.0,434924,2024-07-15
2024-07-22,143.7899932861328,143.7899932861328,146.0,139.89999389648438,144.0,424811,2024-07-22
2024-07-29,150.17999267578125,150.17999267578125,155.0,143.50999450683594,143.7899932861328,1090857,2024-07-29
2024-08-05,140.2100067138672,140.2100067138672,152.0,139.2100067138672,144.50999450683594,838344,2024-08-05
2024-08-12,134.00999450683594,134.00999450683594,141.8000030517578,132.10000610351562,139.22000122070312,617793,2024-08-12
2024-08-19,137.9499969482422,137.9499969482422,144.0,134.0,135.39999389648438,1145181,2024-08-19
2024-08-26,137.08999633789062,137.08999633789062,143.0,133.24000549316406,139.0,700152,2024-08-26
2024-09-02,136.72999572753906,136.72999572753906,145.5,133.00999450683594,137.4499969482422,1353629,2024-09-02
2024-09-09,144.85000610351562,144.85000610351562,148.64999389648438,134.5500030517578,136.99000549316406,1607705,2024-09-09
2024-09-16,141.27999877929688,141.27999877929688,154.0,138.6999969482422,145.0,1361752,2024-09-16
2024-09-23,138.77999877929688,138.77999877929688,148.05999755859375,135.14999389648438,141.27999877929688,1021166,2024-09-23
2024-09-30,133.77999877929688,133.77999877929688,139.99000549316406,133.10000610351562,137.60000610351562,517632,2024-09-30
2024-10-07,130.32000732421875,130.32000732421875,136.0500030517578,126.98999786376953,135.5500030517578,501696,2024-10-07
2024-10-14,128.0800018310547,128.0800018310547,133.0,126.80999755859375,131.0,322174,2024-10-14
2024-10-21,112.22000122070312,112.22000122070312,129.0,111.30000305175781,128.8800048828125,558369,2024-10-21
2024-10-28,116.66999816894531,116.66999816894531,117.0,100.98999786376953,113.88999938964844,1440253,2024-10-28
2024-11-04,114.93000030517578,114.93000030517578,123.0,111.38999938964844,118.25,459646,2024-11-04
2024-11-11,104.69999694824219,104.69999694824219,116.0,100.0999984741211,116.0,452079,2024-11-11
2024-11-18,100.41999816894531,100.41999816894531,105.55999755859375,97.0,104.0,519667,2024-11-18
2024-11-25,107.16000366210938,107.16000366210938,113.5,101.01000213623047,101.6500015258789,446860,2024-11-25
2024-12-02,114.1500015258789,114.1500015258789,119.69999694824219,103.0,105.0,1546519,2024-12-02
2024-12-09,116.68000030517578,116.68000030517578,124.01000213623047,113.26000213623047,113.26000213623047,614987,2024-12-09
2024-12-16,124.83000183105469,124.83000183105469,133.77999877929688,114.87000274658203,117.98999786376953,1792697,2024-12-16
2024-12-23,128.44000244140625,128.44000244140625,137.0,126.0,126.69999694824219,712088,2024-12-23
2024-12-30,128.88999938964844,128.88999938964844,132.72999572753906,122.43000030517578,128.4499969482422,265286,2024-12-30
2025-01-06,130.24000549316406,130.24000549316406,132.0,121.04000091552734,130.39999389648438,623449,2025-01-06
2025-01-13,132.50999450683594,132.50999450683594,140.5,125.5,130.24000549316406,1485887,2025-01-13
2025-01-20,131.97999572753906,131.97999572753906,135.1199951171875,124.44000244140625,132.77999877929688,676470,2025-01-20
2025-01-27,136.02000427246094,136.02000427246094,144.0,122.25,133.39999389648438,884183,2025-01-27
2025-02-03,135.6199951171875,135.6199951171875,141.1300048828125,131.25,131.25,398220,2025-02-03
2025-02-10,119.2300033569336,119.2300033569336,138.5,111.08999633789062,135.6199951171875,1158710,2025-02-10
2025-02-17,108.0199966430664,108.0199966430664,124.9000015258789,107.41000366210938,117.5,1057443,2025-02-17
2025-02-24,107.83000183105469,107.83000183105469,115.80000305175781,100.48999786376953,109.3499984741211,761536,2025-02-24
2025-03-03,110.9800033569336,110.9800033569336,112.58000183105469,102.5199966430664,110.05000305175781,687648,2025-03-03
2025-03-10,105.81999969482422,105.81999969482422,112.4000015258789,102.4000015258789,111.0999984741211,902730,2025-03-10
2025-03-17,107.33999633789062,107.33999633789062,112.08000183105469,103.0,107.0,776598,2025-03-17
2025-03-24,98.70999908447266,98.70999908447266,110.80999755859375,98.36000061035156,108.4000015258789,1442009,2025-03-24
2025-03-31,101.94000244140625,101.94000244140625,106.01000213623047,98.70999908447266,98.70999908447266,467386,2025-03-31
2025-04-07,107.33000183105469,107.33000183105469,111.6500015258789,92.0999984741211,98.0,966231,2025-04-07
2025-04-14,112.19999694824219,112.19999694824219,116.0,106.80000305175781,107.0199966430664,522652,2025-04-14
2025-04-21,109.56999969482422,109.56999969482422,119.19999694824219,108.19000244140625,113.31999969482422,533826,2025-04-21
2025-04-28,103.47000122070312,103.47000122070312,110.79000091552734,103.30000305175781,109.30000305175781,145124,2025-04-28
2025-05-05,96.69000244140625,96.69000244140625,105.80999755859375,95.5,102.88999938964844,320158,2025-05-05
2025-05-12,102.02999877929688,102.02999877929688,106.0,100.0999984741211,103.0,691959,2025-05-12
2025-05-19,102.77999877929688,102.77999877929688,106.0999984741211,99.4000015258789,102.02999877929688,1093197,2025-05-19
2025-05-26,99.93000030517578,99.93000030517578,104.94000244140625,99.5,103.31999969482422,704534,2025-05-26
2025-06-02,98.97000122070312,98.97000122070312,101.41000366210938,96.5999984741211,100.44999694824219,699184,2025-06-02
2025-06-09,100.11000061035156,100.11000061035156,107.76000213623047,98.81999969482422,99.98999786376953,1957776,2025-06-09
2025-06-16,95.33000183105469,95.33000183105469,101.73999786376953,95.0,100.05000305175781,1190770,2025-06-16
2025-06-23,96.01000213623047,96.01000213623047,99.18000030517578,94.37000274658203,95.30000305175781,744640,2025-06-23
2025-06-30,95.93000030517578,95.93000030517578,98.69999694824219,95.61000061035156,96.36000061035156,587198,2025-06-30
2025-07-07,96.68000030517578,96.68000030517578,99.48999786376953,95.1500015258789,96.0999984741211,363103,2025-07-07
2025-07-14,97.37000274658203,97.37000274658203,98.29000091552734,95.70999908447266,96.5999984741211,97409,2025-07-14
