Date,Adj Close_PARAGMILK.NS,Close_PARAGMILK.NS,High_PARAGMILK.NS,Low_PARAGMILK.NS,Open_PARAGMILK.NS,Volume_PARAGMILK.NS,Date
2021-05-24,137.0221710205078,137.89999389648438,147.75,137.10000610351562,141.0,2197992,2021-05-24
2021-05-31,138.3635711669922,139.25,144.0,134.0,138.0500030517578,2574074,2021-05-31
2021-06-07,145.8158416748047,146.75,148.0,135.64999389648438,140.35000610351562,4705407,2021-06-07
2021-06-14,139.85403442382812,140.75,150.5,133.0500030517578,138.89999389648438,7808784,2021-06-14
2021-06-21,134.9852294921875,135.85000610351562,141.14999389648438,134.5,139.3000030517578,1730726,2021-06-21
2021-06-28,137.0718536376953,137.9499969482422,144.0,135.0500030517578,137.39999389648438,3827930,2021-06-28
2021-07-05,134.14064025878906,135.0,139.39999389648438,133.10000610351562,138.85000610351562,2054209,2021-07-05
2021-07-12,142.38780212402344,143.3000030517578,147.4499969482422,135.35000610351562,136.10000610351562,4454973,2021-07-12
2021-07-19,137.81707763671875,138.6999969482422,144.5,136.1999969482422,141.8000030517578,3185518,2021-07-19
2021-07-26,137.6680450439453,138.5500030517578,148.60000610351562,130.5,138.0,6228951,2021-07-26
2021-08-02,134.041259765625,134.89999389648438,142.0,133.5500030517578,141.9499969482422,2851218,2021-08-02
2021-08-09,126.88710021972656,127.69999694824219,136.39999389648438,118.0,135.89999389648438,2524531,2021-08-09
2021-08-16,114.4169921875,115.1500015258789,127.94999694824219,114.5,126.55000305175781,938118,2021-08-16
2021-08-23,117.84503173828125,118.5999984741211,125.6500015258789,112.05000305175781,115.3499984741211,2015763,2021-08-23
2021-08-30,134.5380859375,135.39999389648438,140.0,117.94999694824219,119.0999984741211,6690654,2021-08-30
2021-09-06,130.6132354736328,131.4499969482422,137.10000610351562,127.69999694824219,136.3000030517578,1271715,2021-09-06
2021-09-13,128.91204833984375,129.25,136.6999969482422,123.25,132.0,2679663,2021-09-13
2021-09-20,123.67578125,124.0,133.85000610351562,123.5,128.60000610351562,2140241,2021-09-20
2021-09-27,125.72042083740234,126.05000305175781,131.0,120.75,124.94999694824219,2877377,2021-09-27
2021-10-04,133.45016479492188,133.8000030517578,136.75,126.0999984741211,126.69999694824219,3495444,2021-10-04
2021-10-11,141.0302734375,141.39999389648438,149.6999969482422,131.6999969482422,134.64999389648438,5439702,2021-10-11
2021-10-18,127.46585083007812,127.80000305175781,143.5,125.0,142.60000610351562,2865938,2021-10-18
2021-10-25,133.99871826171875,134.35000610351562,138.64999389648438,125.44999694824219,130.89999389648438,2041447,2021-10-25
2021-11-01,136.5919189453125,136.9499969482422,143.89999389648438,134.0,134.9499969482422,1657808,2021-11-01
2021-11-08,151.40309143066406,151.8000030517578,159.89999389648438,134.4499969482422,136.9499969482422,9128419,2021-11-08
2021-11-15,140.7809295654297,141.14999389648438,153.6999969482422,138.0,152.0,2794686,2021-11-15
2021-11-22,126.56819915771484,126.9000015258789,142.5500030517578,124.19999694824219,142.0,3399393,2021-11-22
2021-11-29,115.89617156982422,116.19999694824219,128.0,115.5,126.80000305175781,3115385,2021-11-29
2021-12-06,118.2898941040039,118.5999984741211,121.9000015258789,113.0999984741211,116.75,4308781,2021-12-06
2021-12-13,112.70454406738281,113.0,123.30000305175781,112.05000305175781,119.5999984741211,2566537,2021-12-13
2021-12-20,107.31865692138672,107.5999984741211,112.80000305175781,102.0999984741211,112.80000305175781,2565946,2021-12-20
2021-12-27,111.50768280029297,111.80000305175781,113.6500015258789,106.1500015258789,107.75,1234370,2021-12-27
2022-01-03,121.93035888671875,122.25,125.44999694824219,110.69999694824219,112.0,4889688,2022-01-03
2022-01-10,120.23480224609375,120.55000305175781,124.69999694824219,118.5999984741211,123.19999694824219,1681974,2022-01-10
2022-01-17,117.14290618896484,117.44999694824219,123.69999694824219,116.05000305175781,121.5,2058182,2022-01-17
2022-01-24,113.4027099609375,113.69999694824219,117.5,110.05000305175781,117.0,1061841,2022-01-24
2022-01-31,116.04578399658203,116.3499984741211,118.5,109.0999984741211,114.0,2562758,2022-01-31
2022-02-07,112.10610961914062,112.4000015258789,119.19999694824219,112.0,118.0,1267533,2022-02-07
2022-02-14,105.62310791015625,105.9000015258789,111.75,104.5,109.4000015258789,1451132,2022-02-14
2022-02-21,99.38945007324219,99.6500015258789,107.0,95.0999984741211,106.0,1857663,2022-02-21
2022-02-28,98.84088134765625,99.0999984741211,104.0,98.0,99.5,1434140,2022-02-28
2022-03-07,98.791015625,99.05000305175781,102.19999694824219,95.25,98.0,2032073,2022-03-07
2022-03-14,100.1873550415039,100.44999694824219,102.94999694824219,97.9000015258789,99.5999984741211,1762621,2022-03-14
2022-03-21,99.53905487060547,99.80000305175781,105.75,98.69999694824219,101.0,2725957,2022-03-21
2022-03-28,100.23722839355469,100.5,102.0,95.0,99.80000305175781,2859018,2022-03-28
2022-04-04,108.81473541259766,109.0999984741211,112.4000015258789,100.0999984741211,101.3499984741211,4130157,2022-04-04
2022-04-11,106.67035675048828,106.94999694824219,109.9000015258789,105.05000305175781,109.6500015258789,662218,2022-04-11
2022-04-18,106.47088623046875,106.75,110.80000305175781,102.0,106.55000305175781,1413991,2022-04-18
2022-04-25,100.68604278564453,100.94999694824219,108.0,100.5,105.5,1137060,2022-04-25
2022-05-02,97.89337158203125,98.1500015258789,101.5,95.30000305175781,100.5,792655,2022-05-02
2022-05-09,88.06912994384766,88.30000305175781,104.9000015258789,86.8499984741211,97.9000015258789,1161620,2022-05-09
2022-05-16,94.20304107666016,94.44999694824219,98.25,88.75,90.44999694824219,1685861,2022-05-16
2022-05-23,87.42082214355469,87.6500015258789,95.25,83.25,95.19999694824219,975579,2022-05-23
2022-05-30,88.71742248535156,88.94999694824219,92.0,87.05000305175781,88.80000305175781,677048,2022-05-30
2022-06-06,85.12683868408203,85.3499984741211,90.25,84.0999984741211,89.80000305175781,738807,2022-06-06
2022-06-13,76.34984588623047,76.55000305175781,84.5,75.55000305175781,84.30000305175781,954458,2022-06-13
2022-06-20,70.51513671875,70.69999694824219,76.0999984741211,69.05000305175781,75.0,1081222,2022-06-20
2022-06-27,68.12142181396484,68.30000305175781,80.80000305175781,65.5,72.0,3735506,2022-06-27
2022-07-04,73.20808410644531,73.4000015258789,77.44999694824219,66.5999984741211,67.80000305175781,2483176,2022-07-04
2022-07-11,88.61768341064453,88.8499984741211,91.80000305175781,72.25,72.25,10400596,2022-07-11
2022-07-18,89.8145523071289,90.05000305175781,97.44999694824219,88.0,90.4000015258789,5466230,2022-07-18
2022-07-25,91.061279296875,91.30000305175781,95.80000305175781,88.4000015258789,89.0999984741211,1324571,2022-07-25
2022-08-01,91.51010131835938,91.75,97.30000305175781,90.30000305175781,92.0999984741211,1944325,2022-08-01
2022-08-08,95.20042419433594,95.44999694824219,95.9000015258789,89.4000015258789,91.4000015258789,1765598,2022-08-08
2022-08-15,97.24507141113281,97.5,102.9000015258789,94.80000305175781,95.44999694824219,2627284,2022-08-15
2022-08-22,112.8541488647461,113.1500015258789,114.0,95.55000305175781,97.5,5008594,2022-08-22
2022-08-29,114.74918365478516,115.05000305175781,118.80000305175781,107.75,110.05000305175781,4019403,2022-08-29
2022-09-05,113.9512710571289,114.25,120.80000305175781,113.0,116.0,3926560,2022-09-05
2022-09-12,121.5812759399414,121.9000015258789,128.60000610351562,113.44999694824219,115.5999984741211,5962629,2022-09-12
2022-09-19,116.8935546875,117.19999694824219,128.3000030517578,115.5999984741211,122.69999694824219,3311272,2022-09-19
2022-09-26,111.20846557617188,111.5,116.05000305175781,107.0999984741211,116.05000305175781,2410034,2022-09-26
2022-10-03,114.30035400390625,114.5999984741211,116.05000305175781,107.55000305175781,111.5,1250487,2022-10-03
2022-10-10,111.90663146972656,112.19999694824219,114.75,108.4000015258789,113.0,1380932,2022-10-10
2022-10-17,106.32127380371094,106.5999984741211,114.3499984741211,106.0,114.19999694824219,1281220,2022-10-17
2022-10-24,106.47088623046875,106.75,114.0,105.3499984741211,107.80000305175781,702699,2022-10-24
2022-10-31,106.47088623046875,106.75,108.94999694824219,105.19999694824219,108.55000305175781,660214,2022-10-31
2022-11-07,107.71761322021484,108.0,113.69999694824219,106.25,107.75,1489744,2022-11-07
2022-11-14,100.38683319091797,100.6500015258789,110.0,98.80000305175781,108.9000015258789,1397968,2022-11-14
2022-11-21,103.4288558959961,103.69999694824219,105.30000305175781,101.4000015258789,104.0,971225,2022-11-21
2022-11-28,110.95911407470703,111.25,112.4000015258789,103.25,104.5,2288260,2022-11-28
2022-12-05,105.1244125366211,105.4000015258789,113.19999694824219,105.0,111.9000015258789,1665009,2022-12-05
2022-12-12,104.17689514160156,104.44999694824219,110.80000305175781,104.0999984741211,106.5999984741211,1210012,2022-12-12
2022-12-19,95.89859771728516,96.1500015258789,108.5,95.0,105.25,1404538,2022-12-19
2022-12-26,102.5810775756836,102.8499984741211,109.5999984741211,97.1500015258789,98.0,1591275,2022-12-26
2023-01-02,99.93800354003906,100.19999694824219,106.94999694824219,99.05000305175781,104.0,1113453,2023-01-02
2023-01-09,99.48918914794922,99.75,102.0,98.44999694824219,100.5999984741211,728665,2023-01-09
2023-01-16,99.93800354003906,100.19999694824219,103.0,97.5999984741211,100.5999984741211,685083,2023-01-16
2023-01-23,91.70957946777344,91.94999694824219,100.6500015258789,91.44999694824219,99.69999694824219,866910,2023-01-23
2023-01-30,84.42867279052734,84.6500015258789,94.80000305175781,83.80000305175781,94.80000305175781,1882365,2023-01-30
2023-02-06,86.27383422851562,86.5,91.25,84.8499984741211,84.9000015258789,1186392,2023-02-06
2023-02-13,80.93782043457031,81.1500015258789,88.19999694824219,80.6500015258789,86.05000305175781,1193127,2023-02-13
2023-02-20,78.89318084716797,79.0999984741211,81.75,76.44999694824219,81.5,1002082,2023-02-20
2023-02-27,80.18978118896484,80.4000015258789,81.94999694824219,77.5,79.80000305175781,772184,2023-02-27
2023-03-06,79.89056396484375,80.0999984741211,83.5999984741211,79.0999984741211,80.5,1602887,2023-03-06
2023-03-13,76.79866790771484,77.0,80.5999984741211,75.55000305175781,80.19999694824219,1075763,2023-03-13
2023-03-20,72.70938873291016,72.9000015258789,78.25,72.75,77.0,1007270,2023-03-20
2023-03-27,72.55978393554688,72.75,76.0,68.05000305175781,72.4000015258789,5593380,2023-03-27
2023-04-03,79.14252471923828,79.3499984741211,79.8499984741211,74.4000015258789,74.80000305175781,1113991,2023-04-03
2023-04-10,82.23441314697266,82.44999694824219,90.80000305175781,79.5999984741211,79.75,4971152,2023-04-10
2023-04-17,83.28167724609375,83.5,85.75,80.75,81.94999694824219,2411715,2023-04-17
2023-04-24,87.2712173461914,87.5,89.0999984741211,82.3499984741211,83.9000015258789,1794241,2023-04-24
2023-05-01,91.70957946777344,91.94999694824219,96.6500015258789,87.5,87.5,6579982,2023-05-01
2023-05-08,107.21892547607422,107.5,109.3499984741211,91.69999694824219,92.55000305175781,6405388,2023-05-08
2023-05-15,105.32389068603516,105.5999984741211,111.4000015258789,103.9000015258789,107.55000305175781,3900016,2023-05-15
2023-05-22,101.13487243652344,101.4000015258789,108.30000305175781,101.05000305175781,105.94999694824219,1722716,2023-05-22
2023-05-29,105.1244125366211,105.4000015258789,105.8499984741211,98.4000015258789,102.4000015258789,3439949,2023-05-29
2023-06-05,101.98265075683594,102.25,108.44999694824219,101.5999984741211,106.4000015258789,2627057,2023-06-05
2023-06-12,112.00637817382812,112.30000305175781,115.75,102.69999694824219,102.8499984741211,14346837,2023-06-12
2023-06-19,120.08519744873047,120.4000015258789,125.0,110.05000305175781,113.0,14879712,2023-06-19
2023-06-26,146.6156463623047,147.0,148.8000030517578,122.0,122.0,38670346,2023-06-26
2023-07-03,133.2008056640625,133.5500030517578,147.9499969482422,132.0,147.8000030517578,6458943,2023-07-03
2023-07-10,136.4921875,136.85000610351562,141.4499969482422,127.05000305175781,134.5500030517578,4200466,2023-07-10
2023-07-17,150.55531311035156,150.9499969482422,153.5,133.8000030517578,138.0,13263585,2023-07-17
2023-07-24,169.4557647705078,169.89999389648438,171.89999389648438,152.5,153.8000030517578,16156006,2023-07-24
2023-07-31,177.1855010986328,177.64999389648438,185.39999389648438,167.35000610351562,171.9499969482422,16072928,2023-07-31
2023-08-07,162.52394104003906,162.9499969482422,176.14999389648438,162.14999389648438,176.10000610351562,7788647,2023-08-07
