Date,Adj Close_EXCEL.NS,Close_EXCEL.NS,High_EXCEL.NS,Low_EXCEL.NS,Open_EXCEL.NS,Volume_EXCEL.NS,Date
2024-11-18,1.6100000143051147,1.6100000143051147,1.6100000143051147,1.3799999952316284,1.3799999952316284,17029252,2024-11-18
2024-11-25,1.7699999809265137,1.7699999809265137,1.850000023841858,1.690000057220459,1.690000057220459,21167171,2024-11-25
2024-12-02,1.5700000524520874,1.5700000524520874,1.7300000190734863,1.5700000524520874,1.7300000190734863,8222531,2024-12-02
2024-12-09,1.399999976158142,1.399999976158142,1.5299999713897705,1.399999976158142,1.5299999713897705,5261406,2024-12-09
2024-12-16,1.25,1.25,1.3700000047683716,1.25,1.3700000047683716,4309905,2024-12-16
2024-12-23,1.1299999952316284,1.1299999952316284,1.2200000286102295,1.1299999952316284,1.2200000286102295,3876988,2024-12-23
2024-12-30,1.100000023841858,1.100000023841858,1.1299999952316284,1.0700000524520874,1.100000023841858,41934750,2024-12-30
2025-01-06,0.8700000047683716,0.8700000047683716,1.149999976158142,0.8700000047683716,1.149999976158142,76038223,2025-01-06
2025-01-13,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.7699999809265137,0.8600000143051147,37686055,2025-01-13
2025-01-20,0.8700000047683716,0.8700000047683716,1.0199999809265137,0.8299999833106995,1.0099999904632568,40191880,2025-01-20
2025-01-27,0.9300000071525574,0.9300000071525574,0.949999988079071,0.7799999713897705,0.8700000047683716,26407089,2025-01-27
2025-02-03,0.8799999952316284,0.8799999952316284,0.949999988079071,0.8700000047683716,0.9399999976158142,14854032,2025-02-03
2025-02-10,0.8199999928474426,0.8199999928474426,0.8999999761581421,0.7900000214576721,0.8999999761581421,13361837,2025-02-10
2025-02-17,0.8700000047683716,0.8700000047683716,0.8999999761581421,0.7699999809265137,0.8199999928474426,13577878,2025-02-17
2025-02-24,0.7599999904632568,0.7599999904632568,0.8700000047683716,0.75,0.8700000047683716,12829009,2025-02-24
2025-03-03,0.8500000238418579,0.8500000238418579,0.8700000047683716,0.75,0.75,12982721,2025-03-03
2025-03-10,0.7900000214576721,0.7900000214576721,0.8799999952316284,0.7799999713897705,0.8700000047683716,7817723,2025-03-10
2025-03-17,0.8100000023841858,0.8100000023841858,0.8299999833106995,0.7900000214576721,0.800000011920929,9149648,2025-03-17
2025-03-24,0.7400000095367432,0.7400000095367432,0.8199999928474426,0.7200000286102295,0.8199999928474426,16919308,2025-03-24
2025-03-31,0.7400000095367432,0.7400000095367432,0.7799999713897705,0.7200000286102295,0.7400000095367432,6539752,2025-03-31
2025-04-07,0.7599999904632568,0.7599999904632568,0.7799999713897705,0.699999988079071,0.7200000286102295,20207755,2025-04-07
2025-04-14,0.7699999809265137,0.7699999809265137,0.800000011920929,0.7599999904632568,0.7599999904632568,12831437,2025-04-14
2025-04-21,0.7400000095367432,0.7400000095367432,0.7799999713897705,0.7400000095367432,0.7799999713897705,29390725,2025-04-21
2025-04-28,0.699999988079071,0.699999988079071,0.75,0.6800000071525574,0.7400000095367432,20350823,2025-04-28
2025-05-05,0.6600000262260437,0.6600000262260437,0.75,0.6499999761581421,0.699999988079071,33003235,2025-05-05
2025-05-12,0.7400000095367432,0.7400000095367432,0.7699999809265137,0.6600000262260437,0.6700000166893005,30745360,2025-05-12
2025-05-19,0.7200000286102295,0.7200000286102295,0.7799999713897705,0.7099999785423279,0.75,29602875,2025-05-19
2025-05-26,0.7200000286102295,0.7200000286102295,0.7400000095367432,0.7099999785423279,0.7200000286102295,25968182,2025-05-26
2025-06-02,0.7099999785423279,0.7099999785423279,0.7300000190734863,0.699999988079071,0.7200000286102295,17874851,2025-06-02
2025-06-09,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.6499999761581421,0.7099999785423279,47650668,2025-06-09
2025-06-16,0.8399999737739563,0.8399999737739563,0.9800000190734863,0.75,0.7900000214576721,103702656,2025-06-16
2025-06-23,0.8799999952316284,0.8799999952316284,0.8999999761581421,0.7900000214576721,0.800000011920929,35791786,2025-06-23
2025-06-30,0.8999999761581421,0.8999999761581421,0.9200000166893005,0.8500000238418579,0.8799999952316284,39990880,2025-06-30
2025-07-07,0.9599999785423279,0.9599999785423279,0.9700000286102295,0.8899999856948853,0.8999999761581421,40418559,2025-07-07
2025-07-14,1.0499999523162842,1.0499999523162842,1.0499999523162842,0.9800000190734863,0.9900000095367432,7060776,2025-07-14
