Date,Adj Close_LIKHITHA.NS,Close_LIKHITHA.NS,High_LIKHITHA.NS,Low_LIKHITHA.NS,Open_LIKHITHA.NS,Volume_LIKHITHA.NS,Date
2025-03-17,285.29998779296875,285.29998779296875,298.95001220703125,248.0,259.79998779296875,1586634,2025-03-17
2025-03-24,269.54998779296875,269.54998779296875,294.0,266.6000061035156,292.3500061035156,805474,2025-03-24
2025-03-31,267.0,267.0,284.0,261.8999938964844,269.54998779296875,332401,2025-03-31
2025-04-07,272.8999938964844,272.8999938964844,279.25,238.89999389648438,246.5500030517578,324301,2025-04-07
2025-04-14,283.29998779296875,283.29998779296875,285.25,274.0,275.6000061035156,228344,2025-04-14
2025-04-21,272.54998779296875,272.54998779296875,290.3500061035156,262.1000061035156,284.79998779296875,462080,2025-04-21
2025-04-28,257.75,257.75,275.79998779296875,253.5,271.0,233687,2025-04-28
2025-05-05,252.9499969482422,252.9499969482422,266.3999938964844,242.10000610351562,258.70001220703125,297753,2025-05-05
2025-05-12,278.25,278.25,281.3999938964844,257.3500061035156,257.3500061035156,358063,2025-05-12
2025-05-19,269.70001220703125,269.70001220703125,291.54998779296875,260.0,287.6499938964844,678094,2025-05-19
2025-05-26,286.8500061035156,286.8500061035156,295.79998779296875,265.0,268.3999938964844,1589882,2025-05-26
2025-06-02,306.54998779296875,306.54998779296875,321.0,283.04998779296875,286.0,1981102,2025-06-02
2025-06-09,301.20001220703125,301.20001220703125,324.0,295.0,306.0,742587,2025-06-09
2025-06-16,284.29998779296875,284.29998779296875,304.3999938964844,282.0,300.5,420150,2025-06-16
2025-06-23,289.1000061035156,289.1000061035156,298.70001220703125,276.79998779296875,280.1000061035156,390786,2025-06-23
2025-06-30,288.1000061035156,288.1000061035156,294.95001220703125,282.6000061035156,290.45001220703125,437812,2025-06-30
2025-07-07,284.70001220703125,284.70001220703125,294.95001220703125,280.0,287.3999938964844,349866,2025-07-07
2025-07-14,282.70001220703125,282.70001220703125,286.04998779296875,277.45001220703125,286.04998779296875,103144,2025-07-14
