Date,Adj Close_GUJAPOLLO.NS,Close_GUJAPOLLO.NS,High_GUJAPOLLO.NS,Low_GUJAPOLLO.NS,Open_GUJAPOLLO.NS,Volume_GUJAPOLLO.NS,Date
2022-11-14,194.76576232910156,197.60000610351562,207.0,191.5,203.75,22747,2022-11-14
2022-11-21,196.34280395507812,199.1999969482422,204.39999389648438,191.6999969482422,197.10000610351562,35893,2022-11-21
2022-11-28,193.38583374023438,196.1999969482422,199.9499969482422,194.25,196.0500030517578,17150,2022-11-28
2022-12-05,193.48440551757812,196.3000030517578,203.89999389648438,196.0,197.14999389648438,19468,2022-12-05
2022-12-12,196.73707580566406,199.60000610351562,202.0,193.1999969482422,196.10000610351562,13641,2022-12-12
2022-12-19,187.422607421875,190.14999389648438,203.6999969482422,188.8000030517578,197.0,44014,2022-12-19
2022-12-26,195.6035614013672,198.4499969482422,204.0,191.6999969482422,197.85000610351562,25085,2022-12-26
2023-01-02,192.64659118652344,195.4499969482422,201.6999969482422,194.89999389648438,201.6999969482422,9035,2023-01-02
2023-01-09,194.1250762939453,196.9499969482422,201.5500030517578,195.25,195.4499969482422,26528,2023-01-09
2023-01-16,192.64659118652344,195.4499969482422,200.0,194.0500030517578,198.6999969482422,3980,2023-01-16
2023-01-23,188.65467834472656,191.39999389648438,198.35000610351562,190.0500030517578,198.35000610351562,11706,2023-01-23
2023-01-30,184.3177947998047,187.0,196.89999389648438,185.10000610351562,194.25,18654,2023-01-30
2023-02-06,190.52743530273438,193.3000030517578,200.0,185.0,185.60000610351562,18472,2023-02-06
2023-02-13,188.40826416015625,191.14999389648438,199.89999389648438,188.0500030517578,199.89999389648438,8716,2023-02-13
2023-02-20,192.35089111328125,195.14999389648438,199.0,188.64999389648438,193.9499969482422,19383,2023-02-20
2023-02-27,204.42518615722656,207.39999389648438,218.64999389648438,192.3000030517578,198.0,89890,2023-02-27
2023-03-06,195.2585906982422,198.10000610351562,210.35000610351562,196.35000610351562,210.1999969482422,32741,2023-03-06
2023-03-13,208.26925659179688,211.3000030517578,224.5,187.0500030517578,201.0500030517578,347139,2023-03-13
2023-03-20,185.94412231445312,188.64999389648438,215.0,186.1999969482422,205.3000030517578,58948,2023-03-20
2023-03-27,189.98532104492188,192.75,197.64999389648438,178.0,186.75,26096,2023-03-27
2023-04-03,191.51309204101562,194.3000030517578,201.39999389648438,189.0500030517578,197.89999389648438,30794,2023-04-03
2023-04-10,195.80068969726562,198.64999389648438,203.0,191.64999389648438,192.39999389648438,15925,2023-04-10
2023-04-17,194.27293395996094,197.10000610351562,200.0500030517578,192.14999389648438,194.0500030517578,14611,2023-04-17
2023-04-24,193.878662109375,196.6999969482422,205.5,193.5,195.3000030517578,57282,2023-04-24
2023-05-01,191.36521911621094,194.14999389648438,199.89999389648438,192.8000030517578,196.6999969482422,11340,2023-05-01
2023-05-08,192.10447692871094,194.89999389648438,204.6999969482422,193.3000030517578,196.9499969482422,18467,2023-05-08
2023-05-15,192.2030487060547,195.0,198.89999389648438,190.5500030517578,195.89999389648438,27282,2023-05-15
2023-05-22,196.1456756591797,199.0,205.0,192.35000610351562,198.35000610351562,28343,2023-05-22
2023-05-29,193.04086303710938,195.85000610351562,208.39999389648438,194.1999969482422,208.39999389648438,24846,2023-05-29
2023-06-05,194.22364807128906,197.0500030517578,200.4499969482422,193.10000610351562,198.39999389648438,21839,2023-06-05
2023-06-12,189.19679260253906,191.9499969482422,202.1999969482422,188.75,199.25,38656,2023-06-12
2023-06-19,189.24607849121094,192.0,196.5,189.25,194.75,24182,2023-06-19
2023-06-26,187.8661651611328,190.60000610351562,194.4499969482422,188.60000610351562,188.60000610351562,13861,2023-06-26
2023-07-03,188.90109252929688,191.64999389648438,194.89999389648438,190.0,193.4499969482422,14934,2023-07-03
2023-07-10,223.30052185058594,226.5500030517578,241.89999389648438,188.64999389648438,194.5,409291,2023-07-10
2023-07-17,230.8407745361328,234.1999969482422,250.89999389648438,220.0500030517578,226.5500030517578,343167,2023-07-17
2023-07-24,235.47337341308594,238.89999389648438,269.95001220703125,235.3000030517578,236.5500030517578,484880,2023-07-24
2023-07-31,243.8021697998047,247.35000610351562,259.5,236.1999969482422,239.6999969482422,128711,2023-07-31
2023-08-07,239.02174377441406,242.5,257.70001220703125,235.6999969482422,251.9499969482422,82453,2023-08-07
2023-08-14,227.58810424804688,230.89999389648438,252.9499969482422,220.0500030517578,242.5,29209,2023-08-14
2023-08-21,223.6947784423828,226.9499969482422,236.9499969482422,219.14999389648438,232.10000610351562,18241,2023-08-21
2023-08-28,221.132080078125,224.35000610351562,229.0,219.0500030517578,226.0,14241,2023-08-28
2023-09-04,221.87132263183594,225.10000610351562,229.0,218.0,224.35000610351562,14160,2023-09-04
2023-09-11,219.90000915527344,223.10000610351562,227.0,215.0,224.0,24146,2023-09-11
2023-09-18,213.78892517089844,216.89999389648438,229.6999969482422,216.60000610351562,223.10000610351562,7494,2023-09-18
2023-09-25,212.1258544921875,213.25,220.3000030517578,212.10000610351562,217.0,12866,2023-09-25
2023-10-02,213.8666229248047,215.0,220.5500030517578,210.0,213.25,6634,2023-10-02
2023-10-09,214.5629425048828,215.6999969482422,222.10000610351562,206.0,214.9499969482422,26539,2023-10-09
2023-10-16,214.51319885253906,215.64999389648438,225.0,213.10000610351562,225.0,28814,2023-10-16
2023-10-23,216.7513427734375,217.89999389648438,221.0,206.0,215.64999389648438,14911,2023-10-23
2023-10-30,215.8063507080078,216.9499969482422,218.60000610351562,208.39999389648438,217.89999389648438,6528,2023-10-30
2023-11-06,214.86135864257812,216.0,225.60000610351562,212.4499969482422,216.9499969482422,31774,2023-11-06
2023-11-13,225.45521545410156,226.64999389648438,231.9499969482422,212.10000610351562,231.9499969482422,33899,2023-11-13
2023-11-20,227.49440002441406,228.6999969482422,235.0,221.0,232.4499969482422,52816,2023-11-20
2023-11-27,218.4423828125,219.60000610351562,232.0,217.25,228.6999969482422,106820,2023-11-27
2023-12-04,219.5365753173828,220.6999969482422,228.5,212.1999969482422,219.60000610351562,86514,2023-12-04
2023-12-11,217.9450225830078,219.10000610351562,226.9499969482422,216.75,220.64999389648438,26103,2023-12-11
2023-12-18,226.84783935546875,228.0500030517578,241.0500030517578,215.5,219.10000610351562,353072,2023-12-18
2023-12-25,258.9775695800781,260.3500061035156,269.6499938964844,226.0,228.0500030517578,877178,2023-12-25
2024-01-01,255.34681701660156,256.70001220703125,286.3500061035156,253.1999969482422,268.0,671332,2024-01-01
2024-01-08,296.82696533203125,298.3999938964844,302.0,246.10000610351562,264.0,681263,2024-01-08
2024-01-15,322.9883728027344,324.70001220703125,331.70001220703125,299.8999938964844,304.0,1757907,2024-01-15
2024-01-22,300.5572204589844,302.1499938964844,324.70001220703125,292.1499938964844,324.70001220703125,177352,2024-01-22
2024-01-29,290.26177978515625,291.79998779296875,330.0,286.3999938964844,308.20001220703125,199661,2024-01-29
2024-02-05,291.85333251953125,293.3999938964844,315.0,282.0,294.8999938964844,86875,2024-02-05
2024-02-12,289.7146911621094,291.25,298.0,271.1000061035156,292.0,56150,2024-02-12
2024-02-19,283.14947509765625,284.6499938964844,297.95001220703125,275.0,291.25,38716,2024-02-19
2024-02-26,269.72064208984375,271.1499938964844,293.5,264.25,293.5,53091,2024-02-26
2024-03-04,270.16827392578125,271.6000061035156,277.6000061035156,257.04998779296875,277.6000061035156,52970,2024-03-04
2024-03-11,239.9285125732422,241.1999969482422,282.70001220703125,236.0500030517578,282.70001220703125,65581,2024-03-11
2024-03-18,229.78228759765625,231.0,245.0,219.14999389648438,237.0,53815,2024-03-18
2024-03-25,215.4582061767578,216.60000610351562,232.0,211.35000610351562,231.0,89823,2024-03-25
2024-04-01,245.10110473632812,246.39999389648438,254.6999969482422,220.0,223.9499969482422,70639,2024-04-01
2024-04-08,267.93011474609375,269.3500061035156,278.5,243.10000610351562,251.35000610351562,68944,2024-04-08
2024-04-15,260.8178405761719,262.20001220703125,267.8999938964844,245.0,259.0,54279,2024-04-15
2024-04-22,278.8223876953125,280.29998779296875,292.5,260.0,273.8999938964844,95979,2024-04-22
2024-04-29,265.44329833984375,266.8500061035156,284.95001220703125,265.54998779296875,278.8999938964844,53083,2024-04-29
2024-05-06,265.74169921875,267.1499938964844,281.54998779296875,260.0,272.5,43741,2024-05-06
2024-05-13,263.802001953125,265.20001220703125,279.0,256.70001220703125,279.0,28967,2024-05-13
2024-05-20,253.70550537109375,255.0500030517578,267.70001220703125,252.60000610351562,263.5,35242,2024-05-20
2024-05-27,233.76119995117188,235.0,264.8999938964844,235.0,264.8999938964844,74464,2024-05-27
2024-06-03,233.76119995117188,235.0,246.9499969482422,218.0,238.75,56606,2024-06-03
2024-06-10,245.32989501953125,246.6300048828125,259.29998779296875,229.2100067138672,235.05999755859375,53252,2024-06-10
2024-06-17,251.97467041015625,253.30999755859375,271.2900085449219,246.5500030517578,246.6300048828125,129010,2024-06-17
2024-06-24,239.31178283691406,240.5800018310547,254.0,239.7899932861328,251.0,53787,2024-06-24
2024-07-01,244.17601013183594,245.47000122070312,254.89999389648438,236.66000366210938,244.82000732421875,83944,2024-07-01
2024-07-08,254.65049743652344,256.0,265.0,241.60000610351562,241.60000610351562,132843,2024-07-08
2024-07-15,261.275390625,262.6600036621094,280.0,256.010009765625,266.95001220703125,131907,2024-07-15
2024-07-22,273.0032653808594,274.45001220703125,289.0,255.61000061035156,263.510009765625,72642,2024-07-22
2024-07-29,261.8622741699219,263.25,282.79998779296875,262.3500061035156,275.04998779296875,47940,2024-07-29
2024-08-05,277.4795227050781,278.95001220703125,299.8999938964844,253.25,259.8999938964844,262216,2024-08-05
2024-08-12,274.9429626464844,276.3999938964844,284.5,256.75,276.25,130146,2024-08-12
2024-08-19,372.52581787109375,374.5,393.0,267.0,280.5,3414624,2024-08-19
2024-08-26,387.4467468261719,389.5,414.70001220703125,376.0,376.0,851830,2024-08-26
2024-09-02,369.0442810058594,371.0,408.0,363.8500061035156,391.04998779296875,164726,2024-09-02
2024-09-09,383.66680908203125,385.70001220703125,395.20001220703125,361.0,371.0,62761,2024-09-09
2024-09-16,377.3999938964844,379.3999938964844,399.0,354.0,399.0,109511,2024-09-16
2024-09-23,367.2537841796875,369.20001220703125,396.25,358.25,394.0,75843,2024-09-23
2024-09-30,341.75,341.75,377.3500061035156,341.75,369.20001220703125,58604,2024-09-30
2024-10-07,338.1000061035156,338.1000061035156,347.20001220703125,310.25,341.75,39265,2024-10-07
2024-10-14,316.5,316.5,349.8999938964844,315.0,330.04998779296875,33755,2024-10-14
2024-10-21,317.70001220703125,317.70001220703125,336.0,295.6499938964844,324.70001220703125,65102,2024-10-21
2024-10-28,316.79998779296875,316.79998779296875,329.8999938964844,300.0,329.0,33783,2024-10-28
2024-11-04,314.1499938964844,314.1499938964844,329.6000061035156,309.04998779296875,317.0,22934,2024-11-04
2024-11-11,285.5,285.5,322.1499938964844,282.0,310.0,17892,2024-11-11
2024-11-18,291.20001220703125,291.20001220703125,296.3999938964844,281.29998779296875,285.5,17189,2024-11-18
2024-11-25,317.70001220703125,317.70001220703125,321.0,291.70001220703125,300.0,22512,2024-11-25
