Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2022-12-26,24.437114715576172,24.450000762939453,24.53499984741211,22.0,22.200000762939453,288610,2022-12-26
2023-01-02,25.306655883789062,25.31999969482422,28.295000076293945,23.799999237060547,24.125,680430,2023-01-02
2023-01-09,26.226171493530273,26.239999771118164,26.889999389648438,24.30500030517578,26.0,321820,2023-01-09
2023-01-16,26.06125831604004,26.075000762939453,27.989999771118164,25.299999237060547,26.885000228881836,408940,2023-01-16
2023-01-23,24.57204246520996,24.584999084472656,26.69499969482422,24.309999465942383,26.145000457763672,137830,2023-01-23
2023-01-30,23.537588119506836,23.549999237060547,25.985000610351562,23.03499984741211,24.614999771118164,151880,2023-01-30
2023-02-06,23.692506790161133,23.704999923706055,24.684999465942383,22.5,22.5049991607666,79330,2023-02-06
2023-02-13,22.1483211517334,22.15999984741211,23.899999618530273,21.065000534057617,22.600000381469727,180200,2023-02-13
2023-02-20,21.203819274902344,21.21500015258789,22.790000915527344,20.399999618530273,21.145000457763672,160450,2023-02-20
2023-02-27,20.329280853271484,20.34000015258789,22.280000686645508,20.299999237060547,21.989999771118164,114000,2023-02-27
2023-03-06,21.663576126098633,21.674999237060547,22.485000610351562,20.34000015258789,20.604999542236328,182660,2023-03-06
2023-03-13,21.248796463012695,21.260000228881836,21.979999542236328,20.594999313354492,21.979999542236328,68570,2023-03-13
2023-03-20,20.039432525634766,20.049999237060547,21.5,19.514999389648438,21.165000915527344,168950,2023-03-20
2023-03-27,19.359792709350586,19.3700008392334,19.9950008392334,18.299999237060547,19.59000015258789,102740,2023-03-27
2023-04-03,21.503660202026367,21.514999389648438,21.799999237060547,19.299999237060547,19.3700008392334,38100,2023-04-03
2023-04-10,22.69303321838379,22.704999923706055,23.18000030517578,21.299999237060547,22.59000015258789,64840,2023-04-10
2023-04-17,23.772464752197266,23.78499984741211,24.094999313354492,21.709999084472656,23.0049991607666,101410,2023-04-17
2023-04-24,22.932907104492188,22.94499969482422,24.899999618530273,22.704999923706055,24.15999984741211,231080,2023-04-24
2023-05-01,22.493139266967773,22.5049991607666,24.075000762939453,22.5,22.94499969482422,129760,2023-05-01
2023-05-08,23.492610931396484,23.5049991607666,24.395000457763672,22.299999237060547,23.30500030517578,115560,2023-05-08
2023-05-15,22.777990341186523,22.790000915527344,24.0,22.30500030517578,23.8700008392334,41730,2023-05-15
2023-05-22,22.308237075805664,22.31999969482422,24.200000762939453,21.045000076293945,23.489999771118164,122310,2023-05-22
2023-05-29,23.307708740234375,23.31999969482422,23.834999084472656,21.209999084472656,23.415000915527344,103240,2023-05-29
2023-06-05,23.737483978271484,23.75,24.5,23.100000381469727,23.329999923706055,92290,2023-06-05
2023-06-12,23.367677688598633,23.3799991607666,24.610000610351562,23.1200008392334,23.200000762939453,57640,2023-06-12
2023-06-19,22.483144760131836,22.4950008392334,23.889999389648438,21.530000686645508,23.600000381469727,116000,2023-06-19
2023-06-26,22.023386001586914,22.03499984741211,23.375,21.610000610351562,22.139999389648438,101340,2023-06-26
2023-07-03,21.868467330932617,21.8799991607666,22.600000381469727,21.104999542236328,22.600000381469727,132490,2023-07-03
