Date,Adj Close_XCHANGING.NS,Close_XCHANGING.NS,High_XCHANGING.NS,Low_XCHANGING.NS,Open_XCHANGING.NS,Volume_XCHANGING.NS,Date
2023-01-02,52.15495681762695,66.80000305175781,71.19999694824219,66.0999984741211,67.0,639815,2023-01-02
2023-01-09,53.560325622558594,68.5999984741211,69.25,66.05000305175781,67.0999984741211,397026,2023-01-09
2023-01-16,52.11591720581055,66.75,70.0999984741211,66.3499984741211,68.5999984741211,461754,2023-01-16
2023-01-23,48.68056106567383,62.349998474121094,68.3499984741211,61.400001525878906,67.0999984741211,381296,2023-01-23
2023-01-30,48.016910552978516,61.5,65.30000305175781,60.0,62.900001525878906,516688,2023-01-30
2023-02-06,49.85170364379883,63.849998474121094,64.94999694824219,61.0,61.099998474121094,411384,2023-02-06
2023-02-13,47.07999801635742,60.29999923706055,63.599998474121094,58.650001525878906,61.849998474121094,471747,2023-02-13
2023-02-20,44.62059783935547,57.150001525878906,61.45000076293945,56.79999923706055,60.0,476711,2023-02-20
2023-02-27,45.59654998779297,58.400001525878906,61.349998474121094,54.79999923706055,57.95000076293945,760870,2023-02-27
2023-03-06,47.782684326171875,61.20000076293945,65.4000015258789,57.599998474121094,58.849998474121094,1158834,2023-03-06
2023-03-13,44.737709045410156,57.29999923706055,62.599998474121094,56.45000076293945,61.5,698818,2023-03-13
2023-03-20,44.15213394165039,56.54999923706055,59.75,55.29999923706055,57.099998474121094,1075880,2023-03-20
2023-03-27,41.536582946777344,53.20000076293945,57.04999923706055,51.650001525878906,56.70000076293945,797140,2023-03-27
2023-04-03,45.635589599609375,58.45000076293945,59.25,53.5,53.5,438520,2023-04-03
2023-04-10,45.245208740234375,57.95000076293945,59.70000076293945,57.5,58.599998474121094,322207,2023-04-10
2023-04-17,45.05001449584961,57.70000076293945,58.349998474121094,56.75,57.75,372947,2023-04-17
2023-04-24,47.31422805786133,60.599998474121094,62.45000076293945,56.79999923706055,57.95000076293945,893700,2023-04-24
2023-05-01,47.11903762817383,60.349998474121094,62.54999923706055,59.900001525878906,60.599998474121094,592644,2023-05-01
2023-05-08,47.47037887573242,60.79999923706055,61.70000076293945,58.900001525878906,61.0,461196,2023-05-08
2023-05-15,47.15807342529297,60.400001525878906,63.54999923706055,60.04999923706055,60.79999923706055,997346,2023-05-15
2023-05-22,48.83671569824219,62.54999923706055,65.4000015258789,60.099998474121094,60.70000076293945,1195891,2023-05-22
2023-05-29,52.07687759399414,66.69999694824219,68.4000015258789,60.29999923706055,63.25,1581841,2023-05-29
2023-06-05,50.94477462768555,65.25,70.69999694824219,65.0,67.5,1412983,2023-06-05
2023-06-12,55.39512252807617,70.94999694824219,73.19999694824219,65.5999984741211,65.80000305175781,1914861,2023-06-12
2023-06-19,59.29893112182617,75.94999694824219,81.69999694824219,68.25,71.25,6387240,2023-06-19
2023-06-26,68.70712280273438,88.0,88.9000015258789,76.25,76.69999694824219,5599595,2023-06-26
2023-07-03,71.98633575439453,92.19999694824219,93.25,87.05000305175781,89.0,5208956,2023-07-03
2023-07-10,88.0700454711914,112.80000305175781,121.69999694824219,83.6500015258789,92.75,34694901,2023-07-10
2023-07-17,94.47229766845703,121.0,123.0,114.05000305175781,114.69999694824219,5401171,2023-07-17
2023-07-24,79.91107177734375,102.3499984741211,125.5,100.55000305175781,122.0,6253135,2023-07-24
2023-07-31,87.81493377685547,98.19999694824219,109.9000015258789,92.8499984741211,101.1500015258789,7045591,2023-07-31
2023-08-07,84.90863037109375,94.94999694824219,100.0999984741211,94.0999984741211,99.0,1894594,2023-08-07
2023-08-14,80.48211669921875,90.0,95.44999694824219,89.80000305175781,95.44999694824219,1576464,2023-08-14
2023-08-21,84.46150970458984,94.44999694824219,95.0,87.0,90.5999984741211,2212875,2023-08-21
2023-08-28,81.3763656616211,91.0,95.19999694824219,90.3499984741211,95.0,1314741,2023-08-28
2023-09-04,84.55094146728516,94.55000305175781,96.9000015258789,91.69999694824219,91.75,1527484,2023-09-04
2023-09-11,84.41680145263672,94.4000015258789,100.5,90.0999984741211,95.25,2932465,2023-09-11
2023-09-18,82.04705047607422,91.75,95.0999984741211,90.0,94.5999984741211,846764,2023-09-18
2023-09-25,81.73406219482422,91.4000015258789,92.69999694824219,89.75,92.30000305175781,798264,2023-09-25
2023-10-02,82.98600769042969,92.80000305175781,94.55000305175781,89.0,91.4000015258789,898814,2023-10-02
2023-10-09,80.8398208618164,90.4000015258789,92.3499984741211,88.05000305175781,91.69999694824219,1051057,2023-10-09
2023-10-16,80.5268325805664,90.05000305175781,93.19999694824219,88.19999694824219,90.94999694824219,1180157,2023-10-16
2023-10-23,79.31959533691406,88.69999694824219,90.5,81.0,90.05000305175781,960547,2023-10-23
2023-10-30,83.88025665283203,93.80000305175781,95.94999694824219,87.0,89.6500015258789,3848747,2023-10-30
2023-11-06,87.45723724365234,97.80000305175781,103.4000015258789,96.5999984741211,97.5,5274276,2023-11-06
2023-11-13,86.47356414794922,96.69999694824219,99.9000015258789,95.75,97.5999984741211,942120,2023-11-13
2023-11-20,85.4451904296875,95.55000305175781,101.4000015258789,94.30000305175781,98.0999984741211,2181364,2023-11-20
2023-11-27,85.04277038574219,95.0999984741211,97.19999694824219,93.5,95.55000305175781,963287,2023-11-27
2023-12-04,92.15203094482422,103.05000305175781,107.8499984741211,93.25,97.0,7320825,2023-12-04
2023-12-11,100.24494934082031,112.0999984741211,116.44999694824219,102.0999984741211,104.5,10752899,2023-12-11
2023-12-18,101.18390655517578,113.1500015258789,118.4000015258789,101.0,112.0,8941454,2023-12-18
2023-12-25,96.35498046875,107.75,114.94999694824219,107.05000305175781,113.1500015258789,2599149,2023-12-25
2024-01-01,97.96463012695312,109.55000305175781,112.5999984741211,106.4000015258789,107.8499984741211,2494551,2024-01-01
2024-01-08,104.76089477539062,117.1500015258789,122.30000305175781,107.6500015258789,110.44999694824219,7754718,2024-01-08
2024-01-15,100.69207000732422,112.5999984741211,124.5,106.80000305175781,118.5,4868454,2024-01-15
2024-01-22,98.99300384521484,110.69999694824219,113.19999694824219,106.3499984741211,112.5999984741211,1475431,2024-01-22
2024-01-29,104.04549407958984,116.3499984741211,118.5,108.19999694824219,111.44999694824219,4285474,2024-01-29
2024-02-05,123.45063018798828,138.0500030517578,149.6999969482422,114.55000305175781,117.25,31481534,2024-02-05
2024-02-12,144.10769653320312,161.14999389648438,166.64999389648438,124.0,138.9499969482422,22145766,2024-02-12
2024-02-19,133.33204650878906,149.10000610351562,176.5,147.25,162.6999969482422,11426262,2024-02-19
2024-02-26,137.0392303466797,139.85000610351562,148.4499969482422,135.25,146.35000610351562,4583571,2024-02-26
2024-03-04,128.17111206054688,130.8000030517578,142.3000030517578,127.0999984741211,141.39999389648438,1779503,2024-03-04
2024-03-11,118.96004486083984,121.4000015258789,131.89999389648438,105.44999694824219,130.8000030517578,3982594,2024-03-11
2024-03-18,116.51029205322266,118.9000015258789,123.80000305175781,113.9000015258789,121.80000305175781,1836168,2024-03-18
2024-03-25,110.72886657714844,113.0,120.5,111.5,118.9000015258789,1231056,2024-03-25
2024-04-01,123.41858673095703,125.94999694824219,132.3000030517578,115.05000305175781,115.05000305175781,2110643,2024-04-01
2024-04-08,124.25151062011719,126.80000305175781,135.6999969482422,124.0,127.1500015258789,1902689,2024-04-08
2024-04-15,118.07813262939453,120.5,126.94999694824219,117.5999984741211,124.0,1145973,2024-04-15
2024-04-22,120.03793334960938,122.5,126.30000305175781,120.1500015258789,122.25,954737,2024-04-22
2024-04-29,117.63717651367188,120.05000305175781,124.0,119.5,123.94999694824219,694045,2024-04-29
2024-05-06,112.29670715332031,114.5999984741211,121.0,113.5,120.5999984741211,671503,2024-05-06
2024-05-13,120.870849609375,123.3499984741211,128.1999969482422,113.05000305175781,114.94999694824219,2762657,2024-05-13
2024-05-20,116.70626831054688,119.0999984741211,127.0,118.44999694824219,118.80000305175781,2887344,2024-05-20
2024-05-27,112.49269104003906,114.80000305175781,120.0999984741211,113.05000305175781,120.0,1596835,2024-05-27
2024-06-03,113.81555938720703,116.1500015258789,118.94999694824219,102.30000305175781,118.94999694824219,2541255,2024-06-03
2024-06-10,116.73566436767578,119.12999725341797,124.98999786376953,115.94999694824219,117.27999877929688,5202526,2024-06-10
2024-06-17,117.85275268554688,120.2699966430664,122.98999786376953,116.19999694824219,119.12999725341797,1992326,2024-06-17
2024-06-24,117.63717651367188,120.05000305175781,122.80000305175781,117.11000061035156,120.5,1775536,2024-06-24
2024-07-01,121.7233657836914,124.22000122070312,129.39999389648438,120.11000061035156,120.75,5102525,2024-07-01
2024-07-08,127.8281478881836,130.4499969482422,135.0,117.5999984741211,124.22000122070312,6447417,2024-07-08
2024-07-15,127.50477600097656,130.1199951171875,142.6999969482422,128.8000030517578,132.5,9150936,2024-07-15
2024-07-22,134.3542938232422,137.11000061035156,140.0,120.13999938964844,128.0,4769509,2024-07-22
2024-07-29,127.92613983154297,130.5500030517578,142.9499969482422,128.60000610351562,140.25,3489555,2024-07-29
2024-08-05,119.38140106201172,121.83000183105469,128.6999969482422,120.5,125.25,3378873,2024-08-05
2024-08-12,118.92084503173828,121.36000061035156,123.33000183105469,116.80999755859375,122.98999786376953,1347556,2024-08-12
2024-08-19,124.27111053466797,126.81999969482422,128.89999389648438,121.36000061035156,122.4800033569336,1929020,2024-08-19
2024-08-26,123.29120635986328,125.81999969482422,133.67999267578125,125.0,128.10000610351562,2436138,2024-08-26
2024-09-02,120.3416976928711,122.80999755859375,131.5,121.19999694824219,126.5999984741211,1767872,2024-09-02
2024-09-09,120.56707763671875,123.04000091552734,126.48999786376953,119.6500015258789,123.0,1232588,2024-09-09
2024-09-16,116.82386016845703,119.22000122070312,123.98999786376953,116.19999694824219,123.98999786376953,985551,2024-09-16
2024-09-23,116.3633041381836,118.75,123.70999908447266,118.20999908447266,119.98999786376953,1032524,2024-09-23
2024-09-30,113.55097961425781,115.87999725341797,120.0,115.41000366210938,118.75,572134,2024-09-30
2024-10-07,113.21781921386719,115.54000091552734,122.4000015258789,108.0,116.0,1266815,2024-10-07
2024-10-14,113.14922332763672,115.47000122070312,119.4000015258789,113.9000015258789,115.7300033569336,538358,2024-10-14
2024-10-21,104.23212432861328,106.37000274658203,118.80000305175781,105.48999786376953,115.5,1055341,2024-10-21
2024-10-28,106.80926513671875,109.0,113.87999725341797,104.20999908447266,107.9800033569336,1059273,2024-10-28
2024-11-04,107.86756134033203,110.08000183105469,113.7699966430664,106.5999984741211,109.1500015258789,849730,2024-11-04
2024-11-11,104.25171661376953,106.38999938964844,110.0999984741211,103.62000274658203,110.0999984741211,458106,2024-11-11
2024-11-18,103.72257232666016,105.8499984741211,108.0,103.1500015258789,106.0,488049,2024-11-18
2024-11-25,107.37760925292969,109.58000183105469,111.69999694824219,106.68000030517578,107.0,606275,2024-11-25
2024-12-02,111.24821472167969,113.52999877929688,114.48999786376953,108.75,109.8499984741211,610583,2024-12-02
2024-12-09,113.9625473022461,116.30000305175781,122.5,112.5,113.52999877929688,2093843,2024-12-09
2024-12-16,107.30901336669922,109.51000213623047,120.0,108.0,116.30000305175781,783570,2024-12-16
2024-12-23,109.9155502319336,112.16999816894531,114.37999725341797,107.30000305175781,110.94000244140625,444758,2024-12-23
2024-12-30,114.08992767333984,116.43000030517578,119.69999694824219,109.4000015258789,112.94000244140625,843590,2024-12-30
2025-01-06,108.1811294555664,110.4000015258789,117.0999984741211,108.0199966430664,116.5,796408,2025-01-06
2025-01-13,105.44719696044922,107.61000061035156,110.98999786376953,102.5999984741211,110.98999786376953,763896,2025-01-13
2025-01-20,103.0660400390625,105.18000030517578,110.12000274658203,104.30000305175781,108.19999694824219,423362,2025-01-20
2025-01-27,106.1527328491211,108.33000183105469,117.3499984741211,100.1500015258789,104.0,1521230,2025-01-27
2025-02-03,103.42860412597656,105.55000305175781,108.4800033569336,105.0,107.98999786376953,385949,2025-02-03
2025-02-10,96.34391784667969,98.31999969482422,106.5,95.05000305175781,105.75,813269,2025-02-10
2025-02-17,96.77507019042969,98.76000213623047,101.44000244140625,93.1500015258789,99.5,706352,2025-02-17
2025-02-24,89.03385162353516,90.86000061035156,98.98999786376953,89.98999786376953,98.98999786376953,482800,2025-02-24
2025-03-03,95.01124572753906,96.95999908447266,98.73999786376953,87.0,91.30000305175781,944680,2025-03-03
2025-03-10,87.42681121826172,89.22000122070312,98.38999938964844,88.97000122070312,97.58000183105469,577128,2025-03-10
2025-03-17,89.47480010986328,91.30999755859375,93.51000213623047,86.55000305175781,89.58999633789062,798310,2025-03-17
2025-03-24,84.22252655029297,85.94999694824219,93.5,85.51000213623047,91.30999755859375,1705902,2025-03-24
2025-03-31,84.17353820800781,85.9000015258789,90.0,84.97000122070312,85.94999694824219,706407,2025-03-31
2025-04-07,84.330322265625,86.05999755859375,87.58999633789062,79.44000244140625,80.3499984741211,625773,2025-04-07
2025-04-14,88.65168762207031,90.47000122070312,90.88999938964844,86.05999755859375,86.05999755859375,321658,2025-04-14
2025-04-21,87.10343933105469,88.88999938964844,94.79000091552734,88.41000366210938,91.0,675564,2025-04-21
2025-04-28,85.48660278320312,87.23999786376953,89.95999908447266,86.51000213623047,88.79000091552734,361535,2025-04-28
2025-05-05,81.9001693725586,83.58000183105469,89.04000091552734,81.68000030517578,87.5,465573,2025-05-05
2025-05-12,93.75697326660156,95.68000030517578,96.48999786376953,86.01000213623047,88.0,833880,2025-05-12
2025-05-19,94.8544692993164,96.80000305175781,102.87000274658203,95.62999725341797,96.4800033569336,1618925,2025-05-19
