Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2021-11-08,1314.84375,1350.6500244140625,1394.0,1310.0,1310.0,45595,2021-11-08
2021-11-15,1362.8367919921875,1399.949951171875,1469.5,1303.0,1303.0,106473,2021-11-15
2021-11-22,1301.8477783203125,1337.300048828125,1419.0,1322.550048828125,1390.0,27557,2021-11-22
2021-11-29,1310.70654296875,1346.4000244140625,1360.0,1281.550048828125,1338.0,25700,2021-11-29
2021-12-06,1302.3831787109375,1337.8499755859375,1360.0,1320.0,1360.0,20489,2021-12-06
2021-12-13,1289.9710693359375,1325.0999755859375,1385.0,1315.0,1344.550048828125,29771,2021-12-13
2021-12-20,1267.0941162109375,1301.5999755859375,1337.0999755859375,1272.050048828125,1310.0,16148,2021-12-20
2021-12-27,1272.058837890625,1306.699951171875,1321.949951171875,1275.6500244140625,1308.1500244140625,11307,2021-12-27
2022-01-03,1285.1036376953125,1320.0999755859375,1340.5,1274.0999755859375,1313.25,27279,2022-01-03
2022-01-10,1331.344482421875,1367.5999755859375,1450.0,1307.25,1344.0,58209,2022-01-10
2022-01-17,1281.6964111328125,1316.5999755859375,1420.449951171875,1302.050048828125,1374.449951171875,40968,2022-01-17
2022-01-24,1299.4140625,1334.800048828125,1341.0,1256.0,1300.0,17646,2022-01-24
2022-01-31,1323.118408203125,1359.1500244140625,1517.699951171875,1335.800048828125,1345.0,101544,2022-01-31
2022-02-07,1325.3575439453125,1361.449951171875,1414.4000244140625,1311.0999755859375,1359.1500244140625,56377,2022-02-07
2022-02-14,1257.8460693359375,1292.0999755859375,1355.0,1283.6500244140625,1351.0,27155,2022-02-14
2022-02-21,1170.4752197265625,1202.3499755859375,1297.0999755859375,1140.0,1281.050048828125,28197,2022-02-21
2022-02-28,1145.7000732421875,1176.9000244140625,1245.949951171875,1152.050048828125,1202.3499755859375,14508,2022-02-28
2022-03-07,1162.5899658203125,1194.25,1225.800048828125,1124.0,1165.0,17992,2022-03-07
2022-03-14,1235.0662841796875,1268.699951171875,1317.0,1189.9000244140625,1200.199951171875,21404,2022-03-14
2022-03-21,1189.020263671875,1221.4000244140625,1300.300048828125,1215.0,1270.0,17304,2022-03-21
2022-03-28,1196.905517578125,1229.5,1291.4000244140625,1194.1500244140625,1201.0,83926,2022-03-28
2022-04-04,1229.9068603515625,1263.4000244140625,1289.4000244140625,1230.0,1235.6500244140625,33382,2022-04-04
2022-04-11,1241.2481689453125,1275.050048828125,1290.25,1244.449951171875,1269.75,31035,2022-04-11
2022-04-18,1340.2032470703125,1376.699951171875,1394.0,1231.9000244140625,1275.050048828125,89382,2022-04-18
2022-04-25,1397.395751953125,1435.449951171875,1498.0,1316.050048828125,1370.0,147986,2022-04-25
2022-05-02,1344.1458740234375,1380.75,1445.0,1330.0999755859375,1445.0,36174,2022-05-02
2022-05-09,1321.658447265625,1357.6500244140625,1446.0,1322.3499755859375,1387.699951171875,85587,2022-05-09
2022-05-16,1648.21533203125,1693.0999755859375,1808.949951171875,1352.449951171875,1357.6500244140625,565892,2022-05-16
2022-05-23,1577.929443359375,1620.9000244140625,1771.0,1520.0,1730.0,129407,2022-05-23
2022-05-30,1461.1591796875,1500.949951171875,1584.0,1470.0,1512.550048828125,154335,2022-05-30
