Date,Adj Close_WIPL.NS,Close_WIPL.NS,High_WIPL.NS,Low_WIPL.NS,Open_WIPL.NS,Volume_WIPL.NS,Date
2022-11-07,116.67805480957031,118.25,128.0,116.8499984741211,119.0,38145,2022-11-07
2022-11-14,114.01396179199219,115.55000305175781,129.1999969482422,110.19999694824219,118.5,43714,2022-11-14
2022-11-21,99.26268768310547,100.5999984741211,116.0,100.55000305175781,110.0,36845,2022-11-21
2022-11-28,94.32915496826172,95.5999984741211,105.0,93.19999694824219,100.5999984741211,7282,2022-11-28
2022-12-05,91.81304931640625,93.05000305175781,101.0,93.0,95.0,9298,2022-12-05
2022-12-12,90.77700805664062,92.0,97.30000305175781,89.05000305175781,91.0,20289,2022-12-12
2022-12-19,82.39000701904297,83.5,96.0,83.3499984741211,90.0,6867,2022-12-19
2022-12-26,92.70108032226562,93.94999694824219,94.19999694824219,80.0,83.5,6923,2022-12-26
2023-01-02,93.73712921142578,95.0,97.5,86.5,93.94999694824219,11999,2023-01-02
2023-01-09,86.23816680908203,87.4000015258789,95.0,85.5,92.1500015258789,8682,2023-01-09
2023-01-16,82.39000701904297,83.5,90.0,83.0,87.4000015258789,15599,2023-01-16
2023-01-23,76.07508087158203,77.0999984741211,87.0,77.0,87.0,3657,2023-01-23
2023-01-30,77.50581359863281,78.55000305175781,79.0999984741211,73.30000305175781,79.0999984741211,3680,2023-01-30
2023-02-06,83.27804565429688,84.4000015258789,84.4000015258789,76.0,82.44999694824219,6103,2023-02-06
2023-02-13,89.9876480102539,91.19999694824219,92.94999694824219,80.0,84.0,6599,2023-02-13
2023-02-20,86.83018493652344,88.0,95.3499984741211,83.5,94.0,3729,2023-02-20
2023-02-27,84.85676574707031,86.0,88.0,83.0,88.0,2167,2023-02-27
2023-03-06,81.50196838378906,82.5999984741211,87.0,81.69999694824219,86.0,6342,2023-03-06
2023-03-13,78.19649505615234,79.25,82.1500015258789,75.75,80.5,5064,2023-03-13
2023-03-20,79.92323303222656,81.0,82.0,75.30000305175781,80.0,4785,2023-03-20
2023-03-27,84.51142883300781,85.6500015258789,85.69999694824219,78.05000305175781,81.0999984741211,6537,2023-03-27
2023-04-03,87.66888427734375,88.8499984741211,88.9000015258789,83.55000305175781,85.6500015258789,2685,2023-04-03
2023-04-10,86.83018493652344,88.0,91.44999694824219,87.0,88.05000305175781,6792,2023-04-10
2023-04-17,87.32353973388672,88.5,91.0,84.05000305175781,88.0,3424,2023-04-17
2023-04-24,86.8795166015625,88.05000305175781,91.0,85.4000015258789,91.0,5058,2023-04-24
2023-05-01,92.45440673828125,93.69999694824219,93.9000015258789,88.05000305175781,88.05000305175781,31158,2023-05-01
2023-05-08,96.00656127929688,97.30000305175781,99.9000015258789,88.3499984741211,93.69999694824219,20697,2023-05-08
2023-05-15,97.6839599609375,99.0,100.9000015258789,93.0,94.8499984741211,6803,2023-05-15
2023-05-22,99.3613510131836,100.69999694824219,101.4000015258789,95.05000305175781,96.5,19715,2023-05-22
2023-05-29,98.67066955566406,100.0,105.9000015258789,99.0,101.0,20934,2023-05-29
2023-06-05,98.72000122070312,100.05000305175781,103.5,94.0,100.0,36731,2023-06-05
2023-06-12,103.35751342773438,104.75,104.9000015258789,98.0999984741211,99.05000305175781,7988,2023-06-12
2023-06-19,103.11083984375,104.5,112.0,100.0,106.9000015258789,9292,2023-06-19
2023-06-26,103.75220489501953,105.1500015258789,106.0,101.05000305175781,102.44999694824219,5325,2023-06-26
2023-07-03,110.3631362915039,111.8499984741211,112.0,104.80000305175781,109.0,8567,2023-07-03
2023-07-10,119.09548950195312,120.69999694824219,123.80000305175781,111.19999694824219,113.0,25977,2023-07-10
2023-07-17,126.8904800415039,128.60000610351562,131.10000610351562,120.0,123.0,16358,2023-07-17
2023-07-24,134.4387664794922,136.25,148.5,129.5,129.5,41686,2023-07-24
2023-07-31,126.79180145263672,128.5,133.5500030517578,128.4499969482422,133.5500030517578,18280,2023-07-31
2023-08-07,124.32503509521484,126.0,128.64999389648438,124.0,128.5,7064,2023-08-07
2023-08-14,127.28515625,129.0,131.0,126.0,128.5,11683,2023-08-14
2023-08-21,131.72532653808594,133.5,133.5,129.0,130.0,1993,2023-08-21
2023-08-28,137.20156860351562,139.0500030517578,139.0500030517578,133.5,134.0,17823,2023-08-28
2023-09-04,138.13893127441406,140.0,141.0,138.0,138.0,17068,2023-09-04
2023-09-11,138.13893127441406,140.0,142.0,139.5,142.0,48383,2023-09-11
2023-09-18,134.24143981933594,136.0500030517578,140.0,132.5,140.0,12636,2023-09-18
2023-09-25,125.1959228515625,125.94999694824219,132.35000610351562,124.19999694824219,130.0500030517578,41026,2023-09-25
2023-10-02,109.34141540527344,110.0,125.94999694824219,110.0,125.94999694824219,40714,2023-10-02
2023-10-09,100.94200897216797,101.55000305175781,114.1500015258789,100.19999694824219,109.0,150498,2023-10-09
2023-10-16,128.6749725341797,129.4499969482422,129.4499969482422,101.5999984741211,104.6500015258789,23800,2023-10-16
2023-10-23,121.17017364501953,121.9000015258789,135.89999389648438,113.1500015258789,135.89999389648438,10144,2023-10-23
2023-10-30,127.83006286621094,128.60000610351562,128.8000030517578,117.0,124.94999694824219,31491,2023-10-30
2023-11-06,151.13966369628906,152.0500030517578,152.25,128.60000610351562,128.60000610351562,14577,2023-11-06
2023-11-13,152.08396911621094,153.0,157.8000030517578,146.0,150.0,13106,2023-11-13
2023-11-20,158.54505920410156,159.5,160.5,147.64999389648438,160.5,5642,2023-11-20
2023-11-27,161.03009033203125,162.0,171.75,156.10000610351562,159.5,71055,2023-11-27
2023-12-04,156.30853271484375,157.25,169.9499969482422,156.0500030517578,162.60000610351562,9472,2023-12-04
2023-12-11,160.03607177734375,161.0,165.0500030517578,149.35000610351562,157.25,16913,2023-12-11
2023-12-18,163.0181121826172,164.0,168.0,148.0,164.0,25093,2023-12-18
2023-12-25,160.03607177734375,161.0,166.0,155.0500030517578,164.0,7438,2023-12-25
2024-01-01,178.9223175048828,180.0,185.0,161.0,161.0,20121,2024-01-01
2024-01-08,183.79298400878906,184.89999389648438,185.0,177.5,180.0,6410,2024-01-08
2024-01-15,178.9223175048828,180.0,188.0,176.39999389648438,185.0,10220,2024-01-15
2024-01-22,178.9223175048828,180.0,194.89999389648438,174.0,180.0,3648,2024-01-22
2024-01-29,182.4013671875,183.5,189.5,172.10000610351562,176.10000610351562,3007,2024-01-29
2024-02-05,178.9223175048828,180.0,190.0,175.0,190.0,20556,2024-02-05
2024-02-12,180.8606414794922,181.9499969482422,190.0,171.0,171.0,7142,2024-02-12
2024-02-19,177.8289031982422,178.89999389648438,186.0,173.0,181.9499969482422,8466,2024-02-19
2024-02-26,183.44508361816406,184.5500030517578,190.0,177.0,178.89999389648438,17321,2024-02-26
2024-03-04,173.95225524902344,175.0,181.0,175.0,181.0,1110,2024-03-04
2024-03-11,152.53128051757812,153.4499969482422,180.0,153.4499969482422,175.0,30979,2024-03-11
2024-03-18,157.0540313720703,158.0,159.0,145.0,153.4499969482422,38519,2024-03-18
2024-03-25,152.08396911621094,153.0,165.89999389648438,151.89999389648438,158.0,26933,2024-03-25
2024-04-01,166.99417114257812,168.0,168.0,152.14999389648438,153.0,38107,2024-04-01
2024-04-08,160.23487854003906,161.1999969482422,168.0,160.0500030517578,168.0,7345,2024-04-08
2024-04-15,160.48338317871094,161.4499969482422,170.0,160.0,161.1999969482422,20959,2024-04-15
2024-04-22,149.49952697753906,150.39999389648438,161.4499969482422,150.0,161.4499969482422,10714,2024-04-22
2024-04-29,159.34027099609375,160.3000030517578,164.35000610351562,152.0,154.0500030517578,30891,2024-04-29
2024-05-06,155.76181030273438,156.6999969482422,175.14999389648438,154.0500030517578,163.5500030517578,16347,2024-05-06
