Date,Adj Close_LAOPALA.NS,Close_LAOPALA.NS,High_LAOPALA.NS,Low_LAOPALA.NS,Open_LAOPALA.NS,Volume_LAOPALA.NS,Date
2023-04-10,360.59735107421875,363.20001220703125,371.45001220703125,353.0,363.3999938964844,366700,2023-04-10
2023-04-17,356.1296081542969,358.70001220703125,375.1000061035156,353.25,362.5,650713,2023-04-17
2023-04-24,381.0000915527344,383.75,385.0,352.1499938964844,360.3999938964844,594519,2023-04-24
2023-05-01,377.078369140625,379.79998779296875,392.6499938964844,373.1499938964844,383.75,433714,2023-05-01
2023-05-08,377.822998046875,380.54998779296875,388.0,368.0,381.5,403558,2023-05-08
2023-05-15,384.12750244140625,386.8999938964844,398.20001220703125,376.5,378.1499938964844,1091157,2023-05-15
2023-05-22,383.8793029785156,386.6499938964844,396.25,370.8500061035156,382.1000061035156,583676,2023-05-22
2023-05-29,384.7728271484375,387.54998779296875,402.1499938964844,377.0,386.6499938964844,1050953,2023-05-29
2023-06-05,410.18939208984375,413.1499938964844,421.79998779296875,388.45001220703125,389.45001220703125,1657395,2023-06-05
2023-06-12,410.6858215332031,413.6499938964844,419.45001220703125,407.6000061035156,413.3999938964844,564526,2023-06-12
2023-06-19,422.4012756347656,425.45001220703125,454.0,405.1000061035156,415.04998779296875,2679467,2023-06-19
2023-06-26,429.15252685546875,432.25,448.1499938964844,421.29998779296875,425.45001220703125,744222,2023-06-26
2023-07-03,453.6258850097656,456.8999938964844,470.70001220703125,428.54998779296875,434.45001220703125,2178809,2023-07-03
2023-07-10,464.5967102050781,467.95001220703125,472.0,447.04998779296875,459.3999938964844,654408,2023-07-10
2023-07-17,458.8382568359375,462.1499938964844,470.29998779296875,447.3500061035156,469.8999938964844,449481,2023-07-17
2023-07-24,453.6258850097656,456.8999938964844,479.0,455.20001220703125,462.0,597166,2023-07-24
2023-07-31,443.1018371582031,446.29998779296875,479.75,433.75,457.0,511503,2023-07-31
2023-08-07,442.9032897949219,446.1000061035156,465.0,443.04998779296875,448.5,450491,2023-08-07
2023-08-14,439.2794494628906,442.45001220703125,448.3500061035156,416.70001220703125,446.25,548528,2023-08-14
2023-08-21,416.2456970214844,419.25,449.54998779296875,416.95001220703125,446.5,658650,2023-08-21
2023-08-28,429.1029052734375,432.20001220703125,442.45001220703125,415.0,421.29998779296875,649773,2023-08-28
2023-09-04,424.5854797363281,427.6499938964844,446.3500061035156,423.6000061035156,440.0,588295,2023-09-04
2023-09-11,420.9120178222656,423.95001220703125,432.5,407.3500061035156,428.0,527584,2023-09-11
2023-09-18,423.1459045410156,426.20001220703125,452.0,411.0,423.8999938964844,563127,2023-09-18
2023-09-25,430.20001220703125,430.20001220703125,441.6000061035156,422.20001220703125,426.04998779296875,523132,2023-09-25
2023-10-02,431.04998779296875,431.04998779296875,440.20001220703125,425.0,430.20001220703125,225534,2023-10-02
2023-10-09,436.8999938964844,436.8999938964844,442.5,420.0,431.04998779296875,438763,2023-10-09
2023-10-16,445.1000061035156,445.1000061035156,466.70001220703125,431.25,436.8999938964844,1158340,2023-10-16
2023-10-23,420.45001220703125,420.45001220703125,447.45001220703125,402.5,445.1000061035156,550578,2023-10-23
2023-10-30,428.04998779296875,428.04998779296875,434.0,415.0,420.04998779296875,246998,2023-10-30
2023-11-06,424.54998779296875,424.54998779296875,442.8999938964844,421.70001220703125,430.20001220703125,341099,2023-11-06
2023-11-13,387.54998779296875,387.54998779296875,461.6499938964844,385.0,440.0,1492262,2023-11-13
2023-11-20,380.95001220703125,380.95001220703125,393.3999938964844,379.1000061035156,389.6499938964844,849361,2023-11-20
2023-11-27,378.95001220703125,378.95001220703125,386.8999938964844,377.3500061035156,380.95001220703125,533742,2023-11-27
2023-12-04,356.25,356.25,385.3999938964844,354.3999938964844,381.5,1297776,2023-12-04
2023-12-11,366.0,366.0,374.8999938964844,352.20001220703125,356.1000061035156,1421003,2023-12-11
2023-12-18,391.1499938964844,391.1499938964844,405.95001220703125,366.0,368.0,2125726,2023-12-18
2023-12-25,371.6000061035156,371.6000061035156,392.3999938964844,370.5,391.1499938964844,489001,2023-12-25
2024-01-01,366.6000061035156,366.6000061035156,377.20001220703125,349.0,372.45001220703125,1926150,2024-01-01
2024-01-08,362.3500061035156,362.3500061035156,373.3999938964844,355.1000061035156,367.95001220703125,805312,2024-01-08
2024-01-15,358.70001220703125,358.70001220703125,365.79998779296875,350.0,364.0,653881,2024-01-15
2024-01-22,362.70001220703125,362.70001220703125,375.5,358.1000061035156,358.70001220703125,434614,2024-01-22
2024-01-29,364.1499938964844,364.1499938964844,370.0,360.0,365.0,547751,2024-01-29
2024-02-05,358.3999938964844,358.3999938964844,382.0,351.6000061035156,363.0,1811510,2024-02-05
2024-02-12,357.1000061035156,357.1000061035156,364.75,335.29998779296875,358.3999938964844,1203504,2024-02-12
2024-02-19,354.1000061035156,354.1000061035156,363.5,349.1000061035156,358.8999938964844,376803,2024-02-19
2024-02-26,336.70001220703125,336.70001220703125,357.5,334.6000061035156,354.1000061035156,539573,2024-02-26
2024-03-04,336.0,336.0,344.5,330.5,343.0,608254,2024-03-04
2024-03-11,311.6000061035156,311.6000061035156,337.3500061035156,300.04998779296875,335.75,1453909,2024-03-11
2024-03-18,313.8999938964844,313.8999938964844,317.04998779296875,296.0,313.20001220703125,1122046,2024-03-18
2024-03-25,297.8500061035156,297.8500061035156,315.95001220703125,297.0,313.8999938964844,1003948,2024-03-25
2024-04-01,329.8500061035156,329.8500061035156,337.3500061035156,301.0,301.0,1243976,2024-04-01
2024-04-08,325.0,325.0,347.70001220703125,323.75,332.1499938964844,1555000,2024-04-08
2024-04-15,321.5,321.5,328.3500061035156,314.6000061035156,320.0,378578,2024-04-15
2024-04-22,327.3500061035156,327.3500061035156,330.3500061035156,317.79998779296875,322.45001220703125,474247,2024-04-22
2024-04-29,327.70001220703125,327.70001220703125,330.25,324.3500061035156,328.25,309292,2024-04-29
2024-05-06,314.20001220703125,314.20001220703125,332.8999938964844,312.04998779296875,328.75,1476030,2024-05-06
2024-05-13,326.95001220703125,326.95001220703125,328.3999938964844,307.0,315.45001220703125,404441,2024-05-13
2024-05-20,320.95001220703125,320.95001220703125,328.0,317.54998779296875,326.95001220703125,338281,2024-05-20
2024-05-27,309.45001220703125,309.45001220703125,324.79998779296875,306.0,321.0,602501,2024-05-27
2024-06-03,311.54998779296875,311.54998779296875,327.0,290.3999938964844,321.8999938964844,694289,2024-06-03
2024-06-10,317.25,317.25,334.6499938964844,310.0,312.04998779296875,1599820,2024-06-10
2024-06-17,332.8999938964844,332.8999938964844,350.95001220703125,317.25,317.25,1615522,2024-06-17
2024-06-24,321.20001220703125,321.20001220703125,336.20001220703125,320.5,331.0,610836,2024-06-24
2024-07-01,341.3999938964844,341.3999938964844,351.0,322.04998779296875,323.8999938964844,1382047,2024-07-01
2024-07-08,332.3999938964844,332.3999938964844,352.95001220703125,327.29998779296875,348.25,954419,2024-07-08
2024-07-15,315.3999938964844,315.3999938964844,335.54998779296875,309.8999938964844,334.70001220703125,666190,2024-07-15
2024-07-22,318.04998779296875,318.04998779296875,319.20001220703125,304.0,315.5,1021250,2024-07-22
2024-07-29,317.6000061035156,317.6000061035156,326.70001220703125,310.6499938964844,321.79998779296875,792376,2024-07-29
2024-08-05,315.8500061035156,315.8500061035156,318.0,307.0,311.95001220703125,692118,2024-08-05
2024-08-12,310.6000061035156,310.6000061035156,315.79998779296875,298.95001220703125,315.79998779296875,489909,2024-08-12
2024-08-19,319.04998779296875,319.04998779296875,329.6000061035156,308.29998779296875,310.8999938964844,547514,2024-08-19
2024-08-26,331.70001220703125,331.70001220703125,334.45001220703125,314.1000061035156,321.70001220703125,891760,2024-08-26
2024-09-02,340.25,340.25,342.8999938964844,322.04998779296875,333.95001220703125,1177464,2024-09-02
2024-09-09,379.25,379.25,383.0,342.5,344.45001220703125,6781402,2024-09-09
2024-09-16,381.25,381.25,386.0,371.04998779296875,382.0,1531712,2024-09-16
2024-09-23,348.5,348.5,375.0,344.8500061035156,371.0,992826,2024-09-23
2024-09-30,344.3999938964844,344.3999938964844,357.8999938964844,336.04998779296875,351.95001220703125,439099,2024-09-30
2024-10-07,344.8999938964844,344.8999938964844,352.95001220703125,330.04998779296875,345.8999938964844,481455,2024-10-07
2024-10-14,352.25,352.25,378.0,341.04998779296875,345.0,1527064,2024-10-14
2024-10-21,327.25,327.25,371.54998779296875,322.0,352.8999938964844,1444267,2024-10-21
2024-10-28,342.54998779296875,342.54998779296875,348.1000061035156,323.54998779296875,326.04998779296875,364770,2024-10-28
2024-11-04,338.1499938964844,338.1499938964844,347.3999938964844,331.54998779296875,341.79998779296875,292040,2024-11-04
2024-11-11,328.8999938964844,328.8999938964844,340.45001220703125,322.0,335.04998779296875,374602,2024-11-11
2024-11-18,315.54998779296875,315.54998779296875,331.79998779296875,313.20001220703125,331.0,508963,2024-11-18
2024-11-25,324.8999938964844,324.8999938964844,326.70001220703125,313.5,318.5,381273,2024-11-25
2024-12-02,340.79998779296875,340.79998779296875,351.45001220703125,323.0,323.0,949463,2024-12-02
2024-12-09,347.79998779296875,347.79998779296875,369.79998779296875,335.8500061035156,341.79998779296875,1266137,2024-12-09
2024-12-16,318.45001220703125,318.45001220703125,357.20001220703125,316.8999938964844,347.79998779296875,432495,2024-12-16
2024-12-23,320.04998779296875,320.04998779296875,325.6499938964844,313.3999938964844,320.04998779296875,393573,2024-12-23
2024-12-30,323.95001220703125,323.95001220703125,328.0,314.0,316.1499938964844,208262,2024-12-30
2025-01-06,310.20001220703125,310.20001220703125,323.0,307.04998779296875,320.20001220703125,236986,2025-01-06
2025-01-13,306.45001220703125,306.45001220703125,311.95001220703125,294.54998779296875,303.1499938964844,235052,2025-01-13
2025-01-20,290.3999938964844,290.3999938964844,307.79998779296875,288.3999938964844,303.70001220703125,199278,2025-01-20
2025-01-27,270.1499938964844,270.1499938964844,287.3500061035156,259.0,284.0,588783,2025-01-27
2025-02-03,272.1000061035156,272.1000061035156,278.54998779296875,262.04998779296875,270.1000061035156,412930,2025-02-03
2025-02-10,235.64999389648438,235.64999389648438,272.45001220703125,233.60000610351562,272.45001220703125,455517,2025-02-10
2025-02-17,217.14999389648438,217.14999389648438,235.0,190.39999389648438,227.0,3565601,2025-02-17
2025-02-24,203.10000610351562,203.10000610351562,226.3000030517578,199.5500030517578,213.0,1731918,2025-02-24
2025-03-03,219.97000122070312,219.97000122070312,222.99000549316406,202.02999877929688,204.14999389648438,1351441,2025-03-03
2025-03-10,207.0800018310547,207.0800018310547,221.10000610351562,203.57000732421875,221.10000610351562,691469,2025-03-10
2025-03-17,221.72000122070312,221.72000122070312,226.69000244140625,205.0,208.14999389648438,648836,2025-03-17
2025-03-24,212.52999877929688,212.52999877929688,234.16000366210938,211.0500030517578,222.8699951171875,1000876,2025-03-24
2025-03-31,219.0,219.0,233.89999389648438,212.52999877929688,212.52999877929688,733751,2025-03-31
2025-04-07,215.30999755859375,215.30999755859375,219.69000244140625,187.3699951171875,187.3699951171875,537734,2025-04-07
2025-04-14,235.1300048828125,235.1300048828125,238.3300018310547,216.42999267578125,216.50999450683594,432573,2025-04-14
2025-04-21,232.4600067138672,232.4600067138672,249.1999969482422,228.39999389648438,240.0,580806,2025-04-21
2025-04-28,227.0,227.0,237.00999450683594,225.0,233.6300048828125,148729,2025-04-28
2025-05-05,232.0399932861328,232.0399932861328,248.0,223.8699951171875,227.0,779335,2025-05-05
2025-05-12,244.44000244140625,244.44000244140625,245.99000549316406,235.5,238.0,323634,2025-05-12
2025-05-19,245.32000732421875,245.32000732421875,252.25999450683594,241.4199981689453,245.4499969482422,422914,2025-05-19
2025-05-26,245.9499969482422,245.9499969482422,249.89999389648438,242.3000030517578,246.3000030517578,235120,2025-05-26
2025-06-02,247.14999389648438,247.14999389648438,251.77999877929688,240.2100067138672,241.0,531428,2025-06-02
2025-06-09,265.2099914550781,265.2099914550781,271.79998779296875,245.6699981689453,248.14999389648438,1107910,2025-06-09
2025-06-16,264.1199951171875,264.1199951171875,272.3999938964844,248.75,262.5,598602,2025-06-16
2025-06-23,257.1300048828125,257.1300048828125,263.05999755859375,249.8000030517578,260.0,383911,2025-06-23
2025-06-30,260.29998779296875,260.29998779296875,267.95001220703125,255.97999572753906,256.45001220703125,284267,2025-06-30
2025-07-07,264.29998779296875,264.29998779296875,266.8500061035156,251.9499969482422,258.0,385304,2025-07-07
2025-07-14,264.25,264.25,267.3500061035156,261.0,266.79998779296875,116279,2025-07-14
