Date,Adj Close_PAVNAIND.NS,Close_PAVNAIND.NS,High_PAVNAIND.NS,Low_PAVNAIND.NS,Open_PAVNAIND.NS,Volume_PAVNAIND.NS,Date
2022-04-11,151.13621520996094,152.02499389648438,161.5500030517578,152.02499389648438,161.5500030517578,12800,2022-04-11
2022-04-18,168.01197814941406,169.0,170.0,152.5,152.5,24000,2022-04-18
2022-04-25,154.0938262939453,155.0,161.5500030517578,155.0,161.5500030517578,4800,2022-04-25
2022-05-02,154.0938262939453,155.0,155.0,155.0,155.0,1600,2022-05-02
2022-05-09,161.54998779296875,162.5,168.0,155.0,155.0,8000,2022-05-09
2022-05-16,164.03536987304688,165.0,165.0,160.02499389648438,162.5,8000,2022-05-16
2022-05-23,159.06460571289062,160.0,165.0,160.0,165.0,3200,2022-05-23
2022-05-30,169.00613403320312,170.0,170.0,160.0,160.0,8000,2022-05-30
2022-06-06,170.2488250732422,171.25,172.5,161.5500030517578,170.0,4800,2022-06-06
2022-06-13,167.76344299316406,168.75,172.5,166.5,172.5,6400,2022-06-13
2022-06-20,167.76344299316406,168.75,168.75,168.75,168.75,0,2022-06-20
2022-06-27,166.520751953125,167.5,167.5,164.0,164.0,3200,2022-06-27
2022-07-04,163.0412139892578,164.0,167.5,164.0,167.5,4800,2022-07-04
2022-07-11,163.0412139892578,164.0,164.0,164.0,164.0,0,2022-07-11
2022-07-18,169.00613403320312,170.0,170.0,164.0,164.0,1600,2022-07-18
2022-07-25,173.97689819335938,175.0,178.5,170.0,170.0,4800,2022-07-25
2022-08-01,169.00613403320312,170.0,170.0,170.0,170.0,1600,2022-08-01
2022-08-08,198.83074951171875,200.0,200.0,175.0,175.0,33600,2022-08-08
2022-08-15,226.71676635742188,228.0500030517578,248.5,200.0,200.0,57600,2022-08-15
2022-08-22,211.25767517089844,212.5,228.0500030517578,210.0,228.0500030517578,8000,2022-08-22
2022-08-29,200.81906127929688,202.0,212.5,202.0,212.5,6400,2022-08-29
2022-09-05,203.801513671875,205.0,205.0,202.39999389648438,205.0,4800,2022-09-05
2022-09-12,201.21670532226562,202.39999389648438,205.0,202.39999389648438,205.0,1600,2022-09-12
2022-09-19,201.21670532226562,202.39999389648438,202.39999389648438,202.39999389648438,202.39999389648438,0,2022-09-19
2022-09-26,193.8599853515625,195.0,195.0,195.0,195.0,1600,2022-09-26
2022-10-03,172.98275756835938,174.0,195.0,174.0,195.0,4800,2022-10-03
2022-10-10,178.9476776123047,180.0,180.0,168.1999969482422,174.0,4800,2022-10-10
2022-10-17,178.9476776123047,180.0,180.0,180.0,180.0,0,2022-10-17
2022-10-24,170.0500030517578,171.0500030517578,180.0,171.0500030517578,180.0,3200,2022-10-24
2022-10-31,170.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,0,2022-10-31
2022-11-07,170.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,0,2022-11-07
2022-11-14,170.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,171.0500030517578,0,2022-11-14
2022-11-21,177.95352172851562,179.0,179.0,166.75,171.0500030517578,4800,2022-11-21
2022-11-28,179.0,179.0,179.0,179.0,179.0,0,2022-11-28
2022-12-05,175.0,175.0,175.0,175.0,175.0,1600,2022-12-05
2022-12-12,237.6999969482422,237.6999969482422,237.6999969482422,175.0,175.0,25600,2022-12-12
2022-12-19,229.1999969482422,229.1999969482422,260.0,229.1999969482422,233.0500030517578,22400,2022-12-19
2022-12-26,229.1999969482422,229.1999969482422,229.1999969482422,229.1999969482422,229.1999969482422,0,2022-12-26
2023-01-02,229.1999969482422,229.1999969482422,229.1999969482422,229.1999969482422,229.1999969482422,0,2023-01-02
2023-01-09,224.0,224.0,229.1999969482422,224.0,229.1999969482422,1600,2023-01-09
2023-01-16,224.0,224.0,224.0,224.0,224.0,0,2023-01-16
2023-01-23,224.0,224.0,224.0,224.0,224.0,0,2023-01-23
2023-01-30,224.0,224.0,224.0,224.0,224.0,0,2023-01-30
2023-02-06,224.0,224.0,224.0,224.0,224.0,0,2023-02-06
2023-02-13,224.0,224.0,224.0,224.0,224.0,0,2023-02-13
2023-02-20,224.0,224.0,224.0,224.0,224.0,0,2023-02-20
2023-02-27,239.75,239.75,239.75,236.4499969482422,236.4499969482422,8000,2023-02-27
2023-03-06,239.75,239.75,239.75,239.75,239.75,0,2023-03-06
2023-03-13,239.75,239.75,239.75,239.75,239.75,0,2023-03-13
2023-03-20,239.75,239.75,239.75,239.75,239.75,0,2023-03-20
2023-03-27,239.75,239.75,239.75,239.75,239.75,0,2023-03-27
2023-04-03,249.25,249.25,249.25,244.0,244.0,3200,2023-04-03
2023-04-10,249.25,249.25,249.25,249.25,249.25,0,2023-04-10
2023-04-17,268.0,268.0,268.0,249.25,249.25,3200,2023-04-17
2023-04-24,280.70001220703125,280.70001220703125,280.75,268.0,268.0,3200,2023-04-24
2023-05-01,292.54998779296875,292.54998779296875,299.0,280.70001220703125,280.70001220703125,8000,2023-05-01
2023-05-08,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,0,2023-05-08
2023-05-15,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,0,2023-05-15
2023-05-22,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,292.54998779296875,0,2023-05-22
2023-05-29,335.0,335.0,335.25,285.04998779296875,292.54998779296875,16594,2023-05-29
2023-06-05,343.79998779296875,343.79998779296875,378.0,336.0,351.75,13544,2023-06-05
2023-06-12,335.45001220703125,335.45001220703125,362.25,327.0,353.0,1741,2023-06-12
2023-06-19,323.04998779296875,323.04998779296875,348.79998779296875,306.0,335.29998779296875,2898,2023-06-19
2023-06-26,324.3999938964844,324.3999938964844,339.0,301.1499938964844,318.0,1564,2023-06-26
2023-07-03,312.8999938964844,312.8999938964844,338.0,308.5,331.0,2302,2023-07-03
2023-07-10,318.5,318.5,322.3999938964844,297.25,318.1000061035156,850,2023-07-10
2023-07-17,281.70001220703125,281.70001220703125,315.79998779296875,279.0,315.79998779296875,3708,2023-07-17
2023-07-24,290.8500061035156,290.8500061035156,309.0,269.6000061035156,294.3999938964844,928,2023-07-24
2023-07-31,299.0,299.0,308.8500061035156,282.6499938964844,296.95001220703125,782,2023-07-31
2023-08-07,309.29998779296875,309.29998779296875,319.0,283.0,305.0,2138,2023-08-07
2023-08-14,336.04998779296875,336.04998779296875,345.95001220703125,300.0,308.0,3085,2023-08-14
2023-08-21,370.5,370.5,370.5,325.0,336.04998779296875,5787,2023-08-21
2023-08-28,425.04998779296875,425.04998779296875,470.70001220703125,396.54998779296875,407.5,51466,2023-08-28
2023-09-04,461.5,461.5,470.70001220703125,420.0,438.95001220703125,15308,2023-09-04
2023-09-11,444.8500061035156,444.8500061035156,484.0,427.5,484.0,21222,2023-09-11
2023-09-18,426.1499938964844,426.1499938964844,464.8999938964844,412.3999938964844,438.1000061035156,14183,2023-09-18
2023-09-25,419.95001220703125,419.95001220703125,440.0,410.5,440.0,10758,2023-09-25
2023-10-02,451.6000061035156,451.6000061035156,451.75,399.0,419.95001220703125,22090,2023-10-02
2023-10-09,421.5,421.5,469.79998779296875,408.04998779296875,469.79998779296875,33384,2023-10-09
2023-10-16,390.8500061035156,390.8500061035156,436.8500061035156,385.0,427.0,26922,2023-10-16
2023-10-23,387.5,387.5,405.0,380.0,385.3999938964844,4259,2023-10-23
2023-10-30,392.75,392.75,409.95001220703125,371.0,389.8999938964844,6175,2023-10-30
2023-11-06,394.6499938964844,394.6499938964844,415.0,389.3999938964844,415.0,3662,2023-11-06
2023-11-13,397.8999938964844,397.8999938964844,407.79998779296875,376.04998779296875,401.8999938964844,2373,2023-11-13
2023-11-20,390.3999938964844,390.3999938964844,412.8999938964844,389.0,394.8500061035156,4088,2023-11-20
2023-11-27,390.0,390.0,407.75,382.0,390.3999938964844,9211,2023-11-27
2023-12-04,386.1499938964844,386.1499938964844,411.0,380.0,396.54998779296875,12026,2023-12-04
2023-12-11,400.95001220703125,400.95001220703125,404.0,388.29998779296875,392.0,7637,2023-12-11
2023-12-18,395.54998779296875,395.54998779296875,407.8999938964844,388.54998779296875,400.29998779296875,3563,2023-12-18
2023-12-25,410.25,410.25,427.0,392.0,395.54998779296875,10129,2023-12-25
2024-01-01,404.6000061035156,404.6000061035156,427.0,400.0,414.70001220703125,10474,2024-01-01
2024-01-08,556.5999755859375,556.5999755859375,640.8499755859375,406.3999938964844,406.6000061035156,178260,2024-01-08
2024-01-15,559.5499877929688,559.5499877929688,576.2000122070312,503.1000061035156,556.5999755859375,25758,2024-01-15
2024-01-22,529.4000244140625,529.4000244140625,599.5,511.3999938964844,559.5499877929688,5758,2024-01-22
2024-01-29,517.1500244140625,517.1500244140625,569.0,510.0,569.0,5400,2024-01-29
2024-02-05,513.0499877929688,513.0499877929688,534.9000244140625,503.0,534.9000244140625,3482,2024-02-05
2024-02-12,507.79998779296875,507.79998779296875,519.8499755859375,488.0,501.1000061035156,3006,2024-02-12
2024-02-19,508.6499938964844,508.6499938964844,532.4000244140625,480.0,483.0,1586,2024-02-19
2024-02-26,487.8999938964844,487.8999938964844,512.2999877929688,475.0,485.04998779296875,18282,2024-02-26
2024-03-04,574.8499755859375,574.8499755859375,578.7999877929688,475.0,480.0,223019,2024-03-04
2024-03-11,538.3499755859375,538.3499755859375,601.0,502.04998779296875,594.0,54293,2024-03-11
2024-03-18,504.20001220703125,504.20001220703125,558.25,503.6499938964844,512.2999877929688,24993,2024-03-18
2024-03-25,513.2999877929688,513.2999877929688,529.4000244140625,495.6000061035156,504.20001220703125,4104,2024-03-25
2024-04-01,530.4500122070312,530.4500122070312,549.0,513.0,520.0,58869,2024-04-01
2024-04-08,538.9000244140625,538.9000244140625,552.2999877929688,502.0,552.2999877929688,20283,2024-04-08
2024-04-15,536.25,536.25,560.0,512.0499877929688,535.0,57493,2024-04-15
2024-04-22,523.9500122070312,523.9500122070312,620.75,509.79998779296875,552.0,224861,2024-04-22
2024-04-29,526.4000244140625,526.4000244140625,549.0,517.6500244140625,537.0,31202,2024-04-29
2024-05-06,522.8499755859375,522.8499755859375,538.0,508.54998779296875,522.0,25753,2024-05-06
2024-05-13,532.0499877929688,532.0499877929688,549.75,499.95001220703125,519.9000244140625,66922,2024-05-13
2024-05-20,545.9000244140625,545.9000244140625,583.0499877929688,523.5999755859375,523.5999755859375,48510,2024-05-20
2024-05-27,544.7999877929688,544.7999877929688,568.0,531.25,553.9500122070312,55871,2024-05-27
2024-06-03,557.2000122070312,557.2000122070312,562.2000122070312,511.0,560.0,110719,2024-06-03
2024-06-10,537.25,537.25,589.9000244140625,532.0499877929688,589.0,75291,2024-06-10
2024-06-17,527.3499755859375,527.3499755859375,542.0999755859375,515.3499755859375,537.25,25046,2024-06-17
2024-06-24,537.9500122070312,537.9500122070312,572.0,520.7999877929688,533.9500122070312,149935,2024-06-24
2024-07-01,488.1499938964844,488.1499938964844,545.0,481.54998779296875,545.0,217279,2024-07-01
2024-07-08,485.04998779296875,485.04998779296875,502.0,455.5,490.0,85364,2024-07-08
2024-07-15,480.5,480.5,509.8999938964844,458.0,485.0,179147,2024-07-15
2024-07-22,477.95001220703125,477.95001220703125,509.0,467.0,479.8999938964844,53913,2024-07-22
2024-07-29,469.45001220703125,469.45001220703125,499.8999938964844,462.0,477.5,115014,2024-07-29
2024-08-05,444.25,444.25,464.8999938964844,431.54998779296875,455.0,53601,2024-08-05
2024-08-12,420.75,420.75,450.0,413.1000061035156,444.20001220703125,26844,2024-08-12
2024-08-19,426.29998779296875,426.29998779296875,437.5,412.70001220703125,418.0,20147,2024-08-19
2024-08-26,465.8500061035156,465.8500061035156,470.0,420.1000061035156,431.79998779296875,31797,2024-08-26
2024-09-02,458.70001220703125,458.70001220703125,476.95001220703125,445.04998779296875,465.8500061035156,36224,2024-09-02
2024-09-09,419.70001220703125,419.70001220703125,462.0,418.0,462.0,40558,2024-09-09
2024-09-16,428.3999938964844,428.3999938964844,440.3999938964844,407.95001220703125,426.0,38019,2024-09-16
2024-09-23,502.1000061035156,502.1000061035156,549.4500122070312,475.0,479.6499938964844,879281,2024-09-23
2024-09-30,492.8999938964844,492.8999938964844,525.0,486.0,516.0,230779,2024-09-30
2024-10-07,722.5,722.5,722.5,495.0,495.0,2851143,2024-10-07
2024-10-14,688.0499877929688,688.0499877929688,759.5,666.1500244140625,744.9500122070312,888872,2024-10-14
2024-10-21,595.2999877929688,595.2999877929688,700.0,581.5,671.0,64779,2024-10-21
2024-10-28,651.25,651.25,657.4000244140625,565.0,625.0,49873,2024-10-28
2024-11-04,609.0,609.0,654.3499755859375,603.2000122070312,639.9500122070312,47846,2024-11-04
2024-11-11,552.5,552.5,619.9500122070312,551.7999877929688,605.0,85368,2024-11-11
2024-11-18,562.0,562.0,591.2999877929688,530.5,577.9500122070312,96473,2024-11-18
2024-11-25,554.9500122070312,554.9500122070312,578.0,539.0,572.9000244140625,56039,2024-11-25
2024-12-02,548.7000122070312,548.7000122070312,592.4000244140625,540.0,565.6500244140625,14509,2024-12-02
2024-12-09,531.25,531.25,570.7000122070312,502.1000061035156,550.0,44695,2024-12-09
2024-12-16,519.3499755859375,519.3499755859375,540.0,510.0,524.9500122070312,57998,2024-12-16
2024-12-23,487.3500061035156,487.3500061035156,517.8499755859375,472.5,517.8499755859375,31531,2024-12-23
2024-12-30,480.0,480.0,495.75,472.6499938964844,493.8500061035156,10463,2024-12-30
2025-01-06,516.7000122070312,516.7000122070312,523.5,434.3500061035156,484.70001220703125,42187,2025-01-06
2025-01-13,505.0,505.0,538.9500122070312,495.0,527.3499755859375,25338,2025-01-13
2025-01-20,505.54998779296875,505.54998779296875,564.0,471.04998779296875,520.0,135083,2025-01-20
2025-01-27,477.54998779296875,477.54998779296875,498.04998779296875,447.6499938964844,498.0,27649,2025-01-27
2025-02-03,496.95001220703125,496.95001220703125,553.8499755859375,446.0,478.04998779296875,102546,2025-02-03
2025-02-10,420.6499938964844,420.6499938964844,509.0,365.1499938964844,509.0,43458,2025-02-10
2025-02-17,404.95001220703125,404.95001220703125,429.04998779296875,374.0,414.3500061035156,34106,2025-02-17
2025-02-24,355.45001220703125,355.45001220703125,410.8999938964844,330.0,405.1499938964844,62512,2025-02-24
2025-03-03,355.8500061035156,355.8500061035156,370.0,293.29998779296875,370.0,75852,2025-03-03
2025-03-10,341.20001220703125,341.20001220703125,376.95001220703125,331.04998779296875,360.0,61829,2025-03-10
2025-03-17,370.54998779296875,370.54998779296875,392.0,312.0,348.8500061035156,119254,2025-03-17
2025-03-24,359.75,359.75,398.0,333.70001220703125,397.29998779296875,169405,2025-03-24
2025-03-31,370.8999938964844,370.8999938964844,389.3999938964844,353.54998779296875,359.75,26764,2025-03-31
2025-04-07,360.20001220703125,360.20001220703125,368.95001220703125,331.8500061035156,331.8500061035156,22432,2025-04-07
2025-04-14,379.1000061035156,379.1000061035156,385.1000061035156,352.29998779296875,363.04998779296875,32354,2025-04-14
2025-04-21,322.75,322.75,388.0,315.25,361.1000061035156,85383,2025-04-21
2025-04-28,324.04998779296875,324.04998779296875,348.95001220703125,305.54998779296875,330.8999938964844,41398,2025-04-28
2025-05-05,363.8999938964844,363.8999938964844,383.0,303.54998779296875,345.0,192119,2025-05-05
2025-05-12,402.25,402.25,425.5,354.6000061035156,371.54998779296875,112780,2025-05-12
2025-05-19,399.54998779296875,399.54998779296875,411.8999938964844,389.95001220703125,402.25,75968,2025-05-19
2025-05-26,394.3500061035156,394.3500061035156,406.0,378.29998779296875,380.70001220703125,57705,2025-05-26
2025-06-02,380.04998779296875,380.04998779296875,405.0,377.0,394.0,27716,2025-06-02
2025-06-09,445.04998779296875,445.04998779296875,459.95001220703125,375.3500061035156,375.3500061035156,141244,2025-06-09
2025-06-16,422.95001220703125,422.95001220703125,447.5,411.5,440.0,36510,2025-06-16
2025-06-23,404.20001220703125,404.20001220703125,428.04998779296875,400.0,422.95001220703125,25336,2025-06-23
2025-06-30,428.29998779296875,428.29998779296875,469.6000061035156,410.79998779296875,424.79998779296875,215005,2025-06-30
2025-07-07,414.95001220703125,414.95001220703125,437.29998779296875,406.0,430.3999938964844,29673,2025-07-07
2025-07-14,431.8500061035156,431.8500061035156,435.0,411.1499938964844,411.1499938964844,28466,2025-07-14
