Date,Adj Close_INSECTICID.NS,Close_INSECTICID.NS,High_INSECTICID.NS,Low_INSECTICID.NS,Open_INSECTICID.NS,Volume_INSECTICID.NS,Date
2023-01-16,601.8394775390625,610.1500244140625,682.5499877929688,605.0,673.0,99799,2023-01-16
2023-01-23,585.2189331054688,593.2999877929688,617.9000244140625,574.2999877929688,613.25,53597,2023-01-23
2023-01-30,596.611572265625,604.8499755859375,636.0,575.0,596.2999877929688,50947,2023-01-30
2023-02-06,586.156005859375,594.25,611.5,587.2999877929688,604.8499755859375,33011,2023-02-06
2023-02-13,560.1156005859375,567.8499755859375,609.4500122070312,566.0,591.5,78093,2023-02-13
2023-02-20,463.4504089355469,469.8500061035156,595.0,464.29998779296875,567.8499755859375,246671,2023-02-20
2023-02-27,452.5413818359375,456.20001220703125,477.70001220703125,419.8500061035156,467.95001220703125,292134,2023-02-27
2023-03-06,440.0920104980469,443.6499938964844,471.04998779296875,436.04998779296875,456.20001220703125,135320,2023-03-06
2023-03-13,458.096435546875,461.79998779296875,471.95001220703125,426.0,445.8999938964844,128671,2023-03-13
2023-03-20,486.2687072753906,490.20001220703125,500.0,455.0,460.0,131842,2023-03-20
2023-03-27,463.2051696777344,466.95001220703125,498.0,465.0,492.70001220703125,60652,2023-03-27
2023-04-03,494.94854736328125,498.95001220703125,513.6500244140625,459.0,464.0,74834,2023-04-03
2023-04-10,499.4620361328125,503.5,508.8999938964844,490.0,501.45001220703125,66426,2023-04-10
2023-04-17,484.830322265625,488.75,506.0,482.5,497.0,74717,2023-04-17
2023-04-24,478.4320373535156,482.29998779296875,487.1499938964844,473.1000061035156,485.04998779296875,49946,2023-04-24
2023-05-01,463.6019592285156,467.3500061035156,484.75,462.5,482.29998779296875,89358,2023-05-01
2023-05-08,467.61944580078125,471.3999938964844,477.5,441.20001220703125,468.0,83457,2023-05-08
2023-05-15,451.747802734375,455.3999938964844,473.79998779296875,449.0,473.79998779296875,59651,2023-05-15
2023-05-22,441.1831970214844,444.75,456.8999938964844,438.8999938964844,455.3999938964844,67756,2023-05-22
