Date,Adj Close_SABTNL.NS,Close_SABTNL.NS,High_SABTNL.NS,Low_SABTNL.NS,Open_SABTNL.NS,Volume_SABTNL.NS,Date
2024-06-24,242.42999267578125,242.42999267578125,242.42999267578125,223.99000549316406,223.99000549316406,560,2024-06-24
2024-07-01,267.6300048828125,267.6300048828125,267.6300048828125,247.27000427246094,247.27000427246094,197,2024-07-01
2024-07-08,295.45001220703125,295.45001220703125,295.45001220703125,272.9800109863281,272.9800109863281,259,2024-07-08
2024-07-15,319.7799987792969,319.7799987792969,319.7799987792969,295.45001220703125,295.45001220703125,510,2024-07-15
2024-07-22,353.0400085449219,353.0400085449219,353.0400085449219,326.1700134277344,326.1700134277344,175,2024-07-22
2024-07-29,389.70001220703125,389.70001220703125,389.70001220703125,360.1000061035156,360.1000061035156,317,2024-07-29
2024-08-05,430.1000061035156,430.1000061035156,430.1000061035156,397.45001220703125,397.45001220703125,195,2024-08-05
2024-08-12,465.45001220703125,465.45001220703125,465.45001220703125,438.70001220703125,438.70001220703125,693,2024-08-12
2024-08-19,513.75,513.75,513.75,474.75,474.75,420,2024-08-19
2024-08-26,567.0999755859375,567.0999755859375,567.0999755859375,524.0,524.0,347,2024-08-26
2024-09-02,625.9500122070312,625.9500122070312,625.9500122070312,578.4000244140625,578.4000244140625,193,2024-09-02
2024-09-09,690.9500122070312,690.9500122070312,690.9500122070312,638.4500122070312,638.4500122070312,7939,2024-09-09
2024-09-16,762.75,762.75,762.75,704.75,704.75,726,2024-09-16
2024-09-23,842.0499877929688,842.0499877929688,842.0499877929688,778.0,778.0,435,2024-09-23
2024-09-30,911.3499755859375,911.3499755859375,911.3499755859375,858.8499755859375,858.8499755859375,881,2024-09-30
2024-10-07,1006.0499877929688,1006.0499877929688,1006.0499877929688,920.0,929.5499877929688,17010,2024-10-07
2024-10-14,1110.6500244140625,1110.6500244140625,1110.6500244140625,1026.1500244140625,1026.1500244140625,2480,2024-10-14
2024-10-21,1226.0999755859375,1226.0999755859375,1226.0999755859375,1132.8499755859375,1132.8499755859375,24916,2024-10-21
2024-10-28,1353.5999755859375,1353.5999755859375,1353.5999755859375,1250.5999755859375,1250.5999755859375,2046,2024-10-28
2024-11-04,1494.4000244140625,1494.4000244140625,1494.4000244140625,1380.6500244140625,1380.6500244140625,2295,2024-11-04
2024-11-11,1617.449951171875,1617.449951171875,1617.449951171875,1524.25,1524.25,7791,2024-11-11
2024-11-18,1750.6500244140625,1750.6500244140625,1750.6500244140625,1649.75,1649.75,1976,2024-11-18
2024-11-25,1932.75,1932.75,1932.75,1785.6500244140625,1785.6500244140625,7722,2024-11-25
2024-12-02,2133.800048828125,2133.800048828125,2133.800048828125,1971.4000244140625,1971.4000244140625,4320,2024-12-02
2024-12-09,2089.39990234375,2089.39990234375,2219.949951171875,2089.39990234375,2176.449951171875,11874,2024-12-09
2024-12-16,1888.75,1888.75,2047.6500244140625,1888.75,2047.6500244140625,1096,2024-12-16
2024-12-23,1742.199951171875,1742.199951171875,1851.0,1742.199951171875,1851.0,317,2024-12-23
2024-12-30,1348.1500244140625,1348.1500244140625,1655.0999755859375,1348.1500244140625,1655.0999755859375,1576,2024-12-30
2025-01-06,1043.25,1043.25,1280.75,1043.25,1280.75,992,2025-01-06
2025-01-13,686.4500122070312,686.4500122070312,938.9500122070312,686.4500122070312,938.9500122070312,37485,2025-01-13
2025-01-20,531.25,531.25,652.1500244140625,531.25,652.1500244140625,3673,2025-01-20
2025-01-27,390.6499938964844,390.6499938964844,504.70001220703125,390.6499938964844,504.70001220703125,5546,2025-01-27
2025-02-03,451.04998779296875,451.04998779296875,451.04998779296875,352.6000061035156,380.0,30230,2025-02-03
2025-02-10,543.1500244140625,543.1500244140625,543.1500244140625,473.6000061035156,473.6000061035156,40648,2025-02-10
2025-02-17,491.04998779296875,491.04998779296875,532.2999877929688,491.04998779296875,532.2999877929688,16387,2025-02-17
2025-02-24,453.0,453.0,481.25,453.0,481.25,1624,2025-02-24
2025-03-03,461.70001220703125,461.70001220703125,461.70001220703125,435.1000061035156,443.95001220703125,6131,2025-03-03
2025-03-10,499.6499938964844,499.6499938964844,499.6499938964844,470.8999938964844,470.8999938964844,6997,2025-03-10
2025-03-17,551.5,551.5,551.5,509.6000061035156,509.6000061035156,3915,2025-03-17
2025-03-24,608.7999877929688,608.7999877929688,608.7999877929688,562.5,562.5,2682,2025-03-24
2025-03-31,561.5999755859375,561.5999755859375,608.7999877929688,561.5999755859375,608.7999877929688,9817,2025-03-31
2025-04-07,518.0999755859375,518.0999755859375,550.4000244140625,518.0999755859375,550.4000244140625,3287,2025-04-07
2025-04-14,528.25,528.25,528.25,507.75,507.75,3815,2025-04-14
2025-04-21,674.0999755859375,674.0999755859375,674.0999755859375,554.6500244140625,554.6500244140625,7098,2025-04-21
2025-04-28,608.1500244140625,608.1500244140625,707.0,596.25,694.0,15955,2025-04-28
2025-05-05,595.5,595.5,632.7000122070312,595.5,620.2999877929688,5739,2025-05-05
2025-05-12,595.0,595.0,619.5,595.0,607.4000244140625,10908,2025-05-12
2025-05-19,566.5,566.5,594.7999877929688,549.9500122070312,590.0,8647,2025-05-19
2025-05-26,568.5999755859375,568.5999755859375,592.0,567.0,577.7999877929688,5560,2025-05-26
2025-06-02,539.5999755859375,539.5999755859375,557.25,539.5,557.25,5388,2025-06-02
2025-06-09,623.0,623.0,655.75,566.5499877929688,566.5499877929688,13659,2025-06-09
2025-06-16,719.25,719.25,719.25,562.25,591.8499755859375,35657,2025-06-16
2025-06-23,917.8499755859375,917.8499755859375,917.8499755859375,733.6500244140625,755.2000122070312,28021,2025-06-23
2025-06-30,1171.25,1171.25,1171.25,920.0,934.9500122070312,21769,2025-06-30
2025-07-07,1352.4000244140625,1352.4000244140625,1430.0,1229.800048828125,1229.800048828125,30775,2025-07-07
2025-07-14,1220.5999755859375,1220.5999755859375,1284.800048828125,1220.5999755859375,1284.800048828125,2266,2025-07-14
