Date,Adj Close_CARYSIL.NS,Close_CARYSIL.NS,High_CARYSIL.NS,Low_CARYSIL.NS,Open_CARYSIL.NS,Volume_CARYSIL.NS,Date
2023-04-17,589.037109375,592.25,629.4000244140625,583.5,599.2000122070312,393146,2023-04-17
2023-04-24,592.6673583984375,595.9000244140625,604.75,584.4000244140625,598.1500244140625,222331,2023-04-24
2023-05-01,584.0642700195312,587.25,602.0,576.0999755859375,595.9000244140625,361376,2023-05-01
2023-05-08,599.6791381835938,602.9500122070312,622.0,585.0,595.0,335294,2023-05-08
2023-05-15,589.236083984375,592.4500122070312,608.0999755859375,582.0999755859375,603.0,237940,2023-05-15
2023-05-22,572.427734375,575.5499877929688,627.5,571.0,595.0,621172,2023-05-22
2023-05-29,555.6194458007812,558.6500244140625,577.4500122070312,542.0,572.0499877929688,416730,2023-05-29
2023-06-05,599.8780517578125,603.1500244140625,608.2999877929688,556.5,564.9000244140625,477211,2023-06-05
2023-06-12,651.3472900390625,654.9000244140625,683.0,607.0499877929688,611.9500122070312,1153441,2023-06-12
2023-06-19,662.3870849609375,666.0,688.7999877929688,645.0,660.0,377733,2023-06-19
2023-06-26,701.0760498046875,704.9000244140625,714.0499877929688,657.8499755859375,662.25,581637,2023-06-26
2023-07-03,686.5054931640625,690.25,710.0,682.5999755859375,710.0,258778,2023-07-03
2023-07-10,716.8897705078125,720.7999877929688,739.5,681.4000244140625,690.25,411314,2023-07-10
2023-07-17,697.943115234375,701.75,729.0,691.0,723.7999877929688,197307,2023-07-17
2023-07-24,663.729736328125,667.3499755859375,723.0,639.0499877929688,716.0,383815,2023-07-24
2023-07-31,690.9810791015625,694.75,699.9000244140625,660.2999877929688,665.0,271372,2023-07-31
2023-08-07,686.1574096679688,689.9000244140625,712.9500122070312,683.0499877929688,699.7000122070312,216405,2023-08-07
2023-08-14,618.0289916992188,621.4000244140625,671.0,609.0999755859375,670.0999755859375,558302,2023-08-14
2023-08-21,649.010009765625,652.5499877929688,671.5499877929688,606.5999755859375,622.0,402344,2023-08-21
2023-08-28,662.93408203125,666.5499877929688,671.6500244140625,634.1500244140625,657.9500122070312,290371,2023-08-28
2023-09-04,675.9132690429688,679.5999755859375,699.0,670.0,670.0,320673,2023-09-04
2023-09-11,633.1963500976562,636.6500244140625,688.8499755859375,618.0,679.5499877929688,620668,2023-09-11
2023-09-18,610.171875,613.5,642.0,610.0,636.5999755859375,278212,2023-09-18
2023-09-25,618.691162109375,620.0999755859375,629.5,610.5999755859375,611.0,221841,2023-09-25
2023-10-02,646.2284545898438,647.7000122070312,654.7000122070312,620.0999755859375,620.0999755859375,258067,2023-10-02
2023-10-09,670.5231323242188,672.0499877929688,683.9500122070312,625.0499877929688,625.0499877929688,524538,2023-10-09
2023-10-16,655.6070556640625,657.0999755859375,698.0499877929688,648.5499877929688,674.0,464780,2023-10-16
2023-10-23,634.5051879882812,635.9500122070312,666.9500122070312,593.0499877929688,657.0999755859375,486300,2023-10-23
2023-10-30,694.8677368164062,696.4500122070312,699.8499755859375,622.0999755859375,637.7999877929688,751606,2023-10-30
2023-11-06,822.6766357421875,824.5499877929688,837.0999755859375,675.0499877929688,705.0,3036564,2023-11-06
2023-11-13,829.5111083984375,831.4000244140625,896.9500122070312,805.5499877929688,863.0499877929688,862356,2023-11-13
2023-11-20,872.4134521484375,874.4000244140625,894.7999877929688,817.0,833.8499755859375,783384,2023-11-20
2023-11-27,945.097900390625,947.25,950.0,857.9000244140625,874.4000244140625,1155228,2023-11-27
2023-12-04,891.869140625,893.9000244140625,980.0,873.7999877929688,980.0,603529,2023-12-04
2023-12-11,900.8486938476562,902.9000244140625,919.7000122070312,851.2000122070312,876.0499877929688,630069,2023-12-11
2023-12-18,857.9962768554688,859.9500122070312,916.2999877929688,821.0999755859375,911.4500122070312,425516,2023-12-18
2023-12-25,820.232177734375,822.0999755859375,875.9500122070312,820.0,859.9500122070312,290897,2023-12-25
2024-01-01,846.0234985351562,847.9500122070312,877.7000122070312,810.0499877929688,832.0,458309,2024-01-01
2024-01-08,852.0597534179688,854.0,874.7999877929688,840.2999877929688,850.0,322877,2024-01-08
2024-01-15,844.7763671875,846.7000122070312,879.9500122070312,805.0499877929688,854.0,609459,2024-01-15
2024-01-22,864.1821899414062,866.1500244140625,893.75,837.0499877929688,846.7000122070312,526192,2024-01-22
2024-01-29,924.5447387695312,926.6500244140625,943.9000244140625,841.0499877929688,866.1500244140625,1221614,2024-01-29
2024-02-05,1007.1566162109375,1009.4500122070312,1067.9000244140625,930.0,944.9500122070312,1676395,2024-02-05
2024-02-12,1011.9456787109375,1014.25,1150.949951171875,997.5,1023.0,1376744,2024-02-12
2024-02-19,1008.6531982421875,1010.9500122070312,1059.0,982.4500122070312,1014.0,494969,2024-02-19
2024-02-26,937.7146606445312,939.8499755859375,1032.050048828125,923.0,1020.9500122070312,463676,2024-02-26
2024-03-04,978.6714477539062,980.9000244140625,998.0,896.5,957.0499877929688,477718,2024-03-04
2024-03-11,944.3994750976562,946.5499877929688,1020.0,871.0499877929688,995.0,787602,2024-03-11
2024-03-18,961.1113891601562,963.2999877929688,985.0,919.9000244140625,960.0,342670,2024-03-18
2024-03-25,979.7190551757812,981.9500122070312,998.0,940.0,983.0,286629,2024-03-25
2024-04-01,1014.689453125,1017.0,1048.0,970.0,1000.0,357417,2024-04-01
2024-04-08,967.3970947265625,969.5999755859375,1032.550048828125,951.75,1025.9000244140625,368192,2024-04-08
2024-04-15,933.32470703125,935.4500122070312,965.9500122070312,912.4500122070312,945.0,283255,2024-04-15
2024-04-22,953.0298461914062,955.2000122070312,989.0,940.0,945.0,252943,2024-04-22
2024-04-29,940.7078857421875,942.8499755859375,963.9000244140625,928.0,945.0,249207,2024-04-29
2024-05-06,875.356689453125,877.3499755859375,951.0,844.0,943.0,444520,2024-05-06
2024-05-13,935.12060546875,937.25,960.0,863.7999877929688,879.7999877929688,250477,2024-05-13
2024-05-20,855.3023681640625,857.25,984.9000244140625,850.0,941.9500122070312,479294,2024-05-20
2024-05-27,796.336669921875,798.1500244140625,865.25,776.2999877929688,864.0,678501,2024-05-27
2024-06-03,813.048583984375,814.9000244140625,845.0,725.1500244140625,820.0,487819,2024-06-03
2024-06-10,855.4520263671875,857.4000244140625,889.9500122070312,814.9500122070312,814.9500122070312,332056,2024-06-10
2024-06-17,842.13232421875,844.0499877929688,870.0,830.0,857.4000244140625,283845,2024-06-17
2024-06-24,839.1890258789062,841.0999755859375,850.0,815.2000122070312,848.4500122070312,309159,2024-06-24
2024-07-01,835.4974975585938,837.4000244140625,889.8499755859375,817.8499755859375,841.0999755859375,742091,2024-07-01
2024-07-08,790.8491821289062,792.6500244140625,839.9500122070312,775.0,839.9500122070312,711697,2024-07-08
2024-07-15,744.2552490234375,745.9500122070312,800.0,739.0,793.0999755859375,393065,2024-07-15
2024-07-22,790.0010375976562,791.7999877929688,807.0,720.5499877929688,745.9000244140625,447157,2024-07-22
2024-07-29,793.2935180664062,795.0999755859375,811.9000244140625,775.0,799.3499755859375,398710,2024-07-29
2024-08-05,823.2254028320312,825.0999755859375,850.0,758.2000122070312,783.9500122070312,891439,2024-08-05
2024-08-12,814.5452270507812,816.4000244140625,823.0,783.25,812.5499877929688,323646,2024-08-12
2024-08-19,890.1729736328125,892.2000122070312,906.0,821.5,825.0,691413,2024-08-19
2024-08-26,897.0572509765625,899.0999755859375,937.7000122070312,877.6500244140625,892.4500122070312,777025,2024-08-26
2024-09-02,862.1867065429688,864.1500244140625,926.9500122070312,856.5499877929688,908.2999877929688,331005,2024-09-02
2024-09-09,879.7965698242188,881.7999877929688,898.0,846.25,872.4500122070312,325137,2024-09-09
2024-09-16,805.2662963867188,807.0999755859375,901.75,779.7999877929688,900.0,437452,2024-09-16
2024-09-23,807.0,807.0,830.6500244140625,801.25,807.5,229312,2024-09-23
2024-09-30,766.0999755859375,766.0999755859375,819.2999877929688,760.7999877929688,819.2999877929688,250004,2024-09-30
2024-10-07,806.0999755859375,806.0999755859375,845.0499877929688,725.0,766.0999755859375,448849,2024-10-07
2024-10-14,784.4000244140625,784.4000244140625,811.0,769.5499877929688,811.0,205527,2024-10-14
2024-10-21,750.3499755859375,750.3499755859375,803.9500122070312,746.4500122070312,781.0499877929688,344967,2024-10-21
2024-10-28,798.75,798.75,813.7000122070312,739.6500244140625,750.0,223312,2024-10-28
2024-11-04,812.9000244140625,812.9000244140625,830.0,761.5499877929688,806.0,413200,2024-11-04
2024-11-11,772.7000122070312,772.7000122070312,815.0,739.0999755859375,812.9000244140625,212918,2024-11-11
2024-11-18,746.5,746.5,808.9000244140625,735.5,773.0,368605,2024-11-18
