Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2022-09-26,33.07160568237305,33.099998474121094,34.5,29.600000381469727,32.25,1597094,2022-09-26
2022-10-03,33.920875549316406,33.95000076293945,34.54999923706055,32.599998474121094,32.79999923706055,715978,2022-10-03
2022-10-10,30.623706817626953,30.649999618530273,33.95000076293945,30.399999618530273,33.95000076293945,633714,2022-10-10
2022-10-17,32.27229309082031,32.29999923706055,33.150001525878906,29.100000381469727,31.5,684474,2022-10-17
2022-10-24,32.62199401855469,32.650001525878906,34.5,27.299999237060547,32.150001525878906,790745,2022-10-24
2022-10-31,32.72190475463867,32.75,34.150001525878906,32.5,33.20000076293945,695183,2022-10-31
2022-11-07,34.570316314697266,34.599998474121094,36.5,32.599998474121094,32.599998474121094,1624907,2022-11-07
2022-11-14,34.420448303222656,34.45000076293945,37.95000076293945,31.600000381469727,36.0,3280644,2022-11-14
2022-11-21,33.27143478393555,33.29999923706055,35.150001525878906,32.849998474121094,34.5,1226202,2022-11-21
2022-11-28,34.12070846557617,34.150001525878906,35.599998474121094,32.849998474121094,33.29999923706055,1441653,2022-11-28
2022-12-05,33.87092208862305,33.900001525878906,35.20000076293945,33.5,33.79999923706055,945535,2022-12-05
2022-12-12,32.87178039550781,32.900001525878906,34.79999923706055,32.650001525878906,33.900001525878906,881696,2022-12-12
2022-12-19,28.625423431396484,28.649999618530273,34.25,28.100000381469727,33.349998474121094,1539723,2022-12-19
2022-12-26,32.22233581542969,32.25,33.0,28.0,28.0,773681,2022-12-26
2023-01-02,39.416160583496094,39.45000076293945,40.5,32.599998474121094,32.900001525878906,7445615,2023-01-02
2023-01-09,38.56688690185547,38.599998474121094,42.0,36.099998474121094,40.20000076293945,3531065,2023-01-09
2023-01-16,36.718475341796875,36.75,39.599998474121094,36.5,39.20000076293945,821412,2023-01-16
2023-01-23,36.318817138671875,36.349998474121094,37.75,34.650001525878906,36.150001525878906,673933,2023-01-23
2023-01-30,36.26885986328125,36.29999923706055,39.650001525878906,35.599998474121094,36.900001525878906,1290820,2023-01-30
2023-02-06,36.518646240234375,36.54999923706055,37.5,35.5,36.70000076293945,448248,2023-02-06
2023-02-13,38.816673278808594,38.849998474121094,40.45000076293945,36.0,37.0,1347459,2023-02-13
2023-02-20,37.667659759521484,37.70000076293945,39.5,37.20000076293945,39.5,628262,2023-02-20
2023-02-27,37.01821517944336,37.04999923706055,38.45000076293945,35.29999923706055,37.25,643746,2023-02-27
2023-03-06,39.16637420654297,39.20000076293945,39.20000076293945,36.79999923706055,38.45000076293945,935202,2023-03-06
2023-03-13,38.76671600341797,38.79999923706055,42.849998474121094,37.25,40.79999923706055,3348053,2023-03-13
2023-03-20,35.9691162109375,36.0,38.75,35.79999923706055,38.29999923706055,895335,2023-03-20
2023-03-27,35.819244384765625,35.849998474121094,36.900001525878906,32.5,36.900001525878906,948600,2023-03-27
2023-04-03,36.81838607788086,36.849998474121094,37.54999923706055,35.650001525878906,35.849998474121094,425225,2023-04-03
2023-04-10,40.76499938964844,40.79999923706055,41.400001525878906,35.95000076293945,37.599998474121094,1503396,2023-04-10
2023-04-17,43.56259536743164,43.599998474121094,49.29999923706055,40.04999923706055,41.599998474121094,7345231,2023-04-17
2023-04-24,46.46010971069336,46.5,48.79999923706055,42.599998474121094,44.25,4532422,2023-04-24
2023-05-01,47.858909606933594,47.900001525878906,49.70000076293945,46.099998474121094,46.5,2635406,2023-05-01
2023-05-08,46.360198974609375,46.400001525878906,48.70000076293945,45.099998474121094,47.099998474121094,1400613,2023-05-08
2023-05-15,52.95453643798828,53.0,53.45000076293945,43.349998474121094,46.400001525878906,8324337,2023-05-15
2023-05-22,54.703033447265625,54.75,57.45000076293945,53.20000076293945,54.0,7552937,2023-05-22
