Date,Adj Close_SKIPPER.NS,Close_SKIPPER.NS,High_SKIPPER.NS,Low_SKIPPER.NS,Open_SKIPPER.NS,Volume_SKIPPER.NS,Date
2023-12-04,231.33680725097656,231.3935089111328,263.29132080078125,229.68382263183594,246.78065490722656,2217076,2023-12-04
2023-12-11,226.69737243652344,226.7529296875,239.35574340820312,222.94277954101562,230.6119384765625,1534447,2023-12-11
2023-12-18,220.59286499023438,220.6469268798828,231.97967529296875,207.11599731445312,227.58335876464844,2774777,2023-12-18
2023-12-25,223.22999572753906,223.2847137451172,229.97691345214844,214.73629760742188,220.6469268798828,1359664,2023-12-25
2024-01-01,235.29254150390625,235.35020446777344,239.64883422851562,219.81649780273438,224.01744079589844,2273525,2024-01-01
2024-01-08,260.48614501953125,260.54998779296875,271.1070251464844,234.66632080078125,235.00827026367188,8246308,2024-01-08
2024-01-15,247.83924865722656,247.89999389648438,273.1000061035156,240.25,261.79998779296875,2682416,2024-01-15
2024-01-22,240.89096069335938,240.9499969482422,249.0,228.10000610351562,247.89999389648438,1012348,2024-01-22
2024-01-29,284.28033447265625,284.3500061035156,305.0,234.4499969482422,240.9499969482422,8389160,2024-01-29
2024-02-05,301.7260437011719,301.79998779296875,323.45001220703125,287.1499938964844,287.8999938964844,4773101,2024-02-05
2024-02-12,322.4209899902344,322.5,329.6000061035156,265.1499938964844,302.95001220703125,4525535,2024-02-12
2024-02-19,353.61334228515625,353.70001220703125,362.5,313.5,336.3999938964844,7236026,2024-02-19
2024-02-26,335.3678283691406,335.45001220703125,401.0,323.75,385.0,7415902,2024-02-26
2024-03-04,308.7743225097656,308.8500061035156,345.0,304.0,343.95001220703125,2233951,2024-03-04
2024-03-11,255.33741760253906,255.39999389648438,315.0,245.10000610351562,310.75,5713067,2024-03-11
2024-03-18,295.2276306152344,295.29998779296875,297.25,231.89999389648438,258.75,9901589,2024-03-18
2024-03-25,323.32073974609375,323.3999938964844,333.95001220703125,292.6000061035156,295.29998779296875,9087438,2024-03-25
2024-04-01,322.4209899902344,322.5,333.0,309.5,326.8999938964844,2376566,2024-04-01
2024-04-08,316.0225524902344,316.1000061035156,345.8999938964844,311.5,327.20001220703125,3270473,2024-04-08
2024-04-15,314.2729797363281,314.3500061035156,331.25,298.79998779296875,299.0,2639210,2024-04-15
2024-04-22,348.31463623046875,348.3999938964844,367.29998779296875,320.6499938964844,323.0,6535905,2024-04-22
2024-04-29,338.41705322265625,338.5,366.95001220703125,335.0,350.3999938964844,8437664,2024-04-29
2024-05-06,314.6728820800781,314.75,342.5,307.0,341.8999938964844,3361022,2024-05-06
2024-05-13,328.91937255859375,329.0,334.75,304.45001220703125,317.0,1930545,2024-05-13
2024-05-20,314.7728576660156,314.8500061035156,330.79998779296875,313.20001220703125,324.70001220703125,1484736,2024-05-20
2024-05-27,297.87701416015625,297.95001220703125,317.3500061035156,282.29998779296875,315.95001220703125,3966926,2024-05-27
2024-06-03,323.3707580566406,323.45001220703125,332.8999938964844,262.1000061035156,312.0,8289445,2024-06-03
2024-06-10,366.860107421875,366.95001220703125,377.25,320.0,323.45001220703125,7949457,2024-06-10
2024-06-17,365.0605163574219,365.1499938964844,381.0,360.6499938964844,366.95001220703125,3330946,2024-06-17
2024-06-24,350.5640869140625,350.6499938964844,376.0,340.25,367.0,2778048,2024-06-24
2024-07-01,384.95562744140625,385.04998779296875,405.6499938964844,351.5,355.79998779296875,8204557,2024-07-01
2024-07-08,362.8110656738281,362.8999938964844,396.75,356.0,391.0,3219456,2024-07-08
2024-07-15,341.11639404296875,341.20001220703125,365.79998779296875,338.5,363.0,1798213,2024-07-15
2024-07-22,360.51165771484375,360.6000061035156,365.0,323.04998779296875,345.0,1707829,2024-07-22
2024-07-29,401.401611328125,401.5,441.0,360.20001220703125,360.20001220703125,14560885,2024-07-29
