Date,Adj Close_VEEDOL.NS,Close_VEEDOL.NS,High_VEEDOL.NS,Low_VEEDOL.NS,Open_VEEDOL.NS,Volume_VEEDOL.NS,Date
2023-04-10,798.7239990234375,864.0999755859375,886.0,852.0,876.25,53696,2023-04-10
2023-04-17,780.60693359375,844.5,872.3499755859375,842.75,860.0,63496,2023-04-17
2023-04-24,796.9677734375,862.2000122070312,873.2000122070312,832.1500244140625,851.0,81307,2023-04-24
2023-05-01,801.6819458007812,867.2999877929688,882.4500122070312,858.5999755859375,862.2000122070312,69798,2023-05-01
2023-05-08,803.2070922851562,868.9500122070312,915.0,860.75,872.9500122070312,163268,2023-05-08
2023-05-15,801.589599609375,867.2000122070312,903.0499877929688,865.5,870.0,114154,2023-05-15
2023-05-22,809.35400390625,875.5999755859375,912.0,864.0999755859375,870.0999755859375,179002,2023-05-22
2023-05-29,804.5474243164062,870.4000244140625,886.6500244140625,857.9000244140625,882.0499877929688,150188,2023-05-29
2023-06-05,814.4378662109375,881.0999755859375,909.5999755859375,871.0,876.9000244140625,259069,2023-06-05
2023-06-12,908.9517822265625,983.3499755859375,1012.5,877.0,889.2000122070312,872876,2023-06-12
2023-06-19,892.036376953125,965.0499877929688,1008.4000244140625,948.0,993.7999877929688,325437,2023-06-19
2023-06-26,933.3543701171875,1009.75,1028.949951171875,962.0,973.25,218991,2023-06-26
2023-07-03,970.1434326171875,1049.550048828125,1070.949951171875,1001.5,1019.0,417115,2023-07-03
2023-07-10,1007.5020751953125,1073.8499755859375,1088.0,1018.0,1050.0,239239,2023-07-10
2023-07-17,1010.2698364257812,1076.800048828125,1114.8499755859375,1070.0,1084.4000244140625,267325,2023-07-17
2023-07-24,1026.2664794921875,1093.8499755859375,1107.9000244140625,1050.0,1050.0,163284,2023-07-24
2023-07-31,1063.0445556640625,1133.050048828125,1150.0,1080.0,1091.5,292559,2023-07-31
2023-08-07,1080.1199951171875,1151.25,1176.9000244140625,1126.0,1140.0,202856,2023-08-07
2023-08-14,1060.7926025390625,1130.6500244140625,1149.0,1107.449951171875,1141.0,158359,2023-08-14
2023-08-21,1066.46875,1136.699951171875,1233.699951171875,1113.5,1130.0999755859375,705801,2023-08-21
2023-08-28,1083.262939453125,1154.5999755859375,1194.449951171875,1145.050048828125,1149.0,175204,2023-08-28
2023-09-04,1135.8966064453125,1210.699951171875,1228.0,1160.0,1160.300048828125,350672,2023-09-04
2023-09-11,1163.71484375,1240.3499755859375,1274.4000244140625,1134.5999755859375,1201.1500244140625,581973,2023-09-11
2023-09-18,1124.1221923828125,1198.1500244140625,1247.949951171875,1182.0,1247.949951171875,179742,2023-09-18
2023-09-25,1141.6666259765625,1216.8499755859375,1244.0,1182.0,1213.0,211196,2023-09-25
2023-10-02,1109.955322265625,1183.050048828125,1230.0,1158.550048828125,1216.8499755859375,112578,2023-10-02
2023-10-09,1128.2034912109375,1202.5,1229.949951171875,1119.0,1150.050048828125,190499,2023-10-09
2023-10-16,1107.375,1180.300048828125,1234.4000244140625,1162.5999755859375,1209.0,191375,2023-10-16
2023-10-23,1070.78466796875,1141.300048828125,1181.9000244140625,1108.25,1165.1500244140625,166064,2023-10-23
2023-10-30,1096.538818359375,1168.75,1199.0,1130.0,1146.9000244140625,117473,2023-10-30
2023-11-06,1114.36474609375,1187.75,1225.0,1160.0,1171.3499755859375,261360,2023-11-06
2023-11-13,1192.4710693359375,1271.0,1323.300048828125,1202.949951171875,1202.949951171875,842390,2023-11-13
2023-11-20,1184.77783203125,1262.800048828125,1306.949951171875,1243.550048828125,1278.0,303387,2023-11-20
2023-11-27,1297.0516357421875,1360.9000244140625,1414.4000244140625,1262.800048828125,1262.800048828125,1082131,2023-11-27
2023-12-04,1301.531005859375,1365.5999755859375,1413.9000244140625,1336.0999755859375,1373.9000244140625,1942252,2023-12-04
2023-12-11,1274.2728271484375,1337.0,1390.0,1331.5,1389.949951171875,233022,2023-12-11
2023-12-18,1285.5667724609375,1348.8499755859375,1394.0,1291.9000244140625,1335.0,367287,2023-12-18
2023-12-25,1347.80322265625,1414.1500244140625,1467.0,1348.8499755859375,1348.8499755859375,458762,2023-12-25
2024-01-01,1330.314208984375,1395.800048828125,1436.8499755859375,1380.5999755859375,1424.800048828125,230517,2024-01-01
2024-01-08,1313.7303466796875,1378.4000244140625,1416.75,1353.199951171875,1416.75,140275,2024-01-08
2024-01-15,1298.5765380859375,1362.5,1418.6500244140625,1313.5999755859375,1380.0,177963,2024-01-15
2024-01-22,1327.359375,1392.699951171875,1424.9000244140625,1360.0,1362.5,124873,2024-01-22
2024-01-29,1705.5908203125,1789.550048828125,1834.75,1377.5,1401.8499755859375,2152570,2024-01-29
2024-02-05,1573.8271484375,1651.300048828125,1830.0,1625.0999755859375,1804.3499755859375,365279,2024-02-05
2024-02-12,1620.4327392578125,1700.199951171875,1725.0,1350.0,1675.0,285775,2024-02-12
2024-02-19,1626.865966796875,1706.949951171875,1798.9000244140625,1691.3499755859375,1729.949951171875,306944,2024-02-19
2024-02-26,1559.154052734375,1624.5,1720.0,1584.449951171875,1720.0,182758,2024-02-26
2024-03-04,1524.41015625,1588.300048828125,1683.8499755859375,1582.0999755859375,1680.0,98262,2024-03-04
2024-03-11,1393.0169677734375,1451.4000244140625,1635.0,1360.0999755859375,1590.0,215566,2024-03-11
2024-03-18,1374.589111328125,1432.199951171875,1472.1500244140625,1390.0999755859375,1459.8499755859375,129233,2024-03-18
2024-03-25,1341.2850341796875,1397.5,1447.0,1381.550048828125,1432.199951171875,119138,2024-03-25
2024-04-01,1547.8284912109375,1612.699951171875,1675.0,1400.050048828125,1400.050048828125,295712,2024-04-01
2024-04-08,1532.856201171875,1597.0999755859375,1631.75,1573.0,1615.050048828125,174263,2024-04-08
2024-04-15,1521.6746826171875,1585.449951171875,1618.25,1537.0,1555.6500244140625,116954,2024-04-15
