Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2021-07-26,180.1999969482422,180.1999969482422,192.3000030517578,171.35000610351562,174.60000610351562,720562,2021-07-26
2021-08-02,185.4499969482422,185.4499969482422,212.0,183.0,183.0,1097689,2021-08-02
2021-08-09,175.25,175.25,190.0,145.0500030517578,184.9499969482422,927026,2021-08-09
2021-08-16,165.39999389648438,165.39999389648438,192.6999969482422,162.0,178.9499969482422,677330,2021-08-16
2021-08-23,167.89999389648438,167.89999389648438,173.85000610351562,150.0,170.0,489960,2021-08-23
2021-08-30,168.89999389648438,168.89999389648438,175.14999389648438,161.0,169.60000610351562,251073,2021-08-30
2021-09-06,163.35000610351562,163.35000610351562,171.9499969482422,160.14999389648438,171.9499969482422,139584,2021-09-06
2021-09-13,165.9499969482422,165.9499969482422,171.0,159.64999389648438,168.5,205528,2021-09-13
2021-09-20,163.6999969482422,163.6999969482422,170.89999389648438,156.60000610351562,166.0,236224,2021-09-20
2021-09-27,160.75,160.75,167.75,157.0,167.1999969482422,134418,2021-09-27
2021-10-04,167.10000610351562,167.10000610351562,171.3000030517578,159.10000610351562,162.89999389648438,209463,2021-10-04
2021-10-11,172.3000030517578,172.3000030517578,181.6999969482422,168.0,170.0,335673,2021-10-11
2021-10-18,152.4499969482422,152.4499969482422,178.0,150.5500030517578,178.0,187210,2021-10-18
2021-10-25,153.35000610351562,153.35000610351562,162.0,142.25,158.85000610351562,177681,2021-10-25
2021-11-01,153.5500030517578,153.5500030517578,160.0,149.0,153.60000610351562,121352,2021-11-01
2021-11-08,151.0500030517578,151.0500030517578,154.89999389648438,149.0,153.3000030517578,144305,2021-11-08
2021-11-15,151.3000030517578,151.3000030517578,154.39999389648438,136.10000610351562,152.8000030517578,327315,2021-11-15
2021-11-22,143.25,143.25,152.8000030517578,141.35000610351562,152.8000030517578,156924,2021-11-22
2021-11-29,143.64999389648438,143.64999389648438,152.4499969482422,137.0,143.10000610351562,150460,2021-11-29
2021-12-06,149.3000030517578,149.3000030517578,155.5,136.8000030517578,145.1999969482422,136670,2021-12-06
2021-12-13,144.14999389648438,144.14999389648438,152.0,142.1999969482422,149.0,146269,2021-12-13
2021-12-20,139.5500030517578,139.5500030517578,145.9499969482422,129.64999389648438,140.0,132386,2021-12-20
2021-12-27,162.64999389648438,162.64999389648438,167.10000610351562,138.1999969482422,149.3000030517578,466821,2021-12-27
2022-01-03,155.5500030517578,155.5500030517578,165.35000610351562,150.35000610351562,160.0,167134,2022-01-03
2022-01-10,156.75,156.75,163.9499969482422,155.39999389648438,163.9499969482422,208471,2022-01-10
2022-01-17,154.14999389648438,154.14999389648438,164.39999389648438,152.0,156.25,104036,2022-01-17
2022-01-24,145.39999389648438,145.39999389648438,157.35000610351562,139.14999389648438,155.64999389648438,65310,2022-01-24
