Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2023-03-13,88.69999694824219,88.69999694824219,109.4000015258789,88.19999694824219,108.0,13601,2023-03-13
2023-03-20,92.94999694824219,92.94999694824219,96.80000305175781,86.25,88.6500015258789,11766,2023-03-20
2023-03-27,99.05000305175781,99.05000305175781,102.3499984741211,91.19999694824219,97.1500015258789,11481,2023-03-27
2023-04-03,99.19999694824219,99.19999694824219,104.5999984741211,97.0,98.25,10010,2023-04-03
2023-04-10,102.44999694824219,102.44999694824219,114.69999694824219,98.8499984741211,101.94999694824219,18567,2023-04-10
2023-04-17,104.5,104.5,108.75,96.0999984741211,97.0,14896,2023-04-17
2023-04-24,100.5999984741211,100.5999984741211,107.69999694824219,100.05000305175781,104.5,9205,2023-04-24
2023-05-01,105.75,105.75,110.5999984741211,100.5999984741211,100.5999984741211,4918,2023-05-01
2023-05-08,117.9000015258789,117.9000015258789,124.05000305175781,103.55000305175781,110.3499984741211,76607,2023-05-08
2023-05-15,100.8499984741211,100.8499984741211,115.0,100.05000305175781,114.94999694824219,28260,2023-05-15
2023-05-22,100.0,100.0,104.0,97.25,100.8499984741211,10892,2023-05-22
2023-05-29,101.4000015258789,101.4000015258789,103.0,97.05000305175781,101.5,14016,2023-05-29
2023-06-05,118.0999984741211,118.0999984741211,135.89999389648438,98.0999984741211,101.4000015258789,444493,2023-06-05
2023-06-12,141.3000030517578,141.3000030517578,141.3000030517578,107.5,120.0,320845,2023-06-12
2023-06-19,115.4000015258789,115.4000015258789,144.0,115.30000305175781,142.8000030517578,167923,2023-06-19
2023-06-26,110.5999984741211,110.5999984741211,118.69999694824219,108.0,117.0,18224,2023-06-26
2023-07-03,109.1500015258789,109.1500015258789,114.80000305175781,107.5,112.05000305175781,11255,2023-07-03
2023-07-10,104.44999694824219,104.44999694824219,114.0,103.1500015258789,114.0,27273,2023-07-10
2023-07-17,104.9000015258789,104.9000015258789,110.5999984741211,102.55000305175781,106.80000305175781,18198,2023-07-17
2023-07-24,102.3499984741211,102.3499984741211,106.69999694824219,102.0,104.69999694824219,10509,2023-07-24
2023-07-31,103.5,103.5,106.5,101.30000305175781,104.0,12260,2023-07-31
2023-08-07,103.25,103.25,108.0,102.0,103.5,28385,2023-08-07
2023-08-14,102.5,102.5,106.4000015258789,101.05000305175781,103.25,2422,2023-08-14
2023-08-21,101.6500015258789,101.6500015258789,106.69999694824219,98.0999984741211,102.5,9775,2023-08-21
2023-08-28,105.1500015258789,105.1500015258789,106.30000305175781,101.80000305175781,101.80000305175781,2818,2023-08-28
2023-09-04,106.4000015258789,106.4000015258789,109.80000305175781,102.0,105.0,8979,2023-09-04
2023-09-11,104.80000305175781,104.80000305175781,110.0,102.0999984741211,108.94999694824219,3724,2023-09-11
2023-09-18,102.69999694824219,102.69999694824219,109.0999984741211,101.30000305175781,104.80000305175781,6401,2023-09-18
2023-09-25,113.25,113.25,139.6999969482422,103.0,105.0,247405,2023-09-25
2023-10-02,108.55000305175781,108.55000305175781,117.0999984741211,105.6500015258789,113.25,49238,2023-10-02
2023-10-09,116.75,116.75,120.5999984741211,105.80000305175781,106.5,77700,2023-10-09
2023-10-16,114.19999694824219,114.19999694824219,118.5,110.0999984741211,118.5,26998,2023-10-16
2023-10-23,105.19999694824219,105.19999694824219,117.5,100.94999694824219,117.5,21085,2023-10-23
2023-10-30,112.94999694824219,112.94999694824219,126.19999694824219,104.25,106.1500015258789,139586,2023-10-30
