Date,Adj Close_LUMAXTECH.NS,Close_LUMAXTECH.NS,High_LUMAXTECH.NS,Low_LUMAXTECH.NS,Open_LUMAXTECH.NS,Volume_LUMAXTECH.NS,Date
2024-07-29,548.993408203125,554.9000244140625,589.2000122070312,536.2999877929688,579.7000122070312,396075,2024-07-29
2024-08-05,561.5087280273438,567.5499877929688,575.0499877929688,518.0,536.5499877929688,764428,2024-08-05
2024-08-12,514.1680908203125,519.7000122070312,566.5,513.9500122070312,560.0,497449,2024-08-12
2024-08-19,534.4498291015625,540.2000122070312,548.9000244140625,516.1500244140625,525.0,473571,2024-08-19
2024-08-26,520.6483154296875,526.25,549.0,524.7000122070312,542.5,271362,2024-08-26
2024-09-02,511.20001220703125,516.7000122070312,532.0,515.0,528.5,280618,2024-09-02
2024-09-09,515.25634765625,520.7999877929688,525.0,500.20001220703125,520.0,430292,2024-09-09
2024-09-16,566.3499755859375,566.3499755859375,589.5,543.25,562.0,2309444,2024-09-16
2024-09-23,572.5499877929688,572.5499877929688,596.25,569.4000244140625,582.9500122070312,1392705,2024-09-23
2024-09-30,556.3499755859375,556.3499755859375,576.5,548.0499877929688,576.5,442248,2024-09-30
2024-10-07,567.5999755859375,567.5999755859375,569.7000122070312,532.0,564.7000122070312,283408,2024-10-07
2024-10-14,553.0999755859375,553.0999755859375,584.9500122070312,544.0999755859375,567.0,476913,2024-10-14
2024-10-21,504.3999938964844,504.3999938964844,558.6500244140625,496.1000061035156,555.0,458657,2024-10-21
2024-10-28,529.0,529.0,530.6500244140625,469.75,504.45001220703125,520791,2024-10-28
2024-11-04,515.4500122070312,515.4500122070312,541.0,509.6499938964844,529.75,275321,2024-11-04
2024-11-11,513.5,513.5,535.4000244140625,480.0,517.4500122070312,648404,2024-11-11
2024-11-18,501.8999938964844,501.8999938964844,517.9000244140625,497.1000061035156,517.8499755859375,290086,2024-11-18
2024-11-25,521.0,521.0,548.0,501.1000061035156,509.20001220703125,590776,2024-11-25
2024-12-02,556.5,556.5,566.3499755859375,517.7999877929688,522.4000244140625,486882,2024-12-02
2024-12-09,606.0,606.0,613.0,562.0,568.9000244140625,1630862,2024-12-09
2024-12-16,615.75,615.75,652.0,610.0499877929688,620.0,1322511,2024-12-16
2024-12-23,637.75,637.75,645.0,595.5499877929688,624.3499755859375,577781,2024-12-23
2024-12-30,664.75,664.75,684.5,640.0999755859375,651.9500122070312,1314068,2024-12-30
2025-01-06,623.8499755859375,623.8499755859375,676.4500122070312,610.0999755859375,670.0499877929688,551101,2025-01-06
2025-01-13,564.75,564.75,613.4000244140625,553.25,610.0,979303,2025-01-13
2025-01-20,530.9000244140625,530.9000244140625,584.7999877929688,523.5499877929688,572.0,595537,2025-01-20
2025-01-27,555.5999755859375,555.5999755859375,560.0,495.0,520.0999755859375,794224,2025-01-27
2025-02-03,561.1500244140625,561.1500244140625,579.5999755859375,534.0499877929688,551.0,283652,2025-02-03
2025-02-10,534.6500244140625,534.6500244140625,576.9500122070312,512.5499877929688,564.0,593574,2025-02-10
2025-02-17,559.5999755859375,559.5999755859375,574.4500122070312,516.1500244140625,536.0,440857,2025-02-17
2025-02-24,500.1499938964844,500.1499938964844,562.5,495.04998779296875,562.5,325048,2025-02-24
2025-03-03,538.4000244140625,538.4000244140625,549.4500122070312,480.0,502.79998779296875,537830,2025-03-03
2025-03-10,521.1500244140625,521.1500244140625,545.9000244140625,505.1499938964844,538.4000244140625,182907,2025-03-10
2025-03-17,553.0,553.0,555.0,513.9500122070312,520.0,311465,2025-03-17
2025-03-24,539.9500122070312,539.9500122070312,584.0,522.9500122070312,553.0,668276,2025-03-24
2025-03-31,532.5499877929688,532.5499877929688,567.5,526.7999877929688,539.9500122070312,304864,2025-03-31
2025-04-07,515.5,515.5,517.7000122070312,449.0,449.0,738316,2025-04-07
2025-04-14,540.0999755859375,540.0999755859375,549.7000122070312,515.5,515.5,188671,2025-04-14
2025-04-21,536.1500244140625,536.1500244140625,564.7000122070312,524.3499755859375,540.2000122070312,311574,2025-04-21
2025-04-28,513.4500122070312,513.4500122070312,544.25,512.2999877929688,528.0999755859375,172827,2025-04-28
2025-05-05,567.7999877929688,567.7999877929688,584.9000244140625,509.54998779296875,518.0,756538,2025-05-05
2025-05-12,620.2000122070312,620.2000122070312,630.9000244140625,572.5499877929688,576.9500122070312,727240,2025-05-12
2025-05-19,663.8499755859375,663.8499755859375,684.0,625.5,628.0,1140210,2025-05-19
2025-05-26,811.5499877929688,811.5499877929688,834.0,658.3499755859375,663.8499755859375,4271420,2025-05-26
2025-06-02,961.2999877929688,961.2999877929688,1002.0,805.9500122070312,811.5499877929688,7490566,2025-06-02
2025-06-09,1036.0999755859375,1036.0999755859375,1054.800048828125,942.0499877929688,968.0,1801411,2025-06-09
2025-06-16,1078.0999755859375,1078.0999755859375,1152.300048828125,985.0,1035.0,1813594,2025-06-16
2025-06-23,1143.449951171875,1143.449951171875,1198.0,1051.199951171875,1051.199951171875,1069704,2025-06-23
2025-06-30,1152.0,1152.0,1209.0,1104.9000244140625,1151.0999755859375,629912,2025-06-30
2025-07-07,1147.5999755859375,1147.5999755859375,1159.5,1097.0,1153.5,350070,2025-07-07
2025-07-14,1150.699951171875,1150.699951171875,1170.0,1123.4000244140625,1164.800048828125,139509,2025-07-14
