Date,Adj Close_NBCC.NS,Close_NBCC.NS,High_NBCC.NS,Low_NBCC.NS,Open_NBCC.NS,Volume_NBCC.NS,Date
2021-05-24,31.92548942565918,32.599998474121094,33.46666717529297,32.06666564941406,33.099998474121094,78570469,2021-05-24
2021-05-31,31.566410064697266,32.233333587646484,32.766666412353516,30.633333206176758,32.599998474121094,66570740,2021-05-31
2021-06-07,35.712154388427734,36.46666717529297,37.233333587646484,31.600000381469727,32.53333282470703,304976913,2021-06-07
2021-06-14,35.45100784301758,36.20000076293945,39.43333435058594,34.666664123535156,37.20000076293945,326043873,2021-06-14
2021-06-21,35.90801239013672,36.666664123535156,39.86666488647461,35.06666564941406,35.36666488647461,171215900,2021-06-21
2021-06-28,35.287784576416016,36.03333282470703,37.233333587646484,34.733333587646484,36.93333435058594,114325666,2021-06-28
2021-07-05,34.37376022338867,35.099998474121094,36.666664123535156,34.733333587646484,36.33333206176758,57453869,2021-07-05
2021-07-12,34.53697967529297,35.266666412353516,37.0,35.166664123535156,35.83333206176758,77312298,2021-07-12
2021-07-19,32.83951187133789,33.53333282470703,35.400001525878906,33.46666717529297,35.0,37575174,2021-07-19
2021-07-26,33.59031295776367,34.29999923706055,35.166664123535156,32.03333282470703,33.46666717529297,62081595,2021-07-26
2021-08-02,31.79491424560547,32.46666717529297,34.5,31.466665267944336,34.400001525878906,37949065,2021-08-02
2021-08-09,30.260663986206055,30.899999618530273,32.633331298828125,29.0,32.599998474121094,44313675,2021-08-09
2021-08-16,27.97560691833496,28.566665649414062,31.0,28.399999618530273,31.0,29322253,2021-08-16
2021-08-23,28.824344635009766,29.433332443237305,30.600000381469727,27.03333282470703,29.0,57240013,2021-08-23
2021-08-30,29.313997268676758,29.933332443237305,31.133333206176758,29.333332061767578,29.66666603088379,29103019,2021-08-30
2021-09-06,28.628480911254883,29.233333587646484,30.233333587646484,29.066665649414062,30.0,16194406,2021-09-06
2021-09-13,28.759056091308594,29.366666793823242,30.766666412353516,28.700000762939453,29.233333587646484,44307117,2021-09-13
2021-09-20,30.260663986206055,30.899999618530273,31.933332443237305,28.133333206176758,29.066665649414062,81084122,2021-09-20
2021-09-27,31.815418243408203,32.133331298828125,34.0,30.766666412353516,32.0,98648122,2021-09-27
2021-10-04,30.990333557128906,31.299999237060547,32.400001525878906,31.0,32.29999923706055,33794410,2021-10-04
2021-10-11,31.980438232421875,32.29999923706055,33.20000076293945,31.200000762939453,31.333332061767578,55313320,2021-10-11
2021-10-18,30.825313568115234,31.133333206176758,33.666664123535156,30.5,32.79999923706055,56875536,2021-10-18
2021-10-25,29.472169876098633,29.766666412353516,31.600000381469727,29.200000762939453,31.16666603088379,26313633,2021-10-25
2021-11-01,30.660295486450195,30.966665267944336,31.53333282470703,29.733333587646484,30.0,15906035,2021-11-01
2021-11-08,31.221357345581055,31.53333282470703,32.86666488647461,30.566665649414062,31.066665649414062,51093332,2021-11-08
2021-11-15,28.87810516357422,29.16666603088379,31.799999237060547,29.0,31.66666603088379,18970472,2021-11-15
2021-11-22,27.656972885131836,27.933332443237305,29.433332443237305,27.733333587646484,29.266666412353516,23282759,2021-11-22
2021-11-29,28.053016662597656,28.333332061767578,28.899999618530273,26.100000381469727,27.53333282470703,34323917,2021-11-29
2021-12-06,30.825313568115234,31.133333206176758,31.600000381469727,28.233333587646484,28.333332061767578,42943888,2021-12-06
2021-12-13,28.185029983520508,28.466665267944336,31.600000381469727,28.200000762939453,31.53333282470703,27650893,2021-12-13
2021-12-20,27.72298240661621,28.0,28.866666793823242,27.0,28.133333206176758,23698319,2021-12-20
2021-12-27,30.363265991210938,30.66666603088379,31.366666793823242,27.5,27.833332061767578,54760759,2021-12-27
2022-01-03,33.1685676574707,33.5,34.266666412353516,30.100000381469727,31.0,149946699,2022-01-03
2022-01-10,35.214786529541016,35.56666564941406,35.733333587646484,33.46666717529297,33.733333587646484,126051767,2022-01-10
2022-01-17,31.617401123046875,31.933332443237305,35.79999923706055,31.5,35.666664123535156,64057611,2022-01-17
2022-01-24,30.693302154541016,31.0,32.06666564941406,29.433332443237305,32.06666564941406,41262830,2022-01-24
2022-01-31,30.396268844604492,30.700000762939453,32.166664123535156,30.53333282470703,31.5,41897105,2022-01-31
2022-02-07,29.57118034362793,29.866666793823242,30.766666412353516,29.566665649414062,30.566665649414062,21273700,2022-02-07
