Date,Adj Close_NIPPOBATRY.NS,Close_NIPPOBATRY.NS,High_NIPPOBATRY.NS,Low_NIPPOBATRY.NS,Open_NIPPOBATRY.NS,Volume_NIPPOBATRY.NS,Date
2025-02-24,439.45001220703125,439.45001220703125,499.0,435.0,472.29998779296875,47403,2025-02-24
2025-03-03,443.3999938964844,443.3999938964844,469.75,416.04998779296875,469.75,19305,2025-03-03
2025-03-10,438.6499938964844,438.6499938964844,465.0,425.0,465.0,16239,2025-03-10
2025-03-17,452.70001220703125,452.70001220703125,464.6000061035156,418.79998779296875,438.6499938964844,20139,2025-03-17
2025-03-24,414.79998779296875,414.79998779296875,470.0,410.79998779296875,462.0,53666,2025-03-24
2025-03-31,444.3500061035156,444.3500061035156,470.0,409.0,414.79998779296875,20371,2025-03-31
2025-04-07,436.8500061035156,436.8500061035156,442.0,388.1000061035156,442.0,38175,2025-04-07
2025-04-14,476.45001220703125,476.45001220703125,494.0,424.0,435.0,28084,2025-04-14
2025-04-21,498.6499938964844,498.6499938964844,550.0,494.0,509.95001220703125,119362,2025-04-21
2025-04-28,496.0,496.0,513.2000122070312,479.25,509.20001220703125,27785,2025-04-28
2025-05-05,490.6499938964844,490.6499938964844,511.45001220703125,479.79998779296875,492.70001220703125,20754,2025-05-05
2025-05-12,516.3499755859375,516.3499755859375,529.2000122070312,492.3999938964844,492.3999938964844,19152,2025-05-12
2025-05-19,516.9500122070312,516.9500122070312,534.9500122070312,494.95001220703125,516.3499755859375,27858,2025-05-19
2025-05-26,503.6000061035156,503.6000061035156,530.0,500.0,530.0,13459,2025-05-26
2025-06-02,501.45001220703125,501.45001220703125,515.4000244140625,485.0,515.4000244140625,22086,2025-06-02
2025-06-09,500.1000061035156,500.1000061035156,510.0,493.04998779296875,510.0,15092,2025-06-09
2025-06-16,466.6000061035156,466.6000061035156,508.8500061035156,446.79998779296875,490.8500061035156,52338,2025-06-16
2025-06-23,481.45001220703125,481.45001220703125,494.0,461.0,466.6000061035156,12935,2025-06-23
2025-06-30,476.45001220703125,476.45001220703125,489.0,451.29998779296875,482.0,47503,2025-06-30
2025-07-07,455.70001220703125,455.70001220703125,482.45001220703125,451.0,479.95001220703125,25068,2025-07-07
2025-07-14,454.79998779296875,454.79998779296875,466.29998779296875,436.70001220703125,456.04998779296875,16134,2025-07-14
