Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2023-08-14,266.9045104980469,268.8999938964844,297.6499938964844,245.0,259.6000061035156,1373433,2023-08-14
2023-08-21,269.1874084472656,271.20001220703125,287.25,262.3500061035156,262.3500061035156,765845,2023-08-21
2023-08-28,262.83489990234375,264.79998779296875,279.20001220703125,254.8000030517578,273.3999938964844,634691,2023-08-28
2023-09-04,270.5273742675781,272.54998779296875,288.75,265.0,266.6000061035156,827554,2023-09-04
2023-09-11,263.8771057128906,265.8500061035156,285.0,253.0,274.95001220703125,638476,2023-09-11
2023-09-18,254.64613342285156,256.54998779296875,267.3999938964844,254.1999969482422,267.3999938964844,320156,2023-09-18
2023-09-25,263.3785705566406,264.1499938964844,266.70001220703125,252.8000030517578,256.5,273684,2023-09-25
2023-10-02,258.7421569824219,259.5,273.70001220703125,254.5,264.1499938964844,467250,2023-10-02
2023-10-09,336.61407470703125,337.6000061035156,347.79998779296875,248.10000610351562,259.8999938964844,5858067,2023-10-09
2023-10-16,406.0108337402344,407.20001220703125,445.6000061035156,346.0,350.0,6764585,2023-10-16
2023-10-23,373.1072082519531,374.20001220703125,417.79998779296875,341.25,408.0,1571618,2023-10-23
2023-10-30,344.7402648925781,345.75,383.79998779296875,330.0,376.8999938964844,969514,2023-10-30
2023-11-06,385.9196472167969,387.04998779296875,409.0,337.54998779296875,348.54998779296875,1892681,2023-11-06
2023-11-13,403.218994140625,404.3999938964844,429.0,390.1499938964844,392.04998779296875,965298,2023-11-13
2023-11-20,392.60009765625,393.75,414.70001220703125,381.29998779296875,409.79998779296875,528097,2023-11-20
2023-11-27,406.908203125,408.1000061035156,423.8500061035156,393.75,393.75,751741,2023-11-27
2023-12-04,438.1666564941406,439.45001220703125,474.3999938964844,407.1000061035156,414.1000061035156,1899913,2023-12-04
2023-12-11,441.5068359375,442.79998779296875,466.0,430.0,440.45001220703125,517112,2023-12-11
2023-12-18,411.0959167480469,412.29998779296875,440.95001220703125,390.0,440.0,792283,2023-12-18
2023-12-25,395.99017333984375,397.1499938964844,418.3500061035156,392.0,412.29998779296875,350336,2023-12-25
2024-01-01,418.3746032714844,419.6000061035156,433.20001220703125,388.04998779296875,410.0,1175507,2024-01-01
2024-01-08,477.10260009765625,478.5,493.0,427.25,432.0,1800092,2024-01-08
2024-01-15,464.63909912109375,466.0,492.79998779296875,438.0,488.70001220703125,1034119,2024-01-15
2024-01-22,455.11700439453125,456.45001220703125,483.3999938964844,440.0,466.0,345555,2024-01-22
2024-01-29,464.7388000488281,466.1000061035156,487.54998779296875,438.1000061035156,470.0,980470,2024-01-29
2024-02-05,433.7296447753906,435.0,470.75,402.0,470.0,581905,2024-02-05
2024-02-12,454.02020263671875,455.3500061035156,461.04998779296875,397.3500061035156,433.0,750645,2024-02-12
2024-02-19,432.6827087402344,433.95001220703125,467.0,415.0,465.0,503661,2024-02-19
2024-02-26,412.6413879394531,413.8500061035156,437.3999938964844,407.0,434.0,377538,2024-02-26
2024-03-04,399.6294860839844,400.79998779296875,422.95001220703125,390.5,418.0,263600,2024-03-04
2024-03-11,353.5145568847656,354.54998779296875,409.8500061035156,319.79998779296875,400.79998779296875,630619,2024-03-11
2024-03-18,370.46490478515625,371.54998779296875,378.29998779296875,345.20001220703125,362.0,354571,2024-03-18
2024-03-25,352.0688171386719,353.1000061035156,374.1499938964844,352.04998779296875,371.54998779296875,277194,2024-03-25
2024-04-01,394.1954345703125,395.3500061035156,405.0,345.0,346.0,404358,2024-04-01
2024-04-08,389.1103210449219,390.25,412.8999938964844,386.0,398.3999938964844,220727,2024-04-08
2024-04-15,375.1013488769531,376.20001220703125,390.0,367.8500061035156,378.1000061035156,161256,2024-04-15
2024-04-22,387.96368408203125,389.1000061035156,408.8999938964844,376.3500061035156,382.0,239428,2024-04-22
2024-04-29,380.7846984863281,381.8999938964844,395.0,378.1499938964844,395.0,159667,2024-04-29
2024-05-06,360.0953063964844,361.1499938964844,388.0,344.0,388.0,332136,2024-05-06
2024-05-13,372.65850830078125,373.75,380.0,346.29998779296875,366.0,332570,2024-05-13
