Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2022-10-24,35.36441421508789,36.5,38.45000076293945,36.20000076293945,38.0,1006663,2022-10-24
2022-10-31,36.866188049316406,38.04999923706055,38.400001525878906,35.849998474121094,36.5,1898665,2022-10-31
2022-11-07,36.33330154418945,37.5,41.0,37.099998474121094,38.5,4814558,2022-11-07
2022-11-14,35.31597137451172,36.45000076293945,38.900001525878906,36.0,38.099998474121094,1593112,2022-11-14
2022-11-21,35.55819320678711,36.70000076293945,37.349998474121094,35.0,36.400001525878906,1374726,2022-11-21
2022-11-28,36.38174819946289,37.54999923706055,38.75,36.5,36.599998474121094,1967567,2022-11-28
2022-12-05,37.44752502441406,38.650001525878906,39.849998474121094,37.0,37.54999923706055,3694689,2022-12-05
2022-12-12,37.302188873291016,38.5,40.900001525878906,38.099998474121094,38.95000076293945,4469044,2022-12-12
2022-12-19,34.49241256713867,35.599998474121094,41.45000076293945,34.900001525878906,38.5,6617842,2022-12-19
2022-12-26,36.72085952758789,37.900001525878906,38.75,35.54999923706055,35.599998474121094,2509010,2022-12-26
2023-01-02,37.35063171386719,38.54999923706055,41.70000076293945,37.900001525878906,37.900001525878906,4228636,2023-01-02
2023-01-09,36.52708053588867,37.70000076293945,40.04999923706055,37.0,39.099998474121094,2021210,2023-01-09
2023-01-16,36.575523376464844,37.75,38.95000076293945,37.099998474121094,37.75,2263038,2023-01-16
2023-01-23,34.97685623168945,36.099998474121094,39.849998474121094,35.54999923706055,38.0,6702455,2023-01-23
2023-01-30,33.23286056518555,34.29999923706055,37.099998474121094,33.75,35.150001525878906,5194242,2023-01-30
2023-02-06,34.83152770996094,35.95000076293945,37.20000076293945,34.150001525878906,34.54999923706055,5810642,2023-02-06
2023-02-13,33.329750061035156,34.400001525878906,36.349998474121094,34.0,36.25,1844393,2023-02-13
2023-02-20,31.827972412109375,32.849998474121094,35.099998474121094,32.29999923706055,34.849998474121094,1765733,2023-02-20
2023-02-27,33.03908157348633,34.099998474121094,34.75,32.5,33.20000076293945,1274661,2023-02-27
2023-03-06,32.942195892333984,34.0,34.599998474121094,33.5,34.150001525878906,1058392,2023-03-06
2023-03-13,30.616863250732422,31.600000381469727,33.95000076293945,30.75,33.79999923706055,1355127,2023-03-13
2023-03-20,31.682641983032227,32.70000076293945,33.150001525878906,30.75,31.0,1222878,2023-03-20
2023-03-27,31.004417419433594,32.0,33.0,30.299999237060547,32.70000076293945,1982207,2023-03-27
2023-04-03,32.263973236083984,33.29999923706055,34.04999923706055,32.099998474121094,32.099998474121094,518383,2023-04-03
2023-04-10,32.0701904296875,33.099998474121094,33.75,32.29999923706055,33.20000076293945,541086,2023-04-10
2023-04-17,32.990638732910156,34.04999923706055,34.54999923706055,32.70000076293945,33.45000076293945,1074470,2023-04-17
2023-04-24,34.83152770996094,35.95000076293945,36.54999923706055,33.70000076293945,33.70000076293945,1844175,2023-04-24
2023-05-01,35.65508270263672,36.79999923706055,37.20000076293945,35.400001525878906,35.95000076293945,1555351,2023-05-01
2023-05-08,34.15330505371094,35.25,37.099998474121094,34.70000076293945,36.79999923706055,1277329,2023-05-08
