Date,Adj Close_MANAKCOAT.NS,Close_MANAKCOAT.NS,High_MANAKCOAT.NS,Low_MANAKCOAT.NS,Open_MANAKCOAT.NS,Volume_MANAKCOAT.NS,Date
2021-09-06,12.343785285949707,12.399999618530273,13.0,11.850000381469727,11.850000381469727,175940,2021-09-06
2021-09-13,14.334718704223633,14.399999618530273,15.449999809265137,12.0,12.699999809265137,888323,2021-09-13
2021-09-20,14.417010307312012,14.449999809265137,15.149999618530273,13.050000190734863,14.699999809265137,920128,2021-09-20
2021-09-27,14.06781005859375,14.100000381469727,14.75,13.050000190734863,14.699999809265137,1202182,2021-09-27
2021-10-04,16.412445068359375,16.450000762939453,17.799999237060547,13.75,14.399999618530273,1868846,2021-10-04
2021-10-11,18.457763671875,18.5,19.0,15.550000190734863,16.200000762939453,1454210,2021-10-11
2021-10-18,19.75479507446289,19.799999237060547,24.450000762939453,18.0,18.350000381469727,3366895,2021-10-18
2021-10-25,17.909021377563477,17.950000762939453,19.950000762939453,17.799999237060547,19.950000762939453,1256726,2021-10-25
2021-11-01,21.70034408569336,21.75,22.950000762939453,17.799999237060547,17.950000762939453,2152778,2021-11-01
2021-11-08,20.702627182006836,20.75,24.0,20.350000381469727,21.799999237060547,2493215,2021-11-08
2021-11-15,21.151601791381836,21.200000762939453,23.100000381469727,19.100000381469727,20.75,1380381,2021-11-15
2021-11-22,21.201486587524414,21.25,22.75,17.100000381469727,22.75,1486292,2021-11-22
2021-11-29,19.704912185668945,19.75,21.700000762939453,19.399999618530273,21.5,1356895,2021-11-29
2021-12-06,19.106279373168945,19.149999618530273,20.350000381469727,18.700000762939453,20.149999618530273,1391920,2021-12-06
2021-12-13,20.203767776489258,20.25,23.450000762939453,18.5,19.549999237060547,1784666,2021-12-13
2021-12-20,31.827171325683594,31.899999618530273,31.899999618530273,19.649999618530273,20.950000762939453,6166978,2021-12-20
2021-12-27,42.40297317504883,42.5,42.5,35.04999923706055,35.04999923706055,558603,2021-12-27
2022-01-03,53.97648620605469,54.099998474121094,54.099998474121094,44.599998474121094,44.599998474121094,4239004,2022-01-03
2022-01-10,51.08311080932617,51.20000076293945,62.54999923706055,51.20000076293945,56.75,866483,2022-01-10
2022-01-17,43.70000457763672,43.79999923706055,48.650001525878906,39.75,48.650001525878906,868996,2022-01-17
2022-01-24,35.71826934814453,35.79999923706055,41.650001525878906,35.79999923706055,41.650001525878906,116406,2022-01-24
2022-01-31,37.26472473144531,37.349998474121094,37.349998474121094,30.75,34.04999923706055,1170163,2022-01-31
2022-02-07,31.428085327148438,31.5,39.20000076293945,29.0,39.20000076293945,538593,2022-02-07
2022-02-14,29.831737518310547,29.899999618530273,31.600000381469727,27.549999237060547,29.950000762939453,299398,2022-02-14
2022-02-21,24.094865798950195,24.149999618530273,28.450000762939453,23.25,28.450000762939453,279624,2022-02-21
2022-02-28,24.64361000061035,24.700000762939453,26.0,21.850000381469727,24.5,250907,2022-02-28
2022-03-07,27.137903213500977,27.200000762939453,27.200000762939453,22.450000762939453,23.700000762939453,123756,2022-03-07
2022-03-14,32.525569915771484,32.599998474121094,32.599998474121094,27.149999618530273,28.549999237060547,227288,2022-03-14
2022-03-21,26.938358306884766,27.0,34.20000076293945,26.149999618530273,34.20000076293945,244566,2022-03-21
2022-03-28,27.187788009643555,27.25,28.0,25.049999237060547,25.75,328079,2022-03-28
2022-04-04,28.1356201171875,28.200000762939453,29.700000762939453,27.100000381469727,28.549999237060547,470660,2022-04-04
2022-04-11,26.68893051147461,26.75,29.0,26.25,28.75,250877,2022-04-11
2022-04-18,26.4893856048584,26.549999237060547,27.450000762939453,25.5,26.75,197203,2022-04-18
2022-04-25,24.34429359436035,24.399999618530273,26.600000381469727,24.200000762939453,26.25,220118,2022-04-25
2022-05-02,22.398746490478516,22.450000762939453,24.899999618530273,22.100000381469727,24.0,146994,2022-05-02
2022-05-09,24.543838500976562,24.600000381469727,25.5,21.100000381469727,22.350000381469727,332885,2022-05-09
2022-05-16,22.797832489013672,22.850000381469727,25.399999618530273,21.399999618530273,25.399999618530273,207872,2022-05-16
2022-05-23,20.752511978149414,20.799999237060547,23.700000762939453,19.850000381469727,23.700000762939453,143367,2022-05-23
2022-05-30,23.04726219177246,23.100000381469727,25.0,21.25,21.75,193644,2022-05-30
2022-06-06,22.448631286621094,22.5,23.600000381469727,21.149999618530273,23.100000381469727,140675,2022-06-06
2022-06-13,19.75479507446289,19.799999237060547,22.200000762939453,19.549999237060547,21.5,121095,2022-06-13
2022-06-20,19.305824279785156,19.350000381469727,20.299999237060547,18.149999618530273,19.100000381469727,109902,2022-06-20
2022-06-27,19.355709075927734,19.399999618530273,20.649999618530273,18.700000762939453,20.100000381469727,84931,2022-06-27
2022-07-04,20.203767776489258,20.25,20.5,19.100000381469727,19.399999618530273,70903,2022-07-04
2022-07-11,19.106279373168945,19.149999618530273,20.649999618530273,18.649999618530273,20.649999618530273,119433,2022-07-11
2022-07-18,19.75479507446289,19.799999237060547,20.5,18.75,19.0,112608,2022-07-18
2022-07-25,19.555252075195312,19.600000381469727,20.700000762939453,19.0,20.0,105474,2022-07-25
2022-08-01,19.704912185668945,19.75,21.0,18.75,19.149999618530273,142745,2022-08-01
2022-08-08,19.355709075927734,19.399999618530273,20.299999237060547,18.600000381469727,20.299999237060547,74919,2022-08-08
2022-08-15,19.405595779418945,19.450000762939453,19.899999618530273,18.799999237060547,19.399999618530273,131465,2022-08-15
2022-08-22,18.956623077392578,19.0,19.799999237060547,18.649999618530273,19.799999237060547,123418,2022-08-22
2022-08-29,22.797832489013672,22.850000381469727,22.850000381469727,18.649999618530273,18.700000762939453,408165,2022-08-29
2022-09-05,22.149316787719727,22.200000762939453,25.799999237060547,22.200000762939453,23.5,502310,2022-09-05
2022-09-12,19.704912185668945,19.75,22.5,19.25,21.399999618530273,491250,2022-09-12
2022-09-19,19.006507873535156,19.049999237060547,20.200000762939453,18.100000381469727,20.100000381469727,328171,2022-09-19
2022-09-26,19.006507873535156,19.049999237060547,19.25,17.549999237060547,19.049999237060547,136005,2022-09-26
2022-10-03,19.006507873535156,19.049999237060547,19.950000762939453,18.649999618530273,19.100000381469727,107312,2022-10-03
2022-10-10,17.958904266357422,18.0,19.25,17.799999237060547,19.049999237060547,146180,2022-10-10
2022-10-17,17.909021377563477,17.950000762939453,19.799999237060547,17.549999237060547,18.25,198894,2022-10-17
2022-10-24,17.759361267089844,17.799999237060547,18.399999618530273,17.100000381469727,17.549999237060547,69475,2022-10-24
2022-10-31,17.509931564331055,17.549999237060547,18.299999237060547,17.049999237060547,17.700000762939453,136054,2022-10-31
2022-11-07,17.809247970581055,17.850000381469727,18.700000762939453,17.049999237060547,18.0,129945,2022-11-07
2022-11-14,17.509931564331055,17.549999237060547,18.600000381469727,17.100000381469727,18.600000381469727,109508,2022-11-14
2022-11-21,17.360275268554688,17.399999618530273,18.100000381469727,17.049999237060547,17.549999237060547,133457,2022-11-21
2022-11-28,19.156166076660156,19.200000762939453,20.350000381469727,17.049999237060547,17.850000381469727,515227,2022-11-28
2022-12-05,19.455482482910156,19.5,22.299999237060547,18.100000381469727,19.75,1060159,2022-12-05
2022-12-12,18.308107376098633,18.350000381469727,19.899999618530273,17.75,18.899999618530273,347915,2022-12-12
2022-12-19,16.611988067626953,16.649999618530273,19.299999237060547,16.299999237060547,18.600000381469727,196529,2022-12-19
