Date,Adj Close_ITDCEM.NS,Close_ITDCEM.NS,High_ITDCEM.NS,Low_ITDCEM.NS,Open_ITDCEM.NS,Volume_ITDCEM.NS,Date
2023-06-12,166.16287231445312,167.3000030517578,171.3000030517578,160.5500030517578,162.0,4810274,2023-06-12
2023-06-19,159.21043395996094,160.3000030517578,174.75,156.3000030517578,167.60000610351562,6183725,2023-06-19
2023-06-26,162.09072875976562,163.1999969482422,168.64999389648438,160.0,160.3000030517578,2380862,2023-06-26
2023-07-03,162.984619140625,164.10000610351562,167.64999389648438,160.5,164.25,2511633,2023-07-03
2023-07-10,173.81051635742188,175.0,179.5,163.35000610351562,164.4499969482422,7572495,2023-07-10
2023-07-17,174.90306091308594,176.10000610351562,184.0,173.0500030517578,177.39999389648438,4876502,2023-07-17
2023-07-24,182.05410766601562,183.3000030517578,184.9499969482422,175.0,176.89999389648438,3823180,2023-07-24
2023-07-31,180.46498107910156,181.6999969482422,189.3000030517578,175.14999389648438,185.0,4864617,2023-07-31
2023-08-07,198.8392333984375,200.1999969482422,214.5500030517578,179.6999969482422,183.39999389648438,19988884,2023-08-07
2023-08-14,200.87530517578125,202.25,208.64999389648438,194.60000610351562,201.89999389648438,4567542,2023-08-14
2023-08-21,210.50936889648438,211.9499969482422,219.8000030517578,201.10000610351562,203.39999389648438,8090868,2023-08-21
2023-08-28,233.62347412109375,234.35000610351562,249.60000610351562,207.0,213.39999389648438,18730604,2023-08-28
2023-09-04,237.66090393066406,238.39999389648438,250.60000610351562,233.0500030517578,239.39999389648438,8962044,2023-09-04
2023-09-11,225.99717712402344,226.6999969482422,248.4499969482422,213.8000030517578,240.14999389648438,7071271,2023-09-11
2023-09-18,215.28050231933594,215.9499969482422,227.89999389648438,211.10000610351562,227.0,3467805,2023-09-18
2023-09-25,215.62942504882812,216.3000030517578,222.89999389648438,213.64999389648438,217.39999389648438,3323610,2023-09-25
2023-10-02,221.76036071777344,222.4499969482422,225.75,216.3000030517578,216.3000030517578,3526296,2023-10-02
2023-10-09,215.1309814453125,215.8000030517578,218.6999969482422,212.64999389648438,218.10000610351562,2092832,2023-10-09
2023-10-16,215.57957458496094,216.25,228.8000030517578,212.10000610351562,216.35000610351562,4778923,2023-10-16
2023-10-23,200.22732543945312,200.85000610351562,217.25,188.0,217.25,5307300,2023-10-23
2023-10-30,205.80995178222656,206.4499969482422,214.0500030517578,197.39999389648438,201.64999389648438,4112286,2023-10-30
2023-11-06,228.7884979248047,229.5,232.64999389648438,207.6999969482422,208.0,9437468,2023-11-06
2023-11-13,269.11309814453125,269.95001220703125,274.20001220703125,231.25,235.9499969482422,12285213,2023-11-13
2023-11-20,267.6177673339844,268.45001220703125,280.5,261.0,271.54998779296875,7040595,2023-11-20
2023-11-27,274.24713134765625,275.1000061035156,304.8500061035156,266.1499938964844,268.45001220703125,10955844,2023-11-27
2023-12-04,281.67401123046875,282.54998779296875,286.6000061035156,274.75,284.0,4192075,2023-12-04
2023-12-11,294.08544921875,295.0,299.29998779296875,281.70001220703125,283.3500061035156,4721295,2023-12-11
2023-12-18,280.4777526855469,281.3500061035156,300.29998779296875,261.6000061035156,293.8500061035156,5243595,2023-12-18
2023-12-25,284.764404296875,285.6499938964844,302.79998779296875,278.54998779296875,281.3500061035156,3421405,2023-12-25
2024-01-01,286.0105285644531,286.8999938964844,297.6000061035156,278.8500061035156,286.8500061035156,2965101,2024-01-01
2024-01-08,302.1104736328125,303.04998779296875,316.5,287.04998779296875,287.04998779296875,8025806,2024-01-08
2024-01-15,314.57171630859375,315.54998779296875,326.0,290.75,303.6499938964844,8755388,2024-01-15
2024-01-22,311.5810241699219,312.54998779296875,323.3500061035156,294.20001220703125,315.54998779296875,2137966,2024-01-22
2024-01-29,314.7212829589844,315.70001220703125,335.8999938964844,310.5,314.04998779296875,3349713,2024-01-29
2024-02-05,334.95831298828125,336.0,352.70001220703125,317.04998779296875,317.70001220703125,7679439,2024-02-05
2024-02-12,356.98980712890625,358.1000061035156,365.0,308.6499938964844,339.79998779296875,5980515,2024-02-12
2024-02-19,347.2700500488281,348.3500061035156,374.95001220703125,333.04998779296875,359.79998779296875,4201298,2024-02-19
2024-02-26,325.73699951171875,326.75,364.79998779296875,320.8500061035156,347.0,6323836,2024-02-26
2024-03-04,341.0394287109375,342.1000061035156,357.6000061035156,333.0,340.0,3555714,2024-03-04
2024-03-11,306.24761962890625,307.20001220703125,349.8999938964844,256.1000061035156,349.8999938964844,6085513,2024-03-11
2024-03-18,318.3100891113281,319.29998779296875,321.0,290.25,313.0,2489087,2024-03-18
2024-03-25,332.96453857421875,334.0,339.8999938964844,311.1000061035156,319.29998779296875,1570465,2024-03-25
2024-04-01,333.0143737792969,334.04998779296875,348.5,324.5,336.3999938964844,2499244,2024-04-01
2024-04-08,334.50970458984375,335.54998779296875,341.0,322.20001220703125,334.95001220703125,1779557,2024-04-08
2024-04-15,361.0771179199219,362.20001220703125,366.1000061035156,320.6499938964844,324.3999938964844,4135625,2024-04-15
2024-04-22,371.7439270019531,372.8999938964844,388.0,356.29998779296875,367.6499938964844,3460600,2024-04-22
2024-04-29,372.5414733886719,373.70001220703125,395.3999938964844,370.1000061035156,376.0,2380426,2024-04-29
2024-05-06,368.45416259765625,369.6000061035156,389.95001220703125,353.1000061035156,376.5,3132786,2024-05-06
2024-05-13,388.6413879394531,389.8500061035156,402.79998779296875,352.0,369.0,2844999,2024-05-13
2024-05-20,396.5168762207031,397.75,407.70001220703125,384.3999938964844,390.95001220703125,1575195,2024-05-20
2024-05-27,400.3050842285156,401.54998779296875,418.5,385.0,397.5,8397882,2024-05-27
2024-06-03,435.7449035644531,437.1000061035156,448.6000061035156,352.0,424.95001220703125,11404988,2024-06-03
2024-06-10,468.24383544921875,469.70001220703125,478.0,424.0,444.1000061035156,6184776,2024-06-10
2024-06-17,473.4775695800781,474.95001220703125,497.70001220703125,468.25,469.70001220703125,4331945,2024-06-17
2024-06-24,524.0203857421875,525.6500244140625,537.9500122070312,470.8999938964844,474.1000061035156,8572692,2024-06-24
2024-07-01,480.80474853515625,482.29998779296875,589.9500122070312,476.29998779296875,530.0,18431539,2024-07-01
2024-07-08,466.6986389160156,468.1499938964844,502.95001220703125,445.54998779296875,482.29998779296875,12041768,2024-07-08
2024-07-15,513.2538452148438,514.8499755859375,519.0,472.79998779296875,473.8999938964844,7246544,2024-07-15
2024-07-22,502.6368713378906,504.20001220703125,514.5,480.04998779296875,510.0,4684700,2024-07-22
2024-07-29,518.7866821289062,520.4000244140625,539.9000244140625,502.0,510.1000061035156,6690512,2024-07-29
2024-08-05,556.3697509765625,558.0999755859375,582.7000122070312,463.0,502.0,24649103,2024-08-05
2024-08-12,541.0175170898438,542.7000122070312,569.1500244140625,529.2999877929688,561.4500122070312,7705229,2024-08-12
2024-08-19,546.9490966796875,548.6500244140625,578.3499755859375,541.0,547.5,4617338,2024-08-19
2024-08-26,554.4500122070312,554.4500122070312,575.9500122070312,546.1500244140625,554.9000244140625,3259064,2024-08-26
2024-09-02,510.04998779296875,510.04998779296875,563.0,508.20001220703125,557.9500122070312,2759679,2024-09-02
2024-09-09,480.70001220703125,480.70001220703125,512.6500244140625,466.6000061035156,511.5,5015183,2024-09-09
2024-09-16,562.4500122070312,562.4500122070312,565.8499755859375,468.3500061035156,480.70001220703125,19018306,2024-09-16
2024-09-23,543.1500244140625,543.1500244140625,615.0,528.75,593.0,14388556,2024-09-23
2024-09-30,645.0499877929688,645.0499877929688,694.2999877929688,524.0499877929688,545.9500122070312,28733948,2024-09-30
