Date,Adj Close_EQUIPPP.NS,Close_EQUIPPP.NS,High_EQUIPPP.NS,Low_EQUIPPP.NS,Open_EQUIPPP.NS,Volume_EQUIPPP.NS,Date
2024-07-01,27.979999542236328,27.979999542236328,28.5,24.100000381469727,25.5,116496,2024-07-01
2024-07-08,25.09000015258789,25.09000015258789,28.3700008392334,23.90999984741211,27.1200008392334,221137,2024-07-08
2024-07-15,24.809999465942383,24.809999465942383,26.350000381469727,24.0,24.0,74520,2024-07-15
2024-07-22,24.18000030517578,24.18000030517578,25.889999389648438,23.649999618530273,23.649999618530273,60280,2024-07-22
2024-07-29,23.989999771118164,23.989999771118164,24.969999313354492,23.100000381469727,24.18000030517578,137078,2024-07-29
2024-08-05,22.809999465942383,22.809999465942383,24.489999771118164,21.899999618530273,23.020000457763672,114365,2024-08-05
2024-08-12,22.739999771118164,22.739999771118164,23.299999237060547,20.40999984741211,23.299999237060547,79860,2024-08-12
2024-08-19,24.700000762939453,24.700000762939453,25.489999771118164,22.850000381469727,23.049999237060547,60702,2024-08-19
2024-08-26,23.329999923706055,23.329999923706055,25.899999618530273,22.709999084472656,25.850000381469727,65531,2024-08-26
2024-09-02,23.43000030517578,23.43000030517578,24.700000762939453,21.670000076293945,23.329999923706055,93147,2024-09-02
2024-09-09,23.020000457763672,23.020000457763672,23.8799991607666,22.360000610351562,22.360000610351562,39047,2024-09-09
2024-09-16,22.34000015258789,22.34000015258789,23.829999923706055,21.6200008392334,23.829999923706055,32604,2024-09-16
2024-09-23,21.260000228881836,21.260000228881836,23.450000762939453,21.110000610351562,23.34000015258789,98094,2024-09-23
2024-09-30,22.190000534057617,22.190000534057617,22.90999984741211,20.799999237060547,21.209999084472656,136151,2024-09-30
2024-10-07,21.06999969482422,21.06999969482422,22.969999313354492,21.0,22.950000762939453,75401,2024-10-07
2024-10-14,21.170000076293945,21.170000076293945,22.540000915527344,20.8799991607666,21.0,189434,2024-10-14
2024-10-21,23.639999389648438,23.639999389648438,24.459999084472656,20.899999618530273,21.75,159326,2024-10-21
2024-10-28,23.700000762939453,23.700000762939453,24.399999618530273,22.75,24.399999618530273,76347,2024-10-28
2024-11-04,24.18000030517578,24.18000030517578,24.690000534057617,22.299999237060547,23.700000762939453,66292,2024-11-04
2024-11-11,24.940000534057617,24.940000534057617,25.739999771118164,23.530000686645508,24.579999923706055,82485,2024-11-11
2024-11-18,26.110000610351562,26.110000610351562,26.950000762939453,23.84000015258789,25.690000534057617,196380,2024-11-18
2024-11-25,28.670000076293945,28.670000076293945,28.700000762939453,25.149999618530273,26.0,255260,2024-11-25
2024-12-02,25.780000686645508,25.780000686645508,30.100000381469727,24.520000457763672,29.200000762939453,740959,2024-12-02
2024-12-09,26.1200008392334,26.1200008392334,26.940000534057617,24.0,25.770000457763672,318523,2024-12-09
2024-12-16,25.040000915527344,25.040000915527344,26.790000915527344,24.309999465942383,25.899999618530273,235058,2024-12-16
2024-12-23,25.329999923706055,25.329999923706055,25.5,23.200000762939453,25.040000915527344,128341,2024-12-23
2024-12-30,24.780000686645508,24.780000686645508,26.3700008392334,24.1200008392334,25.329999923706055,102516,2024-12-30
2025-01-06,24.610000610351562,24.610000610351562,25.350000381469727,23.549999237060547,23.899999618530273,244019,2025-01-06
2025-01-13,24.670000076293945,24.670000076293945,25.25,23.450000762939453,24.610000610351562,81868,2025-01-13
2025-01-20,23.989999771118164,23.989999771118164,25.100000381469727,22.559999465942383,25.100000381469727,78922,2025-01-20
2025-01-27,24.020000457763672,24.020000457763672,25.790000915527344,22.799999237060547,23.5,182849,2025-01-27
2025-02-03,23.0,23.0,24.700000762939453,22.3700008392334,24.700000762939453,139389,2025-02-03
2025-02-10,22.969999313354492,22.969999313354492,23.989999771118164,21.510000228881836,22.600000381469727,76894,2025-02-10
