Date,Adj Close_SESHAPAPER.NS,Close_SESHAPAPER.NS,High_SESHAPAPER.NS,Low_SESHAPAPER.NS,Open_SESHAPAPER.NS,Volume_SESHAPAPER.NS,Date
2022-07-11,184.4940948486328,195.5,201.0,188.14999389648438,196.0,303004,2022-07-11
2022-07-18,205.88925170898438,215.39999389648438,219.8000030517578,196.5,196.5,955139,2022-07-18
2022-07-25,204.64666748046875,214.10000610351562,225.0,207.0500030517578,225.0,998431,2022-07-25
2022-08-01,230.11996459960938,240.75,249.8000030517578,214.5,214.5,1906020,2022-08-01
2022-08-08,234.32568359375,245.14999389648438,266.3999938964844,240.75,240.75,1082453,2022-08-08
2022-08-15,238.19683837890625,249.1999969482422,263.04998779296875,245.14999389648438,245.14999389648438,680656,2022-08-15
2022-08-22,267.8280944824219,280.20001220703125,294.0,244.9499969482422,249.1999969482422,2963800,2022-08-22
2022-08-29,288.3309631347656,301.6499938964844,304.8999938964844,267.95001220703125,271.25,1472644,2022-08-29
2022-09-05,277.7210998535156,290.54998779296875,303.79998779296875,281.3999938964844,303.0,914682,2022-09-05
2022-09-12,269.2618408203125,281.70001220703125,296.29998779296875,275.45001220703125,292.8999938964844,816551,2022-09-12
2022-09-19,269.357421875,281.79998779296875,315.29998779296875,276.3999938964844,285.0,1537709,2022-09-19
2022-09-26,261.5672607421875,273.6499938964844,280.0,257.5,280.0,538551,2022-09-26
2022-10-03,274.4712219238281,287.1499938964844,290.0,267.25,276.1000061035156,296001,2022-10-03
2022-10-10,271.26910400390625,283.79998779296875,294.1000061035156,268.25,286.3999938964844,414018,2022-10-10
2022-10-17,272.55950927734375,285.1499938964844,298.0,278.6000061035156,285.20001220703125,401191,2022-10-17
2022-10-24,308.49932861328125,322.75,339.8999938964844,284.95001220703125,287.70001220703125,1403111,2022-10-24
2022-10-31,300.1834716796875,314.04998779296875,347.8999938964844,303.29998779296875,347.0,1597994,2022-10-31
2022-11-07,294.0660705566406,307.6499938964844,325.0,305.29998779296875,318.0,386841,2022-11-07
2022-11-14,277.09979248046875,289.8999938964844,316.04998779296875,280.0,307.6499938964844,619640,2022-11-14
2022-11-21,282.5003356933594,295.54998779296875,308.5,276.75,291.04998779296875,1021653,2022-11-21
2022-11-28,274.7101745605469,287.3999938964844,297.8999938964844,285.0,297.8999938964844,328134,2022-11-28
2022-12-05,270.3610534667969,282.8500061035156,295.04998779296875,281.0,290.29998779296875,287667,2022-12-05
2022-12-12,273.897705078125,286.54998779296875,295.8999938964844,278.3999938964844,283.0,298638,2022-12-12
2022-12-19,234.89918518066406,245.75,307.0,241.0,284.0,1015928,2022-12-19
2022-12-26,267.4935302734375,279.8500061035156,286.5,244.8000030517578,245.10000610351562,359720,2022-12-26
2023-01-02,272.51171875,285.1000061035156,286.8999938964844,278.0,281.0,162087,2023-01-02
2023-01-09,262.33197021484375,274.45001220703125,287.95001220703125,272.0,286.8999938964844,149322,2023-01-09
2023-01-16,275.7138366699219,288.45001220703125,291.29998779296875,264.5,278.54998779296875,279011,2023-01-16
2023-01-23,256.3101501464844,268.1499938964844,292.95001220703125,262.0,290.5,175561,2023-01-23
2023-01-30,254.58963012695312,266.3500061035156,294.5,264.04998779296875,282.5,662645,2023-01-30
2023-02-06,253.96832275390625,265.70001220703125,272.0,264.04998779296875,268.0,160115,2023-02-06
2023-02-13,248.1376495361328,259.6000061035156,269.1499938964844,257.29998779296875,266.70001220703125,140184,2023-02-13
2023-02-20,239.15267944335938,250.1999969482422,263.8999938964844,250.0500030517578,261.5,93233,2023-02-20
2023-02-27,250.0971221923828,261.6499938964844,265.3999938964844,239.0,250.1999969482422,170097,2023-02-27
2023-03-06,250.7662353515625,262.3500061035156,266.0,258.0,263.5,86902,2023-03-06
2023-03-13,231.21917724609375,241.89999389648438,262.95001220703125,235.0500030517578,262.3500061035156,191326,2023-03-13
2023-03-20,228.54281616210938,239.10000610351562,254.0,235.25,241.9499969482422,147046,2023-03-20
2023-03-27,225.2929229736328,235.6999969482422,242.5,220.10000610351562,240.25,284137,2023-03-27
2023-04-03,236.76309204101562,247.6999969482422,254.1999969482422,236.85000610351562,242.0,176306,2023-04-03
2023-04-10,253.15585327148438,264.8500061035156,268.8500061035156,244.60000610351562,247.6999969482422,290492,2023-04-10
2023-04-17,245.98699951171875,257.3500061035156,275.0,255.60000610351562,265.04998779296875,286756,2023-04-17
2023-04-24,268.3059997558594,280.70001220703125,285.0,258.5,260.3500061035156,429026,2023-04-24
2023-05-01,271.2213439941406,283.75,303.6499938964844,280.70001220703125,280.70001220703125,845921,2023-05-01
