Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2023-05-29,785.8196411132812,795.4000244140625,840.0,774.0499877929688,840.0,2899852,2023-05-29
2023-06-05,792.142578125,801.7999877929688,817.2999877929688,777.0,795.0,1522768,2023-06-05
2023-06-12,861.8427734375,872.3499755859375,887.0,796.0,806.0,1986871,2023-06-12
2023-06-19,802.4666748046875,812.25,877.9000244140625,801.0,872.0,1237246,2023-06-19
2023-06-26,848.4065551757812,858.75,864.5499877929688,780.5,813.7000122070312,1762490,2023-06-26
2023-07-03,812.6919555664062,822.5999755859375,871.8499755859375,804.6500244140625,864.0,1606674,2023-07-03
2023-07-10,864.065673828125,874.5999755859375,912.75,804.7000122070312,822.9500122070312,2980494,2023-07-10
2023-07-17,991.0673828125,1003.1500244140625,1014.6500244140625,861.0999755859375,870.0,8230674,2023-07-17
2023-07-24,1026.732421875,1039.25,1045.0,980.2000122070312,1004.9500122070312,2564584,2023-07-24
2023-07-31,994.3770141601562,1006.5,1069.0,982.0,1060.0,1677490,2023-07-31
2023-08-07,1075.142333984375,1088.25,1140.0,1012.0,1018.9000244140625,3300618,2023-08-07
2023-08-14,1052.1229248046875,1064.949951171875,1122.5999755859375,993.3499755859375,1096.9000244140625,4558772,2023-08-14
2023-08-21,1064.8675537109375,1077.8499755859375,1099.0,1032.699951171875,1071.75,1878106,2023-08-21
2023-08-28,1080.2303466796875,1093.4000244140625,1128.699951171875,1055.050048828125,1085.0,1384326,2023-08-28
2023-09-04,1120.1929931640625,1133.8499755859375,1152.6500244140625,1070.0,1097.6500244140625,2254843,2023-09-04
2023-09-11,1101.224365234375,1114.6500244140625,1179.0,1035.0,1135.0,2329605,2023-09-11
2023-09-18,1072.32666015625,1085.4000244140625,1127.550048828125,1060.0,1114.949951171875,740560,2023-09-18
2023-09-25,1114.6236572265625,1121.0,1219.0,1083.3499755859375,1083.3499755859375,4860333,2023-09-25
2023-10-02,1066.4493408203125,1072.550048828125,1136.300048828125,1066.449951171875,1121.0,1261551,2023-10-02
2023-10-09,992.8204345703125,998.5,1079.0,987.0,1065.0,2149071,2023-10-09
2023-10-16,928.6376342773438,933.9500122070312,1011.9500122070312,907.2000122070312,1005.0,4638932,2023-10-16
