Date,Adj Close_GMBREW.NS,Close_GMBREW.NS,High_GMBREW.NS,Low_GMBREW.NS,Open_GMBREW.NS,Volume_GMBREW.NS,Date
2024-05-06,584.1049194335938,595.5999755859375,624.0,585.5999755859375,623.2000122070312,318877,2024-05-06
2024-05-13,625.5802612304688,632.0800170898438,634.4000244140625,584.0,593.5999755859375,434858,2024-05-13
2024-05-20,666.2279663085938,673.1500244140625,688.7000122070312,624.9199829101562,624.9199829101562,918308,2024-05-20
2024-05-27,610.7047729492188,617.0499877929688,679.0,615.0499877929688,679.0,279022,2024-05-27
2024-06-03,624.7092895507812,631.2000122070312,635.4000244140625,580.0,629.0,349173,2024-06-03
2024-06-10,627.826904296875,634.3499755859375,649.9000244140625,627.0,641.75,252538,2024-06-10
2024-06-17,644.652099609375,651.3499755859375,661.9500122070312,618.0499877929688,634.3499755859375,343417,2024-06-17
2024-06-24,628.3217163085938,634.8499755859375,673.9500122070312,625.0,653.25,389194,2024-06-24
2024-07-01,894.8030395507812,904.0999755859375,948.0,635.0,635.0,12868434,2024-07-01
2024-07-08,846.7522583007812,855.5499877929688,945.0,841.0,918.0,1563810,2024-07-08
2024-07-15,779.0061645507812,787.0999755859375,862.8499755859375,784.0,850.0,425853,2024-07-15
2024-07-22,810.1821899414062,818.5999755859375,875.0,759.1500244140625,785.0499877929688,716994,2024-07-22
2024-07-29,785.4888305664062,793.6500244140625,834.2999877929688,779.0,820.0,355404,2024-07-29
2024-08-05,770.3956298828125,778.4000244140625,794.0,754.2000122070312,775.0,331416,2024-08-05
2024-08-12,761.9335327148438,769.8499755859375,813.25,756.2999877929688,770.5499877929688,310166,2024-08-12
2024-08-19,831.5601196289062,840.2000122070312,874.5999755859375,772.0499877929688,774.75,915846,2024-08-19
2024-08-26,868.7239990234375,877.75,946.7999877929688,819.7999877929688,852.7999877929688,1874431,2024-08-26
2024-09-02,831.0158081054688,839.6500244140625,888.7999877929688,833.0999755859375,880.1500244140625,559757,2024-09-02
2024-09-09,883.3223266601562,892.5,923.5999755859375,815.25,839.6500244140625,973113,2024-09-09
2024-09-16,909.4508666992188,918.9000244140625,1049.0,901.0,930.0,3639557,2024-09-16
2024-09-23,945.4270629882812,955.25,1020.0,907.5499877929688,921.5,1420249,2024-09-23
2024-09-30,870.4065551757812,879.4500122070312,959.5499877929688,856.2000122070312,955.0,486723,2024-09-30
2024-10-07,804.44189453125,812.7999877929688,885.25,804.0999755859375,873.0999755859375,1168091,2024-10-07
2024-10-14,812.5081176757812,820.9500122070312,852.75,790.2999877929688,818.8499755859375,340883,2024-10-14
2024-10-21,757.4302978515625,765.2999877929688,848.5,757.0,824.4500122070312,313880,2024-10-21
2024-10-28,801.522216796875,809.8499755859375,815.0,757.0,762.9500122070312,139880,2024-10-28
2024-11-04,798.6026000976562,806.9000244140625,831.9500122070312,789.0499877929688,812.0,166214,2024-11-04
2024-11-11,755.7973022460938,763.6500244140625,810.7000122070312,740.0,810.7000122070312,105384,2024-11-11
2024-11-18,764.8037109375,772.75,784.9000244140625,736.9500122070312,764.5,120884,2024-11-18
2024-11-25,797.7117919921875,806.0,814.9000244140625,772.3499755859375,784.3499755859375,115542,2024-11-25
2024-12-02,817.6051025390625,826.0999755859375,843.2000122070312,800.0,802.6500244140625,208167,2024-12-02
2024-12-09,807.3120727539062,815.7000122070312,846.0999755859375,805.0,826.0499877929688,157910,2024-12-09
2024-12-16,802.8583374023438,811.2000122070312,881.0,795.9500122070312,822.9500122070312,488714,2024-12-16
2024-12-23,784.0537109375,792.2000122070312,840.0,786.5,840.0,115378,2024-12-23
2024-12-30,838.0427856445312,846.75,859.0,773.5999755859375,791.0499877929688,245455,2024-12-30
2025-01-06,739.3679809570312,747.0499877929688,858.9000244140625,738.4000244140625,850.0,701822,2025-01-06
2025-01-13,739.41748046875,747.0999755859375,755.0,703.0999755859375,732.1500244140625,194032,2025-01-13
2025-01-20,709.1321411132812,716.5,775.0,704.0,741.0499877929688,145998,2025-01-20
2025-01-27,697.9483642578125,705.2000122070312,735.0,649.1500244140625,711.0,240258,2025-01-27
2025-02-03,729.0254516601562,736.5999755859375,799.0,700.0,702.9500122070312,511271,2025-02-03
2025-02-10,661.0319213867188,667.9000244140625,747.9500122070312,657.25,740.0,146981,2025-02-10
2025-02-17,664.54541015625,671.4500122070312,702.2000122070312,642.0,666.9000244140625,113369,2025-02-17
2025-02-24,596.2055053710938,602.4000244140625,667.6500244140625,591.5499877929688,660.0999755859375,102753,2025-02-24
2025-03-03,671.5723876953125,678.5499877929688,682.6500244140625,579.9500122070312,603.9000244140625,172707,2025-03-03
2025-03-10,620.255615234375,626.7000122070312,684.0,625.4000244140625,684.0,72050,2025-03-10
2025-03-17,631.04345703125,637.5999755859375,653.0,611.0,631.9500122070312,243889,2025-03-17
2025-03-24,616.841064453125,623.25,666.9500122070312,600.6500244140625,648.0,432603,2025-03-24
2025-03-31,646.7799682617188,653.5,693.0,623.0,623.25,349864,2025-03-31
2025-04-07,635.29931640625,641.9000244140625,670.0,594.0,599.9500122070312,231588,2025-04-07
2025-04-14,685.4779052734375,692.5999755859375,714.0,635.4000244140625,641.9000244140625,970814,2025-04-14
2025-04-21,677.2632446289062,684.2999877929688,726.0,678.75,697.7999877929688,406450,2025-04-21
2025-04-28,651.5306396484375,658.2999877929688,695.0,654.0499877929688,678.75,128020,2025-04-28
2025-05-05,650.8873291015625,657.6500244140625,673.9000244140625,630.0,658.7999877929688,119912,2025-05-05
2025-05-12,720.9592895507812,728.4500122070312,733.0,665.7000122070312,669.9500122070312,249967,2025-05-12
2025-05-19,708.8352661132812,716.2000122070312,759.0,711.0499877929688,739.9000244140625,234171,2025-05-19
2025-05-26,704.2000122070312,704.2000122070312,718.1500244140625,695.0,715.0,106308,2025-05-26
