Date,Adj Close_CHOICEIN.NS,Close_CHOICEIN.NS,High_CHOICEIN.NS,Low_CHOICEIN.NS,Open_CHOICEIN.NS,Volume_CHOICEIN.NS,Date
2024-01-29,276.67498779296875,276.67498779296875,280.45001220703125,266.2749938964844,271.42498779296875,3196102,2024-01-29
2024-02-05,281.70001220703125,281.70001220703125,284.0,271.1000061035156,280.5,3518412,2024-02-05
2024-02-12,271.95001220703125,271.95001220703125,284.25,266.04998779296875,284.125,2542428,2024-02-12
2024-02-19,288.54998779296875,288.54998779296875,302.0,275.0,275.0,3598559,2024-02-19
2024-02-26,273.79998779296875,273.79998779296875,289.8999938964844,270.3500061035156,289.8999938964844,2149622,2024-02-26
2024-03-04,270.29998779296875,270.29998779296875,280.0,268.0,280.0,1649704,2024-03-04
2024-03-11,250.89999389648438,250.89999389648438,270.75,243.85000610351562,270.70001220703125,2111926,2024-03-11
2024-03-18,258.5,258.5,262.54998779296875,245.5500030517578,253.89999389648438,2514915,2024-03-18
2024-03-25,273.3999938964844,273.3999938964844,275.79998779296875,256.0,258.5,2021537,2024-03-25
2024-04-01,292.3999938964844,292.3999938964844,296.79998779296875,275.6000061035156,279.0,3973130,2024-04-01
2024-04-08,303.1499938964844,303.1499938964844,311.8500061035156,294.0,294.8999938964844,4626738,2024-04-08
2024-04-15,314.45001220703125,314.45001220703125,316.20001220703125,291.0,301.5,3908310,2024-04-15
2024-04-22,325.04998779296875,325.04998779296875,335.5,320.3999938964844,323.8500061035156,5716099,2024-04-22
2024-04-29,335.79998779296875,335.79998779296875,337.79998779296875,323.29998779296875,328.0,2700690,2024-04-29
2024-05-06,322.3500061035156,322.3500061035156,345.25,318.25,342.0,4684382,2024-05-06
2024-05-13,341.04998779296875,341.04998779296875,347.95001220703125,313.6499938964844,323.0,3520604,2024-05-13
2024-05-20,344.45001220703125,344.45001220703125,348.8999938964844,335.1000061035156,337.95001220703125,2708618,2024-05-20
2024-05-27,356.3500061035156,356.3500061035156,360.5,336.79998779296875,348.5,5675847,2024-05-27
2024-06-03,361.1000061035156,361.1000061035156,374.0,321.6000061035156,369.8999938964844,3554376,2024-06-03
2024-06-10,370.0,370.0,375.8999938964844,358.1000061035156,363.95001220703125,3369422,2024-06-10
2024-06-17,378.54998779296875,378.54998779296875,380.45001220703125,367.25,370.0,2348557,2024-06-17
2024-06-24,386.75,386.75,451.20001220703125,374.70001220703125,378.0,3223420,2024-06-24
2024-07-01,391.3500061035156,391.3500061035156,401.0,387.3500061035156,388.5,2619398,2024-07-01
2024-07-08,387.45001220703125,387.45001220703125,398.0,385.8500061035156,392.1499938964844,2325393,2024-07-08
2024-07-15,380.1000061035156,380.1000061035156,397.0,376.70001220703125,389.79998779296875,2380040,2024-07-15
2024-07-22,388.54998779296875,388.54998779296875,394.8500061035156,358.1000061035156,379.6499938964844,2767810,2024-07-22
