Date,Adj Close_ALKEM.NS,Close_ALKEM.NS,High_ALKEM.NS,Low_ALKEM.NS,Open_ALKEM.NS,Volume_ALKEM.NS,Date
2023-03-27,3336.41455078125,3396.10009765625,3414.35009765625,3157.85009765625,3170.300048828125,548210,2023-03-27
2023-04-03,3345.79638671875,3405.64990234375,3430.35009765625,3358.5,3410.0,553021,2023-04-03
2023-04-10,3286.261474609375,3345.050048828125,3429.949951171875,3316.75,3403.25,998358,2023-04-10
2023-04-17,3349.087646484375,3409.0,3462.35009765625,3300.85009765625,3362.699951171875,1333378,2023-04-17
2023-04-24,3448.214111328125,3509.89990234375,3520.0,3385.0,3409.0,747257,2023-04-24
2023-05-01,3404.889404296875,3465.800048828125,3544.10009765625,3452.60009765625,3509.89990234375,388696,2023-05-01
2023-05-08,3348.891357421875,3408.800048828125,3625.0,3405.0,3475.800048828125,1103068,2023-05-08
2023-05-15,3244.06640625,3302.10009765625,3475.0,3275.0,3420.0,1448526,2023-05-15
2023-05-22,3287.0478515625,3345.85009765625,3400.800048828125,3186.300048828125,3225.60009765625,1255168,2023-05-22
2023-05-29,3304.632568359375,3363.75,3418.75,3327.64990234375,3349.89990234375,433823,2023-05-29
2023-06-05,3354.49072265625,3414.5,3460.0,3354.0,3400.0,793489,2023-06-05
2023-06-12,3339.21435546875,3398.949951171875,3450.949951171875,3337.0,3417.10009765625,726163,2023-06-12
2023-06-19,3291.0751953125,3349.949951171875,3456.85009765625,3307.199951171875,3402.949951171875,944861,2023-06-19
2023-06-26,3451.1123046875,3512.85009765625,3517.5,3335.800048828125,3347.0,1120983,2023-06-26
2023-07-03,3429.401123046875,3490.75,3543.949951171875,3442.0,3515.0,492897,2023-07-03
2023-07-10,3457.498046875,3519.35009765625,3550.0,3475.0,3492.39990234375,375500,2023-07-10
2023-07-17,3635.906494140625,3700.949951171875,3747.300048828125,3508.300048828125,3516.14990234375,1341096,2023-07-17
2023-07-24,3925.476318359375,3995.699951171875,4050.0,3693.64990234375,3709.949951171875,1727869,2023-07-24
2023-07-31,4026.9609375,4099.0,4110.0,3900.0,3985.0,958874,2023-07-31
2023-08-07,3754.927490234375,3822.10009765625,4243.0,3800.050048828125,4149.0,1781500,2023-08-07
2023-08-14,3743.34814453125,3801.300048828125,3845.0,3694.050048828125,3829.89990234375,418526,2023-08-14
2023-08-21,3621.681884765625,3677.75,3864.0,3670.050048828125,3801.300048828125,424257,2023-08-21
2023-08-28,3559.642333984375,3614.75,3756.949951171875,3606.60009765625,3677.75,872957,2023-08-28
2023-09-04,3566.04296875,3621.25,3706.949951171875,3612.449951171875,3619.5,768447,2023-09-04
2023-09-11,3619.908935546875,3675.949951171875,3770.949951171875,3621.25,3635.0,1090307,2023-09-11
2023-09-18,3496.519287109375,3550.64990234375,3709.85009765625,3541.050048828125,3690.949951171875,595095,2023-09-18
2023-09-25,3550.92724609375,3605.89990234375,3626.300048828125,3512.050048828125,3552.60009765625,456827,2023-09-25
2023-10-02,3468.798583984375,3522.5,3649.0,3447.0,3605.89990234375,614269,2023-10-02
2023-10-09,3557.377197265625,3612.449951171875,3646.300048828125,3490.050048828125,3502.5,664207,2023-10-09
2023-10-16,3530.936767578125,3585.60009765625,3650.0,3540.0,3615.0,636935,2023-10-16
2023-10-23,3619.121337890625,3675.14990234375,3687.0,3509.949951171875,3576.0,389546,2023-10-23
2023-10-30,3750.881591796875,3808.949951171875,3855.0,3650.199951171875,3694.5,1018882,2023-10-30
2023-11-06,4240.60009765625,4306.25,4337.5,3783.550048828125,3809.0,2933484,2023-11-06
2023-11-13,4380.6328125,4448.4501953125,4450.0,4289.14990234375,4299.60009765625,747399,2023-11-13
2023-11-20,4488.3154296875,4557.7998046875,4593.4501953125,4380.7998046875,4450.0,1326015,2023-11-20
2023-11-27,4577.04150390625,4647.89990234375,4795.5,4515.0498046875,4557.7998046875,1185893,2023-11-27
2023-12-04,4722.93310546875,4796.0498046875,4900.0,4589.25,4649.0,1500519,2023-12-04
2023-12-11,4844.353515625,4919.35009765625,5009.85009765625,4681.89990234375,4795.9501953125,3044223,2023-12-11
2023-12-18,4839.478515625,4914.39990234375,5009.0,4818.64990234375,4899.10009765625,747872,2023-12-18
2023-12-25,5123.28466796875,5202.60009765625,5216.75,4901.10009765625,4914.39990234375,919366,2023-12-25
2024-01-01,5158.73583984375,5238.60009765625,5315.5,5093.2001953125,5209.9501953125,1143487,2024-01-01
2024-01-08,4971.7314453125,5048.7001953125,5268.7001953125,5012.0,5230.0,711454,2024-01-08
2024-01-15,4888.61767578125,4964.2998046875,5104.4501953125,4904.25,5048.10009765625,706890,2024-01-15
2024-01-22,4895.95458984375,4971.75,5044.85009765625,4763.25,4964.2998046875,650522,2024-01-22
2024-01-29,4842.728515625,4917.7001953125,5087.9501953125,4781.39990234375,4998.64990234375,1009910,2024-01-29
2024-02-05,5246.6748046875,5327.89990234375,5420.0,4870.0,4925.35009765625,2607968,2024-02-05
2024-02-12,5361.59619140625,5444.60009765625,5458.2001953125,4967.4501953125,5320.0,1392987,2024-02-12
2024-02-19,5373.9208984375,5421.14990234375,5520.0,5350.9501953125,5444.60009765625,743450,2024-02-19
2024-02-26,5068.35595703125,5112.89990234375,5413.7998046875,4659.0,5405.14990234375,3789659,2024-02-26
2024-03-04,5099.482421875,5144.2998046875,5225.0,5043.60009765625,5156.5498046875,593179,2024-03-04
2024-03-11,5001.24609375,5045.2001953125,5225.0,4857.0498046875,5188.0,876025,2024-03-11
2024-03-18,4748.021484375,4789.75,5068.7998046875,4744.85009765625,5050.0,823318,2024-03-18
2024-03-25,4898.9453125,4942.0,5059.10009765625,4650.0,4789.75,717226,2024-03-25
2024-04-01,4869.85107421875,4912.64990234375,5095.0,4830.0,4930.14990234375,851995,2024-04-01
2024-04-08,4693.947265625,4735.2001953125,4950.0,4725.14990234375,4919.9501953125,559930,2024-04-08
2024-04-15,4576.13232421875,4616.35009765625,4775.9501953125,4567.0498046875,4725.0,693152,2024-04-15
2024-04-22,4867.62060546875,4910.39990234375,4937.39990234375,4631.39990234375,4644.25,699607,2024-04-22
2024-04-29,4861.27587890625,4904.0,5020.0,4739.5,4909.10009765625,538953,2024-04-29
2024-05-06,5084.216796875,5128.89990234375,5208.0,4880.0,4906.0,1224488,2024-05-06
2024-05-13,5390.8720703125,5438.25,5485.4501953125,5081.0,5150.0,1143805,2024-05-13
2024-05-20,5404.15478515625,5451.64990234375,5578.7998046875,5208.14990234375,5437.7001953125,821299,2024-05-20
2024-05-27,4768.54150390625,4810.4501953125,5469.9501953125,4794.10009765625,5469.9501953125,3249086,2024-05-27
2024-06-03,4912.92236328125,4956.10009765625,4963.7998046875,4407.0498046875,4815.0,1734454,2024-06-03
2024-06-10,5057.501953125,5101.9501953125,5134.60009765625,4940.0,4989.0,576103,2024-06-10
