Date,Adj Close_STEELXIND.NS,Close_STEELXIND.NS,High_STEELXIND.NS,Low_STEELXIND.NS,Open_STEELXIND.NS,Volume_STEELXIND.NS,Date
2022-05-02,19.25,19.25,22.774999618530273,19.25,21.899999618530273,9214450,2022-05-02
2022-05-09,15.845000267028809,15.845000267028809,19.200000762939453,15.229999542236328,19.200000762939453,23726330,2022-05-09
2022-05-16,14.619999885559082,14.619999885559082,16.110000610351562,14.305000305175781,16.0,36720700,2022-05-16
2022-05-23,15.085000038146973,15.085000038146973,15.274999618530273,13.005000114440918,15.020000457763672,33456760,2022-05-23
2022-05-30,14.949999809265137,14.949999809265137,16.75,14.824999809265137,15.5,17362840,2022-05-30
2022-06-06,14.454999923706055,14.454999923706055,15.5,13.53499984741211,15.09000015258789,9572180,2022-06-06
2022-06-13,14.630000114440918,14.630000114440918,15.210000038146973,13.354999542236328,13.949999809265137,16124300,2022-06-13
2022-06-20,13.279999732971191,13.279999732971191,14.664999961853027,11.925000190734863,14.510000228881836,25192820,2022-06-20
2022-06-27,16.934999465942383,16.934999465942383,16.934999465942383,13.699999809265137,13.774999618530273,18826250,2022-06-27
2022-07-04,21.55500030517578,21.55500030517578,21.55500030517578,17.399999618530273,17.600000381469727,65439780,2022-07-04
2022-07-11,22.450000762939453,22.450000762939453,23.799999237060547,21.010000228881836,22.0,55199693,2022-07-11
2022-07-18,21.350000381469727,21.350000381469727,23.549999237060547,21.350000381469727,23.0,22997991,2022-07-18
2022-07-25,17.049999237060547,17.049999237060547,21.25,17.049999237060547,21.200000762939453,12181927,2022-07-25
2022-08-01,16.100000381469727,16.100000381469727,16.200000762939453,14.649999618530273,16.200000762939453,47487246,2022-08-01
2022-08-08,14.449999809265137,14.449999809265137,15.600000381469727,14.149999618530273,15.300000190734863,13102051,2022-08-08
2022-08-15,13.25,13.25,14.800000190734863,13.199999809265137,14.449999809265137,11456059,2022-08-15
