Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2022-04-04,3514.037109375,3685.64990234375,3835.60009765625,3642.5,3762.0,10631272,2022-04-04
2022-04-11,3491.44091796875,3661.949951171875,3739.0,3648.35009765625,3690.0,8396808,2022-04-11
2022-04-18,3444.3408203125,3612.550048828125,3644.0,3439.14990234375,3610.0,13493637,2022-04-18
2022-04-25,3381.556640625,3546.699951171875,3623.25,3506.300048828125,3558.0,9386586,2022-04-25
2022-05-02,3272.769775390625,3432.60009765625,3547.949951171875,3424.5,3519.89990234375,7253060,2022-05-02
2022-05-09,3255.89404296875,3414.89990234375,3464.800048828125,3346.85009765625,3398.0,10941302,2022-05-09
2022-05-16,3139.669677734375,3293.0,3495.0,3230.0,3415.0,12524758,2022-05-16
2022-05-23,3109.446044921875,3261.300048828125,3338.89990234375,3154.050048828125,3304.800048828125,13469585,2022-05-23
2022-05-30,3302.062255859375,3440.14990234375,3477.300048828125,3286.35009765625,3297.0,13000985,2022-05-30
2022-06-06,3225.033447265625,3359.89990234375,3453.0,3346.5,3418.0,8384952,2022-06-06
2022-06-13,2964.91162109375,3088.89990234375,3293.0,3023.85009765625,3290.0,14319412,2022-06-13
2022-06-20,3160.914794921875,3293.10009765625,3345.0,3069.0,3094.0,13628241,2022-06-20
2022-06-27,3182.031494140625,3315.10009765625,3362.89990234375,3252.050048828125,3350.0,9794208,2022-06-27
2022-07-04,3134.37451171875,3265.449951171875,3319.39990234375,3202.25,3312.0,11102143,2022-07-04
2022-07-11,2874.396484375,2994.60009765625,3225.0,2953.0,3206.14990234375,23912659,2022-07-11
2022-07-18,3051.75,3171.0,3197.0,3014.300048828125,3023.0,12966646,2022-07-18
2022-07-25,3177.7275390625,3301.89990234375,3317.300048828125,3096.5,3165.0,10363269,2022-07-25
2022-08-01,3238.502685546875,3365.050048828125,3387.89990234375,3271.0,3327.0,8729351,2022-08-01
2022-08-08,3273.630126953125,3401.550048828125,3428.699951171875,3335.0,3365.0,5868797,2022-08-08
2022-08-15,3258.424072265625,3385.75,3421.5,3362.0,3401.550048828125,5291337,2022-08-15
2022-08-22,3101.024658203125,3222.199951171875,3384.10009765625,3214.75,3365.0,8482603,2022-08-22
