Date,Adj Close_MANINFRA.NS,Close_MANINFRA.NS,High_MANINFRA.NS,Low_MANINFRA.NS,Open_MANINFRA.NS,Volume_MANINFRA.NS,Date
2024-04-08,213.71543884277344,215.35000610351562,218.8000030517578,208.0,218.8000030517578,2081197,2024-04-08
2024-04-15,206.52044677734375,208.10000610351562,215.0,203.0,210.0500030517578,1287766,2024-04-15
2024-04-22,207.6617431640625,209.25,212.6999969482422,203.4499969482422,211.89999389648438,2529495,2024-04-22
2024-04-29,209.596923828125,211.1999969482422,221.0,209.89999389648438,212.0,3325373,2024-04-29
2024-05-06,202.5508270263672,204.10000610351562,212.85000610351562,192.75,212.10000610351562,2084988,2024-05-06
2024-05-13,196.050537109375,197.5500030517578,207.5,193.5,204.9499969482422,2863695,2024-05-13
2024-05-20,199.32550048828125,200.85000610351562,202.64999389648438,193.5,197.4499969482422,2003620,2024-05-20
2024-05-27,186.5233917236328,187.9499969482422,202.6999969482422,184.6999969482422,202.6999969482422,1450119,2024-05-27
2024-06-03,193.3214111328125,194.8000030517578,199.0,170.5,197.5,4080211,2024-06-03
2024-06-10,199.1667022705078,200.69000244140625,208.61000061035156,194.7899932861328,198.89999389648438,4296458,2024-06-10
2024-06-17,201.00265502929688,202.5399932861328,206.49000549316406,195.00999450683594,200.69000244140625,2791770,2024-06-17
2024-06-24,194.6313934326172,196.1199951171875,210.39999389648438,195.10000610351562,201.85000610351562,3947129,2024-06-24
2024-07-01,193.52981567382812,195.00999450683594,200.89999389648438,191.14999389648438,197.9199981689453,4246420,2024-07-01
2024-07-08,194.11534118652344,195.60000610351562,205.5500030517578,192.10000610351562,196.0,4735839,2024-07-08
2024-07-15,192.0709686279297,193.5399932861328,199.0,192.10000610351562,195.0,1897284,2024-07-15
2024-07-22,211.31378173828125,212.92999267578125,214.6999969482422,186.10000610351562,192.10000610351562,8379578,2024-07-22
2024-07-29,194.23443603515625,195.72000122070312,218.8000030517578,194.39999389648438,215.0800018310547,5149297,2024-07-29
2024-08-05,186.632568359375,188.05999755859375,193.36000061035156,178.0,191.8800048828125,3851756,2024-08-05
2024-08-12,188.19065856933594,189.6300048828125,192.85000610351562,182.30999755859375,188.10000610351562,1875463,2024-08-12
2024-08-19,197.44984436035156,198.9600067138672,205.0,189.4499969482422,189.4499969482422,4341319,2024-08-19
2024-08-26,196.16871643066406,197.1999969482422,201.74000549316406,193.47999572753906,198.9600067138672,1986316,2024-08-26
2024-09-02,191.37393188476562,192.3800048828125,199.89999389648438,191.33999633789062,197.3000030517578,3683379,2024-09-02
2024-09-09,190.01107788085938,191.00999450683594,196.25999450683594,188.0,191.0,2047148,2024-09-09
2024-09-16,189.82208251953125,190.82000732421875,196.5,184.30999755859375,192.3000030517578,2683755,2024-09-16
2024-09-23,197.60118103027344,198.63999938964844,202.66000366210938,188.5,191.9499969482422,5749994,2024-09-23
2024-09-30,189.22520446777344,190.22000122070312,198.39999389648438,187.5500030517578,198.0,4718181,2024-09-30
2024-10-07,187.60372924804688,188.58999633789062,193.5,181.91000366210938,193.0500030517578,2497366,2024-10-07
2024-10-14,187.71315002441406,188.6999969482422,195.72000122070312,186.47999572753906,189.60000610351562,2586745,2024-10-14
2024-10-21,175.07957458496094,176.0,192.0,173.5,190.5500030517578,2563348,2024-10-21
2024-10-28,194.3383331298828,195.36000061035156,200.0,173.80999755859375,175.1199951171875,3024050,2024-10-28
2024-11-04,187.54405212402344,188.52999877929688,194.99000549316406,188.0,193.60000610351562,1488666,2024-11-04
2024-11-11,171.62771606445312,172.52999877929688,188.8800048828125,167.16000366210938,188.8800048828125,1653923,2024-11-11
2024-11-18,180.9785614013672,181.92999267578125,184.60000610351562,170.7899932861328,172.02999877929688,2642087,2024-11-18
2024-11-25,232.9752197265625,234.1999969482422,236.89999389648438,187.1999969482422,192.0,38048528,2024-11-25
2024-12-02,242.23651123046875,243.50999450683594,248.85000610351562,226.5,234.9499969482422,16370942,2024-12-02
2024-12-09,233.5720672607422,234.8000030517578,249.39999389648438,231.10000610351562,245.75999450683594,4656755,2024-12-09
2024-12-16,232.05007934570312,233.27000427246094,250.0,228.00999450683594,238.0,9352496,2024-12-16
2024-12-23,253.92506408691406,255.25999450683594,256.79998779296875,231.0,232.0,16957586,2024-12-23
2024-12-30,248.5035858154297,249.80999755859375,262.79998779296875,241.10000610351562,255.89999389648438,10511631,2024-12-30
