Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2022-11-14,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,12753,2022-11-14
2022-11-21,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,2137,2022-11-21
2022-11-28,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,20188,2022-11-28
2022-12-05,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,1632,2022-12-05
2022-12-12,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,0,2022-12-12
2022-12-19,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,1712,2022-12-19
2022-12-26,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,517,2022-12-26
2023-01-02,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,15.850000381469727,160,2023-01-02
2023-01-09,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,112,2023-01-09
2023-01-16,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,0,2023-01-16
2023-01-23,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,120,2023-01-23
2023-01-30,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,1000,2023-01-30
2023-02-06,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,16.600000381469727,1400,2023-02-06
2023-02-13,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,400,2023-02-13
2023-02-20,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,600,2023-02-20
2023-02-27,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,1200,2023-02-27
2023-03-06,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,1512,2023-03-06
2023-03-13,21.100000381469727,21.100000381469727,21.100000381469727,17.399999618530273,17.399999618530273,5304,2023-03-13
2023-03-20,26.850000381469727,26.850000381469727,26.850000381469727,22.149999618530273,22.149999618530273,4955,2023-03-20
2023-03-27,32.54999923706055,32.54999923706055,32.54999923706055,28.149999618530273,28.149999618530273,7363,2023-03-27
2023-04-03,37.599998474121094,37.599998474121094,37.599998474121094,34.150001525878906,34.150001525878906,5692,2023-04-03
2023-04-10,45.599998474121094,45.599998474121094,45.599998474121094,39.45000076293945,39.45000076293945,8795,2023-04-10
2023-04-17,58.04999923706055,58.04999923706055,58.04999923706055,47.849998474121094,47.849998474121094,11567,2023-04-17
