Date,Adj Close_TPLPLASTEH.NS,Close_TPLPLASTEH.NS,High_TPLPLASTEH.NS,Low_TPLPLASTEH.NS,Open_TPLPLASTEH.NS,Volume_TPLPLASTEH.NS,Date
2022-07-18,34.880218505859375,36.08000183105469,36.79999923706055,33.599998474121094,33.599998474121094,1790030,2022-07-18
2022-07-25,32.685699462890625,33.810001373291016,36.61000061035156,33.119998931884766,36.58000183105469,473705,2022-07-25
2022-08-01,33.43009567260742,34.58000183105469,38.06999969482422,34.29999923706055,36.0,811205,2022-08-01
2022-08-08,32.540687561035156,33.65999984741211,36.20000076293945,32.7599983215332,35.599998474121094,340600,2022-08-08
2022-08-15,31.89297103881836,32.9900016784668,34.61000061035156,32.849998474121094,33.65999984741211,232970,2022-08-15
2022-08-22,32.415008544921875,33.529998779296875,34.20000076293945,31.530000686645508,32.33000183105469,294310,2022-08-22
2022-08-29,31.921972274780273,33.02000045776367,33.75,32.599998474121094,33.0,145710,2022-08-29
2022-09-05,33.5074348449707,34.65999984741211,37.79999923706055,32.77000045776367,32.79999923706055,1561270,2022-09-05
2022-09-12,32.366668701171875,33.47999954223633,36.0,33.029998779296875,36.0,432030,2022-09-12
2022-09-19,32.31833267211914,33.43000030517578,35.08000183105469,33.209999084472656,34.0,319590,2022-09-19
2022-09-26,33.6369743347168,34.38999938964844,36.5099983215332,32.22999954223633,33.310001373291016,515065,2022-09-26
2022-10-03,40.52281951904297,41.43000030517578,42.599998474121094,33.630001068115234,34.29999923706055,5145025,2022-10-03
2022-10-10,37.872161865234375,38.720001220703125,43.400001525878906,37.43000030517578,41.56999969482422,3181925,2022-10-10
2022-10-17,35.35843276977539,36.150001525878906,41.0,34.5,38.720001220703125,2999238,2022-10-17
2022-10-24,30.761348724365234,31.450000762939453,36.75,31.200000762939453,36.04999923706055,1123285,2022-10-24
2022-10-31,34.331424713134766,35.099998474121094,36.650001525878906,32.45000076293945,32.900001525878906,2277764,2022-10-31
2022-11-07,32.17959976196289,32.900001525878906,35.75,32.5,35.099998474121094,895666,2022-11-07
2022-11-14,31.054779052734375,31.75,33.599998474121094,31.049999237060547,32.900001525878906,1120125,2022-11-14
2022-11-21,31.592735290527344,32.29999923706055,33.0,31.149999618530273,31.25,604696,2022-11-21
2022-11-28,32.570838928222656,33.29999923706055,34.5,31.100000381469727,32.04999923706055,795416,2022-11-28
2022-12-05,32.2285041809082,32.95000076293945,34.79999923706055,32.45000076293945,33.29999923706055,870092,2022-12-05
2022-12-12,30.663537979125977,31.350000381469727,33.400001525878906,31.299999237060547,32.20000076293945,566622,2022-12-12
2022-12-19,25.7241153717041,26.299999237060547,32.0,25.799999237060547,31.950000762939453,331567,2022-12-19
2022-12-26,30.956968307495117,31.649999618530273,32.79999923706055,26.299999237060547,28.399999618530273,342820,2022-12-26
2023-01-02,29.929960250854492,30.600000381469727,32.75,30.399999618530273,32.599998474121094,150167,2023-01-02
2023-01-09,30.71244239807129,31.399999618530273,33.45000076293945,30.899999618530273,30.899999618530273,332651,2023-01-09
2023-01-16,34.38032913208008,35.150001525878906,38.099998474121094,29.700000762939453,31.850000381469727,2235071,2023-01-16
2023-01-23,32.03288269042969,32.75,35.79999923706055,32.099998474121094,35.79999923706055,296757,2023-01-23
2023-01-30,35.16281509399414,35.95000076293945,37.650001525878906,31.049999237060547,32.75,931988,2023-01-30
2023-02-06,33.695655822753906,34.45000076293945,36.79999923706055,33.099998474121094,35.95000076293945,322871,2023-02-06
2023-02-13,31.886165618896484,32.599998474121094,36.5,31.799999237060547,36.0,230221,2023-02-13
2023-02-20,31.005874633789062,31.700000762939453,33.70000076293945,31.25,33.70000076293945,78875,2023-02-20
2023-02-27,30.859159469604492,31.549999237060547,32.04999923706055,30.5,31.25,146350,2023-02-27
2023-03-06,31.005874633789062,31.700000762939453,33.20000076293945,31.0,31.25,103015,2023-03-06
2023-03-13,29.538719177246094,30.200000762939453,31.899999618530273,29.399999618530273,30.899999618530273,223810,2023-03-13
2023-03-20,28.316091537475586,28.950000762939453,31.600000381469727,28.75,29.450000762939453,90273,2023-03-20
2023-03-27,27.9737548828125,28.600000381469727,30.899999618530273,27.100000381469727,28.899999618530273,169859,2023-03-27
2023-04-03,30.223390579223633,30.899999618530273,31.299999237060547,28.5,28.5,141799,2023-04-03
2023-04-10,29.049667358398438,29.700000762939453,31.75,29.200000762939453,31.75,110207,2023-04-10
2023-04-17,33.84237289428711,34.599998474121094,36.349998474121094,29.200000762939453,30.850000381469727,1394328,2023-04-17
2023-04-24,32.42412567138672,33.150001525878906,34.5,31.149999618530273,34.5,707215,2023-04-24
2023-05-01,33.500038146972656,34.25,35.5,31.549999237060547,33.150001525878906,663592,2023-05-01
2023-05-08,33.940185546875,34.70000076293945,35.400001525878906,32.349998474121094,34.25,748533,2023-05-08
2023-05-15,35.749671936035156,36.54999923706055,37.70000076293945,33.5,33.75,1330815,2023-05-15
2023-05-22,43.32997512817383,44.29999923706055,47.5,37.25,37.25,4927221,2023-05-22
2023-05-29,42.49858856201172,43.45000076293945,46.849998474121094,41.099998474121094,42.099998474121094,1754039,2023-05-29
2023-06-05,40.24895095825195,41.150001525878906,45.5,40.650001525878906,44.45000076293945,1167953,2023-06-05
2023-06-12,43.08544921875,44.04999923706055,45.79999923706055,40.20000076293945,41.54999923706055,1402568,2023-06-12
2023-06-19,43.916839599609375,44.900001525878906,50.400001525878906,42.5,45.25,3852845,2023-06-19
