Date,Adj Close_SMSPHARMA.NS,Close_SMSPHARMA.NS,High_SMSPHARMA.NS,Low_SMSPHARMA.NS,Open_SMSPHARMA.NS,Volume_SMSPHARMA.NS,Date
2022-02-07,110.13449096679688,110.9000015258789,128.89999389648438,110.05000305175781,128.89999389648438,598293,2022-02-07
2022-02-14,104.57315063476562,105.30000305175781,111.9000015258789,101.0,103.0,333316,2022-02-14
2022-02-21,98.96215057373047,99.6500015258789,106.0,95.0,101.25,379611,2022-02-21
2022-02-28,94.84078979492188,95.5,101.5999984741211,94.0,99.05000305175781,210173,2022-02-28
2022-03-07,98.1180191040039,98.80000305175781,100.3499984741211,81.0999984741211,93.0,444783,2022-03-07
2022-03-14,95.6352767944336,96.30000305175781,102.0,95.75,97.4000015258789,477865,2022-03-14
2022-03-21,103.43109130859375,104.1500015258789,114.80000305175781,100.0,100.0,2126138,2022-03-21
2022-03-28,102.18971252441406,102.9000015258789,104.80000305175781,93.0,104.1500015258789,1307259,2022-03-28
2022-04-04,103.97728729248047,104.69999694824219,106.0999984741211,101.0999984741211,101.55000305175781,355699,2022-04-04
2022-04-11,105.61589813232422,106.3499984741211,109.80000305175781,104.55000305175781,106.4000015258789,330792,2022-04-11
2022-04-18,101.44489288330078,102.1500015258789,106.5999984741211,100.0,102.5999984741211,293681,2022-04-18
2022-04-25,98.46560668945312,99.1500015258789,103.9000015258789,98.0999984741211,102.19999694824219,265506,2022-04-25
2022-05-02,94.98976135253906,95.6500015258789,99.69999694824219,94.30000305175781,99.1500015258789,141722,2022-05-02
2022-05-09,81.78156280517578,82.3499984741211,96.3499984741211,81.19999694824219,96.3499984741211,294873,2022-05-09
2022-05-16,86.64774322509766,87.25,90.0,83.0,84.9000015258789,160232,2022-05-16
2022-05-23,84.01603698730469,84.5999984741211,88.0,81.0999984741211,88.0,97584,2022-05-23
2022-05-30,81.58294677734375,82.1500015258789,88.0,78.0,85.3499984741211,365731,2022-05-30
2022-06-06,81.58294677734375,82.1500015258789,85.0,68.4000015258789,82.5,176672,2022-06-06
2022-06-13,71.70162200927734,72.19999694824219,81.80000305175781,68.69999694824219,80.0999984741211,137850,2022-06-13
2022-06-20,76.71676635742188,77.25,79.80000305175781,71.0,74.5,147587,2022-06-20
2022-06-27,80.14295959472656,80.69999694824219,85.9000015258789,77.94999694824219,77.94999694824219,99236,2022-06-27
2022-07-04,81.33467102050781,81.9000015258789,83.75,78.05000305175781,81.8499984741211,492743,2022-07-04
2022-07-11,87.74015045166016,88.3499984741211,93.80000305175781,78.19999694824219,82.44999694824219,1055049,2022-07-11
2022-07-18,86.1015396118164,86.69999694824219,90.0,81.1500015258789,89.4000015258789,292302,2022-07-18
2022-07-25,85.70430755615234,86.30000305175781,90.0,85.0,88.80000305175781,235837,2022-07-25
2022-08-01,86.49877166748047,87.0999984741211,89.55000305175781,85.0,87.1500015258789,174598,2022-08-01
2022-08-08,86.44912719726562,87.05000305175781,89.0,83.30000305175781,87.94999694824219,122528,2022-08-08
2022-08-15,80.29191589355469,80.8499984741211,87.05000305175781,76.3499984741211,87.05000305175781,359550,2022-08-15
2022-08-22,80.14295959472656,80.69999694824219,82.0,79.0999984741211,81.25,145221,2022-08-22
2022-08-29,80.58985900878906,81.1500015258789,82.55000305175781,77.8499984741211,79.5,107062,2022-08-29
2022-09-05,81.78156280517578,82.3499984741211,88.4000015258789,80.69999694824219,81.94999694824219,342741,2022-09-05
2022-09-12,86.39946746826172,87.0,99.0,82.0999984741211,84.4000015258789,1754375,2022-09-12
2022-09-19,85.8036117553711,86.4000015258789,92.6500015258789,85.55000305175781,87.8499984741211,228418,2022-09-19
2022-09-26,87.88626098632812,88.19999694824219,89.9000015258789,84.0,85.5,123129,2022-09-26
2022-10-03,90.02862548828125,90.3499984741211,93.55000305175781,86.5999984741211,88.19999694824219,162892,2022-10-03
2022-10-10,88.88270568847656,89.19999694824219,92.19999694824219,87.0,91.19999694824219,146597,2022-10-10
2022-10-17,88.08556365966797,88.4000015258789,90.8499984741211,86.0,89.80000305175781,108000,2022-10-17
2022-10-24,90.02862548828125,90.3499984741211,92.9000015258789,87.0999984741211,88.9000015258789,210788,2022-10-24
2022-10-31,88.48413848876953,88.80000305175781,91.9000015258789,87.5,91.25,137105,2022-10-31
2022-11-07,104.27775573730469,104.6500015258789,105.5999984741211,88.80000305175781,89.55000305175781,1179961,2022-11-07
2022-11-14,82.55530548095703,82.8499984741211,102.5,82.25,102.5,1009108,2022-11-14
2022-11-21,84.39871215820312,84.69999694824219,86.6500015258789,81.0,82.8499984741211,206652,2022-11-21
2022-11-28,84.3488998413086,84.6500015258789,86.3499984741211,81.6500015258789,85.75,167281,2022-11-28
2022-12-05,82.904052734375,83.19999694824219,86.5,83.0,84.6500015258789,115919,2022-12-05
2022-12-12,81.11045837402344,81.4000015258789,84.0999984741211,81.0,83.94999694824219,177135,2022-12-12
2022-12-19,80.31330108642578,80.5999984741211,90.8499984741211,79.3499984741211,82.1500015258789,1128550,2022-12-19
2022-12-26,82.50548553466797,82.80000305175781,88.5,82.19999694824219,82.5,405455,2022-12-26
2023-01-02,81.40938568115234,81.69999694824219,84.44999694824219,80.5,83.80000305175781,171284,2023-01-02
2023-01-09,79.76526641845703,80.05000305175781,82.55000305175781,77.5999984741211,82.5,153869,2023-01-09
2023-01-16,78.46988677978516,78.75,81.19999694824219,77.3499984741211,81.0,108244,2023-01-16
2023-01-23,75.53038024902344,75.80000305175781,80.69999694824219,72.30000305175781,79.9000015258789,115488,2023-01-23
2023-01-30,73.38803100585938,73.6500015258789,77.80000305175781,71.9000015258789,75.0,108218,2023-01-30
2023-02-06,73.18873596191406,73.44999694824219,76.05000305175781,71.0,74.3499984741211,190749,2023-02-06
2023-02-13,70.39869689941406,70.6500015258789,73.94999694824219,68.75,72.0,169433,2023-02-13
2023-02-20,67.9075927734375,68.1500015258789,72.0,68.0,70.6500015258789,75766,2023-02-20
2023-02-27,69.05349731445312,69.30000305175781,70.4000015258789,67.1500015258789,68.0,83347,2023-02-27
2023-03-06,68.35598754882812,68.5999984741211,70.8499984741211,67.80000305175781,70.8499984741211,83767,2023-03-06
2023-03-13,64.22074127197266,64.44999694824219,69.25,63.849998474121094,67.5,136681,2023-03-13
2023-03-20,63.87199020385742,64.0999984741211,69.8499984741211,63.400001525878906,66.0999984741211,322320,2023-03-20
2023-03-27,58.04280471801758,58.25,64.80000305175781,54.54999923706055,64.0999984741211,533483,2023-03-27
2023-04-03,65.8150634765625,66.05000305175781,66.9000015258789,58.54999923706055,58.75,266126,2023-04-03
2023-04-10,71.84353637695312,72.0999984741211,74.80000305175781,65.8499984741211,66.9000015258789,271521,2023-04-10
2023-04-17,80.71188354492188,81.0,83.25,71.25,71.25,424811,2023-04-17
2023-04-24,80.26348876953125,80.55000305175781,84.80000305175781,80.19999694824219,80.5,211337,2023-04-24
2023-05-01,84.3488998413086,84.6500015258789,87.44999694824219,79.4000015258789,80.55000305175781,255692,2023-05-01
2023-05-08,84.6478271484375,84.94999694824219,88.5,83.30000305175781,85.44999694824219,262927,2023-05-08
2023-05-15,85.84355926513672,86.1500015258789,89.44999694824219,83.0999984741211,83.0999984741211,333082,2023-05-15
2023-05-22,84.29907989501953,84.5999984741211,96.9000015258789,81.69999694824219,86.1500015258789,1398294,2023-05-22
2023-05-29,85.09622955322266,85.4000015258789,86.0999984741211,82.3499984741211,84.8499984741211,197296,2023-05-29
2023-06-05,90.72613525390625,91.05000305175781,94.94999694824219,85.05000305175781,85.9000015258789,1314283,2023-06-05
2023-06-12,92.07133483886719,92.4000015258789,94.80000305175781,91.0,91.75,403549,2023-06-12
2023-06-19,91.82222747802734,92.1500015258789,96.94999694824219,90.80000305175781,93.1500015258789,417888,2023-06-19
2023-06-26,90.72613525390625,91.05000305175781,97.80000305175781,88.0,92.0,322263,2023-06-26
2023-07-03,93.51617431640625,93.8499984741211,94.6500015258789,88.5999984741211,92.5,264997,2023-07-03
2023-07-10,101.23860168457031,101.5999984741211,102.0,91.75,93.05000305175781,774354,2023-07-10
2023-07-17,109.06067657470703,109.44999694824219,118.69999694824219,100.80000305175781,103.9000015258789,3888523,2023-07-17
2023-07-24,116.13542938232422,116.55000305175781,121.0,108.30000305175781,109.0,688236,2023-07-24
2023-07-31,119.62297821044922,120.05000305175781,121.75,113.4000015258789,117.9000015258789,770685,2023-07-31
2023-08-07,128.34185791015625,128.8000030517578,136.10000610351562,118.44999694824219,120.9000015258789,3071921,2023-08-07
2023-08-14,125.05359649658203,125.5,129.64999389648438,122.9000015258789,128.89999389648438,505637,2023-08-14
2023-08-21,132.42726135253906,132.89999389648438,140.0,125.1500015258789,126.0,1286555,2023-08-21
2023-08-28,128.142578125,128.60000610351562,134.89999389648438,127.0,133.10000610351562,658694,2023-08-28
2023-09-04,127.04647827148438,127.5,131.8000030517578,121.1500015258789,129.8000030517578,628509,2023-09-04
