Date,Adj Close_NRL.NS,Close_NRL.NS,High_NRL.NS,Low_NRL.NS,Open_NRL.NS,Volume_NRL.NS,Date
2024-03-25,90.69999694824219,90.69999694824219,94.3499984741211,72.94999694824219,81.0,2940798,2024-03-25
2024-04-01,94.75,94.75,106.5,91.5,92.5,4059788,2024-04-01
2024-04-08,83.3499984741211,83.3499984741211,94.5999984741211,81.69999694824219,93.30000305175781,1002871,2024-04-08
2024-04-15,81.44999694824219,81.44999694824219,86.94999694824219,78.05000305175781,78.05000305175781,608010,2024-04-15
2024-04-22,80.5999984741211,80.5999984741211,84.8499984741211,78.3499984741211,81.5,612808,2024-04-22
2024-04-29,78.9000015258789,78.9000015258789,81.8499984741211,76.69999694824219,81.0,378188,2024-04-29
2024-05-06,75.0999984741211,75.0999984741211,80.5,73.0,79.4000015258789,363415,2024-05-06
2024-05-13,79.25,79.25,81.05000305175781,71.8499984741211,76.0,486450,2024-05-13
2024-05-20,75.25,75.25,81.1500015258789,75.0,79.25,295173,2024-05-20
2024-05-27,76.5999984741211,76.5999984741211,79.75,72.94999694824219,77.0,494964,2024-05-27
2024-06-03,93.19999694824219,93.19999694824219,96.25,76.25,79.0,2486012,2024-06-03
2024-06-10,88.6500015258789,88.6500015258789,96.5,87.5,93.9000015258789,618528,2024-06-10
2024-06-17,88.80000305175781,88.80000305175781,91.97000122070312,83.80999755859375,88.6500015258789,648712,2024-06-17
2024-06-24,85.68000030517578,85.68000030517578,90.0199966430664,84.83000183105469,89.80000305175781,450319,2024-06-24
2024-07-01,94.47000122070312,94.47000122070312,97.44999694824219,84.56999969482422,86.0,1545430,2024-07-01
2024-07-08,90.44999694824219,90.44999694824219,100.75,89.66000366210938,98.4000015258789,1729890,2024-07-08
2024-07-15,88.29000091552734,88.29000091552734,93.0,87.23999786376953,89.19999694824219,503011,2024-07-15
2024-07-22,88.98999786376953,88.98999786376953,95.05999755859375,86.73999786376953,86.94999694824219,696960,2024-07-22
2024-07-29,87.5999984741211,87.5999984741211,93.91999816894531,86.11000061035156,88.69999694824219,860253,2024-07-29
2024-08-05,85.95999908447266,85.95999908447266,89.0,81.5,85.8499984741211,687381,2024-08-05
2024-08-12,83.54000091552734,83.54000091552734,88.4000015258789,81.51000213623047,88.4000015258789,385379,2024-08-12
2024-08-19,86.93000030517578,86.93000030517578,91.0,83.69999694824219,84.80000305175781,643397,2024-08-19
2024-08-26,100.45999908447266,100.45999908447266,106.0,86.61000061035156,88.1500015258789,9723351,2024-08-26
2024-09-02,122.4000015258789,122.4000015258789,129.11000061035156,93.51000213623047,100.45999908447266,16979348,2024-09-02
2024-09-09,114.06999969482422,114.06999969482422,128.64999389648438,113.18000030517578,124.0,4570503,2024-09-09
2024-09-16,113.18000030517578,113.18000030517578,123.41999816894531,109.0999984741211,119.0,2200026,2024-09-16
2024-09-23,115.05999755859375,115.05999755859375,118.69999694824219,107.04000091552734,113.9000015258789,2057312,2024-09-23
2024-09-30,105.43000030517578,105.43000030517578,125.0999984741211,103.22000122070312,115.98999786376953,3049340,2024-09-30
