Date,Adj Close_PLASTIBLEN.NS,Close_PLASTIBLEN.NS,High_PLASTIBLEN.NS,Low_PLASTIBLEN.NS,Open_PLASTIBLEN.NS,Volume_PLASTIBLEN.NS,Date
2021-05-24,222.6841278076172,241.8000030517578,268.0,240.5,266.5,296790,2021-05-24
2021-05-31,225.17068481445312,244.5,249.0500030517578,237.14999389648438,245.0,138270,2021-05-31
2021-06-07,225.3087921142578,244.64999389648438,257.0,240.0,250.0,376201,2021-06-07
2021-06-14,228.99258422851562,248.64999389648438,263.3999938964844,239.0,248.4499969482422,526004,2021-06-14
2021-06-21,243.1750946044922,264.04998779296875,269.5,245.0,248.64999389648438,343613,2021-06-21
2021-06-28,244.92489624023438,265.95001220703125,278.79998779296875,256.54998779296875,270.8999938964844,491956,2021-06-28
2021-07-05,245.6616668701172,266.75,277.5,261.25,273.0,260060,2021-07-05
2021-07-12,254.27247619628906,276.1000061035156,295.8500061035156,266.79998779296875,268.95001220703125,1097357,2021-07-12
2021-07-19,245.0442352294922,262.3999938964844,282.0,256.1000061035156,272.0,296295,2021-07-19
2021-07-26,252.1415557861328,270.0,274.8999938964844,252.5500030517578,259.8999938964844,247525,2021-07-26
2021-08-02,249.48007202148438,267.1499938964844,274.8999938964844,255.0500030517578,272.79998779296875,230150,2021-08-02
2021-08-09,257.1376953125,275.3500061035156,294.3999938964844,253.25,269.45001220703125,840788,2021-08-09
2021-08-16,249.66683959960938,267.3500061035156,292.0,263.5,285.0,838028,2021-08-16
2021-08-23,246.77188110351562,264.25,273.3999938964844,251.5500030517578,268.0,353671,2021-08-23
2021-08-30,245.2310028076172,262.6000061035156,275.3999938964844,260.20001220703125,263.5,263606,2021-08-30
2021-09-06,253.8224639892578,271.79998779296875,290.0,261.5,262.6000061035156,651860,2021-09-06
2021-09-13,259.2855529785156,277.6499938964844,306.0,266.54998779296875,271.79998779296875,1341095,2021-09-13
2021-09-20,257.37115478515625,275.6000061035156,288.1499938964844,265.25,274.5,421972,2021-09-20
2021-09-27,255.4567413330078,273.54998779296875,288.04998779296875,271.25,276.95001220703125,259070,2021-09-27
2021-10-04,266.38287353515625,285.25,287.0,271.04998779296875,278.0,205648,2021-10-04
2021-10-11,252.74856567382812,270.6499938964844,300.0,268.25,290.0,537518,2021-10-11
2021-10-18,223.70559692382812,239.5500030517578,277.25,237.3000030517578,275.6499938964844,371424,2021-10-18
2021-10-25,217.4954376220703,232.89999389648438,249.6999969482422,231.0,239.5500030517578,113642,2021-10-25
2021-11-01,229.12196350097656,245.35000610351562,249.1999969482422,233.0,236.9499969482422,52909,2021-11-01
2021-11-08,231.2698516845703,247.64999389648438,254.60000610351562,241.35000610351562,249.0500030517578,66697,2021-11-08
2021-11-15,224.59275817871094,240.5,251.64999389648438,238.0,251.64999389648438,36460,2021-11-15
2021-11-22,219.92347717285156,235.5,246.0,225.6999969482422,243.89999389648438,51074,2021-11-22
2021-11-29,230.19590759277344,246.5,253.0,223.0,229.0,161753,2021-11-29
2021-12-06,223.1919708251953,239.0,249.8000030517578,232.85000610351562,249.8000030517578,42246,2021-12-06
2021-12-13,213.012939453125,228.10000610351562,244.8000030517578,224.9499969482422,244.8000030517578,46061,2021-12-13
2021-12-20,206.1023712158203,220.6999969482422,225.35000610351562,205.1999969482422,225.0,57789,2021-12-20
2021-12-27,214.13356018066406,229.3000030517578,233.4499969482422,213.0500030517578,220.6999969482422,63477,2021-12-27
2022-01-03,220.81063842773438,236.4499969482422,241.9499969482422,230.1999969482422,237.0,64020,2022-01-03
2022-01-10,232.85740661621094,249.35000610351562,264.79998779296875,239.4499969482422,242.9499969482422,230526,2022-01-10
2022-01-17,238.22708129882812,255.10000610351562,261.95001220703125,237.0500030517578,252.89999389648438,404666,2022-01-17
2022-01-24,221.18417358398438,236.85000610351562,258.0,222.0,257.1000061035156,107987,2022-01-24
2022-01-31,236.63949584960938,253.39999389648438,263.5,237.1999969482422,244.89999389648438,333013,2022-01-31
2022-02-07,224.91961669921875,240.85000610351562,258.0,234.6999969482422,257.8999938964844,309988,2022-02-07
2022-02-14,204.09458923339844,218.5500030517578,238.6999969482422,215.0500030517578,236.0,173122,2022-02-14
2022-02-21,190.8338165283203,204.35000610351562,221.9499969482422,193.10000610351562,221.9499969482422,87636,2022-02-21
2022-02-28,193.40191650390625,207.10000610351562,214.25,198.3000030517578,212.5,57775,2022-02-28
2022-03-07,198.7716064453125,212.85000610351562,216.8000030517578,198.0,203.0,67009,2022-03-07
2022-03-14,201.61985778808594,215.89999389648438,225.0,209.35000610351562,215.89999389648438,141372,2022-03-14
2022-03-21,198.86497497558594,212.9499969482422,223.3000030517578,211.0,217.0,125367,2022-03-21
2022-03-28,192.8415985107422,206.5,218.0,195.0,218.0,239440,2022-03-28
2022-04-04,218.98960876464844,234.5,243.9499969482422,210.10000610351562,210.10000610351562,417928,2022-04-04
2022-04-11,216.60826110839844,231.9499969482422,238.9499969482422,230.0,230.35000610351562,69008,2022-04-11
2022-04-18,215.34756469726562,230.60000610351562,242.39999389648438,228.8000030517578,235.0,151374,2022-04-18
2022-04-25,215.30087280273438,230.5500030517578,246.35000610351562,220.0,229.25,326104,2022-04-25
2022-05-02,193.2151336669922,206.89999389648438,232.0,202.0500030517578,232.0,100474,2022-05-02
2022-05-09,172.20333862304688,184.39999389648438,209.89999389648438,177.0500030517578,209.89999389648438,88647,2022-05-09
2022-05-16,182.6625518798828,195.60000610351562,199.89999389648438,184.75,192.9499969482422,66066,2022-05-16
2022-05-23,173.1838836669922,185.4499969482422,200.64999389648438,179.0,200.64999389648438,44137,2022-05-23
2022-05-30,189.75985717773438,203.1999969482422,204.64999389648438,187.25,188.14999389648438,46458,2022-05-30
2022-06-06,189.4330291748047,202.85000610351562,209.8000030517578,201.10000610351562,208.8000030517578,46741,2022-06-06
2022-06-13,170.3356170654297,182.39999389648438,205.0,180.5,203.10000610351562,35468,2022-06-13
2022-06-20,178.50363159179688,187.10000610351562,189.4499969482422,178.0,182.4499969482422,35321,2022-06-20
2022-06-27,189.3798370361328,198.5,200.0,190.75,190.75,18939,2022-06-27
2022-07-04,197.96633911132812,207.5,228.0,192.0,199.3000030517578,194150,2022-07-04
2022-07-11,187.66253662109375,196.6999969482422,218.89999389648438,194.5,207.0,287190,2022-07-11
2022-07-18,194.72254943847656,204.10000610351562,209.5,196.6999969482422,196.6999969482422,54811,2022-07-18
2022-07-25,199.302001953125,208.89999389648438,213.8000030517578,205.85000610351562,206.0,60351,2022-07-25
2022-08-01,200.87619018554688,210.5500030517578,219.0,206.0500030517578,207.0,83618,2022-08-01
2022-08-08,200.97158813476562,210.64999389648438,214.60000610351562,206.0,210.75,22028,2022-08-08
2022-08-15,207.98388671875,218.0,219.0,209.0,210.64999389648438,38747,2022-08-15
2022-08-22,213.94674682617188,224.25,229.0,212.5500030517578,216.0,120727,2022-08-22
2022-08-29,216.90432739257812,227.35000610351562,228.8000030517578,216.0,218.0,50932,2022-08-29
2022-09-05,218.62159729003906,229.14999389648438,234.0,216.9499969482422,227.4499969482422,117170,2022-09-05
2022-09-12,222.34242248535156,233.0500030517578,238.89999389648438,225.60000610351562,232.5500030517578,166912,2022-09-12
2022-09-19,219.52796936035156,230.10000610351562,234.5,227.64999389648438,233.9499969482422,99736,2022-09-19
2022-09-26,209.51039123535156,219.60000610351562,224.35000610351562,206.5500030517578,223.0,41778,2022-09-26
2022-10-03,211.275390625,221.4499969482422,224.0,214.0,219.0,23162,2022-10-03
2022-10-10,212.4679412841797,222.6999969482422,242.39999389648438,202.35000610351562,224.75,196730,2022-10-10
2022-10-17,191.00173950195312,200.1999969482422,214.5,199.0500030517578,209.25,137386,2022-10-17
2022-10-24,191.71725463867188,200.9499969482422,206.9499969482422,195.64999389648438,201.5,23282,2022-10-24
