Date,Adj Close_FINEORG.NS,Close_FINEORG.NS,High_FINEORG.NS,Low_FINEORG.NS,Open_FINEORG.NS,Volume_FINEORG.NS,Date
2024-08-19,5507.10009765625,5507.10009765625,5640.0,5211.0,5269.0,111457,2024-08-19
2024-08-26,5344.4501953125,5344.4501953125,5698.0,5317.9501953125,5540.0,128407,2024-08-26
2024-09-02,5423.7001953125,5423.7001953125,5526.0,5248.7001953125,5304.0,140270,2024-09-02
2024-09-09,5299.85009765625,5299.85009765625,5515.25,5255.0,5450.85009765625,73663,2024-09-09
2024-09-16,5291.7001953125,5291.7001953125,5668.0,5181.60009765625,5300.0,346726,2024-09-16
2024-09-23,5284.7998046875,5284.7998046875,5365.5,5220.0498046875,5309.7001953125,67948,2024-09-23
2024-09-30,5141.7001953125,5141.7001953125,5359.0,5027.85009765625,5309.7998046875,87172,2024-09-30
2024-10-07,5080.5,5080.5,5194.64990234375,4953.25,5153.25,86459,2024-10-07
2024-10-14,5055.10009765625,5055.10009765625,5350.0,5001.0,5088.5498046875,132678,2024-10-14
2024-10-21,4624.64990234375,4624.64990234375,5085.0498046875,4562.14990234375,5075.0,126262,2024-10-21
2024-10-28,4853.60009765625,4853.60009765625,4888.0,4567.25,4581.0498046875,62287,2024-10-28
2024-11-04,5000.35009765625,5000.35009765625,5248.9501953125,4839.10009765625,4853.60009765625,393055,2024-11-04
2024-11-11,4766.14990234375,4766.14990234375,5249.0,4677.10009765625,5016.0,131023,2024-11-11
2024-11-18,5144.7998046875,5144.7998046875,5234.0,4662.89990234375,4766.5,159859,2024-11-18
2024-11-25,5197.89990234375,5197.89990234375,5339.35009765625,5050.0,5175.7001953125,123177,2024-11-25
2024-12-02,5115.7998046875,5115.7998046875,5290.0,5080.25,5200.0,84774,2024-12-02
2024-12-09,5007.2001953125,5007.2001953125,5273.9501953125,4911.9501953125,5105.7998046875,105765,2024-12-09
2024-12-16,4771.5498046875,4771.5498046875,5031.10009765625,4737.0498046875,5029.9501953125,65597,2024-12-16
2024-12-23,4589.64990234375,4589.64990234375,4768.85009765625,4562.0498046875,4725.0,64478,2024-12-23
2024-12-30,4523.10009765625,4523.10009765625,4745.85009765625,4299.0498046875,4581.2998046875,141304,2024-12-30
2025-01-06,4457.5498046875,4457.5498046875,4716.39990234375,4377.0,4400.4501953125,170403,2025-01-06
2025-01-13,4358.75,4358.75,4444.89990234375,4310.0,4360.4501953125,101538,2025-01-13
2025-01-20,4362.0,4362.0,4620.0,4348.0498046875,4380.39990234375,105706,2025-01-20
2025-01-27,4455.75,4455.75,4547.0,4205.0498046875,4361.85009765625,73993,2025-01-27
2025-02-03,4265.2001953125,4265.2001953125,4689.4501953125,4216.0,4455.75,225803,2025-02-03
2025-02-10,3919.5,3919.5,4298.60009765625,3900.0,4289.7998046875,160341,2025-02-10
2025-02-17,3842.0,3842.0,3935.25,3806.300048828125,3899.5,94008,2025-02-17
2025-02-24,3503.14990234375,3503.14990234375,3838.39990234375,3407.0,3815.0,165120,2025-02-24
2025-03-03,3807.75,3807.75,3885.25,3476.449951171875,3503.10009765625,174490,2025-03-03
2025-03-10,3769.39990234375,3769.39990234375,3830.949951171875,3610.0,3807.75,66689,2025-03-10
2025-03-17,3968.39990234375,3968.39990234375,4086.300048828125,3678.35009765625,3733.550048828125,395697,2025-03-17
2025-03-24,4007.0,4007.0,4279.64990234375,3913.449951171875,3981.0,408294,2025-03-24
2025-03-31,4142.75,4142.75,4273.0,3991.10009765625,4007.0,96802,2025-03-31
2025-04-07,4040.300048828125,4040.300048828125,4082.949951171875,3600.14990234375,3600.14990234375,68859,2025-04-07
2025-04-14,4300.60009765625,4300.60009765625,4380.0,4040.300048828125,4040.300048828125,73502,2025-04-14
2025-04-21,4181.7001953125,4181.7001953125,4398.2998046875,4091.300048828125,4325.10009765625,63101,2025-04-21
2025-04-28,4058.39990234375,4058.39990234375,4217.60009765625,4015.39990234375,4102.39990234375,37815,2025-04-28
2025-05-05,4042.89990234375,4042.89990234375,4259.89990234375,3862.10009765625,4041.39990234375,108922,2025-05-05
2025-05-12,4538.39990234375,4538.39990234375,4646.0,4093.699951171875,4095.5,140276,2025-05-12
2025-05-19,4603.10009765625,4603.10009765625,4750.0,4473.0,4538.39990234375,83333,2025-05-19
2025-05-26,4680.89990234375,4680.89990234375,4744.5,4580.0,4630.0,72162,2025-05-26
2025-06-02,4797.2001953125,4797.2001953125,4881.0,4656.0,4680.0,75734,2025-06-02
2025-06-09,4749.10009765625,4749.10009765625,4872.0,4678.39990234375,4797.0,68269,2025-06-09
2025-06-16,4543.10009765625,4543.10009765625,4790.60009765625,4510.10009765625,4710.39990234375,52752,2025-06-16
2025-06-23,4799.5,4799.5,5128.7998046875,4481.5,4500.0,233803,2025-06-23
2025-06-30,5269.2998046875,5269.2998046875,5325.0,4812.0,4812.0,140432,2025-06-30
2025-07-07,5156.2998046875,5156.2998046875,5350.0,5001.0,5268.10009765625,100162,2025-07-07
2025-07-14,5456.5,5456.5,5494.0,5137.5,5137.5,78021,2025-07-14
