Date,Adj Close_BHARATWIRE.NS,Close_BHARATWIRE.NS,High_BHARATWIRE.NS,Low_BHARATWIRE.NS,Open_BHARATWIRE.NS,Volume_BHARATWIRE.NS,Date
2024-06-03,268.20001220703125,268.20001220703125,290.8500061035156,228.10000610351562,278.0,1606507,2024-06-03
2024-06-10,280.6000061035156,280.6000061035156,281.0,232.35000610351562,268.3999938964844,1650162,2024-06-10
2024-06-17,272.1499938964844,272.1499938964844,284.0,267.54998779296875,280.6000061035156,626200,2024-06-17
2024-06-24,257.3500061035156,257.3500061035156,274.45001220703125,255.0500030517578,268.5,977231,2024-06-24
2024-07-01,266.0,266.0,279.3999938964844,256.54998779296875,258.0,1026636,2024-07-01
2024-07-08,250.0,250.0,269.95001220703125,247.60000610351562,266.0,1111087,2024-07-08
2024-07-15,241.60000610351562,241.60000610351562,256.95001220703125,240.60000610351562,252.75,701613,2024-07-15
2024-07-22,259.1000061035156,259.1000061035156,262.54998779296875,235.0,241.0,1007387,2024-07-22
2024-07-29,255.1999969482422,255.1999969482422,274.0,250.5,260.0,1491765,2024-07-29
2024-08-05,245.10000610351562,245.10000610351562,251.0,232.5,248.0,721911,2024-08-05
2024-08-12,230.60000610351562,230.60000610351562,251.10000610351562,223.64999389648438,251.10000610351562,445002,2024-08-12
2024-08-19,263.6000061035156,263.6000061035156,274.8999938964844,226.60000610351562,227.5500030517578,3086476,2024-08-19
2024-08-26,285.75,285.75,299.0,261.04998779296875,264.04998779296875,3328866,2024-08-26
2024-09-02,278.3999938964844,278.3999938964844,300.75,276.1499938964844,286.0,1837993,2024-09-02
2024-09-09,287.70001220703125,287.70001220703125,292.75,270.3999938964844,278.95001220703125,1183833,2024-09-09
2024-09-16,257.20001220703125,257.20001220703125,291.95001220703125,248.0,287.70001220703125,1372418,2024-09-16
2024-09-23,262.6000061035156,262.6000061035156,274.29998779296875,253.1999969482422,259.0,1058575,2024-09-23
2024-09-30,262.25,262.25,282.95001220703125,259.70001220703125,262.25,984066,2024-09-30
2024-10-07,272.79998779296875,272.79998779296875,277.3999938964844,245.60000610351562,265.8999938964844,736839,2024-10-07
2024-10-14,248.9499969482422,248.9499969482422,276.1000061035156,245.39999389648438,273.75,843632,2024-10-14
2024-10-21,234.9499969482422,234.9499969482422,254.5,225.0,251.75,752898,2024-10-21
2024-10-28,240.60000610351562,240.60000610351562,242.0,217.9499969482422,234.0,696374,2024-10-28
2024-11-04,232.14999389648438,232.14999389648438,246.8000030517578,226.6999969482422,243.38999938964844,833808,2024-11-04
2024-11-11,213.74000549316406,213.74000549316406,233.0,210.2100067138672,232.14999389648438,513957,2024-11-11
2024-11-18,219.5500030517578,219.5500030517578,226.0,210.0,212.0,492487,2024-11-18
2024-11-25,234.5399932861328,234.5399932861328,244.69000244140625,218.0,220.35000610351562,983346,2024-11-25
2024-12-02,238.0,238.0,243.1199951171875,231.25,232.32000732421875,512858,2024-12-02
2024-12-09,234.8000030517578,234.8000030517578,245.0,231.41000366210938,239.6999969482422,393422,2024-12-09
2024-12-16,220.00999450683594,220.00999450683594,238.3000030517578,218.60000610351562,236.4499969482422,335052,2024-12-16
2024-12-23,216.5500030517578,216.5500030517578,221.1999969482422,214.02999877929688,219.00999450683594,167817,2024-12-23
2024-12-30,218.67999267578125,218.67999267578125,226.88999938964844,209.89999389648438,218.89999389648438,395988,2024-12-30
2025-01-06,201.33999633789062,201.33999633789062,224.3000030517578,200.0500030517578,221.39999389648438,363538,2025-01-06
2025-01-13,196.3000030517578,196.3000030517578,203.3000030517578,184.4199981689453,203.3000030517578,758412,2025-01-13
2025-01-20,187.8699951171875,187.8699951171875,203.77000427246094,183.25,198.83999633789062,305848,2025-01-20
2025-01-27,183.94000244140625,183.94000244140625,194.39999389648438,166.4199981689453,189.97000122070312,527774,2025-01-27
2025-02-03,175.5500030517578,175.5500030517578,185.0,165.5,182.58999633789062,476223,2025-02-03
2025-02-10,158.5,158.5,174.85000610351562,155.39999389648438,174.85000610351562,447798,2025-02-10
2025-02-17,157.63999938964844,157.63999938964844,162.0399932861328,145.11000061035156,160.89999389648438,522201,2025-02-17
2025-02-24,142.60000610351562,142.60000610351562,156.0500030517578,134.89999389648438,156.0500030517578,561188,2025-02-24
2025-03-03,174.00999450683594,174.00999450683594,179.8000030517578,122.2300033569336,140.4499969482422,3219880,2025-03-03
2025-03-10,173.55999755859375,173.55999755859375,184.3800048828125,168.10000610351562,172.0,1013592,2025-03-10
2025-03-17,190.19000244140625,190.19000244140625,191.39999389648438,159.5,171.0,1309005,2025-03-17
2025-03-24,192.4499969482422,192.4499969482422,197.0,171.5,191.0,1722489,2025-03-24
2025-03-31,194.08999633789062,194.08999633789062,204.8000030517578,186.0800018310547,192.4499969482422,770140,2025-03-31
2025-04-07,181.1999969482422,181.1999969482422,186.38999938964844,170.25,183.49000549316406,482050,2025-04-07
2025-04-14,180.08999633789062,180.08999633789062,185.2100067138672,178.0,181.1999969482422,236801,2025-04-14
2025-04-21,186.0800018310547,186.0800018310547,204.0,179.72000122070312,180.10000610351562,915916,2025-04-21
2025-04-28,175.1300048828125,175.1300048828125,188.5500030517578,170.10000610351562,183.3000030517578,690079,2025-04-28
2025-05-05,167.69000244140625,167.69000244140625,180.85000610351562,165.92999267578125,175.0,301560,2025-05-05
2025-05-12,198.35000610351562,198.35000610351562,199.77999877929688,171.25,171.25,646229,2025-05-12
2025-05-19,180.63999938964844,180.63999938964844,198.0,180.0,198.0,461335,2025-05-19
2025-05-26,180.8699951171875,180.8699951171875,189.32000732421875,180.02000427246094,181.10000610351562,403938,2025-05-26
2025-06-02,223.22000122070312,223.22000122070312,230.75,180.05999755859375,180.25,6282035,2025-06-02
2025-06-09,208.9600067138672,208.9600067138672,227.0,202.36000061035156,224.0,1417080,2025-06-09
2025-06-16,221.05999755859375,221.05999755859375,248.6999969482422,202.0,208.22000122070312,7059931,2025-06-16
2025-06-23,224.41000366210938,224.41000366210938,228.89999389648438,212.61000061035156,217.10000610351562,1787736,2025-06-23
2025-06-30,213.7899932861328,213.7899932861328,231.91000366210938,210.91000366210938,228.89999389648438,889795,2025-06-30
2025-07-07,221.91000366210938,221.91000366210938,226.8000030517578,207.1999969482422,214.89999389648438,1397947,2025-07-07
2025-07-14,219.55999755859375,219.55999755859375,222.0,214.52999877929688,220.0,407055,2025-07-14
