Date,Adj Close_CMSINFO.NS,Close_CMSINFO.NS,High_CMSINFO.NS,Low_CMSINFO.NS,Open_CMSINFO.NS,Volume_CMSINFO.NS,Date
2024-02-19,376.97320556640625,382.6499938964844,384.29998779296875,364.1000061035156,369.20001220703125,2651453,2024-02-19
2024-02-26,392.9821472167969,398.8999938964844,413.70001220703125,367.75,387.0,32998460,2024-02-26
2024-03-04,393.2284240722656,399.1499938964844,404.70001220703125,382.04998779296875,404.5,6399631,2024-03-04
2024-03-11,379.8302001953125,385.54998779296875,408.70001220703125,376.0,400.8999938964844,13514130,2024-03-11
2024-03-18,378.94354248046875,384.6499938964844,392.6499938964844,375.04998779296875,386.8999938964844,3412588,2024-03-18
2024-03-25,384.85455322265625,390.6499938964844,394.5,383.29998779296875,384.6499938964844,2570612,2024-03-25
2024-04-01,394.3613586425781,400.29998779296875,418.3999938964844,386.70001220703125,396.3999938964844,8426172,2024-04-01
2024-04-08,396.1346740722656,402.1000061035156,413.3999938964844,393.0,401.5,4402043,2024-04-08
2024-04-15,373.8207092285156,379.45001220703125,393.6000061035156,377.1000061035156,390.0,4256935,2024-04-15
2024-04-22,398.05572509765625,404.04998779296875,407.8500061035156,382.25,382.25,4544598,2024-04-22
2024-04-29,412.0450744628906,418.25,434.95001220703125,401.0,408.04998779296875,8124673,2024-04-29
2024-05-06,386.4307861328125,392.25,421.3999938964844,388.3999938964844,419.0,4538030,2024-05-06
2024-05-13,417.9560852050781,424.25,439.1000061035156,381.0,392.45001220703125,6539628,2024-05-13
2024-05-20,423.7685241699219,430.1499938964844,451.70001220703125,424.54998779296875,429.8999938964844,4336695,2024-05-20
2024-05-27,435.935302734375,442.5,449.5,417.5,435.0,4906194,2024-05-27
2024-06-03,461.6001281738281,465.0,474.0,395.54998779296875,455.0,8461928,2024-06-03
2024-06-10,469.8890686035156,473.3500061035156,502.3999938964844,468.20001220703125,470.0,4045778,2024-06-10
2024-06-17,469.1941833496094,472.6499938964844,486.25,455.3500061035156,473.3500061035156,6431573,2024-06-17
2024-06-24,489.94134521484375,493.54998779296875,496.0,466.3999938964844,476.20001220703125,5345258,2024-06-24
2024-07-01,516.5950927734375,520.4000244140625,524.0,498.0,498.0,4735838,2024-07-01
2024-07-08,529.5,533.4000244140625,536.9000244140625,496.0,520.7999877929688,4822076,2024-07-08
2024-07-15,517.5877685546875,521.4000244140625,535.2000122070312,508.0,535.0,1941190,2024-07-15
2024-07-22,551.4384155273438,555.5,563.75,518.2999877929688,521.0,5945948,2024-07-22
2024-07-29,552.629638671875,556.7000122070312,594.5999755859375,555.25,564.0,4106349,2024-07-29
2024-08-05,538.18603515625,542.1500244140625,560.5499877929688,530.9500122070312,546.7999877929688,2069630,2024-08-05
2024-08-12,551.0413208007812,555.0999755859375,568.5999755859375,532.9500122070312,532.9500122070312,1856596,2024-08-12
2024-08-19,561.1171264648438,565.25,601.9000244140625,553.5499877929688,560.5999755859375,4602921,2024-08-19
2024-08-26,545.5319213867188,549.5499877929688,576.3499755859375,539.4500122070312,569.7999877929688,2619888,2024-08-26
2024-09-02,523.4942016601562,527.3499755859375,561.0,522.2999877929688,555.0,4738277,2024-09-02
2024-09-09,560.322998046875,564.4500122070312,568.1500244140625,520.6500244140625,527.4500122070312,2972710,2024-09-09
2024-09-16,572.7811889648438,577.0,601.0,554.0,564.0,3792772,2024-09-16
2024-09-23,579.8292846679688,584.0999755859375,589.9500122070312,570.0,580.4500122070312,2249582,2024-09-23
2024-09-30,588.7634887695312,593.0999755859375,605.0499877929688,575.0,579.0,2136548,2024-09-30
2024-10-07,583.0555419921875,587.3499755859375,616.5,568.2000122070312,596.0,3273973,2024-10-07
2024-10-14,583.105224609375,587.4000244140625,603.7000122070312,574.4000244140625,583.6500244140625,2742030,2024-10-14
2024-10-21,573.8235473632812,578.0499877929688,591.0,557.6500244140625,587.4000244140625,1947731,2024-10-21
2024-10-28,541.7597045898438,545.75,574.9000244140625,490.5,571.25,5917126,2024-10-28
2024-11-04,520.8140258789062,524.6500244140625,547.75,514.2999877929688,545.75,2979017,2024-11-04
2024-11-11,478.12835693359375,481.6499938964844,527.9500122070312,478.0,527.9000244140625,2017553,2024-11-11
2024-11-18,473.9591064453125,477.45001220703125,492.6000061035156,450.20001220703125,486.95001220703125,3822828,2024-11-18
2024-11-25,492.274169921875,495.8999938964844,497.79998779296875,469.6000061035156,482.25,2719654,2024-11-25
2024-12-02,509.7455139160156,513.5,526.8499755859375,484.54998779296875,495.8999938964844,2336560,2024-12-02
2024-12-09,529.6488647460938,533.5499877929688,556.9000244140625,508.1499938964844,516.0,2663405,2024-12-09
2024-12-16,486.9136657714844,490.5,539.1500244140625,486.8999938964844,535.0,2047862,2024-12-16
2024-12-23,490.139892578125,493.75,498.6000061035156,478.3500061035156,497.8999938964844,1170269,2024-12-23
2024-12-30,497.3865051269531,501.04998779296875,509.25,477.0,493.70001220703125,1354256,2024-12-30
2025-01-06,459.0687561035156,462.45001220703125,507.0,460.1000061035156,504.45001220703125,1847425,2025-01-06
2025-01-13,433.0603332519531,436.25,464.54998779296875,426.45001220703125,458.95001220703125,1845917,2025-01-13
2025-01-20,428.2954406738281,431.45001220703125,447.95001220703125,410.54998779296875,431.04998779296875,3770242,2025-01-20
2025-01-27,446.9083251953125,450.20001220703125,459.79998779296875,416.1499938964844,428.6000061035156,3638520,2025-01-27
2025-02-03,459.61474609375,463.0,481.45001220703125,432.75,447.95001220703125,2168341,2025-02-03
2025-02-10,427.0545654296875,430.20001220703125,469.6499938964844,421.0,464.8999938964844,2827083,2025-02-10
2025-02-17,458.1000061035156,458.1000061035156,461.45001220703125,416.04998779296875,429.95001220703125,1981752,2025-02-17
2025-02-24,457.8500061035156,457.8500061035156,466.75,417.04998779296875,449.04998779296875,3580363,2025-02-24
2025-03-03,452.75,452.75,460.3999938964844,416.3999938964844,448.0,2491365,2025-03-03
2025-03-10,436.54998779296875,436.54998779296875,466.6499938964844,430.79998779296875,452.75,852624,2025-03-10
2025-03-17,489.04998779296875,489.04998779296875,497.0,430.1499938964844,438.29998779296875,2075794,2025-03-17
2025-03-24,461.45001220703125,461.45001220703125,499.45001220703125,455.6499938964844,493.45001220703125,1713303,2025-03-24
2025-03-31,462.5,462.5,491.0,454.04998779296875,461.45001220703125,1136231,2025-03-31
2025-04-07,453.3500061035156,453.3500061035156,469.95001220703125,422.29998779296875,424.0,1349447,2025-04-07
2025-04-14,463.95001220703125,463.95001220703125,478.0,453.3500061035156,453.3500061035156,1568369,2025-04-14
2025-04-21,464.20001220703125,464.20001220703125,482.75,458.79998779296875,464.0,2170357,2025-04-21
2025-04-28,456.75,456.75,464.79998779296875,434.3999938964844,459.1000061035156,1624033,2025-04-28
2025-05-05,434.1499938964844,434.1499938964844,459.0,424.95001220703125,455.0,4287424,2025-05-05
2025-05-12,479.75,479.75,481.0,441.1499938964844,446.95001220703125,3366871,2025-05-12
2025-05-19,482.45001220703125,482.45001220703125,488.0,463.0,484.5,3147271,2025-05-19
2025-05-26,492.04998779296875,492.04998779296875,495.95001220703125,477.45001220703125,482.3999938964844,2156311,2025-05-26
2025-06-02,484.75,484.75,512.9500122070312,483.0,494.8500061035156,1982543,2025-06-02
2025-06-09,496.1499938964844,496.1499938964844,505.0,482.0,487.29998779296875,1700332,2025-06-09
2025-06-16,478.04998779296875,478.04998779296875,497.04998779296875,471.1000061035156,495.8500061035156,1537087,2025-06-16
2025-06-23,495.04998779296875,495.04998779296875,501.70001220703125,473.0,476.0,1193143,2025-06-23
2025-06-30,514.5,514.5,519.8499755859375,497.1000061035156,500.5,1576468,2025-06-30
2025-07-07,519.4500122070312,519.4500122070312,527.2999877929688,512.75,515.0,1624258,2025-07-07
2025-07-14,521.0499877929688,521.0499877929688,523.2000122070312,510.75,519.4500122070312,419975,2025-07-14
