Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2024-03-11,24976.275390625,25070.44921875,25359.94921875,24243.599609375,24601.05078125,163395,2024-03-11
2024-03-18,25270.765625,25366.05078125,25489.94921875,24796.75,25096.30078125,157449,2024-03-18
2024-03-25,25586.375,25682.849609375,26334.05078125,25058.349609375,25366.05078125,92010,2024-03-25
2024-04-01,25714.09375,25811.05078125,26743.30078125,25699.0,25850.05078125,337604,2024-04-01
2024-04-08,25395.39453125,25491.150390625,26711.80078125,25201.44921875,26069.19921875,126048,2024-04-08
2024-04-15,24277.212890625,24368.75,25528.150390625,23984.05078125,25316.0,108526,2024-04-15
2024-04-22,24049.818359375,24140.5,24675.0,23780.0,24533.900390625,126002,2024-04-22
2024-04-29,25649.8359375,25746.55078125,25895.80078125,24050.0,24250.25,419858,2024-04-29
2024-05-06,25564.85546875,25661.25,26561.650390625,25054.849609375,26100.0,176728,2024-05-06
2024-05-13,26189.94921875,26288.69921875,26824.849609375,25466.25,25798.55078125,449836,2024-05-13
2024-05-20,25360.82421875,25456.44921875,26305.80078125,25405.0,26305.80078125,196355,2024-05-20
2024-05-27,24587.888671875,24680.599609375,25725.05078125,24604.44921875,25500.0,218420,2024-05-27
2024-06-03,25979.54296875,26077.5,26250.0,23700.0,25200.0,254422,2024-06-03
2024-06-10,27434.556640625,27538.0,28025.0,26078.0,26296.0,222333,2024-06-10
2024-06-17,27300.861328125,27403.80078125,27850.0,27086.19921875,27538.0,154045,2024-06-17
2024-06-24,27765.708984375,27870.400390625,28242.0,27086.25,27400.05078125,238583,2024-06-24
2024-07-01,27425.2890625,27528.69921875,28614.94921875,27170.0,27994.0,207314,2024-07-01
2024-07-08,27561.576171875,27665.5,28001.0,26951.94921875,27510.0,128392,2024-07-08
2024-07-15,27181.66015625,27284.150390625,28683.19921875,26811.05078125,27555.0,242361,2024-07-15
2024-07-22,27463.19921875,27566.75,28395.0,27001.0,27207.099609375,206955,2024-07-22
2024-07-29,27246.4921875,27295.349609375,27899.80078125,26960.099609375,27800.0,250201,2024-07-29
2024-08-05,24253.109375,24296.599609375,27092.599609375,23850.0,27000.0,909139,2024-08-05
2024-08-12,24598.73828125,24642.849609375,24700.05078125,24008.44921875,24310.0,229295,2024-08-12
2024-08-19,24661.828125,24706.05078125,25224.94921875,24600.0,24830.30078125,118632,2024-08-19
2024-08-26,25436.38671875,25482.0,25561.900390625,24540.05078125,24751.0,185931,2024-08-26
2024-09-02,25564.607421875,25610.44921875,26280.0,25260.0,25590.0,234879,2024-09-02
2024-09-09,25836.76953125,25883.099609375,26144.69921875,25313.30078125,25552.0,113569,2024-09-09
2024-09-16,25096.6953125,25141.69921875,26050.0,24690.69921875,26001.0,117427,2024-09-16
