Date,Adj Close_MOREPENLAB.NS,Close_MOREPENLAB.NS,High_MOREPENLAB.NS,Low_MOREPENLAB.NS,Open_MOREPENLAB.NS,Volume_MOREPENLAB.NS,Date
2021-09-20,56.900001525878906,56.900001525878906,62.29999923706055,56.349998474121094,59.650001525878906,9648436,2021-09-20
2021-09-27,56.099998474121094,56.099998474121094,57.900001525878906,55.5,57.20000076293945,5458983,2021-09-27
2021-10-04,56.099998474121094,56.099998474121094,59.29999923706055,56.0,56.54999923706055,8242525,2021-10-04
2021-10-11,54.70000076293945,54.70000076293945,56.650001525878906,54.099998474121094,56.29999923706055,6600651,2021-10-11
2021-10-18,50.70000076293945,50.70000076293945,55.400001525878906,50.0,55.400001525878906,7911176,2021-10-18
2021-10-25,50.099998474121094,50.099998474121094,54.79999923706055,48.099998474121094,50.75,9655608,2021-10-25
2021-11-01,51.150001525878906,51.150001525878906,52.20000076293945,49.599998474121094,50.75,3167765,2021-11-01
2021-11-08,51.25,51.25,53.45000076293945,50.599998474121094,52.0,6773124,2021-11-08
2021-11-15,47.650001525878906,47.650001525878906,51.54999923706055,47.349998474121094,51.25,4394782,2021-11-15
2021-11-22,50.5,50.5,52.5,46.70000076293945,48.099998474121094,10128223,2021-11-22
2021-11-29,52.650001525878906,52.650001525878906,54.70000076293945,50.150001525878906,51.5,16308381,2021-11-29
2021-12-06,56.349998474121094,56.349998474121094,60.29999923706055,52.849998474121094,52.849998474121094,39742801,2021-12-06
2021-12-13,52.0,52.0,58.70000076293945,51.79999923706055,57.099998474121094,10038845,2021-12-13
2021-12-20,53.599998474121094,53.599998474121094,56.25,49.29999923706055,51.0,10962283,2021-12-20
2021-12-27,56.25,56.25,58.5,52.79999923706055,53.650001525878906,12600211,2021-12-27
2022-01-03,56.70000076293945,56.70000076293945,60.5,56.0,56.70000076293945,17602374,2022-01-03
2022-01-10,54.650001525878906,54.650001525878906,57.900001525878906,54.25,57.150001525878906,10243424,2022-01-10
2022-01-17,52.150001525878906,52.150001525878906,56.70000076293945,51.54999923706055,54.95000076293945,8614494,2022-01-17
2022-01-24,50.70000076293945,50.70000076293945,52.0,48.54999923706055,51.900001525878906,5858739,2022-01-24
2022-01-31,52.20000076293945,52.20000076293945,53.5,50.849998474121094,51.29999923706055,4807707,2022-01-31
2022-02-07,45.349998474121094,45.349998474121094,53.20000076293945,45.04999923706055,52.5,10396161,2022-02-07
2022-02-14,43.25,43.25,46.25,41.70000076293945,43.650001525878906,6896395,2022-02-14
2022-02-21,39.599998474121094,39.599998474121094,43.0,36.54999923706055,43.0,7962465,2022-02-21
2022-02-28,40.099998474121094,40.099998474121094,41.75,38.849998474121094,40.0,3964650,2022-02-28
2022-03-07,41.79999923706055,41.79999923706055,43.0,38.54999923706055,39.0,5436382,2022-03-07
2022-03-14,41.20000076293945,41.20000076293945,42.349998474121094,39.70000076293945,42.349998474121094,3390787,2022-03-14
2022-03-21,39.650001525878906,39.650001525878906,41.849998474121094,39.29999923706055,41.54999923706055,7034226,2022-03-21
2022-03-28,42.54999923706055,42.54999923706055,43.400001525878906,36.45000076293945,39.599998474121094,16154041,2022-03-28
2022-04-04,46.04999923706055,46.04999923706055,47.79999923706055,42.599998474121094,43.29999923706055,28587300,2022-04-04
2022-04-11,47.599998474121094,47.599998474121094,48.5,43.0,46.099998474121094,8050751,2022-04-11
2022-04-18,50.849998474121094,50.849998474121094,54.599998474121094,47.0,48.29999923706055,22050509,2022-04-18
2022-04-25,48.599998474121094,48.599998474121094,54.79999923706055,46.5,50.099998474121094,20803641,2022-04-25
2022-05-02,41.400001525878906,41.400001525878906,49.95000076293945,39.04999923706055,47.650001525878906,17553290,2022-05-02
2022-05-09,39.20000076293945,39.20000076293945,42.0,37.54999923706055,42.0,9026961,2022-05-09
2022-05-16,41.5,41.5,43.150001525878906,39.0,40.599998474121094,5838246,2022-05-16
2022-05-23,39.45000076293945,39.45000076293945,41.95000076293945,37.900001525878906,41.95000076293945,3811428,2022-05-23
2022-05-30,39.95000076293945,39.95000076293945,40.79999923706055,39.79999923706055,39.79999923706055,2989694,2022-05-30
2022-06-06,39.400001525878906,39.400001525878906,41.900001525878906,38.0,40.25,3684848,2022-06-06
2022-06-13,36.099998474121094,36.099998474121094,39.150001525878906,35.599998474121094,39.0,2834079,2022-06-13
2022-06-20,35.599998474121094,35.599998474121094,36.900001525878906,32.29999923706055,36.400001525878906,4340922,2022-06-20
2022-06-27,38.099998474121094,38.099998474121094,41.45000076293945,36.0,36.0,9307084,2022-06-27
2022-07-04,36.849998474121094,36.849998474121094,38.650001525878906,36.29999923706055,38.29999923706055,6949213,2022-07-04
2022-07-11,38.25,38.25,39.75,36.54999923706055,36.70000076293945,7696888,2022-07-11
2022-07-18,38.900001525878906,38.900001525878906,40.5,37.650001525878906,38.5,5973491,2022-07-18
2022-07-25,36.04999923706055,36.04999923706055,39.150001525878906,35.04999923706055,39.0,6365426,2022-07-25
2022-08-01,35.29999923706055,35.29999923706055,36.599998474121094,35.0,35.900001525878906,7545914,2022-08-01
2022-08-08,34.70000076293945,34.70000076293945,35.45000076293945,34.5,35.400001525878906,3815968,2022-08-08
2022-08-15,34.45000076293945,34.45000076293945,35.650001525878906,34.349998474121094,34.70000076293945,5538302,2022-08-15
2022-08-22,35.29999923706055,35.29999923706055,35.70000076293945,33.5,34.45000076293945,6666205,2022-08-22
2022-08-29,34.349998474121094,34.349998474121094,35.25,33.79999923706055,34.54999923706055,5628621,2022-08-29
2022-09-05,34.400001525878906,34.400001525878906,35.650001525878906,34.099998474121094,34.400001525878906,9399530,2022-09-05
2022-09-12,33.099998474121094,33.099998474121094,34.79999923706055,32.95000076293945,34.5,8475197,2022-09-12
2022-09-19,31.399999618530273,31.399999618530273,33.099998474121094,31.350000381469727,33.0,8775460,2022-09-19
2022-09-26,23.850000381469727,23.850000381469727,31.200000762939453,23.649999618530273,31.200000762939453,24492844,2022-09-26
2022-10-03,27.100000381469727,27.100000381469727,27.799999237060547,23.600000381469727,24.200000762939453,22018021,2022-10-03
2022-10-10,27.549999237060547,27.549999237060547,29.350000381469727,26.5,26.649999618530273,14216437,2022-10-10
2022-10-17,26.899999618530273,26.899999618530273,27.649999618530273,26.700000762939453,27.5,4984181,2022-10-17
2022-10-24,26.649999618530273,26.649999618530273,27.649999618530273,26.049999237060547,27.200000762939453,3457306,2022-10-24
2022-10-31,28.149999618530273,28.149999618530273,28.450000762939453,26.549999237060547,26.850000381469727,6441580,2022-10-31
2022-11-07,28.5,28.5,29.25,27.899999618530273,28.450000762939453,5280923,2022-11-07
2022-11-14,28.850000381469727,28.850000381469727,30.75,28.399999618530273,28.75,9711874,2022-11-14
2022-11-21,28.850000381469727,28.850000381469727,29.649999618530273,28.299999237060547,28.950000762939453,4792836,2022-11-21
2022-11-28,30.899999618530273,30.899999618530273,32.5,28.850000381469727,28.950000762939453,19053277,2022-11-28
2022-12-05,30.549999237060547,30.549999237060547,32.70000076293945,30.450000762939453,31.049999237060547,10367255,2022-12-05
2022-12-12,31.549999237060547,31.549999237060547,33.849998474121094,29.799999237060547,30.549999237060547,18801606,2022-12-12
2022-12-19,42.650001525878906,42.650001525878906,43.70000076293945,30.850000381469727,31.75,133543367,2022-12-19
2022-12-26,37.849998474121094,37.849998474121094,48.45000076293945,36.400001525878906,47.0,118920610,2022-12-26
2023-01-02,34.75,34.75,38.0,34.29999923706055,37.900001525878906,41425277,2023-01-02
2023-01-09,33.099998474121094,33.099998474121094,35.150001525878906,32.650001525878906,35.0,31727379,2023-01-09
2023-01-16,31.25,31.25,33.400001525878906,31.0,33.099998474121094,23416908,2023-01-16
2023-01-23,28.549999237060547,28.549999237060547,31.5,27.450000762939453,31.299999237060547,17473394,2023-01-23
2023-01-30,27.600000381469727,27.600000381469727,29.600000381469727,27.100000381469727,28.649999618530273,10982741,2023-01-30
2023-02-06,28.399999618530273,28.399999618530273,28.700000762939453,27.149999618530273,27.600000381469727,7166500,2023-02-06
2023-02-13,26.549999237060547,26.549999237060547,28.700000762939453,26.299999237060547,28.5,6852417,2023-02-13
