Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2022-11-28,27.100000381469727,27.100000381469727,28.0,26.100000381469727,27.0,107207,2022-11-28
2022-12-05,31.399999618530273,31.399999618530273,33.75,27.100000381469727,27.100000381469727,306417,2022-12-05
2022-12-12,29.850000381469727,29.850000381469727,31.25,27.5,31.0,204714,2022-12-12
2022-12-19,25.850000381469727,25.850000381469727,31.299999237060547,25.75,29.549999237060547,195717,2022-12-19
2022-12-26,28.200000762939453,28.200000762939453,28.850000381469727,25.100000381469727,25.100000381469727,81544,2022-12-26
2023-01-02,28.5,28.5,30.299999237060547,27.5,28.200000762939453,181882,2023-01-02
2023-01-09,28.100000381469727,28.100000381469727,29.899999618530273,27.600000381469727,28.75,126019,2023-01-09
2023-01-16,28.100000381469727,28.100000381469727,28.700000762939453,27.549999237060547,28.100000381469727,88322,2023-01-16
2023-01-23,26.950000762939453,26.950000762939453,28.450000762939453,26.25,28.100000381469727,66710,2023-01-23
2023-01-30,26.100000381469727,26.100000381469727,29.100000381469727,25.100000381469727,26.100000381469727,69323,2023-01-30
2023-02-06,25.399999618530273,25.399999618530273,27.399999618530273,25.200000762939453,27.0,150254,2023-02-06
2023-02-13,25.299999237060547,25.299999237060547,26.450000762939453,25.149999618530273,26.450000762939453,71937,2023-02-13
2023-02-20,24.149999618530273,24.149999618530273,26.5,23.399999618530273,25.25,109538,2023-02-20
2023-02-27,24.149999618530273,24.149999618530273,24.799999237060547,23.0,24.75,69928,2023-02-27
2023-03-06,25.0,25.0,26.200000762939453,23.700000762939453,23.75,54293,2023-03-06
2023-03-13,23.5,23.5,25.100000381469727,22.700000762939453,25.0,33176,2023-03-13
2023-03-20,21.75,21.75,23.700000762939453,21.200000762939453,23.450000762939453,51913,2023-03-20
2023-03-27,20.149999618530273,20.149999618530273,22.850000381469727,17.850000381469727,20.600000381469727,122893,2023-03-27
2023-04-03,21.600000381469727,21.600000381469727,21.899999618530273,19.700000762939453,19.700000762939453,38038,2023-04-03
2023-04-10,22.950000762939453,22.950000762939453,24.5,21.600000381469727,21.600000381469727,48269,2023-04-10
2023-04-17,22.350000381469727,22.350000381469727,23.799999237060547,21.350000381469727,22.799999237060547,39266,2023-04-17
2023-04-24,22.149999618530273,22.149999618530273,22.850000381469727,21.200000762939453,22.5,30648,2023-04-24
2023-05-01,21.700000762939453,21.700000762939453,23.950000762939453,21.0,22.149999618530273,61090,2023-05-01
2023-05-08,22.0,22.0,22.5,21.200000762939453,21.25,33618,2023-05-08
2023-05-15,21.5,21.5,22.350000381469727,20.350000381469727,22.0,33827,2023-05-15
2023-05-22,21.350000381469727,21.350000381469727,21.950000762939453,20.149999618530273,21.950000762939453,41831,2023-05-22
2023-05-29,21.0,21.0,21.850000381469727,20.200000762939453,21.350000381469727,38177,2023-05-29
2023-06-05,21.100000381469727,21.100000381469727,22.299999237060547,20.200000762939453,21.799999237060547,68714,2023-06-05
2023-06-12,21.100000381469727,21.100000381469727,21.700000762939453,20.799999237060547,21.100000381469727,76768,2023-06-12
2023-06-19,21.450000762939453,21.450000762939453,22.0,20.350000381469727,21.450000762939453,70706,2023-06-19
2023-06-26,20.850000381469727,20.850000381469727,21.850000381469727,20.399999618530273,21.399999618530273,53807,2023-06-26
2023-07-03,21.100000381469727,21.100000381469727,21.899999618530273,20.350000381469727,20.350000381469727,95185,2023-07-03
2023-07-10,21.200000762939453,21.200000762939453,22.399999618530273,20.350000381469727,21.399999618530273,135882,2023-07-10
2023-07-17,21.299999237060547,21.299999237060547,22.200000762939453,20.149999618530273,21.200000762939453,108478,2023-07-17
2023-07-24,21.299999237060547,21.299999237060547,21.899999618530273,20.700000762939453,21.899999618530273,89910,2023-07-24
2023-07-31,24.25,24.25,26.799999237060547,20.200000762939453,21.299999237060547,879322,2023-07-31
2023-08-07,23.950000762939453,23.950000762939453,25.950000762939453,23.0,24.5,269230,2023-08-07
2023-08-14,22.350000381469727,22.350000381469727,24.899999618530273,22.0,24.899999618530273,112541,2023-08-14
2023-08-21,21.700000762939453,21.700000762939453,23.200000762939453,21.600000381469727,22.799999237060547,145221,2023-08-21
2023-08-28,26.200000762939453,26.200000762939453,27.899999618530273,21.549999237060547,21.549999237060547,1047394,2023-08-28
2023-09-04,25.0,25.0,27.5,24.649999618530273,26.899999618530273,380264,2023-09-04
2023-09-11,24.950000762939453,24.950000762939453,26.850000381469727,24.0,25.200000762939453,185859,2023-09-11
2023-09-18,24.549999237060547,24.549999237060547,25.399999618530273,24.200000762939453,24.950000762939453,117083,2023-09-18
2023-09-25,24.399999618530273,24.399999618530273,25.299999237060547,23.600000381469727,25.200000762939453,95326,2023-09-25
2023-10-02,24.850000381469727,24.850000381469727,25.5,23.600000381469727,24.399999618530273,83753,2023-10-02
2023-10-09,24.350000381469727,24.350000381469727,25.25,23.100000381469727,23.75,111797,2023-10-09
2023-10-16,25.700000762939453,25.700000762939453,27.0,23.700000762939453,24.5,434868,2023-10-16
2023-10-23,23.200000762939453,23.200000762939453,26.450000762939453,22.200000762939453,25.5,416207,2023-10-23
2023-10-30,26.899999618530273,26.899999618530273,30.0,22.799999237060547,23.649999618530273,1451104,2023-10-30
2023-11-06,26.549999237060547,26.549999237060547,27.5,25.299999237060547,26.5,268404,2023-11-06
2023-11-13,27.200000762939453,27.200000762939453,27.899999618530273,25.600000381469727,26.049999237060547,269762,2023-11-13
2023-11-20,26.5,26.5,27.5,26.049999237060547,27.5,361663,2023-11-20
2023-11-27,26.899999618530273,26.899999618530273,27.5,26.25,26.5,326555,2023-11-27
2023-12-04,25.700000762939453,25.700000762939453,27.25,25.549999237060547,26.950000762939453,166000,2023-12-04
2023-12-11,26.25,26.25,26.899999618530273,25.75,26.0,106893,2023-12-11
2023-12-18,25.700000762939453,25.700000762939453,26.799999237060547,25.0,26.200000762939453,97352,2023-12-18
2023-12-25,27.049999237060547,27.049999237060547,28.450000762939453,25.350000381469727,25.700000762939453,239084,2023-12-25
2024-01-01,34.45000076293945,34.45000076293945,40.45000076293945,26.600000381469727,27.649999618530273,6222558,2024-01-01
2024-01-08,32.650001525878906,32.650001525878906,35.0,32.0,35.0,324418,2024-01-08
2024-01-15,31.700000762939453,31.700000762939453,33.95000076293945,30.649999618530273,33.349998474121094,163517,2024-01-15
2024-01-22,30.299999237060547,30.299999237060547,31.700000762939453,28.700000762939453,31.700000762939453,85651,2024-01-22
2024-01-29,29.649999618530273,29.649999618530273,31.799999237060547,29.0,30.950000762939453,119635,2024-01-29
2024-02-05,29.399999618530273,29.399999618530273,30.799999237060547,28.299999237060547,30.5,111025,2024-02-05
