Date,Adj Close_VETO.NS,Close_VETO.NS,High_VETO.NS,Low_VETO.NS,Open_VETO.NS,Volume_VETO.NS,Date
2024-01-01,124.38584899902344,125.19999694824219,128.0,114.0999984741211,115.9000015258789,1714563,2024-01-01
2024-01-08,129.70106506347656,130.5500030517578,137.0,125.19999694824219,126.80000305175781,3216669,2024-01-08
2024-01-15,125.62771606445312,126.44999694824219,137.25,120.9000015258789,130.64999389648438,1321856,2024-01-15
2024-01-22,121.9517822265625,122.75,132.64999389648438,121.55000305175781,126.44999694824219,417407,2024-01-22
2024-01-29,124.1374740600586,124.94999694824219,129.1999969482422,122.0999984741211,123.0,762823,2024-01-29
2024-02-05,138.14578247070312,139.0500030517578,145.0,122.55000305175781,126.0,5438608,2024-02-05
2024-02-12,129.89976501464844,130.75,140.1999969482422,120.0999984741211,139.75,1896671,2024-02-12
2024-02-19,149.372314453125,150.35000610351562,156.39999389648438,130.25,131.9499969482422,7952332,2024-02-19
2024-02-26,138.99024963378906,139.89999389648438,152.0,132.0500030517578,151.3000030517578,3000738,2024-02-26
2024-03-04,130.29714965820312,131.14999389648438,144.0,126.5,141.0500030517578,1419789,2024-03-04
2024-03-11,132.3834991455078,133.25,136.8000030517578,108.0999984741211,129.39999389648438,2313032,2024-03-11
2024-03-18,125.92576599121094,126.75,133.85000610351562,121.5,133.5,1309607,2024-03-18
2024-03-25,122.05113220214844,122.8499984741211,133.0,120.0,126.75,780131,2024-03-25
2024-04-01,133.52601623535156,134.39999389648438,135.60000610351562,123.25,123.25,1272740,2024-04-01
2024-04-08,125.67739868164062,126.5,136.10000610351562,125.25,134.60000610351562,504132,2024-04-08
2024-04-15,131.8370819091797,132.6999969482422,139.0,121.5,124.19999694824219,2244057,2024-04-15
2024-04-22,131.93643188476562,132.8000030517578,144.0,132.10000610351562,133.25,1500729,2024-04-22
2024-04-29,129.20431518554688,130.0500030517578,134.75,129.0,133.6999969482422,471064,2024-04-29
2024-05-06,124.73357391357422,125.55000305175781,132.25,121.3499984741211,131.0,671625,2024-05-06
2024-05-13,125.62771606445312,126.44999694824219,130.0,123.1500015258789,126.0,355340,2024-05-13
2024-05-20,125.42902374267578,126.25,129.39999389648438,124.3499984741211,127.5,336376,2024-05-20
2024-05-27,120.85893249511719,121.6500015258789,131.0,120.1500015258789,127.0,599223,2024-05-27
2024-06-03,121.156982421875,121.94999694824219,126.0,106.05000305175781,124.5999984741211,786973,2024-06-03
2024-06-10,123.27313232421875,124.08000183105469,125.69999694824219,120.4000015258789,123.5999984741211,469014,2024-06-10
2024-06-17,122.38892364501953,123.19000244140625,126.36000061035156,120.22000122070312,124.08000183105469,567163,2024-06-17
2024-06-24,124.21694946289062,125.02999877929688,139.39999389648438,122.05000305175781,123.0999984741211,2488850,2024-06-24
2024-07-01,137.5397491455078,138.44000244140625,145.89999389648438,125.69999694824219,125.69999694824219,3413023,2024-07-01
2024-07-08,148.42848205566406,149.39999389648438,155.0,136.0,139.5,4095632,2024-07-08
2024-07-15,136.83436584472656,137.72999572753906,157.0,137.10000610351562,150.0,1827807,2024-07-15
2024-07-22,159.85369873046875,160.89999389648438,166.0,131.1300048828125,136.0,4379110,2024-07-22
2024-07-29,174.57733154296875,175.72000122070312,177.4499969482422,161.2899932861328,163.0,5635839,2024-07-29
2024-08-05,173.8123321533203,174.9499969482422,181.0,160.11000061035156,172.0,4048626,2024-08-05
2024-08-12,160.48953247070312,161.5399932861328,174.6999969482422,153.0,173.35000610351562,3257908,2024-08-12
2024-08-19,183.59828186035156,184.8000030517578,189.0,160.3300018310547,162.8000030517578,4998253,2024-08-19
2024-08-26,172.79896545410156,173.92999267578125,196.0,173.9199981689453,185.2899932861328,4621311,2024-08-26
2024-09-02,168.37789916992188,169.47999572753906,175.0,162.5,172.99000549316406,621573,2024-09-02
