Date,Adj Close_KNRCON.NS,Close_KNRCON.NS,High_KNRCON.NS,Low_KNRCON.NS,Open_KNRCON.NS,Volume_KNRCON.NS,Date
2022-10-17,214.59861755371094,214.9499969482422,224.39999389648438,202.6999969482422,224.35000610351562,1918568,2022-10-17
2022-10-24,220.38914489746094,220.75,224.75,210.0,212.3000030517578,662041,2022-10-24
2022-10-31,232.56919860839844,232.9499969482422,239.60000610351562,218.4499969482422,221.10000610351562,851431,2022-10-31
2022-11-07,228.52581787109375,228.89999389648438,236.6999969482422,225.0500030517578,234.14999389648438,766316,2022-11-07
2022-11-14,246.5463104248047,246.9499969482422,255.0,226.64999389648438,229.0,2039196,2022-11-14
2022-11-21,251.18870544433594,251.60000610351562,252.89999389648438,235.0,246.85000610351562,863977,2022-11-21
2022-11-28,258.4268493652344,258.8500061035156,264.6499938964844,248.8000030517578,250.0,994743,2022-11-28
2022-12-05,261.6715393066406,262.1000061035156,278.54998779296875,258.0,259.3999938964844,2815364,2022-12-05
2022-12-12,255.73126220703125,256.1499938964844,272.5,255.0500030517578,262.5,940328,2022-12-12
2022-12-19,243.85072326660156,244.25,271.04998779296875,235.0,255.0,2129440,2022-12-19
2022-12-26,254.43341064453125,254.85000610351562,263.70001220703125,241.5,243.9499969482422,2177804,2022-12-26
2023-01-02,257.92767333984375,258.3500061035156,272.79998779296875,255.4499969482422,259.79998779296875,3069547,2023-01-02
2023-01-09,261.8711853027344,262.29998779296875,267.95001220703125,252.25,262.25,2477058,2023-01-09
2023-01-16,261.272216796875,261.70001220703125,274.3999938964844,260.5,263.8500061035156,1946067,2023-01-16
2023-01-23,244.05038452148438,244.4499969482422,263.45001220703125,242.89999389648438,262.45001220703125,651801,2023-01-23
2023-01-30,255.8311004638672,256.25,260.0,237.8000030517578,242.39999389648438,1854433,2023-01-30
2023-02-06,262.22064208984375,262.6499938964844,271.45001220703125,255.10000610351562,257.54998779296875,1693710,2023-02-06
2023-02-13,255.48167419433594,255.89999389648438,265.6000061035156,253.0,264.70001220703125,1204715,2023-02-13
2023-02-20,248.74270629882812,249.14999389648438,258.3999938964844,248.0,256.8500061035156,544068,2023-02-20
2023-02-27,267.26239013671875,267.70001220703125,270.3999938964844,243.0,250.35000610351562,1718431,2023-02-27
2023-03-06,271.7051086425781,272.1499938964844,280.45001220703125,268.04998779296875,269.5,2452363,2023-03-06
2023-03-13,257.92767333984375,258.3500061035156,280.79998779296875,256.1000061035156,275.8500061035156,2061113,2023-03-13
2023-03-20,252.93585205078125,253.35000610351562,259.6499938964844,250.1999969482422,259.6499938964844,594580,2023-03-20
2023-03-27,253.28526306152344,253.6999969482422,255.25,245.0500030517578,253.0,799402,2023-03-27
2023-04-03,252.58641052246094,253.0,258.70001220703125,250.35000610351562,255.0,337634,2023-04-03
2023-04-10,243.50128173828125,243.89999389648438,256.5,241.0,253.0,951130,2023-04-10
2023-04-17,234.06674194335938,234.4499969482422,244.9499969482422,232.39999389648438,243.9499969482422,1313250,2023-04-17
2023-04-24,239.80734252929688,240.1999969482422,243.60000610351562,234.5,234.5,1085752,2023-04-24
