Date,Adj Close_HIRECT.NS,Close_HIRECT.NS,High_HIRECT.NS,Low_HIRECT.NS,Open_HIRECT.NS,Volume_HIRECT.NS,Date
2022-03-14,188.5588836669922,189.3000030517578,194.9499969482422,180.5,186.0,19837,2022-03-14
2022-03-21,188.11065673828125,188.85000610351562,200.8000030517578,182.10000610351562,189.0,65566,2022-03-21
2022-03-28,191.94557189941406,192.6999969482422,194.0,176.39999389648438,193.9499969482422,47669,2022-03-28
2022-04-04,220.93165588378906,221.8000030517578,234.9499969482422,193.0500030517578,202.0,147990,2022-04-04
2022-04-11,202.7032928466797,203.5,227.1999969482422,200.3000030517578,225.9499969482422,63952,2022-04-11
2022-04-18,218.83987426757812,219.6999969482422,230.0,186.10000610351562,203.35000610351562,111248,2022-04-18
2022-04-25,203.3009490966797,204.10000610351562,219.0,195.4499969482422,213.0,108256,2022-04-25
2022-05-02,193.738525390625,194.5,214.1999969482422,185.4499969482422,200.0500030517578,72765,2022-05-02
2022-05-09,178.29920959472656,179.0,199.5,172.5,199.5,45500,2022-05-09
2022-05-16,195.18284606933594,195.9499969482422,200.0,178.0,179.5500030517578,38058,2022-05-16
2022-05-23,186.4173126220703,187.14999389648438,201.5,175.0,196.0,38828,2022-05-23
2022-05-30,184.32553100585938,185.0500030517578,198.6999969482422,180.89999389648438,198.6999969482422,24759,2022-05-30
2022-06-06,181.98472595214844,182.6999969482422,189.85000610351562,176.0500030517578,189.85000610351562,21028,2022-06-06
2022-06-13,156.0865020751953,156.6999969482422,186.89999389648438,155.1999969482422,181.0,39512,2022-06-13
2022-06-20,175.51016235351562,176.1999969482422,178.5,154.0,154.0500030517578,48380,2022-06-20
2022-06-27,175.0121307373047,175.6999969482422,186.0,171.3000030517578,173.5,23930,2022-06-27
2022-07-04,181.63609313964844,182.35000610351562,190.0,173.0,176.0500030517578,21816,2022-07-04
2022-07-11,178.09999084472656,178.8000030517578,192.0,177.1999969482422,178.14999389648438,18869,2022-07-11
2022-07-18,179.2952880859375,180.0,193.0,176.5,184.9499969482422,14928,2022-07-18
2022-07-25,176.55606079101562,177.25,187.5,175.25,187.5,13380,2022-07-25
2022-08-01,182.43295288085938,183.14999389648438,185.0,175.10000610351562,179.0,28113,2022-08-01
2022-08-08,166.87217712402344,167.14999389648438,183.0,166.39999389648438,180.3000030517578,35259,2022-08-08
2022-08-15,165.57435607910156,165.85000610351562,173.8000030517578,160.3000030517578,167.14999389648438,47510,2022-08-15
2022-08-22,168.7191162109375,169.0,172.85000610351562,162.0,166.0,33070,2022-08-22
2022-08-29,169.61761474609375,169.89999389648438,178.39999389648438,163.14999389648438,168.0,26997,2022-08-29
2022-09-05,175.7574005126953,176.0500030517578,178.39999389648438,168.0,169.89999389648438,45369,2022-09-05
2022-09-12,189.78404235839844,190.10000610351562,208.8000030517578,177.85000610351562,178.6999969482422,226837,2022-09-12
2022-09-19,252.72923278808594,253.14999389648438,268.79998779296875,175.25,192.0,936428,2022-09-19
2022-09-26,229.51788330078125,229.89999389648438,252.89999389648438,220.10000610351562,251.0,127180,2022-09-26
2022-10-03,236.8556671142578,237.25,251.0,214.9499969482422,224.3000030517578,106548,2022-10-03
2022-10-10,233.11190795898438,233.5,248.89999389648438,222.6999969482422,238.0,101204,2022-10-10
2022-10-17,216.43966674804688,216.8000030517578,240.0,214.14999389648438,240.0,34404,2022-10-17
2022-10-24,235.50790405273438,235.89999389648438,248.39999389648438,218.0,218.0,77626,2022-10-24
2022-10-31,233.11190795898438,233.5,244.0,228.5,241.9499969482422,55613,2022-10-31
2022-11-07,215.4413299560547,215.8000030517578,241.0,204.9499969482422,239.89999389648438,60122,2022-11-07
2022-11-14,232.0636444091797,232.4499969482422,244.8000030517578,204.0,223.89999389648438,131180,2022-11-14
2022-11-21,236.95550537109375,237.35000610351562,244.0,226.0,239.8000030517578,53079,2022-11-21
2022-11-28,232.01373291015625,232.39999389648438,260.45001220703125,231.60000610351562,237.35000610351562,196923,2022-11-28
2022-12-05,226.32321166992188,226.6999969482422,240.60000610351562,223.5500030517578,232.1999969482422,31349,2022-12-05
2022-12-12,225.77410888671875,226.14999389648438,240.0,225.0500030517578,226.6999969482422,30499,2022-12-12
2022-12-19,184.7923583984375,185.10000610351562,231.25,180.0,231.25,55277,2022-12-19
2022-12-26,223.0286865234375,223.39999389648438,230.9499969482422,184.0,185.8000030517578,49593,2022-12-26
2023-01-02,226.07362365722656,226.4499969482422,235.0,216.3000030517578,233.5,47575,2023-01-02
2023-01-09,226.72254943847656,227.10000610351562,234.85000610351562,216.85000610351562,234.85000610351562,21824,2023-01-09
2023-01-16,229.11856079101562,229.5,232.6999969482422,220.0,223.0,11082,2023-01-16
2023-01-23,220.48294067382812,220.85000610351562,232.0,216.10000610351562,227.5500030517578,16915,2023-01-23
2023-01-30,215.4413299560547,215.8000030517578,231.89999389648438,209.6999969482422,222.14999389648438,42761,2023-01-30
2023-02-06,217.43800354003906,217.8000030517578,224.9499969482422,199.9499969482422,211.0,40598,2023-02-06
2023-02-13,201.11517333984375,201.4499969482422,218.9499969482422,200.0,215.0500030517578,27618,2023-02-13
