Date,Adj Close_MICEL.NS,Close_MICEL.NS,High_MICEL.NS,Low_MICEL.NS,Open_MICEL.NS,Volume_MICEL.NS,Date
2024-09-23,99.9800033569336,99.9800033569336,108.76000213623047,93.72000122070312,95.01000213623047,7649766,2024-09-23
2024-09-30,97.41999816894531,97.41999816894531,103.4000015258789,94.0999984741211,99.9800033569336,2549421,2024-09-30
2024-10-07,97.37999725341797,97.37999725341797,102.0,87.91000366210938,97.41999816894531,2207274,2024-10-07
2024-10-14,94.12999725341797,94.12999725341797,100.80000305175781,90.19999694824219,97.97000122070312,2331975,2024-10-14
2024-10-21,82.20999908447266,82.20999908447266,94.0999984741211,80.9800033569336,93.01000213623047,2548448,2024-10-21
2024-10-28,96.08999633789062,96.08999633789062,97.1500015258789,81.12000274658203,82.9000015258789,2201867,2024-10-28
2024-11-04,90.6500015258789,90.6500015258789,96.55000305175781,88.05000305175781,95.4800033569336,2600171,2024-11-04
2024-11-11,85.45999908447266,85.45999908447266,95.18000030517578,83.01000213623047,91.48999786376953,2181651,2024-11-11
2024-11-18,83.33999633789062,83.33999633789062,87.98999786376953,82.0,86.5999984741211,1289716,2024-11-18
2024-11-25,83.9800033569336,83.9800033569336,86.3499984741211,83.05000305175781,85.05000305175781,1258838,2024-11-25
2024-12-02,90.0,90.0,92.56999969482422,84.5,85.5999984741211,2520330,2024-12-02
2024-12-09,88.83000183105469,88.83000183105469,96.0,86.5,91.5,3275937,2024-12-09
2024-12-16,83.73999786376953,83.73999786376953,91.23999786376953,82.9000015258789,89.9000015258789,1553893,2024-12-16
2024-12-23,87.86000061035156,87.86000061035156,90.93000030517578,82.0999984741211,87.38999938964844,3713566,2024-12-23
2024-12-30,86.81999969482422,86.81999969482422,89.23999786376953,83.19999694824219,89.23999786376953,3370633,2024-12-30
2025-01-06,80.66000366210938,80.66000366210938,91.0,79.04000091552734,89.29000091552734,1931871,2025-01-06
2025-01-13,80.44999694824219,80.44999694824219,81.94000244140625,75.0,80.75,1115881,2025-01-13
2025-01-20,78.2699966430664,78.2699966430664,81.58999633789062,75.4800033569336,80.69000244140625,1268707,2025-01-20
2025-01-27,78.05000305175781,78.05000305175781,84.0,68.98999786376953,77.01000213623047,1723470,2025-01-27
2025-02-03,74.58000183105469,74.58000183105469,79.0,73.5,78.05000305175781,1020144,2025-02-03
2025-02-10,62.970001220703125,62.970001220703125,76.08999633789062,62.970001220703125,75.9000015258789,1996806,2025-02-10
2025-02-17,63.97999954223633,63.97999954223633,65.7699966430664,55.04999923706055,62.0,2413720,2025-02-17
2025-02-24,56.130001068115234,56.130001068115234,63.189998626708984,55.66999816894531,63.0,1536967,2025-02-24
2025-03-03,61.150001525878906,61.150001525878906,61.150001525878906,50.720001220703125,56.13999938964844,1728494,2025-03-03
2025-03-10,56.959999084472656,56.959999084472656,64.19999694824219,56.099998474121094,62.79999923706055,2201519,2025-03-10
2025-03-17,61.54999923706055,61.54999923706055,62.95000076293945,56.970001220703125,56.970001220703125,2109623,2025-03-17
2025-03-24,53.0099983215332,53.0099983215332,63.47999954223633,51.5,62.9900016784668,5167193,2025-03-24
