Date,Adj Close_UNIVCABLES.NS,Close_UNIVCABLES.NS,High_UNIVCABLES.NS,Low_UNIVCABLES.NS,Open_UNIVCABLES.NS,Volume_UNIVCABLES.NS,Date
2021-12-06,153.62808227539062,156.14999389648438,157.9499969482422,147.6999969482422,153.85000610351562,130918,2021-12-06
2021-12-13,144.87184143066406,147.25,161.0,147.0,157.89999389648438,89546,2021-12-13
2021-12-20,143.69122314453125,146.0500030517578,151.89999389648438,140.0500030517578,147.85000610351562,93458,2021-12-20
2021-12-27,170.59950256347656,173.39999389648438,175.0,144.0500030517578,146.1999969482422,301074,2021-12-27
2022-01-03,170.353515625,173.14999389648438,187.39999389648438,168.4499969482422,175.0,697034,2022-01-03
2022-01-10,174.58407592773438,177.4499969482422,179.89999389648438,170.4499969482422,175.5,219850,2022-01-10
2022-01-17,165.6802520751953,168.39999389648438,185.0,166.0,179.89999389648438,228305,2022-01-17
2022-01-24,164.00770568847656,166.6999969482422,171.89999389648438,156.1999969482422,167.0,84220,2022-01-24
2022-01-31,165.3358917236328,168.0500030517578,174.0,160.35000610351562,170.89999389648438,101336,2022-01-31
2022-02-07,162.92547607421875,165.60000610351562,180.89999389648438,162.4499969482422,172.9499969482422,375435,2022-02-07
2022-02-14,153.0377960205078,155.5500030517578,164.1999969482422,153.64999389648438,163.9499969482422,139815,2022-02-14
2022-02-21,139.80502319335938,142.10000610351562,158.85000610351562,130.75,158.85000610351562,170397,2022-02-21
2022-02-28,140.2969512939453,142.60000610351562,148.0,138.39999389648438,142.10000610351562,115142,2022-02-28
2022-03-07,140.73965454101562,143.0500030517578,148.0,137.0,141.89999389648438,135018,2022-03-07
2022-03-14,138.87034606933594,141.14999389648438,145.0,136.0,143.3000030517578,129715,2022-03-14
2022-03-21,137.8373260498047,140.10000610351562,150.75,137.5,142.10000610351562,201402,2022-03-21
2022-03-28,145.56053161621094,147.9499969482422,149.0,136.4499969482422,141.0,196827,2022-03-28
2022-04-04,155.25144958496094,157.8000030517578,164.0,148.64999389648438,149.5,164050,2022-04-04
2022-04-11,156.7764129638672,159.35000610351562,163.0500030517578,154.39999389648438,159.1999969482422,82760,2022-04-11
2022-04-18,166.95924377441406,169.6999969482422,173.0,158.0,160.0,217817,2022-04-18
2022-04-25,157.8094482421875,160.39999389648438,169.0,159.0,168.0,80403,2022-04-25
2022-05-02,143.98638916015625,146.35000610351562,162.60000610351562,143.35000610351562,162.0,65676,2022-05-02
2022-05-09,135.27931213378906,137.5,150.35000610351562,132.35000610351562,146.35000610351562,94030,2022-05-09
2022-05-16,144.67507934570312,147.0500030517578,149.0,138.0,138.0,51323,2022-05-16
2022-05-23,142.36302185058594,144.6999969482422,162.0500030517578,136.5,143.0,175336,2022-05-23
2022-05-30,140.0509796142578,142.35000610351562,149.85000610351562,140.5500030517578,145.60000610351562,97432,2022-05-30
2022-06-06,137.00103759765625,139.25,144.9499969482422,137.25,141.35000610351562,61049,2022-06-06
2022-06-13,136.7550811767578,139.0,140.0,129.0,137.0,61692,2022-06-13
2022-06-20,134.2462615966797,136.4499969482422,142.8000030517578,125.0999984741211,142.8000030517578,85633,2022-06-20
2022-06-27,138.673583984375,140.9499969482422,148.14999389648438,136.0,138.9499969482422,55677,2022-06-27
2022-07-04,144.67507934570312,147.0500030517578,152.39999389648438,139.39999389648438,143.75,74000,2022-07-04
2022-07-11,145.2161865234375,147.60000610351562,153.9499969482422,143.6999969482422,148.3000030517578,34192,2022-07-11
2022-07-18,154.21841430664062,156.75,158.9499969482422,145.1999969482422,148.4499969482422,174402,2022-07-18
2022-07-25,168.73019409179688,171.5,176.0,153.5500030517578,157.39999389648438,354839,2022-07-25
2022-08-01,179.60171508789062,182.5500030517578,192.0,172.39999389648438,174.5,469234,2022-08-01
2022-08-08,191.85064697265625,195.0,204.8000030517578,179.0,183.6999969482422,488252,2022-08-08
2022-08-15,212.31471252441406,215.8000030517578,219.0,187.89999389648438,195.0,683484,2022-08-15
2022-08-22,203.26329040527344,206.60000610351562,228.0,202.64999389648438,216.10000610351562,727122,2022-08-22
2022-08-29,207.5922393798828,211.0,223.10000610351562,198.0500030517578,203.5,395488,2022-08-29
2022-09-05,222.30078125,225.9499969482422,243.0,212.0,212.0,912983,2022-09-05
2022-09-12,210.05184936523438,213.5,232.0,210.10000610351562,225.0,416714,2022-09-12
2022-09-19,205.02980041503906,207.0,223.75,203.85000610351562,216.89999389648438,364714,2022-09-19
2022-09-26,211.1212615966797,213.14999389648438,217.0,197.75,207.0,309256,2022-09-26
2022-10-03,249.40341186523438,251.8000030517578,256.0,208.0,214.0,819083,2022-10-03
2022-10-10,250.93865966796875,253.35000610351562,268.0,230.0500030517578,249.8000030517578,826812,2022-10-10
2022-10-17,231.3766326904297,233.60000610351562,264.8999938964844,232.5,253.25,302670,2022-10-17
2022-10-24,239.05287170410156,241.35000610351562,261.5,230.0,230.0,143934,2022-10-24
2022-10-31,246.5805206298828,248.9499969482422,255.0,233.25,242.5,274790,2022-10-31
2022-11-07,270.3025817871094,272.8999938964844,276.5,240.5500030517578,248.9499969482422,516630,2022-11-07
2022-11-14,279.46453857421875,282.1499938964844,293.8500061035156,260.04998779296875,274.8999938964844,638969,2022-11-14
2022-11-21,280.9007568359375,283.6000061035156,295.0,264.3999938964844,277.1000061035156,447018,2022-11-21
2022-11-28,289.2207946777344,292.0,316.0,281.6000061035156,283.6000061035156,438154,2022-11-28
2022-12-05,291.1026916503906,293.8999938964844,306.8999938964844,281.0,292.70001220703125,356268,2022-12-05
2022-12-12,285.35791015625,288.1000061035156,314.95001220703125,285.95001220703125,290.54998779296875,233468,2022-12-12
2022-12-19,263.765380859375,266.29998779296875,293.6000061035156,251.6999969482422,289.79998779296875,398474,2022-12-19
2022-12-26,294.71795654296875,297.54998779296875,299.8500061035156,264.0,265.95001220703125,214234,2022-12-26
2023-01-02,318.3904724121094,321.45001220703125,371.0,295.1000061035156,297.54998779296875,2608264,2023-01-02
2023-01-09,314.8247375488281,317.8500061035156,339.3999938964844,304.79998779296875,323.95001220703125,280559,2023-01-09
2023-01-16,308.0399475097656,311.0,328.0,308.3999938964844,320.79998779296875,170009,2023-01-16
2023-01-23,301.35418701171875,304.25,314.1000061035156,286.79998779296875,314.1000061035156,286776,2023-01-23
2023-01-30,331.9600830078125,335.1499938964844,353.70001220703125,292.0,308.79998779296875,607657,2023-01-30
2023-02-06,327.9486389160156,331.1000061035156,367.0,325.1499938964844,338.8500061035156,509049,2023-02-06
2023-02-13,341.9144592285156,345.20001220703125,367.0,296.8999938964844,319.0,857006,2023-02-13
2023-02-20,365.4879150390625,369.0,388.75,341.04998779296875,345.8999938964844,786640,2023-02-20
2023-02-27,344.6382751464844,347.95001220703125,370.75,326.3500061035156,369.0,430701,2023-02-27
2023-03-06,357.9107360839844,361.3500061035156,369.25,342.04998779296875,348.8500061035156,258773,2023-03-06
2023-03-13,354.79071044921875,358.20001220703125,371.45001220703125,340.0,366.70001220703125,292636,2023-03-13
2023-03-20,351.1259460449219,354.5,388.0,343.20001220703125,358.8999938964844,511217,2023-03-20
2023-03-27,355.1868896484375,358.6000061035156,368.8999938964844,333.3500061035156,355.8999938964844,250332,2023-03-27
2023-04-03,394.0633239746094,397.8500061035156,400.79998779296875,354.6000061035156,361.45001220703125,612495,2023-04-03
2023-04-10,397.08428955078125,400.8999938964844,415.0,390.04998779296875,401.79998779296875,389409,2023-04-10
2023-04-17,383.2670593261719,386.95001220703125,405.0,375.5,399.8500061035156,126068,2023-04-17
2023-04-24,380.3946533203125,384.04998779296875,396.1499938964844,369.20001220703125,392.75,145966,2023-04-24
2023-05-01,389.1604309082031,392.8999938964844,405.0,377.0,384.04998779296875,138772,2023-05-01
2023-05-08,405.6024475097656,409.5,416.8500061035156,376.54998779296875,401.0,209271,2023-05-08
2023-05-15,374.2536926269531,377.8500061035156,424.8999938964844,369.1000061035156,405.0,293505,2023-05-15
2023-05-22,374.1546325683594,377.75,390.0,351.1000061035156,388.79998779296875,199708,2023-05-22
2023-05-29,363.5069274902344,367.0,378.0,350.1000061035156,375.04998779296875,258837,2023-05-29
2023-06-05,364.10125732421875,367.6000061035156,377.95001220703125,363.0,369.6000061035156,94630,2023-06-05
2023-06-12,392.97381591796875,396.75,417.3999938964844,364.04998779296875,371.25,303675,2023-06-12
2023-06-19,365.983154296875,369.5,419.5,367.5,397.70001220703125,236483,2023-06-19
2023-06-26,383.7127685546875,387.3999938964844,404.0,368.1499938964844,370.8999938964844,128966,2023-06-26
2023-07-03,383.217529296875,386.8999938964844,397.0,381.1499938964844,397.0,92074,2023-07-03
2023-07-10,380.0975341796875,383.75,397.0,379.5,388.8999938964844,91706,2023-07-10
2023-07-17,443.7359924316406,448.0,453.0,371.5,384.1000061035156,1195501,2023-07-17
2023-07-24,439.0807189941406,443.29998779296875,456.8500061035156,414.8500061035156,456.70001220703125,574518,2023-07-24
2023-07-31,441.06170654296875,445.29998779296875,486.29998779296875,430.20001220703125,454.79998779296875,661644,2023-07-31
2023-08-07,460.4256286621094,464.8500061035156,544.4000244140625,445.3500061035156,474.0,2681976,2023-08-07
2023-08-14,395.1528625488281,398.95001220703125,442.1000061035156,379.3500061035156,442.0,938750,2023-08-14
2023-08-21,426.3530578613281,430.45001220703125,437.0,390.3999938964844,402.1000061035156,557494,2023-08-21
2023-08-28,483.70196533203125,488.3500061035156,511.95001220703125,425.20001220703125,430.0,666313,2023-08-28
2023-09-04,498.5096435546875,503.29998779296875,511.95001220703125,475.6000061035156,490.45001220703125,656729,2023-09-04
2023-09-11,466.0122375488281,467.6000061035156,510.54998779296875,465.0,510.0,470732,2023-09-11
2023-09-18,475.031494140625,476.6499938964844,491.6000061035156,455.04998779296875,472.0,254344,2023-09-18
2023-09-25,479.5162353515625,481.1499938964844,493.0,473.25,474.3500061035156,180199,2023-09-25
2023-10-02,506.32489013671875,508.04998779296875,524.4000244140625,473.6000061035156,481.1499938964844,317264,2023-10-02
2023-10-09,492.02362060546875,493.70001220703125,524.2000122070312,476.20001220703125,504.8500061035156,329393,2023-10-09
2023-10-16,494.51513671875,496.20001220703125,531.25,488.20001220703125,496.79998779296875,221721,2023-10-16
2023-10-23,500.7439270019531,502.45001220703125,514.1500244140625,468.3500061035156,496.8999938964844,256613,2023-10-23
2023-10-30,518.9319458007812,520.7000122070312,554.0,491.8999938964844,505.0,517482,2023-10-30
2023-11-06,509.6136779785156,511.3500061035156,553.0,468.45001220703125,522.7999877929688,693510,2023-11-06
2023-11-13,508.3180847167969,510.04998779296875,514.4000244140625,493.0,502.20001220703125,154803,2023-11-13
2023-11-20,506.0757141113281,507.79998779296875,536.5999755859375,501.70001220703125,509.6499938964844,233660,2023-11-20
2023-11-27,505.2784423828125,507.0,515.0,492.04998779296875,507.79998779296875,140700,2023-11-27
2023-12-04,510.211669921875,511.95001220703125,529.7000122070312,505.0,515.0,292219,2023-12-04
2023-12-11,513.60009765625,515.3499755859375,541.9000244140625,498.6000061035156,518.2999877929688,355415,2023-12-11
2023-12-18,501.3916931152344,503.1000061035156,532.8499755859375,484.45001220703125,521.0,294956,2023-12-18
2023-12-25,515.8424072265625,517.5999755859375,520.0,497.1000061035156,503.1000061035156,150040,2023-12-25
2024-01-01,523.3668212890625,525.1500244140625,534.5,510.1499938964844,517.5999755859375,125148,2024-01-01
2024-01-08,530.69189453125,532.5,564.0,510.1000061035156,521.0999755859375,403572,2024-01-08
2024-01-15,498.3022155761719,500.0,537.2999877929688,488.8999938964844,537.2999877929688,140159,2024-01-15
2024-01-22,488.8843078613281,490.54998779296875,519.0,485.0,500.0,63599,2024-01-22
2024-01-29,499.19915771484375,500.8999938964844,513.0,483.0,483.0,180876,2024-01-29
2024-02-05,483.25347900390625,484.8999938964844,510.45001220703125,475.95001220703125,501.54998779296875,168184,2024-02-05
2024-02-12,473.6860656738281,475.29998779296875,498.5,463.3500061035156,493.6000061035156,148833,2024-02-12
2024-02-19,467.357666015625,468.95001220703125,479.95001220703125,460.0,476.0,49588,2024-02-19
2024-02-26,435.7652893066406,437.25,475.0,435.0,468.95001220703125,159342,2024-02-26
2024-03-04,424.2046813964844,425.6499938964844,449.0,417.95001220703125,445.5,108279,2024-03-04
2024-03-11,398.44244384765625,399.79998779296875,425.6499938964844,385.0,425.6499938964844,202322,2024-03-11
2024-03-18,418.6236877441406,420.04998779296875,436.79998779296875,390.0,400.0,92095,2024-03-18
2024-03-25,453.8536682128906,455.3999938964844,461.95001220703125,411.20001220703125,420.04998779296875,191449,2024-03-25
2024-04-01,488.8843078613281,490.54998779296875,493.0,455.04998779296875,455.45001220703125,200901,2024-04-01
2024-04-08,505.2784423828125,507.0,534.0,487.04998779296875,490.54998779296875,201899,2024-04-08
2024-04-15,532.9840698242188,534.7999877929688,537.9500122070312,484.54998779296875,500.04998779296875,251629,2024-04-15
2024-04-22,578.4292602539062,580.4000244140625,611.9500122070312,539.9500122070312,544.9000244140625,921292,2024-04-22
2024-04-29,568.0147094726562,569.9500122070312,596.9000244140625,560.5499877929688,578.9000244140625,151544,2024-04-29
2024-05-06,580.1732788085938,582.1500244140625,594.0,495.0,577.0,357487,2024-05-06
2024-05-13,613.9581298828125,616.0499877929688,623.0,548.4000244140625,581.4500122070312,530916,2024-05-13
2024-05-20,606.6829833984375,608.75,654.9500122070312,586.75,586.75,284458,2024-05-20
2024-05-27,609.7723999023438,611.8499755859375,672.9000244140625,603.0,618.2000122070312,416461,2024-05-27
2024-06-03,730.4612426757812,732.9500122070312,743.7000122070312,587.0,634.0,699316,2024-06-03
2024-06-10,746.3571166992188,748.9000244140625,799.0,723.5499877929688,740.0,536074,2024-06-10
2024-06-17,694.7828369140625,697.1500244140625,772.0,693.3499755859375,748.9000244140625,236937,2024-06-17
2024-06-24,694.7828369140625,697.1500244140625,784.0,693.0,708.3499755859375,484933,2024-06-24
2024-07-01,771.9199829101562,774.5499877929688,843.0,697.1500244140625,697.2000122070312,580411,2024-07-01
2024-07-08,814.5247802734375,817.2999877929688,835.0,719.5999755859375,781.7000122070312,466163,2024-07-08
2024-07-15,856.7808227539062,859.7000122070312,909.9000244140625,808.0,817.2999877929688,596590,2024-07-15
