Date,Adj Close_MANAKSIA.NS,Close_MANAKSIA.NS,High_MANAKSIA.NS,Low_MANAKSIA.NS,Open_MANAKSIA.NS,Volume_MANAKSIA.NS,Date
2022-10-03,79.761962890625,84.69999694824219,86.6500015258789,75.5999984741211,77.8499984741211,532243,2022-10-03
2022-10-10,74.81803131103516,79.44999694824219,84.5,79.0,83.0,165830,2022-10-10
2022-10-17,73.7350845336914,78.30000305175781,80.94999694824219,76.05000305175781,80.55000305175781,130518,2022-10-17
2022-10-24,74.81803131103516,79.44999694824219,85.0,78.5,79.0,212355,2022-10-24
2022-10-31,78.77317810058594,83.6500015258789,84.5999984741211,78.0,79.5999984741211,253804,2022-10-31
2022-11-07,76.60726928710938,81.3499984741211,85.0,81.0,84.30000305175781,302742,2022-11-07
2022-11-14,75.24180603027344,79.9000015258789,83.80000305175781,77.69999694824219,82.0,369586,2022-11-14
2022-11-21,71.80460357666016,76.25,82.80000305175781,75.5999984741211,81.05000305175781,738619,2022-11-21
2022-11-28,75.65227508544922,77.25,77.75,76.0,76.3499984741211,247565,2022-11-28
2022-12-05,76.38676452636719,78.0,79.8499984741211,77.25,77.75,239578,2022-12-05
2022-12-12,76.14193725585938,77.75,79.8499984741211,76.4000015258789,77.0999984741211,186534,2022-12-12
2022-12-19,71.49017333984375,73.0,78.8499984741211,69.05000305175781,77.4000015258789,263597,2022-12-19
2022-12-26,72.76329040527344,74.30000305175781,76.0,72.0,74.0,142790,2022-12-26
2023-01-02,73.59571075439453,75.1500015258789,79.0,74.30000305175781,74.30000305175781,625797,2023-01-02
2023-01-09,77.65988159179688,79.30000305175781,81.44999694824219,74.25,77.4000015258789,618741,2023-01-09
2023-01-16,76.87641906738281,78.5,80.8499984741211,76.0,79.9000015258789,647941,2023-01-16
2023-01-23,90.53789520263672,92.44999694824219,101.8499984741211,78.94999694824219,79.30000305175781,4893825,2023-01-23
2023-01-30,132.10992431640625,134.89999389648438,144.0,90.0,92.0999984741211,13058468,2023-01-30
2023-02-06,140.4341278076172,143.39999389648438,143.39999389648438,125.0,130.39999389648438,1319898,2023-02-06
2023-02-13,139.0141143798828,141.9499969482422,156.39999389648438,141.1999969482422,150.0,3100452,2023-02-13
2023-02-20,123.68780517578125,126.30000305175781,144.6999969482422,125.0,144.0,921492,2023-02-20
2023-02-27,117.37120056152344,119.8499984741211,124.30000305175781,115.44999694824219,124.19999694824219,710452,2023-02-27
2023-03-06,110.76080322265625,113.0999984741211,120.9000015258789,112.25,119.0999984741211,327879,2023-03-06
2023-03-13,105.27662658691406,107.5,114.5999984741211,99.0999984741211,113.0999984741211,678049,2023-03-13
2023-03-20,113.40496826171875,115.80000305175781,123.75,100.44999694824219,105.0999984741211,597993,2023-03-20
2023-03-27,104.68904113769531,106.9000015258789,124.80000305175781,102.5,115.80000305175781,876246,2023-03-27
2023-04-03,117.90982818603516,120.4000015258789,121.0,106.9000015258789,106.9000015258789,911002,2023-04-03
2023-04-10,124.42228698730469,127.05000305175781,128.5,117.0,120.5,239830,2023-04-10
2023-04-17,117.07740783691406,119.55000305175781,130.85000610351562,110.19999694824219,129.35000610351562,502892,2023-04-17
2023-04-24,125.25470733642578,127.9000015258789,129.10000610351562,112.25,121.0999984741211,603255,2023-04-24
2023-05-01,133.72579956054688,136.5500030517578,140.64999389648438,127.9000015258789,127.9000015258789,806075,2023-05-01
2023-05-08,138.47547912597656,141.39999389648438,146.89999389648438,130.14999389648438,137.64999389648438,981368,2023-05-08
2023-05-15,134.4113311767578,137.25,143.1999969482422,134.0,139.39999389648438,561417,2023-05-15
2023-05-22,145.3796844482422,148.4499969482422,155.60000610351562,135.0,137.9499969482422,1468019,2023-05-22
2023-05-29,171.47850036621094,175.10000610351562,178.0,142.0500030517578,147.89999389648438,4419443,2023-05-29
2023-06-05,182.69168090820312,186.5500030517578,194.1999969482422,175.10000610351562,179.0,4027233,2023-06-05
2023-06-12,177.8930206298828,181.64999389648438,189.8000030517578,176.0,188.35000610351562,1710537,2023-06-12
2023-06-19,161.58738708496094,165.0,182.0,164.0500030517578,182.0,928061,2023-06-19
2023-06-26,161.34255981445312,164.75,171.5500030517578,163.10000610351562,167.0,739527,2023-06-26
2023-07-03,153.8507843017578,157.10000610351562,165.4499969482422,155.0,164.75,597452,2023-07-03
2023-07-10,142.63758850097656,145.64999389648438,159.60000610351562,143.75,157.35000610351562,1230474,2023-07-10
2023-07-17,142.09896850585938,145.10000610351562,155.0,144.0,146.8000030517578,1687058,2023-07-17
2023-07-24,138.23065185546875,141.14999389648438,155.0,139.1999969482422,145.3000030517578,1389572,2023-07-24
2023-07-31,130.34716796875,133.10000610351562,142.35000610351562,132.0500030517578,140.0,2401736,2023-07-31
2023-08-07,126.82161712646484,129.5,140.64999389648438,127.5,132.3000030517578,1083423,2023-08-07
2023-08-14,129.8574981689453,132.60000610351562,134.6999969482422,125.0,130.0,372584,2023-08-14
2023-08-21,132.8933868408203,135.6999969482422,142.5,130.10000610351562,133.4499969482422,1044046,2023-08-21
2023-08-28,138.42652893066406,141.35000610351562,145.35000610351562,131.5,135.6999969482422,1771473,2023-08-28
2023-09-04,146.45693969726562,149.5500030517578,154.6999969482422,142.1999969482422,142.9499969482422,2438832,2023-09-04
2023-09-11,140.5320587158203,143.5,152.0,140.8000030517578,150.75,851840,2023-09-11
2023-09-18,136.1999969482422,136.1999969482422,146.5,135.0500030517578,144.14999389648438,558425,2023-09-18
2023-09-25,141.60000610351562,141.60000610351562,144.89999389648438,135.10000610351562,137.4499969482422,545938,2023-09-25
2023-10-02,139.64999389648438,139.64999389648438,143.89999389648438,137.39999389648438,141.60000610351562,964713,2023-10-02
2023-10-09,136.5,136.5,138.9499969482422,132.3000030517578,138.9499969482422,739137,2023-10-09
2023-10-16,145.5500030517578,145.5500030517578,155.9499969482422,136.0500030517578,136.10000610351562,2252428,2023-10-16
2023-10-23,135.75,135.75,146.35000610351562,127.94999694824219,145.60000610351562,614094,2023-10-23
2023-10-30,137.14999389648438,137.14999389648438,138.5500030517578,133.9499969482422,138.4499969482422,264521,2023-10-30
2023-11-06,135.14999389648438,135.14999389648438,142.0,133.9499969482422,137.5,286931,2023-11-06
2023-11-13,133.75,133.75,139.14999389648438,132.4499969482422,135.0,482779,2023-11-13
2023-11-20,131.75,131.75,135.89999389648438,130.8000030517578,133.8000030517578,721533,2023-11-20
2023-11-27,133.10000610351562,133.10000610351562,135.1999969482422,130.35000610351562,131.75,328543,2023-11-27
2023-12-04,134.14999389648438,134.14999389648438,138.35000610351562,129.89999389648438,134.0500030517578,1082103,2023-12-04
2023-12-11,133.6999969482422,133.6999969482422,138.5,132.0500030517578,135.85000610351562,820306,2023-12-11
2023-12-18,130.89999389648438,130.89999389648438,135.14999389648438,127.05000305175781,134.3000030517578,579041,2023-12-18
2023-12-25,131.4499969482422,131.4499969482422,137.5,130.60000610351562,130.89999389648438,563792,2023-12-25
2024-01-01,133.39999389648438,133.39999389648438,136.89999389648438,131.39999389648438,132.0,861971,2024-01-01
2024-01-08,135.85000610351562,135.85000610351562,148.5500030517578,130.9499969482422,133.85000610351562,3463436,2024-01-08
2024-01-15,135.1999969482422,135.1999969482422,138.3000030517578,129.25,136.9499969482422,1420093,2024-01-15
2024-01-22,132.35000610351562,132.35000610351562,138.9499969482422,130.0500030517578,135.1999969482422,1081250,2024-01-22
2024-01-29,132.0,132.0,136.5500030517578,131.25,134.3000030517578,1390879,2024-01-29
2024-02-05,130.4499969482422,130.4499969482422,135.5,128.0500030517578,133.39999389648438,1535032,2024-02-05
2024-02-12,117.9000015258789,117.9000015258789,131.89999389648438,110.44999694824219,131.6999969482422,1355479,2024-02-12
2024-02-19,114.55000305175781,114.55000305175781,124.1500015258789,112.19999694824219,119.3499984741211,1003053,2024-02-19
2024-02-26,120.44999694824219,120.44999694824219,128.6999969482422,112.0999984741211,114.5999984741211,1582197,2024-02-26
2024-03-04,118.19999694824219,118.19999694824219,123.80000305175781,116.0,123.1500015258789,433539,2024-03-04
2024-03-11,102.30000305175781,102.30000305175781,121.4000015258789,97.0,118.19999694824219,880264,2024-03-11
2024-03-18,102.75,102.75,106.0,99.3499984741211,102.0,630504,2024-03-18
2024-03-25,98.0,98.0,103.5999984741211,97.0999984741211,102.75,827683,2024-03-25
2024-04-01,112.19999694824219,112.19999694824219,114.0,98.5,99.0,796971,2024-04-01
2024-04-08,109.69999694824219,109.69999694824219,116.5,109.0,113.0,393614,2024-04-08
2024-04-15,106.44999694824219,106.44999694824219,111.94999694824219,103.44999694824219,105.80000305175781,395154,2024-04-15
2024-04-22,116.9000015258789,116.9000015258789,123.0,107.19999694824219,107.25,965603,2024-04-22
2024-04-29,113.30000305175781,113.30000305175781,119.80000305175781,112.19999694824219,117.0999984741211,318063,2024-04-29
2024-05-06,107.94999694824219,107.94999694824219,114.19999694824219,106.0999984741211,113.8499984741211,279063,2024-05-06
2024-05-13,112.44999694824219,112.44999694824219,113.5,102.4000015258789,107.94999694824219,433766,2024-05-13
2024-05-20,107.94999694824219,107.94999694824219,112.0,107.0999984741211,110.94999694824219,220979,2024-05-20
2024-05-27,100.4000015258789,100.4000015258789,109.0999984741211,100.0,108.0,451607,2024-05-27
2024-06-03,100.0,100.0,106.94999694824219,91.0999984741211,106.94999694824219,608980,2024-06-03
2024-06-10,99.87000274658203,99.87000274658203,105.0,99.5,101.5,551051,2024-06-10
2024-06-17,98.93000030517578,98.93000030517578,102.0,98.30000305175781,99.87000274658203,777825,2024-06-17
2024-06-24,97.12000274658203,97.12000274658203,99.4000015258789,96.0,99.0999984741211,405825,2024-06-24
2024-07-01,97.75,97.75,100.0,97.26000213623047,97.9800033569336,535378,2024-07-01
2024-07-08,97.94000244140625,97.94000244140625,101.94999694824219,96.0,97.80000305175781,613855,2024-07-08
2024-07-15,96.87000274658203,96.87000274658203,101.83999633789062,96.4000015258789,98.30000305175781,485414,2024-07-15
2024-07-22,99.33000183105469,99.33000183105469,100.63999938964844,95.0,95.01000213623047,648784,2024-07-22
2024-07-29,96.55000305175781,96.55000305175781,100.5,95.5,100.0,465062,2024-07-29
2024-08-05,96.08999633789062,96.08999633789062,98.9000015258789,91.47000122070312,94.0,618747,2024-08-05
2024-08-12,92.4000015258789,92.4000015258789,100.0,90.3499984741211,96.0999984741211,420610,2024-08-12
2024-08-19,94.86000061035156,94.86000061035156,98.98999786376953,91.83999633789062,92.5,672920,2024-08-19
2024-08-26,98.31999969482422,98.31999969482422,98.98999786376953,94.0,95.61000061035156,516970,2024-08-26
2024-09-02,94.2699966430664,94.2699966430664,98.98999786376953,94.0,98.0,354366,2024-09-02
2024-09-09,102.56999969482422,102.56999969482422,107.97000122070312,93.0,94.2699966430664,2322426,2024-09-09
2024-09-16,101.44999694824219,101.44999694824219,113.80000305175781,98.33999633789062,103.19999694824219,3593493,2024-09-16
2024-09-23,102.68000030517578,102.68000030517578,108.43000030517578,98.7300033569336,101.44999694824219,1284081,2024-09-23
2024-09-30,101.0,101.0,113.80000305175781,100.0,104.0,1202856,2024-09-30
2024-10-07,96.9000015258789,96.9000015258789,102.58000183105469,94.5,102.41000366210938,515194,2024-10-07
2024-10-14,98.12000274658203,98.12000274658203,106.0,95.8499984741211,97.5999984741211,1003244,2024-10-14
2024-10-21,90.0999984741211,90.0999984741211,98.44999694824219,88.70999908447266,98.44999694824219,375288,2024-10-21
2024-10-28,93.45999908447266,93.45999908447266,94.19999694824219,88.73999786376953,90.0999984741211,251483,2024-10-28
2024-11-04,92.33000183105469,92.33000183105469,94.6500015258789,91.41000366210938,93.0,202882,2024-11-04
2024-11-11,86.83000183105469,86.83000183105469,93.44000244140625,86.36000061035156,92.77999877929688,240504,2024-11-11
2024-11-18,85.75,85.75,88.9000015258789,85.5,87.1500015258789,139658,2024-11-18
2024-11-25,95.29000091552734,95.29000091552734,97.0,85.6500015258789,87.19000244140625,485681,2024-11-25
2024-12-02,94.18000030517578,94.18000030517578,95.94000244140625,91.58000183105469,95.29000091552734,364016,2024-12-02
2024-12-09,92.27999877929688,92.27999877929688,96.0,91.05000305175781,94.0,302948,2024-12-09
2024-12-16,85.43000030517578,85.43000030517578,93.3499984741211,85.0,91.1500015258789,351427,2024-12-16
2024-12-23,84.93000030517578,84.93000030517578,86.51000213623047,83.0999984741211,86.5,133981,2024-12-23
2024-12-30,89.91999816894531,89.91999816894531,97.79000091552734,80.8499984741211,85.58000183105469,1320721,2024-12-30
2025-01-06,84.62000274658203,84.62000274658203,90.30000305175781,84.0,89.0,274856,2025-01-06
2025-01-13,84.08999633789062,84.08999633789062,85.75,79.51000213623047,83.25,245569,2025-01-13
2025-01-20,81.70999908447266,81.70999908447266,86.47000122070312,81.0,84.5199966430664,156307,2025-01-20
2025-01-27,81.38999938964844,81.38999938964844,82.98999786376953,76.0,80.3499984741211,225401,2025-01-27
2025-02-03,80.04000091552734,80.04000091552734,82.5,79.5,82.0,144242,2025-02-03
2025-02-10,73.04000091552734,73.04000091552734,80.55999755859375,72.12000274658203,80.55999755859375,239496,2025-02-10
2025-02-17,71.29000091552734,71.29000091552734,73.95999908447266,68.5,73.23999786376953,261038,2025-02-17
2025-02-24,65.94000244140625,65.94000244140625,71.5,65.06999969482422,70.30000305175781,128084,2025-02-24
2025-03-03,66.30000305175781,66.30000305175781,66.8499984741211,59.86000061035156,66.8499984741211,343071,2025-03-03
2025-03-10,61.86000061035156,61.86000061035156,66.5999984741211,61.310001373291016,65.0,297328,2025-03-10
2025-03-17,63.689998626708984,63.689998626708984,65.8499984741211,58.11000061035156,61.849998474121094,350220,2025-03-17
2025-03-24,58.45000076293945,58.45000076293945,66.0,58.150001525878906,65.0,635826,2025-03-24
2025-03-31,59.91999816894531,59.91999816894531,63.20000076293945,58.209999084472656,58.45000076293945,238902,2025-03-31
2025-04-07,60.70000076293945,60.70000076293945,61.95000076293945,54.52000045776367,56.5,193533,2025-04-07
2025-04-14,64.6500015258789,64.6500015258789,66.33000183105469,60.150001525878906,60.97999954223633,127312,2025-04-14
2025-04-21,70.47000122070312,70.47000122070312,75.44999694824219,63.9900016784668,64.6500015258789,947624,2025-04-21
2025-04-28,65.06999969482422,65.06999969482422,75.58999633789062,64.66999816894531,69.5,451058,2025-04-28
2025-05-05,63.959999084472656,63.959999084472656,66.69000244140625,59.90999984741211,64.6500015258789,129254,2025-05-05
2025-05-12,71.0999984741211,71.0999984741211,73.19000244140625,64.25,65.25,336607,2025-05-12
2025-05-19,73.76000213623047,73.76000213623047,76.0,71.0999984741211,71.0999984741211,237316,2025-05-19
2025-05-26,69.2699966430664,69.2699966430664,75.0,67.5,74.0999984741211,285814,2025-05-26
2025-06-02,72.38999938964844,72.38999938964844,74.38999938964844,68.30999755859375,69.58999633789062,229927,2025-06-02
2025-06-09,73.80000305175781,73.80000305175781,79.48999786376953,71.5199966430664,72.38999938964844,715551,2025-06-09
2025-06-16,72.77999877929688,72.77999877929688,79.0199966430664,71.51000213623047,74.58999633789062,439057,2025-06-16
2025-06-23,76.2300033569336,76.2300033569336,79.80000305175781,71.87000274658203,73.0,377717,2025-06-23
