Date,Adj Close_UFO.NS,Close_UFO.NS,High_UFO.NS,Low_UFO.NS,Open_UFO.NS,Volume_UFO.NS,Date
2024-03-11,123.94999694824219,123.94999694824219,138.35000610351562,114.3499984741211,137.3000030517578,2075949,2024-03-11
2024-03-18,130.75,130.75,133.39999389648438,118.5,124.5999984741211,1278467,2024-03-18
2024-03-25,134.4499969482422,134.4499969482422,137.9499969482422,128.8000030517578,130.75,834044,2024-03-25
2024-04-01,145.9499969482422,145.9499969482422,152.25,134.60000610351562,134.60000610351562,1690099,2024-04-01
2024-04-08,139.75,139.75,150.25,139.3000030517578,149.0,533916,2024-04-08
2024-04-15,143.5500030517578,143.5500030517578,147.9499969482422,131.10000610351562,134.10000610351562,1599892,2024-04-15
2024-04-22,143.10000610351562,143.10000610351562,154.4499969482422,140.5500030517578,143.35000610351562,1567802,2024-04-22
2024-04-29,139.10000610351562,139.10000610351562,147.39999389648438,138.0,143.1999969482422,721294,2024-04-29
2024-05-06,131.75,131.75,140.75,124.05000305175781,140.10000610351562,968607,2024-05-06
2024-05-13,131.35000610351562,131.35000610351562,135.0,126.0999984741211,130.85000610351562,565320,2024-05-13
2024-05-20,122.8499984741211,122.8499984741211,136.85000610351562,121.6500015258789,132.39999389648438,1694096,2024-05-20
2024-05-27,118.3499984741211,118.3499984741211,124.9000015258789,113.75,123.69999694824219,993221,2024-05-27
2024-06-03,123.9000015258789,123.9000015258789,126.5,106.0,120.69999694824219,1225833,2024-06-03
2024-06-10,125.16000366210938,125.16000366210938,129.5,122.75,123.80000305175781,830718,2024-06-10
2024-06-17,127.87000274658203,127.87000274658203,130.0,122.0,125.16000366210938,1417925,2024-06-17
2024-06-24,133.9199981689453,133.9199981689453,141.4499969482422,124.0,126.94999694824219,3469390,2024-06-24
2024-07-01,134.97000122070312,134.97000122070312,140.3000030517578,132.07000732421875,134.86000061035156,1100451,2024-07-01
2024-07-08,133.75,133.75,141.39999389648438,133.0,134.75,1364697,2024-07-08
2024-07-15,125.43000030517578,125.43000030517578,135.7899932861328,124.9000015258789,134.9499969482422,709836,2024-07-15
2024-07-22,131.8300018310547,131.8300018310547,133.8000030517578,117.0,125.01000213623047,898040,2024-07-22
2024-07-29,133.89999389648438,133.89999389648438,151.3000030517578,131.0,132.25,6150742,2024-07-29
2024-08-05,127.93000030517578,127.93000030517578,132.17999267578125,122.0999984741211,130.5,1222991,2024-08-05
2024-08-12,125.45999908447266,125.45999908447266,127.93000030517578,120.19999694824219,127.93000030517578,661623,2024-08-12
2024-08-19,132.9199981689453,132.9199981689453,135.75,123.80999755859375,125.45999908447266,955836,2024-08-19
2024-08-26,130.67999267578125,130.67999267578125,136.8000030517578,127.4000015258789,133.39999389648438,1083937,2024-08-26
2024-09-02,129.82000732421875,129.82000732421875,136.16000366210938,125.5999984741211,129.5500030517578,1291368,2024-09-02
2024-09-09,139.75,139.75,144.9499969482422,126.80999755859375,130.0,2555367,2024-09-09
2024-09-16,131.75999450683594,131.75999450683594,140.6999969482422,128.5,139.75,803212,2024-09-16
2024-09-23,134.8000030517578,134.8000030517578,146.0,129.3300018310547,132.49000549316406,3369579,2024-09-23
2024-09-30,132.52999877929688,132.52999877929688,143.60000610351562,131.1999969482422,135.10000610351562,2055425,2024-09-30
2024-10-07,129.25,129.25,133.63999938964844,123.55000305175781,132.4499969482422,768190,2024-10-07
2024-10-14,123.48999786376953,123.48999786376953,131.3000030517578,121.9800033569336,130.0,413144,2024-10-14
2024-10-21,103.20999908447266,103.20999908447266,126.58999633789062,101.5,123.05000305175781,1315144,2024-10-21
2024-10-28,114.38999938964844,114.38999938964844,115.0,101.51000213623047,103.97000122070312,628036,2024-10-28
2024-11-04,106.83999633789062,106.83999633789062,114.94999694824219,105.3499984741211,114.08000183105469,415145,2024-11-04
2024-11-11,100.2699966430664,100.2699966430664,107.66000366210938,100.0,106.0,339809,2024-11-11
2024-11-18,99.22000122070312,99.22000122070312,103.08999633789062,97.19999694824219,101.25,295452,2024-11-18
2024-11-25,106.08999633789062,106.08999633789062,108.0,99.0999984741211,100.0999984741211,414230,2024-11-25
2024-12-02,115.33000183105469,115.33000183105469,119.38999938964844,105.7699966430664,106.4000015258789,730096,2024-12-02
2024-12-09,111.77999877929688,111.77999877929688,118.8499984741211,110.58000183105469,116.75,495578,2024-12-09
2024-12-16,104.87999725341797,104.87999725341797,114.88999938964844,103.0,110.69999694824219,441156,2024-12-16
2024-12-23,104.05000305175781,104.05000305175781,108.0,101.5999984741211,105.5,310027,2024-12-23
2024-12-30,105.30000305175781,105.30000305175781,106.68000030517578,100.5,104.05000305175781,208735,2024-12-30
2025-01-06,97.44000244140625,97.44000244140625,105.5199966430664,95.51000213623047,105.5,320867,2025-01-06
2025-01-13,95.08000183105469,95.08000183105469,99.0,87.0999984741211,99.0,513453,2025-01-13
2025-01-20,84.87999725341797,84.87999725341797,96.45999908447266,84.38999938964844,95.1500015258789,455030,2025-01-20
2025-01-27,90.33000183105469,90.33000183105469,99.9000015258789,75.91999816894531,83.5999984741211,1943381,2025-01-27
2025-02-03,87.62000274658203,87.62000274658203,92.69000244140625,86.70999908447266,88.3499984741211,538876,2025-02-03
2025-02-10,79.05999755859375,79.05999755859375,88.8499984741211,78.0999984741211,88.8499984741211,454225,2025-02-10
2025-02-17,80.27999877929688,80.27999877929688,82.58999633789062,74.16000366210938,80.0,408776,2025-02-17
2025-02-24,73.38999938964844,73.38999938964844,81.01000213623047,72.0,80.0999984741211,280542,2025-02-24
2025-03-03,74.87999725341797,74.87999725341797,76.80000305175781,68.12000274658203,74.41999816894531,646219,2025-03-03
2025-03-10,66.29000091552734,66.29000091552734,75.55000305175781,65.91999816894531,75.0,384503,2025-03-10
2025-03-17,75.29000091552734,75.29000091552734,76.5,64.69000244140625,66.0,797172,2025-03-17
2025-03-24,66.23999786376953,66.23999786376953,78.51000213623047,65.75,75.5,1147237,2025-03-24
2025-03-31,65.7300033569336,65.7300033569336,72.93000030517578,65.1500015258789,66.23999786376953,784533,2025-03-31
2025-04-07,62.349998474121094,62.349998474121094,66.44000244140625,60.119998931884766,60.7599983215332,791726,2025-04-07
2025-04-14,69.76000213623047,69.76000213623047,70.5,62.349998474121094,62.349998474121094,387767,2025-04-14
2025-04-21,69.06999969482422,69.06999969482422,75.0,68.23999786376953,69.76000213623047,748036,2025-04-21
2025-04-28,66.9800033569336,66.9800033569336,71.22000122070312,66.0,68.5,185211,2025-04-28
2025-05-05,63.4900016784668,63.4900016784668,68.27999877929688,59.95000076293945,67.44999694824219,338716,2025-05-05
2025-05-12,73.20999908447266,73.20999908447266,73.80000305175781,65.0,65.0,426043,2025-05-12
2025-05-19,67.94999694824219,67.94999694824219,77.29000091552734,67.05999755859375,73.56999969482422,990368,2025-05-19
2025-05-26,68.69000244140625,68.69000244140625,69.5,67.61000061035156,68.5,375360,2025-05-26
2025-06-02,69.93000030517578,69.93000030517578,70.69999694824219,67.76000213623047,68.69000244140625,357650,2025-06-02
2025-06-09,73.8499984741211,73.8499984741211,81.98999786376953,70.2300033569336,70.23999786376953,1675282,2025-06-09
2025-06-16,69.44999694824219,69.44999694824219,75.38999938964844,68.4000015258789,73.55000305175781,424557,2025-06-16
