Date,Adj Close_MODISONLTD.NS,Close_MODISONLTD.NS,High_MODISONLTD.NS,Low_MODISONLTD.NS,Open_MODISONLTD.NS,Volume_MODISONLTD.NS,Date
2025-05-12,135.85000610351562,135.85000610351562,141.0,122.44000244140625,122.44000244140625,309998,2025-05-12
2025-05-19,138.6199951171875,138.6199951171875,148.5,131.5,135.85000610351562,194500,2025-05-19
2025-05-26,165.7100067138672,165.7100067138672,171.0,136.0,140.19000244140625,1086412,2025-05-26
2025-06-02,162.44000244140625,162.44000244140625,179.27999877929688,157.3000030517578,166.0,748332,2025-06-02
2025-06-09,163.9499969482422,163.9499969482422,175.99000549316406,159.64999389648438,161.8000030517578,367996,2025-06-09
2025-06-16,158.8300018310547,158.8300018310547,167.55999755859375,155.0500030517578,163.13999938964844,192855,2025-06-16
2025-06-23,172.13999938964844,172.13999938964844,178.89999389648438,153.60000610351562,156.00999450683594,661253,2025-06-23
2025-06-30,170.5800018310547,170.5800018310547,175.0,165.0,172.1999969482422,251161,2025-06-30
2025-07-07,173.0399932861328,173.0399932861328,175.0,162.24000549316406,168.85000610351562,383387,2025-07-07
2025-07-14,171.27000427246094,171.27000427246094,174.44000244140625,168.25999450683594,172.5500030517578,81604,2025-07-14
