SYMBOL,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE,YahooSymbol,Symbol,Company,Sector,Industry
BERGEPAINT.NS,EQ,24-NOV-1999,INE463A01038,1,BERGEPAINT.NS,BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals
BHAGCHEM.NS,EQ,18-OCT-2021,INE414D01027,1,BHAGCHEM.NS,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs
BHAGERIA.NS,EQ,02-MAR-2016,INE354C01027,5,BHAGERIA.NS,BHAGERIA,Bhageria Industries Limited,Basic Materials,Specialty Chemicals
BHARATFORG.NS,EQ,04-APR-2003,INE465A01025,2,BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts
BHARATRAS.NS,EQ,11-OCT-1995,INE838B01013,10,BHARATRAS.NS,BHARATRAS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs
BHARATSE.NS,BE,24-MAR-2025,INE415D01024,2,BHARATSE.NS,BHARATSE,Bharat Seats Limited,Consumer Cyclical,Auto Parts
BHARATWIRE.NS,EQ,01-APR-2016,INE316L01019,10,BHARATWIRE.NS,BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,Steel
BHARTIARTL.NS,EQ,15-FEB-2002,INE397D01024,5,BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services
BHARTIHEXA.NS,EQ,12-APR-2024,INE343G01021,5,BHARTIHEXA.NS,BHARTIHEXA,BHARTI HEXACOM LIMITED,Communication Services,Telecom Services
BHEL.NS,EQ,11-NOV-2003,INE257A01026,2,BHEL.NS,BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery
BIGBLOC.NS,EQ,02-SEP-2016,INE412U01025,2,BIGBLOC.NS,BIGBLOC,Bigbloc Construction Limited,Industrials,Building Products & Equipment
BIKAJI.NS,EQ,16-NOV-2022,INE00E101023,1,BIKAJI.NS,BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Packaged Foods
BIOFILCHEM.NS,BE,12-JUN-1996,INE829A01014,10,BIOFILCHEM.NS,BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BIRLACABLE.NS,BE,06-DEC-1995,INE800A01015,10,BIRLACABLE.NS,BIRLACABLE,Birla Cable Limited,Technology,Communication Equipment
BIRLACORPN.NS,EQ,12-APR-1995,INE340A01012,10,BIRLACORPN.NS,BIRLACORPN,Birla Corporation Limited,Basic Materials,Building Materials
BLACKBUCK.NS,EQ,22-NOV-2024,INE0UIZ01018,1,BLACKBUCK.NS,BLACKBUCK,ZINKA LOGISTICS SOL LTD,Technology,Software - Application
BLAL.NS,EQ,19-APR-2023,INE0N7W01012,10,BLAL.NS,BLAL,BEML Land Assets Limited,Financial Services,Shell Companies
BLBLIMITED.NS,EQ,31-MAY-2000,INE791A01024,1,BLBLIMITED.NS,BLBLIMITED,BLB Limited,Financial Services,Capital Markets
BLISSGVS.NS,EQ,26-JUL-2010,INE416D01022,1,BLISSGVS.NS,BLISSGVS,Bliss GVS Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BLKASHYAP.NS,EQ,17-MAR-2006,INE350H01032,1,BLKASHYAP.NS,BLKASHYAP,B.L. Kashyap and Sons Limited,Industrials,Engineering & Construction
BLS.NS,EQ,14-JUN-2016,INE153T01027,1,BLS.NS,BLS,BLS International Services Limited,Industrials,Specialty Business Services
BLSE.NS,BE,06-FEB-2024,INE0NLT01010,10,BLSE.NS,BLSE,BLS E-SERVICES LIMITED,Industrials,Specialty Business Services
BLUECOAST.NS,BE,16-FEB-2000,INE472B01011,10,BLUECOAST.NS,BLUECOAST,Blue Coast Hotels Limited,Consumer Cyclical,Lodging
BLUEDART.NS,EQ,12-DEC-2002,INE233B01017,10,BLUEDART.NS,BLUEDART,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics
BLUEJET.NS,EQ,01-NOV-2023,INE0KBH01020,2,BLUEJET.NS,BLUEJET,Blue Jet Healthcare Limited,Healthcare,Biotechnology
BLUESTARCO.NS,EQ,15-JUN-2000,INE472A01039,2,BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,Industrials,Building Products & Equipment
BOHRAIND.NS,EQ,27-OCT-2022,INE802W01023,10,BOHRAIND.NS,BOHRAIND,Bohra Industries Limited,Basic Materials,Agricultural Inputs
BOMDYEING.NS,EQ,26-APR-1995,INE032A01023,2,BOMDYEING.NS,BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,Consumer Cyclical,Textile Manufacturing
BORANA.NS,EQ,27-MAY-2025,INE16SF01016,10,BORANA.NS,BORANA,BORANA WEAVES LIMITED,Consumer Cyclical,Textile Manufacturing
BOROLTD.NS,EQ,22-JUL-2020,INE02PY01013,1,BOROLTD.NS,BOROLTD,Borosil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BORORENEW.NS,EQ,25-MAY-2018,INE666D01022,1,BORORENEW.NS,BORORENEW,Borosil Renewables Limited,Technology,Solar
BOROSCI.NS,EQ,07-JUN-2024,INE02L001032,1,BOROSCI.NS,BOROSCI,Borosil Scientific Limited,Consumer Cyclical,Packaging & Containers
BOSCHLTD.NS,EQ,12-MAY-2003,INE323A01026,10,BOSCHLTD.NS,BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts
BRITANNIA.NS,EQ,05-NOV-1998,INE216A01030,1,BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods
BROOKS.NS,BE,05-SEP-2011,INE650L01011,10,BROOKS.NS,BROOKS,Brooks Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BSE.NS,EQ,03-FEB-2017,INE118H01025,2,BSE.NS,BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges
BSHSL.NS,EQ,28-OCT-2020,INE032Z01020,1,BSHSL.NS,BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials,Agricultural Inputs
BSOFT.NS,EQ,24-NOV-1999,INE836A01035,2,BSOFT.NS,BSOFT,Birlasoft Limited,Technology,Information Technology Services
BTML.NS,EQ,15-FEB-2023,INE0EEJ01023,1,BTML.NS,BTML,Bodhi Tree Multimedia Limited,Communication Services,Entertainment
BUTTERFLY.NS,EQ,28-APR-2014,INE295F01017,10,BUTTERFLY.NS,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BYKE.NS,BE,15-APR-2015,INE319B01014,10,BYKE.NS,BYKE,The Byke Hospitality Limited,Consumer Cyclical,Lodging
CALSOFT.NS,BE,28-JUN-2000,INE526B01014,10,CALSOFT.NS,CALSOFT,California Software Company Limited,Technology,Software - Application
CAMLINFINE.NS,BE,20-JAN-2015,INE052I01032,1,CAMLINFINE.NS,CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,Specialty Chemicals
CAMPUS.NS,EQ,09-MAY-2022,INE278Y01022,5,CAMPUS.NS,CAMPUS,Campus Activewear Limited,Consumer Cyclical,Footwear & Accessories
CAMS.NS,EQ,07-MAY-2021,INE596I01012,10,CAMS.NS,CAMS,Computer Age Management Services Limited,Technology,Information Technology Services
CANTABIL.NS,EQ,12-OCT-2010,INE068L01024,2,CANTABIL.NS,CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,Apparel Manufacturing
CAPACITE.NS,EQ,25-SEP-2017,INE264T01014,10,CAPACITE.NS,CAPACITE,Capacit'e Infraprojects Limited,Industrials,Engineering & Construction
CAPLIPOINT.NS,EQ,23-JUN-2014,INE475E01026,2,CAPLIPOINT.NS,CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
CARBORUNIV.NS,EQ,03-APR-1996,INE120A01034,1,CARBORUNIV.NS,CARBORUNIV,Carborundum Universal Limited,Industrials,Conglomerates
CARERATING.NS,EQ,26-DEC-2012,INE752H01013,10,CARERATING.NS,CARERATING,CARE Ratings Limited,Financial Services,Financial Data & Stock Exchanges
CARRARO.NS,EQ,30-DEC-2024,INE0V7W01012,10,CARRARO.NS,CARRARO,CARRARO INDIA LIMITED,Consumer Cyclical,Auto Parts
CARTRADE.NS,EQ,20-AUG-2021,INE290S01011,10,CARTRADE.NS,CARTRADE,CarTrade Tech Limited,Consumer Cyclical,Auto & Truck Dealerships
CARYSIL.NS,EQ,14-JAN-2021,INE482D01024,2,CARYSIL.NS,CARYSIL,Carysil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CASTROLIND.NS,EQ,14-MAR-2014,INE172A01027,5,CASTROLIND.NS,CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing
CCCL.NS,EQ,15-OCT-2007,INE429I01024,2,CCCL.NS,CCCL,Consolidated Construction Consortium Limited,Industrials,Engineering & Construction
CCHHL.NS,EQ,03-FEB-2015,INE652F01027,2,CCHHL.NS,CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging
CCL.NS,EQ,07-JUN-2004,INE421D01022,2,CCL.NS,CCL,CCL Products (India) Limited,Consumer Defensive,Packaged Foods
CEATLTD.NS,EQ,01-FEB-2008,INE482A01020,10,CEATLTD.NS,CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts
CEIGALL.NS,EQ,08-AUG-2024,INE0AG901020,5,CEIGALL.NS,CEIGALL,CEIGALL INDIA LIMITED,Industrials,Engineering & Construction
CELLO.NS,EQ,06-NOV-2023,INE0LMW01024,5,CELLO.NS,CELLO,Cello World Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CENTENKA.NS,EQ,10-MAY-1995,INE485A01015,10,CENTENKA.NS,CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing
CENTEXT.NS,EQ,20-JUL-2004,INE281A01026,1,CENTEXT.NS,CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum
CENTUM.NS,EQ,05-OCT-2007,INE320B01020,10,CENTUM.NS,CENTUM,Centum Electronics Limited,Technology,Electronic Components
CENTURYPLY.NS,EQ,23-MAR-2006,INE348B01021,1,CENTURYPLY.NS,CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production
CERA.NS,EQ,02-NOV-2007,INE739E01017,5,CERA.NS,CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment
CEWATER.NS,EQ,27-DEC-2024,INE037Z01029,5,CEWATER.NS,CEWATER,CONCORD ENVIRO SYSTEMS L,Utilities,Utilities - Regulated Water
CGPOWER.NS,EQ,01-MAR-1995,INE067A01029,2,CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts
CHALET.NS,EQ,07-FEB-2019,INE427F01016,10,CHALET.NS,CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging
CHAMBLFERT.NS,EQ,14-JUN-1995,INE085A01013,10,CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs
CHEMBOND.NS,BE,20-NOV-2019,INE995D01025,5,CHEMBOND.NS,CHEMBOND,Chembond Material Technologies Limited,Basic Materials,Specialty Chemicals
CHEMCON.NS,EQ,01-OCT-2020,INE03YM01018,10,CHEMCON.NS,CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials,Specialty Chemicals
CHEMFAB.NS,EQ,25-APR-2018,INE783X01023,10,CHEMFAB.NS,CHEMFAB,Chemfab Alkalis Limited,Basic Materials,Specialty Chemicals
CHEMPLASTS.NS,EQ,24-AUG-2021,INE488A01050,5,CHEMPLASTS.NS,CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals
CHENNPETRO.NS,EQ,07-JUN-2000,INE178A01016,10,CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
CHEVIOT.NS,EQ,20-JUN-2022,INE974B01016,10,CHEVIOT.NS,CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing
CHOICEIN.NS,EQ,08-APR-2022,INE102B01014,10,CHOICEIN.NS,CHOICEIN,Choice International Limited,Financial Services,Capital Markets
CIEINDIA.NS,EQ,30-AUG-2007,INE536H01010,10,CIEINDIA.NS,CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts
CIGNITITEC.NS,EQ,13-OCT-2014,INE675C01017,10,CIGNITITEC.NS,CIGNITITEC,Cigniti Technologies Limited,Technology,Information Technology Services
CINEVISTA.NS,BE,02-MAY-2000,INE039B01026,2,CINEVISTA.NS,CINEVISTA,Cinevista Limited,Communication Services,Entertainment
CIPLA.NS,EQ,08-FEB-1995,INE059A01026,2,CIPLA.NS,CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic
CLEAN.NS,EQ,19-JUL-2021,INE227W01023,1,CLEAN.NS,CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals
CLSEL.NS,EQ,12-MAY-2021,INE419D01026,2,CLSEL.NS,CLSEL,Chaman Lal Setia Exports Ltd.,Consumer Defensive,Packaged Foods
CMSINFO.NS,EQ,31-DEC-2021,INE925R01014,10,CMSINFO.NS,CMSINFO,CMS Info Systems Limited,Industrials,Specialty Business Services
COALINDIA.NS,EQ,04-NOV-2010,INE522F01014,10,COALINDIA.NS,COALINDIA,Coal India Limited,Energy,Thermal Coal
COFORGE.NS,EQ,30-AUG-2004,INE591G01025,2,COFORGE.NS,COFORGE,Coforge Limited,Technology,Information Technology Services
COHANCE.NS,EQ,09-MAR-2020,INE03QK01018,1,COHANCE.NS,COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,Drug Manufacturers - Specialty & Generic
COLPAL.NS,EQ,17-DEC-2007,INE259A01022,1,COLPAL.NS,COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products
COMPUSOFT.NS,EQ,02-MAR-2012,INE453B01029,2,COMPUSOFT.NS,COMPUSOFT,Compucom Software Limited,Consumer Defensive,Education & Training Services
COMSYN.NS,EQ,23-JAN-2024,INE073V01015,10,COMSYN.NS,COMSYN,Commercial Syn Bags Limited,Consumer Cyclical,Packaging & Containers
CONCOR.NS,EQ,07-MAY-1997,INE111A01025,5,CONCOR.NS,CONCOR,Container Corporation of India Limited,Industrials,Railroads
CONCORDBIO.NS,EQ,18-AUG-2023,INE338H01029,1,CONCORDBIO.NS,CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology
CONTROLPR.NS,EQ,24-JUN-2016,INE663B01015,10,CONTROLPR.NS,CONTROLPR,Control Print Limited,Industrials,Business Equipment & Supplies
COROMANDEL.NS,EQ,31-MAY-1995,INE169A01031,1,COROMANDEL.NS,COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs
CPCAP.NS,EQ,06-OCT-2010,INE521J01018,10,CPCAP.NS,CPCAP,CP Capital Limited,Industrials,Conglomerates
CRAFTSMAN.NS,EQ,25-MAR-2021,INE00LO01017,5,CRAFTSMAN.NS,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts
CREATIVEYE.NS,BE,20-DEC-2000,INE230B01021,5,CREATIVEYE.NS,CREATIVEYE,Creative Eye Limited,Communication Services,Entertainment
CREST.NS,EQ,27-DEC-2006,INE559D01011,10,CREST.NS,CREST,Crest Ventures Limited,Financial Services,Financial Conglomerates
CRISIL.NS,EQ,28-JUN-1995,INE007A01025,1,CRISIL.NS,CRISIL,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges
CROMPTON.NS,EQ,13-MAY-2016,INE299U01018,2,CROMPTON.NS,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CROWN.NS,EQ,08-FEB-2022,INE491V01019,10,CROWN.NS,CROWN,Crown Lifters Limited,Industrials,Rental & Leasing Services
CUBEXTUB.NS,BE,24-APR-1996,INE144D01012,10,CUBEXTUB.NS,CUBEXTUB,Cubex Tubings Limited,Basic Materials,Copper
CUMMINSIND.NS,EQ,29-MAR-1995,INE298A01020,2,CUMMINSIND.NS,CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery
CUPID.NS,EQ,16-SEP-2016,INE509F01029,1,CUPID.NS,CUPID,Cupid Limited,Consumer Defensive,Household & Personal Products
CURAA.NS,BE,21-MAR-2025,INE117B01020,10,CURAA.NS,CURAA,CURA TECHNOLOGIES LIMITED,Technology,Software - Application
CYBERTECH.NS,BE,27-JAN-1999,INE214A01019,10,CYBERTECH.NS,CYBERTECH,CyberTech Systems and Software Limited,Technology,Information Technology Services
CYIENT.NS,EQ,30-SEP-1998,INE136B01020,5,CYIENT.NS,CYIENT,Cyient Limited,Industrials,Conglomerates
CYIENTDLM.NS,EQ,10-JUL-2023,INE055S01018,10,CYIENTDLM.NS,CYIENTDLM,Cyient DLM Limited,Technology,Electronic Components
DABUR.NS,EQ,28-APR-1999,INE016A01026,1,DABUR.NS,DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products
DALBHARAT.NS,EQ,22-JAN-2019,INE00R701025,2,DALBHARAT.NS,DALBHARAT,Dalmia Bharat Limited,Basic Materials,Building Materials
DALMIASUG.NS,EQ,17-JAN-1996,INE495A01022,2,DALMIASUG.NS,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,Confectioners
DAMCAPITAL.NS,EQ,27-DEC-2024,INE284H01025,2,DAMCAPITAL.NS,DAMCAPITAL,DAM CAPITAL ADVISORS LTD,Financial Services,Capital Markets
DANGEE.NS,BE,13-NOV-2020,INE688Y01022,1,DANGEE.NS,DANGEE,Dangee Dums Limited,Consumer Cyclical,Restaurants
DATAMATICS.NS,EQ,07-MAY-2004,INE365B01017,5,DATAMATICS.NS,DATAMATICS,Datamatics Global Services Limited,Technology,Information Technology Services
DBCORP.NS,EQ,06-JAN-2010,INE950I01011,10,DBCORP.NS,DBCORP,D. B. Corp Limited,Communication Services,Publishing
DBEIL.NS,EQ,28-OCT-2024,INE0OPA01019,10,DBEIL.NS,DBEIL,DEEPAK BUILDERS & ENG I L,Industrials,Engineering & Construction
DBSTOCKBRO.NS,EQ,29-FEB-2012,INE921B01025,2,DBSTOCKBRO.NS,DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Capital Markets
DCI.NS,EQ,19-OCT-2022,INE0A1101019,10,DCI.NS,DCI,DC Infotech and Communication Limited,Technology,Electronics & Computer Distribution
DCM.NS,EQ,29-MAR-1995,INE498A01018,10,DCM.NS,DCM,DCM Limited,Industrials,Metal Fabrication
DCMSHRIRAM.NS,EQ,12-APR-1995,INE499A01024,2,DCMSHRIRAM.NS,DCMSHRIRAM,DCM Shriram Limited,Industrials,Conglomerates
DCW.NS,EQ,25-MAY-1995,INE500A01029,2,DCW.NS,DCW,DCW Limited,Basic Materials,Chemicals
DDEVPLSTIK.NS,EQ,15-JAN-2025,INE0HR601026,1,DDEVPLSTIK.NS,DDEVPLSTIK,Ddev Plastiks Industries Limited,Basic Materials,Specialty Chemicals
DEEDEV.NS,EQ,26-JUN-2024,INE841L01016,10,DEEDEV.NS,DEEDEV,DEE DEVELOPMENT ENG LTD,Industrials,Metal Fabrication
DEEPAKFERT.NS,EQ,17-JAN-2003,INE501A01019,10,DEEPAKFERT.NS,DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,Chemicals
DEEPAKNTR.NS,EQ,29-SEP-2010,INE288B01029,2,DEEPAKNTR.NS,DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,Chemicals
DEEPINDS.NS,EQ,27-APR-2021,INE0FHS01024,5,DEEPINDS.NS,DEEPINDS,Deep Industries Limited,Energy,Oil & Gas E&P
DELHIVERY.NS,EQ,24-MAY-2022,INE148O01028,1,DELHIVERY.NS,DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics
DELPHIFX.NS,BE,28-JUN-2011,INE726L01019,10,DELPHIFX.NS,DELPHIFX,Delphi World Money Limited,Financial Services,Capital Markets
DELTAMAGNT.NS,BE,18-OCT-1995,INE393A01011,10,DELTAMAGNT.NS,DELTAMAGNT,Delta Manufacturing Limited,Industrials,Specialty Industrial Machinery
DEN.NS,EQ,24-NOV-2009,INE947J01015,10,DEN.NS,DEN,DEN Networks Limited,Communication Services,Entertainment
DENTA.NS,EQ,29-JAN-2025,INE0R4L01018,10,DENTA.NS,DENTA,DENTA WATER N INFRA SOL L,Industrials,Engineering & Construction
DEVIT.NS,EQ,15-FEB-2022,INE060X01026,5,DEVIT.NS,DEVIT,Dev Information Technology Limited,Technology,Information Technology Services
DEVYANI.NS,EQ,16-AUG-2021,INE872J01023,1,DEVYANI.NS,DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants
DHANI.NS,EQ,02-APR-2008,INE274G01010,2,DHANI.NS,DHANI,Dhani Services Limited,Financial Services,Credit Services
DHANUKA.NS,EQ,29-JUN-2011,INE435G01025,2,DHANUKA.NS,DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs
DHARMAJ.NS,BE,08-DEC-2022,INE00OQ01016,10,DHARMAJ.NS,DHARMAJ,Dharmaj Crop Guard Limited,Basic Materials,Agricultural Inputs
DHRUV.NS,BE,25-NOV-2021,INE506Z01015,10,DHRUV.NS,DHRUV,Dhruv Consultancy Services Limited,Industrials,Engineering & Construction
DIACABS.NS,EQ,15-SEP-2023,INE989C01038,1,DIACABS.NS,DIACABS,Diamond Power Infrastructure Limited,Industrials,Specialty Industrial Machinery
DIAMINESQ.NS,EQ,25-SEP-2023,INE591D01014,10,DIAMINESQ.NS,DIAMINESQ,Diamines and Chemicals Limited,Basic Materials,Chemicals
DIAMONDYD.NS,EQ,05-OCT-2017,INE393P01035,5,DIAMONDYD.NS,DIAMONDYD,Prataap Snacks Limited,Consumer Defensive,Packaged Foods
DICIND.NS,EQ,30-AUG-1995,INE303A01010,10,DICIND.NS,DICIND,DIC India Limited,Basic Materials,Specialty Chemicals
DIFFNKG.NS,EQ,04-OCT-2024,INE184O01015,10,DIFFNKG.NS,DIFFNKG,DIFFUSION ENGINEERS LTD,Industrials,Specialty Industrial Machinery
DIGIDRIVE.NS,EQ,10-JAN-2024,INE0PSC01024,10,DIGIDRIVE.NS,DIGIDRIVE,Digidrive Distributors Limited,Consumer Cyclical,Internet Retail
DISHTV.NS,BE,18-APR-2007,INE836F01026,1,DISHTV.NS,DISHTV,Dish TV India Limited,Communication Services,Entertainment
DIVGIITTS.NS,EQ,14-MAR-2023,INE753U01022,5,DIVGIITTS.NS,DIVGIITTS,Divgi TorqTransfer Systems Limited,Consumer Cyclical,Auto Parts
DIVISLAB.NS,EQ,12-MAR-2003,INE361B01024,2,DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
DIXON.NS,EQ,18-SEP-2017,INE935N01020,2,DIXON.NS,DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics
DJML.NS,EQ,05-DEC-2022,INE0B1K01014,10,DJML.NS,DJML,DJ Mediaprint & Logistics Limited,Industrials,Specialty Business Services
DLINKINDIA.NS,EQ,18-DEC-2009,INE250K01012,2,DLINKINDIA.NS,DLINKINDIA,D-Link (India) Limited,Technology,Communication Equipment
DMART.NS,EQ,21-MAR-2017,INE192R01011,10,DMART.NS,DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores
DMCC.NS,EQ,01-DEC-2021,INE505A01010,10,DMCC.NS,DMCC,DMCC Speciality Chemicals Limited,Basic Materials,Chemicals
DODLA.NS,EQ,28-JUN-2021,INE021O01019,10,DODLA.NS,DODLA,Dodla Dairy Limited,Consumer Defensive,Food Distribution
DOLATALGO.NS,EQ,12-JAN-2024,INE966A01022,1,DOLATALGO.NS,DOLATALGO,Dolat Algotech Limited,Financial Services,Capital Markets
DOLLAR.NS,EQ,21-APR-2017,INE325C01035,2,DOLLAR.NS,DOLLAR,Dollar Industries Limited,Consumer Cyclical,Apparel Manufacturing
DOLPHIN.NS,EQ,21-AUG-2023,INE920A01037,1,DOLPHIN.NS,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy,Oil & Gas Equipment & Services
DOMS.NS,EQ,20-DEC-2023,INE321T01012,10,DOMS.NS,DOMS,DOMS Industries Limited,Industrials,Business Equipment & Supplies
DPABHUSHAN.NS,EQ,03-NOV-2020,INE266Y01019,10,DPABHUSHAN.NS,DPABHUSHAN,D. P. Abhushan Limited,Consumer Cyclical,Luxury Goods
DPSCLTD.NS,EQ,21-APR-2008,INE360C01024,1,DPSCLTD.NS,DPSCLTD,India Power Corporation Limited,Utilities,Utilities - Regulated Electric
DPWIRES.NS,EQ,17-JAN-2020,INE864X01013,10,DPWIRES.NS,DPWIRES,D.P. Wires Limited,Industrials,Metal Fabrication
DRCSYSTEMS.NS,BE,10-MAR-2021,INE03RS01027,1,DRCSYSTEMS.NS,DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services
DREAMFOLKS.NS,BE,06-SEP-2022,INE0JS101016,2,DREAMFOLKS.NS,DREAMFOLKS,Dreamfolks Services Limited,Industrials,Airports & Air Services
DRREDDY.NS,EQ,30-MAY-2003,INE089A01031,1,DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
DSSL.NS,EQ,01-DEC-2011,INE417B01040,10,DSSL.NS,DSSL,Dynacons Systems & Solutions Limited,Technology,Information Technology Services
DVL.NS,EQ,11-JAN-2008,INE477B01010,10,DVL.NS,DVL,Dhunseri Ventures Limited,Financial Services,Capital Markets
DYCL.NS,EQ,27-JUL-2022,INE600Y01019,10,DYCL.NS,DYCL,Dynamic Cables Limited,Industrials,Electrical Equipment & Parts
DYNAMATECH.NS,EQ,14-SEP-2006,INE221B01012,10,DYNAMATECH.NS,DYNAMATECH,Dynamatic Technologies Limited,Consumer Cyclical,Auto Parts
DYNPRO.NS,EQ,19-JUL-2017,INE256H01015,10,DYNPRO.NS,DYNPRO,Dynemic Products Limited,Basic Materials,Specialty Chemicals
E2E.NS,EQ,12-APR-2022,INE255Z01019,10,E2E.NS,E2E,E2E Networks Limited,Technology,Software - Infrastructure
EASEMYTRIP.NS,EQ,19-MAR-2021,INE07O001026,1,EASEMYTRIP.NS,EASEMYTRIP,Easy Trip Planners Limited,Consumer Cyclical,Travel Services
ECLERX.NS,EQ,31-DEC-2007,INE738I01010,10,ECLERX.NS,ECLERX,eClerx Services Limited,Technology,Information Technology Services
ECOSMOBLTY.NS,EQ,04-SEP-2024,INE06HJ01020,2,ECOSMOBLTY.NS,ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L,Industrials,Rental & Leasing Services
EICHERMOT.NS,EQ,07-SEP-2004,INE066A01021,1,EICHERMOT.NS,EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers
EIDPARRY.NS,EQ,10-MAY-1995,INE126A01031,1,EIDPARRY.NS,EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,Agricultural Inputs
EIEL.NS,EQ,29-NOV-2024,INE0LLY01014,10,EIEL.NS,EIEL,ENVIRO INFRA ENGINEERS L,Industrials,Engineering & Construction
EIFFL.NS,BE,12-OCT-2021,INE546V01010,10,EIFFL.NS,EIFFL,Euro India Fresh Foods Limited,Consumer Defensive,Packaged Foods
EIHAHOTELS.NS,EQ,08-APR-2008,INE276C01014,10,EIHAHOTELS.NS,EIHAHOTELS,EIH Associated Hotels Limited,Consumer Cyclical,Lodging
EIHOTEL.NS,EQ,08-FEB-1995,INE230A01023,2,EIHOTEL.NS,EIHOTEL,EIH Limited,Consumer Cyclical,Lodging
